"video_id","min_timecode","max_timecode","text.user","text.auto"
"LxLrZ7GCtlY","00:00:00","00:00:05","","what's"
"LxLrZ7GCtlY","00:00:05","00:00:10","What's up guys, Jeff Cavaliere, Athleanx.com.  Should you fear the bench press? Are you in  ","up guys jeff cavaliere athletics.com so should you fear the bench press are you in danger"
"LxLrZ7GCtlY","00:00:10","00:00:15","danger of being the next one to suffer a pec  tear? Look, I get it, with the videos that  ","of being the next one to suffer a peck tear now look i get it with the videos that have been going around"
"LxLrZ7GCtlY","00:00:15","00:00:18","have been going around lately, you have probably  a good reason to be fearful. As a matter of fact,  ","lately you have probably good reason to be fearful matter of"
"LxLrZ7GCtlY","00:00:19","00:00:29","if you haven't seen this one, this one's  going to strike fear in pretty much anybody.  ","fact if you haven't seen this one this one's going to strike fear in pretty much anybody"
"LxLrZ7GCtlY","00:00:30","00:00:30","",""
"LxLrZ7GCtlY","00:00:31","00:00:34","Look, there there's no doubt that is one of  the most gruesome pec injuries I've ever seen.  ","look there's no doubt that is one of the most gruesome peck injuries i've ever seen"
"LxLrZ7GCtlY","00:00:35","00:00:39","But are you next in line to suffer the same fate?  Now, what people have done sort of ad nauseum at  ","but are you next in line to suffer the same fate now what people have done sort of ad nauseum at the"
"LxLrZ7GCtlY","00:00:40","00:00:44","the moment is break that video down and try to  reverse engineer what happened there as reason  ","moment is break that video down and try to reverse engineer what happened there as reason"
"LxLrZ7GCtlY","00:00:45","00:00:49","for what you could do to correct or prevent that  from happening to you. That's not the way you look  ","for what you could do to correct or prevent that from happening to you that's not the way you look"
"LxLrZ7GCtlY","00:00:50","00:00:53","at this, guys. As a PT, I can tell you, you need  to sort of look a little bit more globally at the  ","at this guys as a pt i can tell you you need to sort of look a little bit more globally at"
"LxLrZ7GCtlY","00:00:54","00:00:58","biomechanics of the exercise and see where  you might have some shortcomings that could  ","the biomechanics of the exercise and see where you might have some shortcomings that could potentially"
"LxLrZ7GCtlY","00:00:58","00:01:03","potentially increase your risks a bit in terms  of your performance of the exercise. So, I want  ","increase your risks a bit in terms of your performance of the exercise so i want to make sure that i do"
"LxLrZ7GCtlY","00:01:03","00:01:06","to make sure that I do this the right way, guys.  I'm going to put the science back in strength and  ","this the right way guys i'm going to put the science back in strength and break the exercise"
"LxLrZ7GCtlY","00:01:06","00:01:10","break the exercise down for you segment by segment  and see where you might be at risk and maybe  ","down for you segment by segment and see where you might be at risk and maybe where you"
"LxLrZ7GCtlY","00:01:11","00:01:14","where you don't have to be concerned at all.  All right, so the thing we should do is make sure  ","don't have to be concerned at all all right so the first thing we should do is make sure that we're"
"LxLrZ7GCtlY","00:01:14","00:01:17","that we're all talking about the same muscle,  because when we talk about the pecs, there's a  ","all talking about the same muscle because when we talk about the pecs there's"
"LxLrZ7GCtlY","00:01:18","00:01:23","differentiation between the pec major and the pec  minor. And you can see here the pec minor has a  ","a differentiation between the pec major and the pec minor and you can see here the pec minor has a different"
"LxLrZ7GCtlY","00:01:23","00:01:28","different attachment point than the pec major does  and is the big difference of why we almost never  ","attachment point than the pec major does and is the big difference of why we almost never"
"LxLrZ7GCtlY","00:01:29","00:01:34","see pec minor tears on the bench press and why we  almost exclusively see pec major tears. Because  ","see pec minor tears on a bench press and why we almost exclusively see pec measure tears because the pec"
"LxLrZ7GCtlY","00:01:34","00:01:39","the major attaches to the arm, which is going  to be able to move in space to create a greater  ","major attaches to the arm which is going to be able to move in space to create a"
"LxLrZ7GCtlY","00:01:40","00:01:43","stretch that can reach his breaking point.  So, speaking of that breaking point,  ","greater stretch that can reach its breaking point so speaking of that breaking point"
"LxLrZ7GCtlY","00:01:44","00:01:49","the pec can tear in one of four different places,  either in the muscle belly itself or at something  ","the pet can tear one of four different places either in the muscle belly itself or at something called the musculotendinous"
"LxLrZ7GCtlY","00:01:49","00:01:53","called the musculotendinous junction, where the  belly feeds into the tendon that then goes on  ","or at something called the musculotendinous junction where the belly feeds into the tendon that then"
"LxLrZ7GCtlY","00:01:54","00:01:58","to attach it to the arm. Or it could be a little  bit more ugly where it's going to detach itself  ","goes on to attach it to the arm or it can be a little bit more ugly where it's going to detach itself or evolves"
"LxLrZ7GCtlY","00:01:58","00:02:03","or avulse from the bone. And that can be either at  the proximal attachment on the sternum or out here  ","from the bone and that could be either at the proximal attachment on the sternum or out here in the humerus"
"LxLrZ7GCtlY","00:02:03","00:02:07","in the humerus. It's actually the humoral avulsion  that we saw in that video that I showed you.   ","it's actually the humeral avulsion that we saw in that video that i showed you"
"LxLrZ7GCtlY","00:02:08","00:02:10","Okay, so now who's most susceptible to this  injury, because that's probably what you're  ","okay so now who's most susceptible to this injury because that's"
