video_id,lang,text,timecode
M57NmccfZxA,English (United States) - Captions,- Are you asking did I put a child,0:00 / 10:38
M57NmccfZxA,English (United States) - Captions,- Are you asking did I put a child,0:01 / 10:38
M57NmccfZxA,English (United States) - Captions,that's under six years old,0:01 / 10:38
M57NmccfZxA,English (United States) - Captions,that's under six years old,0:02 / 10:38
M57NmccfZxA,English (United States) - Captions,in a moving car that we had stuff flying at it?,0:02 / 10:38
M57NmccfZxA,English (United States) - Captions,in a moving car that we had stuff flying at it?,0:03 / 10:38
M57NmccfZxA,English (United States) - Captions,in a moving car that we had stuff flying at it?,0:04 / 10:38
M57NmccfZxA,English (United States) - Captions,"Yeah, I did.",0:04 / 10:38
M57NmccfZxA,English (United States) - Captions,"Yeah, I did.",0:05 / 10:38
M57NmccfZxA,English (United States) - Captions,And I'm probably going to jail for it.,0:05 / 10:38
M57NmccfZxA,English (United States) - Captions,And I'm probably going to jail for it.,0:06 / 10:38
M57NmccfZxA,English (United States) - Captions,"But before I go to jail, at least we all know why.",0:07 / 10:38
M57NmccfZxA,English (United States) - Captions,"But before I go to jail, at least we all know why.",0:08 / 10:38
M57NmccfZxA,English (United States) - Captions,"But before I go to jail, at least we all know why.",0:09 / 10:38
M57NmccfZxA,English (United States) - Captions,And it's pretty rad.,0:10 / 10:38
M57NmccfZxA,English (United States) - Captions,And it's pretty rad.,0:11 / 10:38
M57NmccfZxA,English (United States) - Captions,"Hey, I'm John Krasinski, the writer-director",0:11 / 10:38
M57NmccfZxA,English (United States) - Captions,"Hey, I'm John Krasinski, the writer-director",0:12 / 10:38
M57NmccfZxA,English (United States) - Captions,"of ""A Quiet Place Part II"", and this is ""Notes on a Scene"".",0:13 / 10:38
M57NmccfZxA,English (United States) - Captions,"of ""A Quiet Place Part II"", and this is ""Notes on a Scene"".",0:14 / 10:38
M57NmccfZxA,English (United States) - Captions,"of ""A Quiet Place Part II"", and this is ""Notes on a Scene"".",0:15 / 10:38
M57NmccfZxA,English (United States) - Captions,"of ""A Quiet Place Part II"", and this is ""Notes on a Scene"".",0:16 / 10:38
M57NmccfZxA,English (United States) - Captions,[siren ringing],0:16 / 10:38
M57NmccfZxA,English (United States) - Captions,[siren ringing],0:17 / 10:38
M57NmccfZxA,English (United States) - Captions,[siren ringing],0:18 / 10:38
M57NmccfZxA,English (United States) - Captions,[siren ringing],0:19 / 10:38
M57NmccfZxA,English (United States) - Captions,,0:19 / 10:38
M57NmccfZxA,English (United States) - Captions,,0:20 / 10:38
M57NmccfZxA,English (United States) - Captions,,0:21 / 10:38
M57NmccfZxA,English (United States) - Captions,,0:22 / 10:38
M57NmccfZxA,English (United States) - Captions,,0:23 / 10:38
M57NmccfZxA,English (United States) - Captions,,0:24 / 10:38
M57NmccfZxA,English (United States) - Captions,,0:25 / 10:38
M57NmccfZxA,English (United States) - Captions,,0:26 / 10:38
M57NmccfZxA,English (United States) - Captions,,0:27 / 10:38
M57NmccfZxA,English (United States) - Captions,,0:28 / 10:38
M57NmccfZxA,English (United States) - Captions,,0:29 / 10:38
M57NmccfZxA,English (United States) - Captions,"- Ronnie, what we got?",0:29 / 10:38
M57NmccfZxA,English (United States) - Captions,"- Ronnie, what we got?",0:30 / 10:38
M57NmccfZxA,English (United States) - Captions,"- We got units headed out there now, EMS and fire.",0:30 / 10:38
M57NmccfZxA,English (United States) - Captions,"- We got units headed out there now, EMS and fire.",0:31 / 10:38
M57NmccfZxA,English (United States) - Captions,"- We got units headed out there now, EMS and fire.",0:32 / 10:38
M57NmccfZxA,English (United States) - Captions,- Where abouts?,0:33 / 10:38
M57NmccfZxA,English (United States) - Captions,- I think out by Walker's farm.,0:34 / 10:38
M57NmccfZxA,English (United States) - Captions,- I think out by Walker's farm.,0:35 / 10:38
M57NmccfZxA,English (United States) - Captions,[radio static playing] [people screaming],0:36 / 10:38
M57NmccfZxA,English (United States) - Captions,[radio static playing] [people screaming],0:37 / 10:38
M57NmccfZxA,English (United States) - Captions,[radio static playing] [people screaming],0:38 / 10:38
M57NmccfZxA,English (United States) - Captions,[radio static playing] [people screaming],0:39 / 10:38
