"video_id","min_timecode","max_timecode","text.user","text.auto"
"MPMJin0BTqE","00:00:00","00:00:01","",""
"MPMJin0BTqE","00:00:02","00:00:04","- Spirit, your presence is getting weaker,","spirit your presence is getting weaker"
"MPMJin0BTqE","00:00:04","00:00:05","","[Music]"
"MPMJin0BTqE","00:00:10","00:00:14","This video was brought to you by The Great Courses Plus.","this video was brought to you by the"
"MPMJin0BTqE","00:00:14","00:00:16","","great courses plus thanks"
"MPMJin0BTqE","00:00:17","00:00:19","Thanks to this sponsorship, we are able to make a donation","to this sponsorship we are able to make a donation"
"MPMJin0BTqE","00:00:20","00:00:23","to the work of Cheyney McKnight of Not Your Mama's History.","to the work of cheney mcknight of not your mama's"
"MPMJin0BTqE","00:00:27","00:00:29","","history"
"MPMJin0BTqE","00:00:30","00:00:33","Spirits, knock three times.","spirits knock three times"
"MPMJin0BTqE","00:00:34","00:00:35","(light knocking)","knock"
"MPMJin0BTqE","00:00:35","00:00:37","Knock three times.","spirits knock three times knock three times"
"MPMJin0BTqE","00:00:38","00:00:40","Knock three times.","knock three times"
"MPMJin0BTqE","00:00:41","00:00:45","♪ Knock three times on the ceiling if you want me ♪","knock three times knock three times on the ceiling if you want"
"MPMJin0BTqE","00:00:46","00:00:47","","me twice"
"MPMJin0BTqE","00:00:48","00:00:52","♪ Twice on the pipe if the answer is no ♪","on the pipe if the answer is no"
"MPMJin0BTqE","00:00:53","00:00:55","Finally, i have been fighting for a dawn","finally i have been fighting for a dawn"
"MPMJin0BTqE","00:00:56","00:00:57","featuring Tony Orlando opener","featuring tony orlando opener on"
"MPMJin0BTqE","00:00:58","00:00:59","on this channel for a long time.","this channel for a long time you"
"MPMJin0BTqE","00:00:59","00:01:01","You all have no idea what i went through.","all have no idea what i went through"
"MPMJin0BTqE","00:01:02","00:01:03","","today"
"MPMJin0BTqE","00:01:04","00:01:05","Today you've come to hear a story,","you've come to hear a story"
"MPMJin0BTqE","00:01:06","00:01:09","a story that begins about 180 years ago","a story that begins about 180 years ago in a little"
"MPMJin0BTqE","00:01:09","00:01:11","in a little farmhouse in Hydesville, New York,","farmhouse in hydesville new york"
"MPMJin0BTqE","00:01:12","00:01:15","where two sisters learned to talk to the dead,","where two sisters learned to talk to the dead where two sisters learned to talk to the dead"
"MPMJin0BTqE","00:01:16","00:01:18","(rapid speaking)","what"
"MPMJin0BTqE","00:01:19","00:01:19","(rapid speaking)","no"
"MPMJin0BTqE","00:01:20","00:01:22","No, they weren't sisters like the Kardashians.","they were sisters like the kardashians are you kidding"
"MPMJin0BTqE","00:01:22","00:01:23","- [Female] re you kidding me?","me"
"MPMJin0BTqE","00:01:24","00:01:26","- Well actually, they were sort of like the Kardashians.","well actually they were sort of like the kardashians"
"MPMJin0BTqE","00:01:27","00:01:27","- [Female] Oh my god!","oh my god as"
"MPMJin0BTqE","00:01:28","00:01:30","- As I was saying, it's 1848 and the Fox sisters,","i was saying it's 1848 and the fox sisters"
"MPMJin0BTqE","00:01:31","00:01:34","11-year old Kate and 14-year old Maggie were awakened","11 year old kate and 14 year old maggie were awakened in"
"MPMJin0BTqE","00:01:34","00:01:38","in the night by strange thuds and knocking sounds.","the night by strange thuds and knocking sounds the"
"MPMJin0BTqE","00:01:39","00:01:42","The Fox family had been hearing the knocking noises","fox family had been hearing the knocking noises or"
"MPMJin0BTqE","00:01:42","00:01:45","or rappings as they called them, for some time.","wrappings as they called them for some time wrappings as they called them for some time as the story"
"MPMJin0BTqE","00:01:46","00:01:48","As the story goes, on this particular March night,","goes on this particular time as the story goes on this particular march night the girls"
"MPMJin0BTqE","00:01:49","00:01:51","the girls tried communicating with the source","tried communicating with the source of the strange"
"MPMJin0BTqE","00:01:52","00:01:52","of the strange noises.","noises"
"MPMJin0BTqE","00:01:53","00:01:56","Something seemed to be consciously responding","something seemed to be consciously responding to"
"MPMJin0BTqE","00:01:56","00:01:59","to Maggie and Kate's requests and questions.","maggie and kate's requests and questions"
"MPMJin0BTqE","00:01:59","00:02:02","When they asked to count five,","when they asked to count five they"
"MPMJin0BTqE","00:02:02","00:02:05","they heard five loud knocks in response.","heard five loud knocks in response"
"MPMJin0BTqE","00:02:05","00:02:08","And when Maggie asked, ""If you are an injured spirit,","and when maggie asked if you are an injured spirit"
"MPMJin0BTqE","00:02:09","00:02:11","manifest it by three raps!""","manifest it by three raps"
"MPMJin0BTqE","00:02:12","00:02:12","They heard (three raps).","they"
"MPMJin0BTqE","00:02:13","00:02:15","","heard"
"MPMJin0BTqE","00:02:16","00:02:19","Over the next few weeks, news of the young girls","over the next few weeks news of the young girls who could"
"MPMJin0BTqE","00:02:19","00:02:21","who could communicate with the spirits","communicate with the spirits of the dead"
"MPMJin0BTqE","00:02:21","00:02:22","of the dead spread quickly.","spread"
"MPMJin0BTqE","00:02:23","00:02:26","Members of the press descended on the Hydesville farmhouse","quickly members of the press descended on the hydesville farmhouse"
"MPMJin0BTqE","00:02:27","00:02:30","looking for answers from the girls and their ghost.","looking for answers from the girls and their ghosts to escape"
"MPMJin0BTqE","00:02:30","00:02:33","To escape these crowds, Kate and Maggie were sent","these crowds kate and maggie were sent to live with"
"MPMJin0BTqE","00:02:33","00:02:36","to live with their older sister in Rochester, New York.","their older sister in rochester new york"
"MPMJin0BTqE","00:02:37","00:02:40","At the time, Rochester was a hub of social,","at the time rochester was a hub of social political and"
"MPMJin0BTqE","00:02:40","00:02:42","political, and cultural movements.","cultural movements eventually"
