video_id,lang,text,timecode
MPiILYNStd8,English,,0:00 / 3:49
MPiILYNStd8,English,,0:01 / 3:49
MPiILYNStd8,English,,0:02 / 3:49
MPiILYNStd8,English,,0:03 / 3:49
MPiILYNStd8,English,​ ​ ​ ​Subtitle Effects by 123happily​ ​ ​ ​ ​ ​ ​Subtitle Effects by 123happily​ ​ ​,0:04 / 3:49
MPiILYNStd8,English,​ ​ ​ ​Subtitle Effects by 123happily​ ​ ​ ​ ​ ​ ​Subtitle Effects by 123happily​ ​ ​,0:05 / 3:49
MPiILYNStd8,English,​ ​ ​ ​Subtitle Effects by 123happily​ ​ ​ ​ ​ ​ ​Subtitle Effects by 123happily​ ​ ​,0:06 / 3:49
MPiILYNStd8,English,​ ​ ​ ​Subtitle Effects by 123happily​ ​ ​ ​ ​ ​ ​Subtitle Effects by 123happily​ ​ ​,0:07 / 3:49
MPiILYNStd8,English,​ ​ ​ ​Subtitle Effects by 123happily​ ​ ​ ​ ​ ​ ​Subtitle Effects by 123happily​ ​ ​,0:08 / 3:49
MPiILYNStd8,English,,0:09 / 3:49
MPiILYNStd8,English,,0:10 / 3:49
MPiILYNStd8,English,,0:11 / 3:49
MPiILYNStd8,English,,0:12 / 3:49
MPiILYNStd8,English,,0:13 / 3:49
MPiILYNStd8,English,,0:14 / 3:49
MPiILYNStd8,English,,0:15 / 3:49
MPiILYNStd8,English,,0:16 / 3:49
MPiILYNStd8,English,,0:17 / 3:49
MPiILYNStd8,English,,0:18 / 3:49
MPiILYNStd8,English,,0:19 / 3:49
MPiILYNStd8,English,,0:20 / 3:49
MPiILYNStd8,English,,0:21 / 3:49
MPiILYNStd8,English,,0:22 / 3:49
MPiILYNStd8,English,,0:23 / 3:49
MPiILYNStd8,English,,0:24 / 3:49
MPiILYNStd8,English,,0:25 / 3:49
MPiILYNStd8,English,,0:26 / 3:49
MPiILYNStd8,English,,0:27 / 3:49
MPiILYNStd8,English,,0:28 / 3:49
MPiILYNStd8,English,,0:29 / 3:49
MPiILYNStd8,English,,0:30 / 3:49
MPiILYNStd8,English,,0:31 / 3:49
MPiILYNStd8,English,,0:32 / 3:49
MPiILYNStd8,English,,0:33 / 3:49
MPiILYNStd8,English,,0:34 / 3:49
MPiILYNStd8,English,,0:35 / 3:49
MPiILYNStd8,English,,0:36 / 3:49
MPiILYNStd8,English,,0:37 / 3:49
MPiILYNStd8,English,,0:38 / 3:49
MPiILYNStd8,English,,0:39 / 3:49
MPiILYNStd8,English,,0:40 / 3:49
MPiILYNStd8,English,,0:41 / 3:49
MPiILYNStd8,English,,0:42 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""The only thing that works in this world...""​ ​ ​ ​ ​ ​ ​Technoblade: ""The only thing that works in this world...""​ ​ ​",0:42 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""The only thing that works in this world...""​ ​ ​ ​ ​ ​ ​Technoblade: ""The only thing that works in this world...""​ ​ ​",0:43 / 3:49
MPiILYNStd8,English,,0:44 / 3:49
MPiILYNStd8,English,,0:45 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""...is that you treat others...""​ ​ ​ ​ ​ ​ ​Technoblade: ""...is that you treat others...""​ ​ ​",0:45 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""...is that you treat others...""​ ​ ​ ​ ​ ​ ​Technoblade: ""...is that you treat others...""​ ​ ​",0:46 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""...as they treat you.""​ ​ ​ ​ ​ ​ ​Technoblade: ""...as they treat you.""​ ​ ​",0:47 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""...as they treat you.""​ ​ ​ ​ ​ ​ ​Technoblade: ""...as they treat you.""​ ​ ​",0:48 / 3:49
MPiILYNStd8,English,,0:48 / 3:49
MPiILYNStd8,English,,0:49 / 3:49
MPiILYNStd8,English,,0:50 / 3:49
MPiILYNStd8,English,,0:51 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""Those that have treated me with kindness,""​ ​ ​ ​ ​ ​ ​Technoblade: ""Those that have treated me with kindness,""​ ​ ​",0:52 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""Those that have treated me with kindness,""​ ​ ​ ​ ​ ​ ​Technoblade: ""Those that have treated me with kindness,""​ ​ ​",0:53 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""Those that have treated me with kindness,""​ ​ ​ ​ ​ ​ ​Technoblade: ""Those that have treated me with kindness,""​ ​ ​",0:54 / 3:49
MPiILYNStd8,English,,0:55 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""I will repay that kindness ten fold.""​ ​ ​ ​ ​ ​ ​Technoblade: ""I will repay that kindness ten fold.""​ ​ ​",0:56 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""I will repay that kindness ten fold.""​ ​ ​ ​ ​ ​ ​Technoblade: ""I will repay that kindness ten fold.""​ ​ ​",0:57 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""I will repay that kindness ten fold.""​ ​ ​ ​ ​ ​ ​Technoblade: ""I will repay that kindness ten fold.""​ ​ ​",0:58 / 3:49
MPiILYNStd8,English,,0:58 / 3:49
MPiILYNStd8,English,,0:59 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""And those...""​ ​ ​ ​ ​ ​ ​Technoblade: ""And those...""​ ​ ​ ​ ​ ​ ​Technoblade: ""And those...""​ ​ ​ ​ ​ ​ ​Technoblade: ""And those...""​ ​ ​",0:59 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""And those...""​ ​ ​ ​ ​ ​ ​Technoblade: ""And those...""​ ​ ​",1:00 / 3:49
MPiILYNStd8,English,,1:01 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""...that treat me with injustice!""​ ​ ​ ​ ​ ​ ​Technoblade: ""...that treat me with injustice!""​ ​ ​",1:02 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""...that treat me with injustice!""​ ​ ​ ​ ​ ​ ​Technoblade: ""...that treat me with injustice!""​ ​ ​",1:03 / 3:49
MPiILYNStd8,English,,1:04 / 3:49
MPiILYNStd8,English,,1:05 / 3:49
MPiILYNStd8,English,,1:06 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""That use me.""​ ​ ​ ​ ​ ​ ​Technoblade: ""That use me.""​ ​ ​",1:07 / 3:49
MPiILYNStd8,English,,1:08 / 3:49
MPiILYNStd8,English,,1:09 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""That hunt me down.""​ ​ ​ ​ ​ ​ ​Technoblade: ""That hunt me down.""​ ​ ​",1:10 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""That hurt my friends!""​ ​ ​ ​ ​ ​ ​Technoblade: ""That hurt my friends!""​ ​ ​",1:11 / 3:49
MPiILYNStd8,English,,1:12 / 3:49
MPiILYNStd8,English,,1:13 / 3:49
MPiILYNStd8,English,,1:14 / 3:49
MPiILYNStd8,English,,1:15 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""I shall repay that injustice​ ​ ​ ​ ​ ​a thousand times over.""​ ​ ​ ​ ​ ​ ​Technoblade: ""I shall repay that injustice​ ​ ​ ​ ​ ​a thousand times over.""​ ​ ​",1:16 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""I shall repay that injustice​ ​ ​ ​ ​ ​a thousand times over.""​ ​ ​ ​ ​ ​ ​Technoblade: ""I shall repay that injustice​ ​ ​ ​ ​ ​a thousand times over.""​ ​ ​",1:17 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Technoblade: ""I shall repay that injustice​ ​ ​ ​ ​ ​a thousand times over.""​ ​ ​ ​ ​ ​ ​Technoblade: ""I shall repay that injustice​ ​ ​ ​ ​ ​a thousand times over.""​ ​ ​",1:18 / 3:49
MPiILYNStd8,English,,1:19 / 3:49
MPiILYNStd8,English,,1:20 / 3:49
MPiILYNStd8,English,,1:21 / 3:49
MPiILYNStd8,English,,1:22 / 3:49
MPiILYNStd8,English,,1:23 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Tubbo: ""Hey, Big Q!""​ ​ ​ ​ ​ ​ ​Tubbo: ""Hey, Big Q!""​ ​ ​",1:23 / 3:49
MPiILYNStd8,English,,1:24 / 3:49
MPiILYNStd8,English,,1:25 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Tubbo: ""Look what I found.""​ ​ ​ ​ ​ ​ ​Tubbo: ""Look what I found.""​ ​ ​",1:25 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Tubbo: ""Look what I found.""​ ​ ​ ​ ​ ​ ​Tubbo: ""Look what I found.""​ ​ ​",1:26 / 3:49
MPiILYNStd8,English,,1:26 / 3:49
MPiILYNStd8,English,,1:27 / 3:49
MPiILYNStd8,English,,1:28 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Quackity: ""So the plan is simple.""​ ​ ​ ​ ​ ​ ​Quackity: ""So the plan is simple.""​ ​ ​",1:29 / 3:49
MPiILYNStd8,English,,1:30 / 3:49
MPiILYNStd8,English,,1:31 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Quackity: ""We find.""​ ​ ​ ​ ​ ​ ​Quackity: ""We find.""​ ​ ​",1:31 / 3:49
MPiILYNStd8,English,,1:32 / 3:49
MPiILYNStd8,English,"​ ​ ​ ​Quackity: ""And we kill Technoblade.""​ ​ ​ ​ ​ ​ ​Quackity: ""And we kill Technoblade.""​ ​ ​",1:33 / 3:49
MPiILYNStd8,English,,1:34 / 3:49
MPiILYNStd8,English,,1:35 / 3:49
MPiILYNStd8,English,,1:36 / 3:49
