"video_id","min_timecode","max_timecode","text.user","text.auto"
"OWdYj6FgbvQ","00:00:03","00:00:05","",""
"OWdYj6FgbvQ","00:00:06","00:00:07","- Hi everyone, I'm Maddie Ziegler","hi everyone i'm maddie ziegler and today"
"OWdYj6FgbvQ","00:00:07","00:00:09","and today I'm gonna be taking you","i'm going to be taking you through my everyday"
"OWdYj6FgbvQ","00:00:09","00:00:10","through my everyday skincare routine","skincare"
"OWdYj6FgbvQ","00:00:11","00:00:13","and a fun graphic eye I've been doing recently.","routine and a fun graphic i have been doing recently first"
"OWdYj6FgbvQ","00:00:14","00:00:15","First, I'm just gonna go in with my cleanser.","i'm just going to go in with"
"OWdYj6FgbvQ","00:00:16","00:00:18","This is Silver Clarifying Wash from Sonya Dakar","my cleanser this is a silver clarifying wash from sony japar"
"OWdYj6FgbvQ","00:00:19","00:00:21","and I'm just gonna lather that over my skin.","and i'm just going to lather that over my skin"
"OWdYj6FgbvQ","00:00:22","00:00:26","","next"
"OWdYj6FgbvQ","00:00:26","00:00:28","Next, I'm gonna go in with this exfoliator.","i'm going to go in with this exfoliator"
"OWdYj6FgbvQ","00:00:29","00:00:31","So this is either gonna be super satisfying","so this is either going to be super satisfying"
"OWdYj6FgbvQ","00:00:32","00:00:34","or really gross to you, but it's gonna take off","or like really gross to you but it's going to take off all of my dead"
"OWdYj6FgbvQ","00:00:34","00:00:35","all of my dead skin.","skin"
"OWdYj6FgbvQ","00:00:35","00:00:37","","growing"
"OWdYj6FgbvQ","00:00:37","00:00:40","Growing up, I've always had really clear skin","up i've always had really clear skin until"
"OWdYj6FgbvQ","00:00:40","00:00:43","until about, I wanna say, three years ago,","about i want to say three years ago i"
"OWdYj6FgbvQ","00:00:43","00:00:46","I started heavily breaking out and now my skin","started heavily breaking out and now my skin has"
"OWdYj6FgbvQ","00:00:46","00:00:49","has drastically changed from pretty normal","drastically changed from pretty normal"
"OWdYj6FgbvQ","00:00:49","00:00:51","to really sensitive.","to really sensitive"
"OWdYj6FgbvQ","00:00:51","00:00:54","",""
"OWdYj6FgbvQ","00:00:54","00:00:57","All of my dead skin has come up.","all of my dead skin has come up"
"OWdYj6FgbvQ","00:00:58","00:01:00","So now it will create a nicer layer","so now it will create a nicer layer for"
"OWdYj6FgbvQ","00:01:00","00:01:02","for when I put the makeup on.","when i put the makeup on"
"OWdYj6FgbvQ","00:01:03","00:01:04","I'll do it maybe two to three times a week.","i'll do it maybe two to three times a week because"
"OWdYj6FgbvQ","00:01:05","00:01:06","Because my skin is so sensitive,","my skin is so sensitive i try"
"OWdYj6FgbvQ","00:01:06","00:01:08","I try not to overdo it with my products.","not to overdo it with my products"
"OWdYj6FgbvQ","00:01:09","00:01:11","","next i'm"
"OWdYj6FgbvQ","00:01:11","00:01:14","Next, I'm gonna go in with this facial essence.","gonna go in with this facial essence i"
"OWdYj6FgbvQ","00:01:14","00:01:17","I actually picked this product up in Japan.","actually picked this product up in japan makeup shopping"
"OWdYj6FgbvQ","00:01:17","00:01:20","Makeup shopping and skincare shopping is my ultimate heaven","and skincare shopping is my ultimate heaven and"
"OWdYj6FgbvQ","00:01:20","00:01:23","and that's probably my favorite thing to do ever.","that's probably my favorite thing to do ever so"
"OWdYj6FgbvQ","00:01:23","00:01:25","So I just take it into my hand.","i just take it into my hand i probably just"
"OWdYj6FgbvQ","00:01:25","00:01:27","I probably just do about a couple drops.","do about a couple drops"
"OWdYj6FgbvQ","00:01:28","00:01:29","And this is one of those things where you kind of","and this is one of those things where you kind of have to"
"OWdYj6FgbvQ","00:01:29","00:01:31","have to press it into your skin","like press it into your"
"OWdYj6FgbvQ","00:01:32","00:01:34","to really make sure you get it in there.","skin to really make sure you get it in there"
"OWdYj6FgbvQ","00:01:34","00:01:37","","now i'm"
"OWdYj6FgbvQ","00:01:37","00:01:41","Now I'm gonna go in with this acne treatment face oil.","going to go in with this acne treatment face oil"
"OWdYj6FgbvQ","00:01:42","00:01:44","So I just do literally just a whole pump.","so i just do literally just a whole pump like"
"OWdYj6FgbvQ","00:01:45","00:01:45","Like that.","that"
"OWdYj6FgbvQ","00:01:45","00:01:48","",""
"OWdYj6FgbvQ","00:01:49","00:01:53","There's no fragrance, it's just like a really clean smell,","there's no like fragrance it's just like a really clean smell which i love"
"OWdYj6FgbvQ","00:01:54","00:01:56","","[Music] smell which i love [Music] i'm"
"OWdYj6FgbvQ","00:01:57","00:01:59","I'm prone to breaking out most on my forehead,","prone to breaking out most of my forehead i'm prone to breaking out most of my forehead but these"
"OWdYj6FgbvQ","00:01:59","00:02:02","but these two little guys decided to show up","two little guys decided to show up to"
"OWdYj6FgbvQ","00:02:03","00:02:05","to the party today. [laughs]","the party today i don't know why"
"OWdYj6FgbvQ","00:02:06","00:02:08","They weren't invited, but they're here anyway.","they weren't invited but they're here anyway i started"
"OWdYj6FgbvQ","00:02:08","00:02:11","I started doing skincare at such a young age","doing skincare at such a young age only"
"OWdYj6FgbvQ","00:02:11","00:02:13","only because I started competitive dancing","because i started competitive dancing"
"OWdYj6FgbvQ","00:02:14","00:02:15","at the age of four or five.","at the age of four or five"
"OWdYj6FgbvQ","00:02:16","00:02:19","At that age, I was already wearing false lashes,","at that age i was already wearing false lashes red"
"OWdYj6FgbvQ","00:02:19","00:02:22","red lips, rhinestones, all of the above.","lips rhinestones all of the above so i"
"OWdYj6FgbvQ","00:02:22","00:02:25","So I had to really make sure I was treating my skin.","had to really make sure i was treating my skin and yeah"
"OWdYj6FgbvQ","00:02:25","00:02:27","And yeah, I'm super disciplined","i'm super disciplined to"
"OWdYj6FgbvQ","00:02:27","00:02:28","to having a skin care routine.","having skincare routine i never"
"OWdYj6FgbvQ","00:02:28","00:02:31","I never forget, even if I'm ready to go to sleep,","forget even if i'm like ready to go to sleep i always will make"
"OWdYj6FgbvQ","00:02:32","00:02:33","I always will make sure I do it before I sleep","sure i do it before i sleep"
"OWdYj6FgbvQ","00:02:34","00:02:36","because I'm dedicated to making my skin","because i'm dedicated to making"
"OWdYj6FgbvQ","00:02:37","00:02:38","as best as it can be.","my skin as best as it can be now"
"OWdYj6FgbvQ","00:02:39","00:02:41","Now that that's kind of absorbed into my skin,","that that's kind of absorbed into my skin i'm"
"OWdYj6FgbvQ","00:02:42","00:02:44","I'm gonna move on to my moisturizer.","gonna move on to my moisturizer"
"OWdYj6FgbvQ","00:02:45","00:02:46","So this product is amazing,","so this product is"
"OWdYj6FgbvQ","00:02:47","00:02:48","you can get it basically anywhere.","amazing you can get it basically anywhere you"
"OWdYj6FgbvQ","00:02:49","00:02:50","You can get it at a natural food store.","can get it at a natural food store it's the"
"OWdYj6FgbvQ","00:02:50","00:02:53","It's the Skin Food and this honestly","skin food and this honestly is so"
"OWdYj6FgbvQ","00:02:53","00:02:56","is so nice and really good for my sensitive skin.","nice and really good for my sensitive skin"
"OWdYj6FgbvQ","00:02:57","00:02:58","It works really well with me.","it works really well with me"
"OWdYj6FgbvQ","00:02:58","00:03:01","So I use about that much.","so i use about that"
"OWdYj6FgbvQ","00:03:02","00:03:03","I'm very obsessed with moisturizer","much i'm very obsessed with moisturizer"
"OWdYj6FgbvQ","00:03:04","00:03:04","and keeping my skin hydrated,","and keeping my skin hydrated"
"OWdYj6FgbvQ","00:03:05","00:03:07","so maybe I did a little too much,","so maybe i did a little too much but"
"OWdYj6FgbvQ","00:03:08","00:03:12","but it's okay because I always take my moisturizer","it's okay because i always take my moisturizer down to"
"OWdYj6FgbvQ","00:03:12","00:03:14","down to my neck and chest.","my neck and"
"OWdYj6FgbvQ","00:03:15","00:03:18","","chest"
"OWdYj6FgbvQ","00:03:19","00:03:23","Okay, now I'm going to move in to this product.","okay now i'm going to move in to this product this is"
"OWdYj6FgbvQ","00:03:23","00:03:24","This is the Omega oil.","the omega oil"
"OWdYj6FgbvQ","00:03:25","00:03:27","It really just helps even out my skin tone,","it really just helps even out my skin"
