video_id,lang,text,timecode
OZbCRN3C_Hs,English (United Kingdom),,0:00 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:01 / 7:20
OZbCRN3C_Hs,English (United Kingdom), BAND PLAYS: God Save The Queen,0:02 / 7:20
OZbCRN3C_Hs,English (United Kingdom), BAND PLAYS: God Save The Queen,0:03 / 7:20
OZbCRN3C_Hs,English (United Kingdom), BAND PLAYS: God Save The Queen,0:04 / 7:20
OZbCRN3C_Hs,English (United Kingdom), BAND PLAYS: God Save The Queen,0:05 / 7:20
OZbCRN3C_Hs,English (United Kingdom), BAND PLAYS: God Save The Queen,0:06 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:07 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:08 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:09 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:10 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:11 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:12 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:13 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:14 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:15 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:16 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:17 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:18 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:19 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:20 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:21 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:22 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:23 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:24 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:25 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:26 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:27 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:28 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:29 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:30 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:31 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:32 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:33 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:34 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:35 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:36 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:37 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:38 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:39 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:40 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:41 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:42 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:43 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:44 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:45 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:46 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:47 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:48 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:49 / 7:20
OZbCRN3C_Hs,English (United Kingdom)," Every year, we herald the coming of   Christmas by turning on the lights.",0:50 / 7:20
OZbCRN3C_Hs,English (United Kingdom)," Every year, we herald the coming of   Christmas by turning on the lights.",0:51 / 7:20
OZbCRN3C_Hs,English (United Kingdom)," Every year, we herald the coming of   Christmas by turning on the lights.",0:52 / 7:20
OZbCRN3C_Hs,English (United Kingdom)," Every year, we herald the coming of   Christmas by turning on the lights.",0:53 / 7:20
OZbCRN3C_Hs,English (United Kingdom)," Every year, we herald the coming of   Christmas by turning on the lights.",0:54 / 7:20
OZbCRN3C_Hs,English (United Kingdom),,0:55 / 7:20
OZbCRN3C_Hs,English (United Kingdom), And light does more than   create a festive mood.,0:56 / 7:20
OZbCRN3C_Hs,English (United Kingdom), And light does more than   create a festive mood.,0:57 / 7:20
OZbCRN3C_Hs,English (United Kingdom), And light does more than   create a festive mood.,0:58 / 7:20
OZbCRN3C_Hs,English (United Kingdom), Light brings hope.,0:59 / 7:20
OZbCRN3C_Hs,English (United Kingdom), Light brings hope.,1:00 / 7:20
