"video_id","min_timecode","max_timecode","text.user","text.auto"
"Ooga5KqtkMo","00:00:00","00:00:00","VOTE FOR THE STIMULUS RELIEF","are following"
"Ooga5KqtkMo","00:00:01","00:00:03","BILL TONIGHT ON THE ""CBS","some breaking news right now miami heat player under fire"
"Ooga5KqtkMo","00:00:04","00:00:04","O'DONNELL AT 6:30 AT 6:00.","for using anti-semitic"
"Ooga5KqtkMo","00:00:05","00:00:08",">>> WE'RE FOLLOWING BREAKING","slur while playing a video game and the recording"
"Ooga5KqtkMo","00:00:09","00:00:13","PLAYER UNDER FIRE FOR USING","of it has gone viral let's get to cbs4 sports anchor jim berry with the latest"
"Ooga5KqtkMo","00:00:13","00:00:14","ANTISEMITIC SLUR WHILE PLAYING","on the video"
"Ooga5KqtkMo","00:00:15","00:00:15","A VIDEO GAME AND THE RECORDING","and the fallout jim"
"Ooga5KqtkMo","00:00:15","00:00:18","OF IT HAS GONE VIRAL.","all right elliot here's the story myers linda was playing a game"
"Ooga5KqtkMo","00:00:19","00:00:19","BERRY WITH THE LATEST ON THE","on twitch"
"Ooga5KqtkMo","00:00:20","00:00:23","FALL OUT.","a live stream video game network when he cut loose with a stream of profanities during"
"Ooga5KqtkMo","00:00:24","00:00:25","PLAYING A GAME ON TWITCH, A","his playful but obscene commentary"
"Ooga5KqtkMo","00:00:25","00:00:28","LIVE STREAM VIDEO GAME WHEN HE","the heat player uttered one word which might jeopardize"
"Ooga5KqtkMo","00:00:28","00:00:30","CUT LOOSE WITH A STREAM OF","his standing on the team might jeopardize his standing on the team"
"Ooga5KqtkMo","00:00:31","00:00:33","PROFANITIES DURING HIS PLAYFUL,","let's go"
"Ooga5KqtkMo","00:00:35","00:00:39","ONE WORD WHICH MIGHT JEOPARDIZE","i just dropped it on my head"
"Ooga5KqtkMo","00:00:40","00:00:43","","anyways well leonard's spout of obscenities"
"Ooga5KqtkMo","00:00:43","00:00:45","HIS STANDING ON THE TEAM.","came while he was playing the call of"
"Ooga5KqtkMo","00:00:46","00:00:48",">> I JUST DROPPED IT ON MY HEAD","duty war game the heat center is out for the rest of the season recovering"
"Ooga5KqtkMo","00:00:49","00:00:49","[ BLEEP ].","from shoulder surgery"
"Ooga5KqtkMo","00:00:49","00:00:53",">>> HIS SPOUT CAME WHILE HE WAS","leonard who played in just three games this season signed a two-year deal worth 19.5"
"Ooga5KqtkMo","00:00:54","00:00:54","PLAYING CALL OF DUTY WAR GAME,","million dollars in november"
"Ooga5KqtkMo","00:00:55","00:00:59","SHOULDER SURGERY, PLAYED JUST","in the nba playoff bubble in orlando you might recall leonard was the"
"Ooga5KqtkMo","00:00:59","00:01:03","THREE GAMES A SEASON SIGNED A","only heat player to stand while teammates kneeled during the national anthem"
"Ooga5KqtkMo","00:01:04","00:01:04","DEAL IN NOVEMBER, IN ORLANDO,","leonard said"
"Ooga5KqtkMo","00:01:04","00:01:05","YOU MIGHT RECALL, LEONARD WAS","then he fully supported the"
"Ooga5KqtkMo","00:01:05","00:01:08","THE ONLY HEAT PLAYER TO STAND","black lives matter movement but stood out of respect to his brother"
"Ooga5KqtkMo","00:01:09","00:01:09","WHILE TEAMMATES KNEELED DURING","who was in the military"
"Ooga5KqtkMo","00:01:10","00:01:10","SAYS HE FULLY SUPPORTED THE","the heat hold"
"Ooga5KqtkMo","00:01:11","00:01:13","BLACK LIVES MATTER MOVEMENT BUT","an option on whether or not to bring linder back for next season"
"Ooga5KqtkMo","00:01:14","00:01:14","STOOD OUT OF RESPECT TO HIS","now the heater were aware"
"Ooga5KqtkMo","00:01:14","00:01:15","MILITARY.","of what he said the team"
"Ooga5KqtkMo","00:01:16","00:01:19","THE HEAT HOLD AN OPTION WHETHER","is reviewing the video the nba is also looking into it a spokesman saying that"
"Ooga5KqtkMo","00:01:19","00:01:23","FOR NEXT SEASON.","the league unequivocally condemns all forms of hate speech and there is this late"
"Ooga5KqtkMo","00:01:23","00:01:24","THE TEAM IS REVIEWING THE","report that"
"Ooga5KqtkMo","00:01:24","00:01:28","VIDEO, THE NBA IS LOOKING INTO","leonard's gaming sponsorship has just been canceled if and when there"
"Ooga5KqtkMo","00:01:29","00:01:30","LEAGUE CONDEMNS ALL FORMS OF","is more reaction we'll let you know i'm jim berry"
"Ooga5KqtkMo","00:01:31","00:01:31","HATE SPEECH, THERE WAS THIS","cbs4 sports elliott"
"Ooga5KqtkMo","00:01:32","00:01:32","",""
