"video_id","min_timecode","max_timecode","text.user","text.auto"
"PUtk3ryShOo","00:00:00","00:01:21","","[Music] [Music] [Music] [Applause] [Music] [Music] hello"
"PUtk3ryShOo","00:01:22","00:01:25","Hello and welcome to a very special Unpacked!","and welcome to a very special impact"
"PUtk3ryShOo","00:01:26","00:01:26","",""
"PUtk3ryShOo","00:01:26","00:01:31","Over the last decade, we at Samsung have pioneered","over the last decade we as samsung have pioneered"
"PUtk3ryShOo","00:01:31","00:01:34","countless exciting mobile experiences.","countless exciting mobile experiences"
"PUtk3ryShOo","00:01:34","00:01:37","New hardware, new software, new ways","new hardware new software new"
"PUtk3ryShOo","00:01:38","00:01:40","to stay connected and give you the freedom","ways to stay connected and give you the freedom"
"PUtk3ryShOo","00:01:41","00:01:43","to live your life to the fullest.","to live your life to the fullest"
"PUtk3ryShOo","00:01:44","00:01:46","With all of our mobile innovations,","with all of our mobile innovations and"
"PUtk3ryShOo","00:01:47","00:01:49","and so many more industry-leading technologies,","so many more industry leading technologies"
"PUtk3ryShOo","00:01:50","00:01:52","we have reinvented yet another category:","we have reinvented industry leading technologies we have reinvented yet another category"
"PUtk3ryShOo","00:01:53","00:01:54","the personal computer!","the personal computer"
"PUtk3ryShOo","00:01:55","00:01:55","","yet another category the personal computer"
"PUtk3ryShOo","00:01:56","00:01:59","Today, I’m so proud to introduce you","today i am so proud to introduce you to the next"
"PUtk3ryShOo","00:01:59","00:02:01","to the next evolution of the PC:","evolution of the pc"
"PUtk3ryShOo","00:02:02","00:02:02","",""
"PUtk3ryShOo","00:02:03","00:02:05","the new line of Galaxy Books.","the new rhino galaxy books"
"PUtk3ryShOo","00:02:06","00:02:06","",""
"PUtk3ryShOo","00:02:07","00:02:10","True mobile computing for the connected world!","true mobile computing for the connected world"
"PUtk3ryShOo","00:02:11","00:02:11","","when we set"
"PUtk3ryShOo","00:02:11","00:02:13","When we set out to reimagine","out to re-imagine a new"
"PUtk3ryShOo","00:02:13","00:02:15","a new mobile computing experience,","mobile computing experience"
"PUtk3ryShOo","00:02:16","00:02:18","we asked ourselves a single question:","we asked ourselves a single question"
"PUtk3ryShOo","00:02:19","00:02:19","","why can't"
"PUtk3ryShOo","00:02:19","00:02:22","Why can’t laptops be more like smartphones?","laptops be more like smartphones"
"PUtk3ryShOo","00:02:23","00:02:25","The answer was right in front of us.","the answer was right in front of us"
"PUtk3ryShOo","00:02:26","00:02:29","Mobility, connectivity, continuity.","mobility connectivity continuity"
"PUtk3ryShOo","00:02:30","00:02:31","","performance"
"PUtk3ryShOo","00:02:31","00:02:35","Performance on the go, ultra-vivid displays and","on the go ultraviolet displays performance on the go ultraviolet displays and seamless"
"PUtk3ryShOo","00:02:35","00:02:38","seamless integration with your devices.","integration with your devices"
"PUtk3ryShOo","00:02:38","00:02:38","",""
"PUtk3ryShOo","00:02:39","00:02:41","Everything that has always been","everything that has always been at"
"PUtk3ryShOo","00:02:41","00:02:44","at the core of the Galaxy experience.","a core of the galaxy experience"
"PUtk3ryShOo","00:02:44","00:02:45","","and"
"PUtk3ryShOo","00:02:46","00:02:49","And now, we’ve brought all of that to the PC:","now we've brought all of that to the pc"
"PUtk3ryShOo","00:02:50","00:02:50","","the latest"
"PUtk3ryShOo","00:02:50","00:02:54","the latest addition to the incredible Galaxy ecosystem.","addition to the incredible galaxy ecosystem"
"PUtk3ryShOo","00:02:55","00:02:55","","the galaxy"
"PUtk3ryShOo","00:02:56","00:02:59","The Galaxy Books are ultra-light – and ultra-mighty.","books are ultra light and ultra mighty"
"PUtk3ryShOo","00:03:00","00:03:05","As thin as a smartphone, but as powerful as a PC.","as thin as a smartphone but as powerful as a pc they"
"PUtk3ryShOo","00:03:05","00:03:07","They have boundless connectivity,","have boundaries but as powerful as a pc they have boundaries connectivity"
"PUtk3ryShOo","00:03:08","00:03:10","so that you always have the freedom","so then you always have the freedom to"
"PUtk3ryShOo","00:03:11","00:03:13","to set your own hours, wherever you go.","set your own hours wherever you go"
"PUtk3ryShOo","00:03:14","00:03:17","And they are a window into your Galaxy","and there are a window into your galaxy perfectly"
"PUtk3ryShOo","00:03:17","00:03:20","– perfectly designed for seamless use","designed for seamless use"
"PUtk3ryShOo","00:03:20","00:03:24","across all of your favorite devices.","across all of your favorite devices and"
"PUtk3ryShOo","00:03:25","00:03:26","And, for the very first time,","for the very first time"
"PUtk3ryShOo","00:03:27","00:03:31","flawless integration across Android and Windows.","flores integration across android and windows"
"PUtk3ryShOo","00:03:32","00:03:34","The result of open collaboration","the result of open collaboration"
"PUtk3ryShOo","00:03:35","00:03:38","with long-standing partners to provide","with long-standing partners to provide the best"
"PUtk3ryShOo","00:03:38","00:03:40","the best connected experience.","connected experience"
"PUtk3ryShOo","00:03:41","00:03:41","",""
"PUtk3ryShOo","00:03:42","00:03:43","You’ll hear more about the collaboration","you'll hear more about the collaboration"
"PUtk3ryShOo","00:03:44","00:03:47","behind the new Galaxy Books in a few minutes.","behind the new galaxy books in a few minutes"
"PUtk3ryShOo","00:03:48","00:03:50","But first, here’s Stephanie,","but first here's stephanie to tell"
"PUtk3ryShOo","00:03:50","00:03:52","to tell you more about all the ways","you more about all the ways"
"PUtk3ryShOo","00:03:53","00:03:56","that the Galaxy brand is changing the world.","that the galaxy brand is changing the world"
"PUtk3ryShOo","00:03:56","00:03:59","","thanks tien"
"PUtk3ryShOo","00:04:00","00:04:03","So let’s talk about the Samsung Galaxy approach","so let's talk about the samsung galaxy approach"
"PUtk3ryShOo","00:04:03","00:04:05","to meaningful innovation","to meaningful innovation samsung galaxy approach to meaningful innovation and how"
"PUtk3ryShOo","00:04:05","00:04:06","– And how we can help enrich","we can help enrich"
"PUtk3ryShOo","00:04:07","00:04:08","people’s lives through technology…","people's lives through technology and"
"PUtk3ryShOo","00:04:09","00:04:09","and empower them to create","empower"
"PUtk3ryShOo","00:04:10","00:04:12","a more open and collaborative world.","them to create a more open and collaborative world"
"PUtk3ryShOo","00:04:12","00:04:14","Meaningful innovation means","meaningful innovation means we have"
"PUtk3ryShOo","00:04:14","00:04:15","we have to overcome the barriers","to overcome"
"PUtk3ryShOo","00:04:16","00:04:19","that stand in the way of people’s passions... progress...","the barriers that stand in the way of people's passions progress"
"PUtk3ryShOo","00:04:20","00:04:21","and pursuit of a better future...","and pursuit of a better future"
"PUtk3ryShOo","00:04:22","00:04:22","","we need"
"PUtk3ryShOo","00:04:23","00:04:23","We need to innovate for a world","to innovate"
"PUtk3ryShOo","00:04:24","00:04:26","that’s open in every way,","for a world that's open in every way so"
"PUtk3ryShOo","00:04:26","00:04:29","so people could be the best versions of themselves.","people could be the best versions of themselves a world"
"PUtk3ryShOo","00:04:29","00:04:31","A world where they don’t have to compromise","where they don't have to compromise a world where they don't have to compromise"
"PUtk3ryShOo","00:04:32","00:04:33","who they are or what they believe in","who they are or what they believe in"
"PUtk3ryShOo","00:04:34","00:04:35","to achieve their dreams.","to achieve their dreams and"
"PUtk3ryShOo","00:04:35","00:04:38","And they expect a mobile experience that matches up.","they expect a mobile experience that matches up"
"PUtk3ryShOo","00:04:39","00:04:42","They want technology that translates vision into reality.","they want technology that translates vision into reality"
"PUtk3ryShOo","00:04:43","00:04:46","And this has always been the spirit of Samsung Galaxy.","and this has always been the spirit of samsung galaxy"
"PUtk3ryShOo","00:04:47","00:04:48","When we wanted to give people","when we wanted to give people more"
"PUtk3ryShOo","00:04:48","00:04:50","more freedom to express themselves,","freedom to express themselves"
"PUtk3ryShOo","00:04:51","00:04:53","we designed the S Pen and the Galaxy Note.","we designed the s pen and the galaxy note"
"PUtk3ryShOo","00:04:54","00:04:54","","and"
"PUtk3ryShOo","00:04:54","00:04:56","And to offer new levels of versatility...","to offer new levels of versatility"
"PUtk3ryShOo","00:04:57","00:04:58","we revolutionized the smartphone category","we revolutionized the smartphone"
"PUtk3ryShOo","00:04:59","00:05:00","with the Galaxy Fold.","category with the galaxy"
"PUtk3ryShOo","00:05:01","00:05:02","But Galaxy is more than","fold but galaxy"
"PUtk3ryShOo","00:05:03","00:05:04","just game changing technology","is more than just game changing technology"
"PUtk3ryShOo","00:05:04","00:05:06","— it’s about empowering experiences","it's about empowering experiences"
"PUtk3ryShOo","00:05:07","00:05:09","without limitations.","without limitations we believe"
"PUtk3ryShOo","00:05:09","00:05:10","We believe in giving people the flexibility","in giving people the"
"PUtk3ryShOo","00:05:11","00:05:14","to connect with devices, platforms, and brands","flexibility to connect with devices platforms and brands on"
"PUtk3ryShOo","00:05:15","00:05:15","on their own terms.","their own terms"
"PUtk3ryShOo","00:05:16","00:05:16","",""
"PUtk3ryShOo","00:05:16","00:05:19","Now we’re bringing our open-world mindset and","now we're bringing our open world mindset and the"
"PUtk3ryShOo","00:05:20","00:05:21","the latest innovation to a category that’s","latest innovation to a"
"PUtk3ryShOo","00:05:22","00:05:24","ready for a bold new chapter:","category that's ready for a bold new chapter"
"PUtk3ryShOo","00:05:24","00:05:26","personal computers.","personal computers with"
"PUtk3ryShOo","00:05:26","00:05:29","With so many people working and learning remotely...","so many people working and learning remotely"
"PUtk3ryShOo","00:05:29","00:05:32","PCs have taken on a bigger role in our lives","pcs have taken on a bigger role in our lives"
"PUtk3ryShOo","00:05:33","00:05:35","— yet we’re still using technology designed for","yet we're still using technology designed"
"PUtk3ryShOo","00:05:36","00:05:38","the old rules of work and play.","for the old rules of work and play so as"
"PUtk3ryShOo","00:05:38","00:05:39","So... as TM just mentioned,","tm just mentioned"
"PUtk3ryShOo","00:05:39","00:05:41","we found ourselves wondering…","we found ourselves wondering"
"PUtk3ryShOo","00:05:42","00:05:44","‘why can’t laptops be more like smartphones?’","why can't laptops be more like smartphones"
"PUtk3ryShOo","00:05:45","00:05:47","After all, smartphones are ready for anything.","after all smartphones are ready for anything"
"PUtk3ryShOo","00:05:48","00:05:50","They pack high-end performance in a design","they pack high-end performance in a design that's"
"PUtk3ryShOo","00:05:50","00:05:53","that’s thin, lightweight and totally portable.","thin lightweight and totally portable you can"
"PUtk3ryShOo","00:05:53","00:05:54","You can connect to the internet,","connect to the internet"
"PUtk3ryShOo","00:05:54","00:05:57","with or without WiFi, 24/7.","with or without wi-fi 24 7 share"
"PUtk3ryShOo","00:05:57","00:06:00","Share photos and files in an instant.","photos and files in an instant"
"PUtk3ryShOo","00:06:00","00:06:02","All with a full-day battery","all with a full day battery that"
"PUtk3ryShOo","00:06:02","00:06:04","that can keep up with your life.","can keep up with your life"
"PUtk3ryShOo","00:06:05","00:06:07","We’re bringing what people love most about their smartphones","we're bringing what people love most about their smartphones"
"PUtk3ryShOo","00:06:08","00:06:09","to a conventional laptop experience...","to a conventional laptop experience"
"PUtk3ryShOo","00:06:10","00:06:13","so you can communicate, collaborate, and innovate,","so you can communicate collaborate and innovate wherever"
"PUtk3ryShOo","00:06:14","00:06:14","wherever you are.","you are because"
"PUtk3ryShOo","00:06:14","00:06:16","Because when we eliminate the barriers","when we eliminate the barriers that"
"PUtk3ryShOo","00:06:17","00:06:17","that stand in our way,","stand in"
"PUtk3ryShOo","00:06:18","00:06:21","we discover new paths and possibilities.","our way we discover new paths and possibilities"
"PUtk3ryShOo","00:06:21","00:06:21","",""
"PUtk3ryShOo","00:06:22","00:06:24","Life opens up with Galaxy.","life opens up with galaxy"
"PUtk3ryShOo","00:06:24","00:06:25","Back to you TM","back to utm"
"PUtk3ryShOo","00:06:26","00:06:27","",""
"PUtk3ryShOo","00:06:27","00:06:29","Thank you, Stephanie.","thank you stephanie"
"PUtk3ryShOo","00:06:29","00:06:32","At Samsung, we have always believed that","at samsung we have always believed"
"PUtk3ryShOo","00:06:33","00:06:36","the best innovations only happen with teamwork.","that the best innovations only happen with the teamwork"
"PUtk3ryShOo","00:06:37","00:06:37","",""
"PUtk3ryShOo","00:06:38","00:06:40","In order to innovate, you have to collaborate.","in order to innovate you have to collaborate"
"PUtk3ryShOo","00:06:40","00:06:41","","nowhere"
"PUtk3ryShOo","00:06:42","00:06:43","Nowhere is that more true than","is there more true"
"PUtk3ryShOo","00:06:43","00:06:46","with our new mobile computing experience","than with our new mobile computing"
"PUtk3ryShOo","00:06:47","00:06:50","– the result of an amazing collaboration","experience the result of an amazing collaboration"
"PUtk3ryShOo","00:06:51","00:06:54","between Samsung, Intel, and Microsoft.","between samsung intel and microsoft"
