"video_id","min_timecode","max_timecode","text.user","text.auto"
"QPUjV7epJqE","00:00:00","00:00:04","",""
"QPUjV7epJqE","00:00:05","00:00:06","Big dreams and big thrills","big dreams and big"
"QPUjV7epJqE","00:00:14","00:00:16","Can you believe it's only the beginning?","thrills"
"QPUjV7epJqE","00:00:17","00:00:19","I think I finally know what love is","[Music]"
"QPUjV7epJqE","00:00:24","00:00:25","Soldiers knocking doors down yelling out","knocking doors"
"QPUjV7epJqE","00:00:26","00:00:31","Forget about the war-like times, my heart shouts","down"
"QPUjV7epJqE","00:00:32","00:00:34","Run and fly","[Music]"
"QPUjV7epJqE","00:00:37","00:00:41","Here we go here we go satellite radio","satellite"
"QPUjV7epJqE","00:00:41","00:00:43","Let my future know","radio"
"QPUjV7epJqE","00:00:43","00:00:46","Over the whole world and KWANGYA","[Music]"
"QPUjV7epJqE","00:00:55","00:00:57","Don't worry about anything","together"
"QPUjV7epJqE","00:01:11","00:01:11","",""
"QPUjV7epJqE","00:01:19","00:01:22","When we put our hands together above the boundary, we are so alike","[Music]"
"QPUjV7epJqE","00:01:29","00:01:34","Fire fire like a small flower that has survived in the thick smoke","[Music]"
"QPUjV7epJqE","00:01:34","00:01:39","I'm loving you in the same time","foreign"
"QPUjV7epJqE","00:01:40","00:01:43","Here we go here we go, spread your wings","here we go here we"
"QPUjV7epJqE","00:01:51","00:01:54","I've been waiting for you, welcome","go"
"QPUjV7epJqE","00:01:54","00:01:56","Wherever it may be, we’re coming together","[Music]"
"QPUjV7epJqE","00:02:05","00:02:07","Ey we’re on the way up we’re on the way up","hello"
"QPUjV7epJqE","00:02:16","00:02:19","Will I be able to keep walking unwavering","too"
"QPUjV7epJqE","00:02:19","00:02:21","Too many cynical Entropy that went backwards","many skinny"
"QPUjV7epJqE","00:02:42","00:02:46","Peace isn't so far away, I only wished and wanted for the painful time to be short","who you gonna"
"QPUjV7epJqE","00:02:48","00:02:50","I've been waiting for you, welcome","be"
"QPUjV7epJqE","00:02:51","00:02:53","Wherever it may be, we’re coming together","[Music]"
"QPUjV7epJqE","00:03:02","00:03:04","Ey we’re on the way up we’re on the way up","together"
"QPUjV7epJqE","00:03:11","00:03:14","",""
"QPUjV7epJqE","00:03:16","00:03:17","",""
"QPUjV7epJqE","00:03:20","00:03:22","Just keep looking to the stars","just keep looking to the"
"QPUjV7epJqE","00:03:23","00:03:25","",""
"QPUjV7epJqE","00:03:27","00:03:28","",""
"QPUjV7epJqE","00:03:30","00:03:52","","stage hello future um"
