video_id,lang,text,timecode
R0Ug47zFoAo,English - en,,0:00 / 4:59
R0Ug47zFoAo,English - en,,0:01 / 4:59
R0Ug47zFoAo,English - en,AND ARE TAKING NO VOTES FOR,0:01 / 4:59
R0Ug47zFoAo,English - en,AND ARE TAKING NO VOTES FOR,0:02 / 4:59
R0Ug47zFoAo,English - en,AND ARE TAKING NO VOTES FOR,0:03 / 4:59
R0Ug47zFoAo,English - en,AND ARE TAKING NO VOTES FOR,0:04 / 4:59
R0Ug47zFoAo,English - en,AND ARE TAKING NO VOTES FOR,0:05 / 4:59
R0Ug47zFoAo,English - en,AND ARE TAKING NO VOTES FOR,0:06 / 4:59
R0Ug47zFoAo,English - en,GRANTED.,0:07 / 4:59
R0Ug47zFoAo,English - en,>>> MORE THAN 85 MILLION BALLOTS,0:08 / 4:59
R0Ug47zFoAo,English - en,>>> MORE THAN 85 MILLION BALLOTS,0:09 / 4:59
R0Ug47zFoAo,English - en,>>> MORE THAN 85 MILLION BALLOTS,0:10 / 4:59
R0Ug47zFoAo,English - en,>>> MORE THAN 85 MILLION BALLOTS,0:11 / 4:59
R0Ug47zFoAo,English - en,HAVE BEEN COST.,0:11 / 4:59
R0Ug47zFoAo,English - en,HAVE BEEN COST.,0:12 / 4:59
R0Ug47zFoAo,English - en,JUST THREE DAYS TO GO.,0:12 / 4:59
R0Ug47zFoAo,English - en,JUST THREE DAYS TO GO.,0:13 / 4:59
R0Ug47zFoAo,English - en,JUST THREE DAYS TO GO.,0:14 / 4:59
R0Ug47zFoAo,English - en,JUST THREE DAYS TO GO.,0:15 / 4:59
R0Ug47zFoAo,English - en,"SOME STATES COUNTERLY, OTHERS",0:15 / 4:59
R0Ug47zFoAo,English - en,"SOME STATES COUNTERLY, OTHERS",0:16 / 4:59
R0Ug47zFoAo,English - en,WAIT UNTIL ELECTION DAY.,0:17 / 4:59
R0Ug47zFoAo,English - en,WAIT UNTIL ELECTION DAY.,0:18 / 4:59
R0Ug47zFoAo,English - en,WAIT UNTIL ELECTION DAY.,0:19 / 4:59
R0Ug47zFoAo,English - en,MANY ARE WONDERING WHEN WILL WE,0:19 / 4:59
R0Ug47zFoAo,English - en,MANY ARE WONDERING WHEN WILL WE,0:20 / 4:59
R0Ug47zFoAo,English - en,KNOW?,0:21 / 4:59
R0Ug47zFoAo,English - en,WE TURN TO NBC CORRESPONDENT,0:22 / 4:59
R0Ug47zFoAo,English - en,WE TURN TO NBC CORRESPONDENT,0:23 / 4:59
R0Ug47zFoAo,English - en,THIS MORNING.,0:24 / 4:59
R0Ug47zFoAo,English - en,THIS MORNING.,0:25 / 4:59
R0Ug47zFoAo,English - en,WE ALWAYS APPRECIATE YOUR,0:26 / 4:59
R0Ug47zFoAo,English - en,WE ALWAYS APPRECIATE YOUR,0:27 / 4:59
R0Ug47zFoAo,English - en,WE ALWAYS APPRECIATE YOUR,0:28 / 4:59
R0Ug47zFoAo,English - en,EXPERTISE ESPECIALLY WITH 72,0:28 / 4:59
R0Ug47zFoAo,English - en,EXPERTISE ESPECIALLY WITH 72,0:29 / 4:59
R0Ug47zFoAo,English - en,"HOURS TO GO, WE THINK YOU SHOULD",0:30 / 4:59
R0Ug47zFoAo,English - en,"HOURS TO GO, WE THINK YOU SHOULD",0:31 / 4:59
R0Ug47zFoAo,English - en,"HOURS TO GO, WE THINK YOU SHOULD",0:32 / 4:59
R0Ug47zFoAo,English - en,BE RESTING UP.,0:33 / 4:59
R0Ug47zFoAo,English - en,WHAT SHOULD FOLKS BE WATCHING,0:34 / 4:59
R0Ug47zFoAo,English - en,WHAT SHOULD FOLKS BE WATCHING,0:35 / 4:59
R0Ug47zFoAo,English - en,,0:36 / 4:59
R0Ug47zFoAo,English - en,FOR THIS TUESDAY NIGHT?,0:36 / 4:59
R0Ug47zFoAo,English - en,FOR THIS TUESDAY NIGHT?,0:37 / 4:59
R0Ug47zFoAo,English - en,WHAT IS THE FIRST PLACE YOU’LL,0:38 / 4:59
R0Ug47zFoAo,English - en,WHAT IS THE FIRST PLACE YOU’LL,0:39 / 4:59
R0Ug47zFoAo,English - en,BE LOOKING WHEN THE POLLS CLOSE.,0:39 / 4:59
R0Ug47zFoAo,English - en,BE LOOKING WHEN THE POLLS CLOSE.,0:40 / 4:59
R0Ug47zFoAo,English - en,BE LOOKING WHEN THE POLLS CLOSE.,0:41 / 4:59
R0Ug47zFoAo,English - en,>> FIRING UP OUR SCHEDULE.,0:42 / 4:59
R0Ug47zFoAo,English - en,>> FIRING UP OUR SCHEDULE.,0:43 / 4:59
R0Ug47zFoAo,English - en,>> FIRING UP OUR SCHEDULE.,0:44 / 4:59
R0Ug47zFoAo,English - en,YOU SEE A NUMBER OF STATES HERE.,0:45 / 4:59
R0Ug47zFoAo,English - en,YOU SEE A NUMBER OF STATES HERE.,0:46 / 4:59
R0Ug47zFoAo,English - en,YOU SEE A NUMBER OF STATES HERE.,0:47 / 4:59
R0Ug47zFoAo,English - en,GETTING THE FIRST VOTES OUT.,0:47 / 4:59
