video_id,lang,text,timecode
RGqG1efdTUk,English (United States),,0:00 / 20:04
RGqG1efdTUk,English (United States),,0:01 / 20:04
RGqG1efdTUk,English (United States),,0:02 / 20:04
RGqG1efdTUk,English (United States),,0:03 / 20:04
RGqG1efdTUk,English (United States),,0:04 / 20:04
RGqG1efdTUk,English (United States),,0:05 / 20:04
RGqG1efdTUk,English (United States),,0:06 / 20:04
RGqG1efdTUk,English (United States),,0:07 / 20:04
RGqG1efdTUk,English (United States),,0:08 / 20:04
RGqG1efdTUk,English (United States),,0:09 / 20:04
RGqG1efdTUk,English (United States),,0:10 / 20:04
RGqG1efdTUk,English (United States),,0:11 / 20:04
RGqG1efdTUk,English (United States),,0:12 / 20:04
RGqG1efdTUk,English (United States),Denise?,0:12 / 20:04
RGqG1efdTUk,English (United States),,0:13 / 20:04
RGqG1efdTUk,English (United States),,0:14 / 20:04
RGqG1efdTUk,English (United States),What are you doing in school so early?,0:15 / 20:04
RGqG1efdTUk,English (United States),,0:16 / 20:04
RGqG1efdTUk,English (United States),The students aren't supposed to be in school,0:16 / 20:04
RGqG1efdTUk,English (United States),The students aren't supposed to be in school,0:17 / 20:04
RGqG1efdTUk,English (United States),The students aren't supposed to be in school,0:18 / 20:04
RGqG1efdTUk,English (United States),Until their allocated timing,0:18 / 20:04
RGqG1efdTUk,English (United States),Until their allocated timing,0:19 / 20:04
RGqG1efdTUk,English (United States),,0:19 / 20:04
RGqG1efdTUk,English (United States),It's good to see you too Miss Sherly,0:20 / 20:04
RGqG1efdTUk,English (United States),It's good to see you too Miss Sherly,0:21 / 20:04
RGqG1efdTUk,English (United States),,0:22 / 20:04
RGqG1efdTUk,English (United States),You really don't have to worry about my allocated timing,0:22 / 20:04
RGqG1efdTUk,English (United States),You really don't have to worry about my allocated timing,0:23 / 20:04
RGqG1efdTUk,English (United States),You really don't have to worry about my allocated timing,0:24 / 20:04
RGqG1efdTUk,English (United States),I have been sitting in school for months,0:25 / 20:04
RGqG1efdTUk,English (United States),I have been sitting in school for months,0:26 / 20:04
RGqG1efdTUk,English (United States),,0:27 / 20:04
RGqG1efdTUk,English (United States),I mean,0:27 / 20:04
RGqG1efdTUk,English (United States),Apart from the zoom classes that we have,0:28 / 20:04
RGqG1efdTUk,English (United States),Apart from the zoom classes that we have,0:29 / 20:04
RGqG1efdTUk,English (United States),Apart from the zoom classes that we have,0:30 / 20:04
RGqG1efdTUk,English (United States),And the occasional tuition lessons outside of the school,0:30 / 20:04
RGqG1efdTUk,English (United States),And the occasional tuition lessons outside of the school,0:31 / 20:04
RGqG1efdTUk,English (United States),And the occasional tuition lessons outside of the school,0:32 / 20:04
RGqG1efdTUk,English (United States),I have actually been coming here every single day,0:33 / 20:04
RGqG1efdTUk,English (United States),I have actually been coming here every single day,0:34 / 20:04
RGqG1efdTUk,English (United States),Just waiting for school to reopen,0:34 / 20:04
RGqG1efdTUk,English (United States),Just waiting for school to reopen,0:35 / 20:04
RGqG1efdTUk,English (United States),Just waiting for school to reopen,0:36 / 20:04
RGqG1efdTUk,English (United States),,0:36 / 20:04
RGqG1efdTUk,English (United States),I am so excited,0:37 / 20:04
RGqG1efdTUk,English (United States),,0:38 / 20:04
RGqG1efdTUk,English (United States),,0:39 / 20:04
RGqG1efdTUk,English (United States),What are we going to learn today?,0:39 / 20:04
RGqG1efdTUk,English (United States),What are we going to learn today?,0:40 / 20:04
RGqG1efdTUk,English (United States),,0:40 / 20:04
RGqG1efdTUk,English (United States),Actually today is more about ,0:41 / 20:04
RGqG1efdTUk,English (United States),Actually today is more about ,0:42 / 20:04
RGqG1efdTUk,English (United States),Actually today is more about ,0:43 / 20:04
RGqG1efdTUk,English (United States),Getting back to the routine ,0:43 / 20:04
RGqG1efdTUk,English (United States),Getting back to the routine ,0:44 / 20:04
RGqG1efdTUk,English (United States),And getting everyone use to the new procedures,0:45 / 20:04
RGqG1efdTUk,English (United States),And getting everyone use to the new procedures,0:46 / 20:04
RGqG1efdTUk,English (United States),And getting everyone use to the new procedures,0:47 / 20:04
RGqG1efdTUk,English (United States),,0:47 / 20:04
RGqG1efdTUk,English (United States),I mean I also have some announcements to make,0:48 / 20:04
RGqG1efdTUk,English (United States),I mean I also have some announcements to make,0:49 / 20:04
RGqG1efdTUk,English (United States),But...,0:50 / 20:04
RGqG1efdTUk,English (United States),,0:50 / 20:04
RGqG1efdTUk,English (United States),Wait,0:51 / 20:04
RGqG1efdTUk,English (United States),Did you just say that you have been waiting here,0:51 / 20:04
RGqG1efdTUk,English (United States),Did you just say that you have been waiting here,0:52 / 20:04
RGqG1efdTUk,English (United States),Did you just say that you have been waiting here,0:53 / 20:04
RGqG1efdTUk,English (United States),For the past few months?,0:54 / 20:04
RGqG1efdTUk,English (United States),For the past few months?,0:55 / 20:04
RGqG1efdTUk,English (United States),,0:55 / 20:04
RGqG1efdTUk,English (United States),,0:56 / 20:04
RGqG1efdTUk,English (United States),,0:57 / 20:04
RGqG1efdTUk,English (United States),,0:58 / 20:04
RGqG1efdTUk,English (United States),,0:59 / 20:04
RGqG1efdTUk,English (United States),Yes,1:00 / 20:04
RGqG1efdTUk,English (United States),,1:01 / 20:04
RGqG1efdTUk,English (United States),That happens at 7:49am every morning,1:01 / 20:04
RGqG1efdTUk,English (United States),That happens at 7:49am every morning,1:02 / 20:04
RGqG1efdTUk,English (United States),That happens at 7:49am every morning,1:03 / 20:04
RGqG1efdTUk,English (United States),That happens at 7:49am every morning,1:04 / 20:04
RGqG1efdTUk,English (United States),,1:04 / 20:04
RGqG1efdTUk,English (United States),And,1:05 / 20:04
