video_id,lang,text,timecode
RXZy8BbMz_U,English,*TV powers on*,0:00 / 9:34
RXZy8BbMz_U,English,*TV powers on*,0:01 / 9:34
RXZy8BbMz_U,English,*TV powers on*,0:02 / 9:34
RXZy8BbMz_U,English,,0:02 / 9:34
RXZy8BbMz_U,English,,0:03 / 9:34
RXZy8BbMz_U,English,,0:04 / 9:34
RXZy8BbMz_U,English,,0:05 / 9:34
RXZy8BbMz_U,English,,0:06 / 9:34
RXZy8BbMz_U,English,,0:07 / 9:34
RXZy8BbMz_U,English,,0:08 / 9:34
RXZy8BbMz_U,English,,0:09 / 9:34
RXZy8BbMz_U,English,,0:10 / 9:34
RXZy8BbMz_U,English,*button click*,0:10 / 9:34
RXZy8BbMz_U,English,"-steady, use both hands at all times.",0:11 / 9:34
RXZy8BbMz_U,English,"-steady, use both hands at all times.",0:12 / 9:34
RXZy8BbMz_U,English,"-steady, use both hands at all times.",0:13 / 9:34
RXZy8BbMz_U,English,That's some expensive technology you're holding!,0:14 / 9:34
RXZy8BbMz_U,English,That's some expensive technology you're holding!,0:15 / 9:34
RXZy8BbMz_U,English,That's some expensive technology you're holding!,0:16 / 9:34
RXZy8BbMz_U,English,,0:16 / 9:34
RXZy8BbMz_U,English,,0:17 / 9:34
RXZy8BbMz_U,English,,0:18 / 9:34
RXZy8BbMz_U,English,"Attaboy! *laughs* Look at you, Mr. Director!",0:18 / 9:34
RXZy8BbMz_U,English,"Attaboy! *laughs* Look at you, Mr. Director!",0:19 / 9:34
RXZy8BbMz_U,English,"Attaboy! *laughs* Look at you, Mr. Director!",0:20 / 9:34
RXZy8BbMz_U,English,"Attaboy! *laughs* Look at you, Mr. Director!",0:21 / 9:34
RXZy8BbMz_U,English,"Attaboy! *laughs* Look at you, Mr. Director!",0:22 / 9:34
RXZy8BbMz_U,English,Mr. Big-Shot-Director over here!,0:22 / 9:34
RXZy8BbMz_U,English,Mr. Big-Shot-Director over here!,0:23 / 9:34
RXZy8BbMz_U,English,Mr. Big-Shot-Director over here!,0:24 / 9:34
RXZy8BbMz_U,English,"The next Steven Spielberg, goodness.",0:25 / 9:34
RXZy8BbMz_U,English,"The next Steven Spielberg, goodness.",0:26 / 9:34
RXZy8BbMz_U,English,"The next Steven Spielberg, goodness.",0:27 / 9:34
RXZy8BbMz_U,English,"Hon, come take a look, Jake's holding it like a professional.",0:28 / 9:34
RXZy8BbMz_U,English,"Hon, come take a look, Jake's holding it like a professional.",0:29 / 9:34
RXZy8BbMz_U,English,"Hon, come take a look, Jake's holding it like a professional.",0:30 / 9:34
RXZy8BbMz_U,English,"Hon, come take a look, Jake's holding it like a professional.",0:31 / 9:34
RXZy8BbMz_U,English,,0:31 / 9:34
RXZy8BbMz_U,English,,0:32 / 9:34
RXZy8BbMz_U,English,"Ohp, you're zooming in, bud.",0:33 / 9:34
