video_id,lang,text,timecode
RuP2FD1F6eQ,English (United States),Mrs. Trump: The President and I want to wish every,0:00 / 2:40
RuP2FD1F6eQ,English (United States),Mrs. Trump: The President and I want to wish every,0:01 / 2:40
RuP2FD1F6eQ,English (United States),Mrs. Trump: The President and I want to wish every,0:02 / 2:40
RuP2FD1F6eQ,English (United States),American a very merry Christmas.,0:02 / 2:40
RuP2FD1F6eQ,English (United States),American a very merry Christmas.,0:03 / 2:40
RuP2FD1F6eQ,English (United States),American a very merry Christmas.,0:04 / 2:40
RuP2FD1F6eQ,English (United States),American a very merry Christmas.,0:05 / 2:40
RuP2FD1F6eQ,English (United States),"The President: During this sacred season, Christians",0:06 / 2:40
RuP2FD1F6eQ,English (United States),"The President: During this sacred season, Christians",0:07 / 2:40
RuP2FD1F6eQ,English (United States),celebrate the greatest miracle in human history.,0:08 / 2:40
RuP2FD1F6eQ,English (United States),celebrate the greatest miracle in human history.,0:09 / 2:40
RuP2FD1F6eQ,English (United States),celebrate the greatest miracle in human history.,0:10 / 2:40
RuP2FD1F6eQ,English (United States),celebrate the greatest miracle in human history.,0:11 / 2:40
RuP2FD1F6eQ,English (United States),"More than 2,000 years ago, God sent his only begotten",0:11 / 2:40
RuP2FD1F6eQ,English (United States),"More than 2,000 years ago, God sent his only begotten",0:12 / 2:40
RuP2FD1F6eQ,English (United States),"More than 2,000 years ago, God sent his only begotten",0:13 / 2:40
RuP2FD1F6eQ,English (United States),"More than 2,000 years ago, God sent his only begotten",0:14 / 2:40
RuP2FD1F6eQ,English (United States),son to be with us.,0:15 / 2:40
RuP2FD1F6eQ,English (United States),son to be with us.,0:16 / 2:40
RuP2FD1F6eQ,English (United States),son to be with us.,0:17 / 2:40
RuP2FD1F6eQ,English (United States),An angel announced the birth of our lord and,0:17 / 2:40
RuP2FD1F6eQ,English (United States),An angel announced the birth of our lord and,0:18 / 2:40
RuP2FD1F6eQ,English (United States),An angel announced the birth of our lord and,0:19 / 2:40
RuP2FD1F6eQ,English (United States),savior to humble shepherds.,0:20 / 2:40
RuP2FD1F6eQ,English (United States),savior to humble shepherds.,0:21 / 2:40
RuP2FD1F6eQ,English (United States),"He said, I bring you good news that will cause great",0:22 / 2:40
RuP2FD1F6eQ,English (United States),"He said, I bring you good news that will cause great",0:23 / 2:40
RuP2FD1F6eQ,English (United States),"He said, I bring you good news that will cause great",0:24 / 2:40
RuP2FD1F6eQ,English (United States),"He said, I bring you good news that will cause great",0:25 / 2:40
RuP2FD1F6eQ,English (United States),"He said, I bring you good news that will cause great",0:26 / 2:40
RuP2FD1F6eQ,English (United States),joy for all of the people.,0:27 / 2:40
RuP2FD1F6eQ,English (United States),joy for all of the people.,0:28 / 2:40
RuP2FD1F6eQ,English (United States),"Today in the town of David, a savior has been",0:29 / 2:40
RuP2FD1F6eQ,English (United States),"Today in the town of David, a savior has been",0:30 / 2:40
RuP2FD1F6eQ,English (United States),"Today in the town of David, a savior has been",0:31 / 2:40
RuP2FD1F6eQ,English (United States),born to you.,0:31 / 2:40
RuP2FD1F6eQ,English (United States),born to you.,0:32 / 2:40
RuP2FD1F6eQ,English (United States),born to you.,0:33 / 2:40
RuP2FD1F6eQ,English (United States),"He is the Messiah, the Lord.",0:33 / 2:40
RuP2FD1F6eQ,English (United States),"He is the Messiah, the Lord.",0:34 / 2:40
RuP2FD1F6eQ,English (United States),You will find a baby wrapped in clothes and,0:35 / 2:40
RuP2FD1F6eQ,English (United States),You will find a baby wrapped in clothes and,0:36 / 2:40
RuP2FD1F6eQ,English (United States),You will find a baby wrapped in clothes and,0:37 / 2:40
RuP2FD1F6eQ,English (United States),lying in a manger.,0:38 / 2:40
RuP2FD1F6eQ,English (United States),lying in a manger.,0:39 / 2:40
RuP2FD1F6eQ,English (United States),lying in a manger.,0:40 / 2:40
RuP2FD1F6eQ,English (United States),At Christmas we thank God for sending us his son to,0:40 / 2:40
RuP2FD1F6eQ,English (United States),At Christmas we thank God for sending us his son to,0:41 / 2:40
RuP2FD1F6eQ,English (United States),At Christmas we thank God for sending us his son to,0:42 / 2:40
RuP2FD1F6eQ,English (United States),At Christmas we thank God for sending us his son to,0:43 / 2:40
RuP2FD1F6eQ,English (United States),At Christmas we thank God for sending us his son to,0:44 / 2:40
RuP2FD1F6eQ,English (United States),bring peace to our souls and joy to the world.,0:44 / 2:40
RuP2FD1F6eQ,English (United States),bring peace to our souls and joy to the world.,0:45 / 2:40
RuP2FD1F6eQ,English (United States),bring peace to our souls and joy to the world.,0:46 / 2:40
RuP2FD1F6eQ,English (United States),bring peace to our souls and joy to the world.,0:47 / 2:40
RuP2FD1F6eQ,English (United States),"Mrs. Trump: As you know, this Christmas is",0:48 / 2:40
RuP2FD1F6eQ,English (United States),"Mrs. Trump: As you know, this Christmas is",0:49 / 2:40
RuP2FD1F6eQ,English (United States),"Mrs. Trump: As you know, this Christmas is",0:50 / 2:40
RuP2FD1F6eQ,English (United States),different than years past.,0:50 / 2:40
RuP2FD1F6eQ,English (United States),different than years past.,0:51 / 2:40
RuP2FD1F6eQ,English (United States),different than years past.,0:52 / 2:40
RuP2FD1F6eQ,English (United States),We are battling a global pandemic that has affected,0:53 / 2:40
RuP2FD1F6eQ,English (United States),We are battling a global pandemic that has affected,0:54 / 2:40
RuP2FD1F6eQ,English (United States),We are battling a global pandemic that has affected,0:55 / 2:40
RuP2FD1F6eQ,English (United States),all of us.,0:55 / 2:40
RuP2FD1F6eQ,English (United States),all of us.,0:56 / 2:40
RuP2FD1F6eQ,English (United States),all of us.,0:57 / 2:40
RuP2FD1F6eQ,English (United States),"Yet through this great challenge, we have been",0:57 / 2:40
RuP2FD1F6eQ,English (United States),"Yet through this great challenge, we have been",0:58 / 2:40
RuP2FD1F6eQ,English (United States),"Yet through this great challenge, we have been",0:59 / 2:40
RuP2FD1F6eQ,English (United States),"Yet through this great challenge, we have been",1:00 / 2:40
RuP2FD1F6eQ,English (United States),inspired by the kindness and courage of citizens,1:00 / 2:40
RuP2FD1F6eQ,English (United States),inspired by the kindness and courage of citizens,1:01 / 2:40
RuP2FD1F6eQ,English (United States),inspired by the kindness and courage of citizens,1:02 / 2:40
RuP2FD1F6eQ,English (United States),inspired by the kindness and courage of citizens,1:03 / 2:40
RuP2FD1F6eQ,English (United States),inspired by the kindness and courage of citizens,1:04 / 2:40
RuP2FD1F6eQ,English (United States),across this country.,1:04 / 2:40
RuP2FD1F6eQ,English (United States),across this country.,1:05 / 2:40
RuP2FD1F6eQ,English (United States),Teachers have worked extraordinarily hard to,1:06 / 2:40
RuP2FD1F6eQ,English (United States),Teachers have worked extraordinarily hard to,1:07 / 2:40
