"video_id","min_timecode","max_timecode","text.user","text.auto"
"RuP2FD1F6eQ","00:00:00","00:00:02","Mrs. Trump: The President and I want to wish every","the president and i want to wish every american"
"RuP2FD1F6eQ","00:00:02","00:00:05","American a very merry Christmas.","a very merry christmas during"
"RuP2FD1F6eQ","00:00:06","00:00:07","The President: During this sacred season, Christians","the sacred season christians"
"RuP2FD1F6eQ","00:00:08","00:00:11","celebrate the greatest miracle in human history.","celebrate the greatest miracle in human history more than 2"
"RuP2FD1F6eQ","00:00:11","00:00:14","More than 2,000 years ago, God sent his only begotten","000 years ago god sent his only begotten"
"RuP2FD1F6eQ","00:00:15","00:00:17","son to be with us.","son to be with us an angel"
"RuP2FD1F6eQ","00:00:17","00:00:19","An angel announced the birth of our lord and","announced the birth of our lord and savior"
"RuP2FD1F6eQ","00:00:20","00:00:21","savior to humble shepherds.","to humble shepherds"
"RuP2FD1F6eQ","00:00:22","00:00:26","He said, I bring you good news that will cause great","he said i bring you good news that will cause great joy"
"RuP2FD1F6eQ","00:00:27","00:00:28","joy for all of the people.","for all of the people that will cause great joy for all of the people"
"RuP2FD1F6eQ","00:00:29","00:00:31","Today in the town of David, a savior has been","today in the town of david a savior has been born"
"RuP2FD1F6eQ","00:00:31","00:00:33","born to you.","to you he is the messiah the"
"RuP2FD1F6eQ","00:00:33","00:00:34","He is the Messiah, the Lord.","lord"
"RuP2FD1F6eQ","00:00:35","00:00:37","You will find a baby wrapped in clothes and","you will find a baby wrapped in clothes"
"RuP2FD1F6eQ","00:00:38","00:00:40","lying in a manger.","and lying in a manger at christmas"
"RuP2FD1F6eQ","00:00:40","00:00:44","At Christmas we thank God for sending us his son to","we thank god for sending us his son to bring peace"
"RuP2FD1F6eQ","00:00:44","00:00:47","bring peace to our souls and joy to the world.","to our souls and joy to the world"
"RuP2FD1F6eQ","00:00:48","00:00:50","Mrs. Trump: As you know, this Christmas is","as you know this christmas is different"
"RuP2FD1F6eQ","00:00:50","00:00:52","different than years past.","than years past we"
"RuP2FD1F6eQ","00:00:53","00:00:55","We are battling a global pandemic that has affected","are battling a global pandemic that has affected"
"RuP2FD1F6eQ","00:00:55","00:00:57","all of us.","all of us yet"
"RuP2FD1F6eQ","00:00:57","00:01:00","Yet through this great challenge, we have been","through this great challenge we have been inspired"
"RuP2FD1F6eQ","00:01:00","00:01:04","inspired by the kindness and courage of citizens","by the kindness and courage of citizens across this"
"RuP2FD1F6eQ","00:01:04","00:01:05","across this country.","country"
"RuP2FD1F6eQ","00:01:06","00:01:09","Teachers have worked extraordinarily hard to","teachers have worked extraordinary across this country teachers have worked extraordinary hard to keep our"
"RuP2FD1F6eQ","00:01:10","00:01:11","keep our children learning.","children learning"
"RuP2FD1F6eQ","00:01:11","00:01:15","Students have delivered groceries to elderly neighbors.","students have delivered groceries to elderly neighbors"
"RuP2FD1F6eQ","00:01:16","00:01:18","Communities have found new ways to stay connected","communities have found new ways to stay"
