video_id,lang,text,timecode
SABJyo1zCuQ,English,-Welcome to the 2020 E! People's Choice Awards!,0:00 / 5:02
SABJyo1zCuQ,English,-Welcome to the 2020 E! People's Choice Awards!,0:01 / 5:02
SABJyo1zCuQ,English,-Welcome to the 2020 E! People's Choice Awards!,0:02 / 5:02
SABJyo1zCuQ,English,-Welcome to the 2020 E! People's Choice Awards!,0:03 / 5:02
SABJyo1zCuQ,English,-Welcome to the 2020 E! People's Choice Awards!,0:04 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:04 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:05 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:06 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:07 / 5:02
SABJyo1zCuQ,English,You guys look amazing. How are you feeling tonight?,0:08 / 5:02
SABJyo1zCuQ,English,You guys look amazing. How are you feeling tonight?,0:09 / 5:02
SABJyo1zCuQ,English,You guys look amazing. How are you feeling tonight?,0:10 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:11 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:12 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:13 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:14 / 5:02
SABJyo1zCuQ,English,"This is literally my favorite show of the year, and not just because I've taken home",0:15 / 5:02
SABJyo1zCuQ,English,"This is literally my favorite show of the year, and not just because I've taken home",0:16 / 5:02
SABJyo1zCuQ,English,"This is literally my favorite show of the year, and not just because I've taken home",0:17 / 5:02
SABJyo1zCuQ,English,"This is literally my favorite show of the year, and not just because I've taken home",0:18 / 5:02
SABJyo1zCuQ,English,"a few of these trophies myself, but...",0:19 / 5:02
SABJyo1zCuQ,English,"a few of these trophies myself, but...",0:20 / 5:02
SABJyo1zCuQ,English,"a few of these trophies myself, but...",0:21 / 5:02
SABJyo1zCuQ,English,"a few of these trophies myself, but...",0:22 / 5:02
SABJyo1zCuQ,English,"a few of these trophies myself, but...",0:23 / 5:02
SABJyo1zCuQ,English,this is the only awards show decided entirely by the fans.,0:24 / 5:02
SABJyo1zCuQ,English,this is the only awards show decided entirely by the fans.,0:25 / 5:02
SABJyo1zCuQ,English,this is the only awards show decided entirely by the fans.,0:26 / 5:02
SABJyo1zCuQ,English,this is the only awards show decided entirely by the fans.,0:27 / 5:02
SABJyo1zCuQ,English,this is the only awards show decided entirely by the fans.,0:28 / 5:02
SABJyo1zCuQ,English,this is the only awards show decided entirely by the fans.,0:29 / 5:02
SABJyo1zCuQ,English,So every winner was chosen by you.,0:30 / 5:02
SABJyo1zCuQ,English,So every winner was chosen by you.,0:31 / 5:02
SABJyo1zCuQ,English,So every winner was chosen by you.,0:32 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:33 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:34 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:35 / 5:02
SABJyo1zCuQ,English,[ Cheers and applause ],0:36 / 5:02
SABJyo1zCuQ,English,"Oh, and, um, don't worry --",0:37 / 5:02
SABJyo1zCuQ,English,"Oh, and, um, don't worry --",0:38 / 5:02
SABJyo1zCuQ,English,"Oh, and, um, don't worry --",0:39 / 5:02
SABJyo1zCuQ,English,we made sure to count everyone in Pennsylvania's vote first.,0:40 / 5:02
SABJyo1zCuQ,English,we made sure to count everyone in Pennsylvania's vote first.,0:41 / 5:02
SABJyo1zCuQ,English,we made sure to count everyone in Pennsylvania's vote first.,0:42 / 5:02
SABJyo1zCuQ,English,we made sure to count everyone in Pennsylvania's vote first.,0:43 / 5:02
SABJyo1zCuQ,English,[ Laughter ],0:43 / 5:02
SABJyo1zCuQ,English,[ Laughter ],0:44 / 5:02
SABJyo1zCuQ,English,[ Laughter ],0:45 / 5:02
SABJyo1zCuQ,English,[ Laughter ],0:46 / 5:02
