"video_id","min_timecode","max_timecode","text.user","text.auto"
"SGBP3sG3a9Y","00:00:00","00:00:02","- Induction stove, haiyaa.","induction stove high"
"SGBP3sG3a9Y","00:00:02","00:00:03","",""
"SGBP3sG3a9Y","00:00:04","00:00:06","(upbeat music)","[Music]"
"SGBP3sG3a9Y","00:00:07","00:00:07","","hello"
"SGBP3sG3a9Y","00:00:07","00:00:10","Hello, niece and nephew it's Uncle Roger.","niece and nephew it's uncle roger uncle"
"SGBP3sG3a9Y","00:00:10","00:00:12","Uncle Roger hit 3 million subscribers,","roger hit 3 million subscribers"
"SGBP3sG3a9Y","00:00:13","00:00:15","thank you to all my niece and nephew,","thank you to all my niece and nephew and as"
"SGBP3sG3a9Y","00:00:15","00:00:18","and as promised I gonna make my egg fried rice today.","promised i'm gonna make my egg fire rice today"
"SGBP3sG3a9Y","00:00:19","00:00:20","This video is sponsored by Sasa,","this video is sponsored by salsa"
"SGBP3sG3a9Y","00:00:21","00:00:24","Uncle Roger favorite Indonesian seasoning brand.","uncle roger favorite indonesian seasoning brand for"
"SGBP3sG3a9Y","00:00:24","00:00:27","For this video, Uncle Roger back at Mei Mei","this video uncle roger back at maymay where"
"SGBP3sG3a9Y","00:00:28","00:00:29","where I got my first job.","i got my first job what what is vegan"
"SGBP3sG3a9Y","00:00:29","00:00:30","What is vegan?","like"
"SGBP3sG3a9Y","00:00:31","00:00:31","- Like no animal products.","no animal products"
"SGBP3sG3a9Y","00:00:32","00:00:33","- No animal product.","no animal product"
"SGBP3sG3a9Y","00:00:34","00:00:36","So you go your life just eating leaf?","you so you go your life just eat leaf this"
"SGBP3sG3a9Y","00:00:37","00:00:38","This is Mei Mei's boss, Liz.","is maymay's boss liz to get"
"SGBP3sG3a9Y","00:00:38","00:00:42","To get my job back I will impress you with my egg fried rice","my job back i will impass you with my egg fire rice but"
"SGBP3sG3a9Y","00:00:42","00:00:44","but first tell our viewer, what is it Mei Mei.","first tell our viewer what is mei mei"
"SGBP3sG3a9Y","00:00:45","00:00:47","- Mei Mei a Singaporean kopitiam.","um meimei is a singaporean kopitiyam"
"SGBP3sG3a9Y","00:00:47","00:00:49","So we do Singaporean coffee, tea","so we do singapore and coffee tea we specialize"
"SGBP3sG3a9Y","00:00:50","00:00:51","we specialize in Indonesian chicken rice.","in hananese chicken rice"
"SGBP3sG3a9Y","00:00:52","00:00:53","Nasi lemak, which I'm sure you're a fan of.","nazilamak which i'm sure you're a fan of you"
"SGBP3sG3a9Y","00:00:54","00:00:56","- You steal all the Malaysian food.","steal all the malaysian food"
"SGBP3sG3a9Y","00:00:57","00:00:59","Liz, I hear you have Michelin star.","list i hear you have michelin star"
"SGBP3sG3a9Y","00:00:59","00:01:00","Is that correct?","is that correct in my"
"SGBP3sG3a9Y","00:01:01","00:01:01","- In my last special","last question yeah at a michelin"
"SGBP3sG3a9Y","00:01:02","00:01:03","- Fuiyoh, how many Michelin star?","star how many michelin stars"
"SGBP3sG3a9Y","00:01:04","00:01:04","- One.","one just one"
"SGBP3sG3a9Y","00:01:05","00:01:05","- Just one?","uncle"
"SGBP3sG3a9Y","00:01:06","00:01:06","Uncle Gordon have 22.","gordon have 22"
"SGBP3sG3a9Y","00:01:07","00:01:07","Failure.","failure"
"SGBP3sG3a9Y","00:01:08","00:01:09","- Still more than you.","still more than you"
"SGBP3sG3a9Y","00:01:09","00:01:12","- Oh, haven't even start cooking, already got roasted.","haven't even start cooking already got roasted so i'm going to be"
"SGBP3sG3a9Y","00:01:12","00:01:14","- So I'm gonna be reviewing your egg fried rice.","reviewing your egg fried rice as soon"
"SGBP3sG3a9Y","00:01:15","00:01:16","I seen as you review so many others.","as you review so many others"
"SGBP3sG3a9Y","00:01:17","00:01:18","So I'm gonna be quite harsh on you.","it's going to be quite harsh on you hi"
"SGBP3sG3a9Y","00:01:18","00:01:21","- Haiyaa, so much pressure.","so much passion uncle roger"
"SGBP3sG3a9Y","00:01:21","00:01:24","Uncle Roger, not professional chef, I just home cook.","not professional chef i just home cooked now"
"SGBP3sG3a9Y","00:01:24","00:01:27","Now I gonna be judged by Michelin star chef.","i'm gonna be judge my michelin star chef"
"SGBP3sG3a9Y","00:01:27","00:01:28","",""
"SGBP3sG3a9Y","00:01:28","00:01:31","(upbeat music)","step one"
"SGBP3sG3a9Y","00:01:31","00:01:34","Step one, throw away your chili jam.","throw away your chili jam"
"SGBP3sG3a9Y","00:01:34","00:01:36","","this is not"
"SGBP3sG3a9Y","00:01:36","00:01:38","This is not Jamie Oliver cooking show.","jaime oliver cooking show please can"
"SGBP3sG3a9Y","00:01:39","00:01:40","Liz, can I have one of your knives?","i have one of your knives"
"SGBP3sG3a9Y","00:01:41","00:01:42","No, no, no.","no no no this is"
"SGBP3sG3a9Y","00:01:42","00:01:43","This is paring knife.","paring knife this is"
"SGBP3sG3a9Y","00:01:43","00:01:45","This not used for chopping.","not used for chopping this list tried"
"SGBP3sG3a9Y","00:01:45","00:01:46","This Liz try to trick me.","to trick me this"
"SGBP3sG3a9Y","00:01:46","00:01:48","This is more like it.","is more like it asian people"
"SGBP3sG3a9Y","00:01:48","00:01:50","Asian people when we cook, all we need is one knife.","when we cook all we need is one"
"SGBP3sG3a9Y","00:01:51","00:01:52","First step is garlic.","knife first step is garlic for"
"SGBP3sG3a9Y","00:01:52","00:01:55","For one portion of egg fried rice, at least five clove.","one portion of egg fire rice at least five cloves"
"SGBP3sG3a9Y","00:01:56","00:01:57","Asian people love garlic.","asian people love garlic we"
"SGBP3sG3a9Y","00:01:58","00:01:59","We treat garlic like we treat our children,","treat garlic like we treat our children"
