"video_id","min_timecode","max_timecode","text.user","text.auto"
"Sl19wcuh6lo","00:00:00","00:00:02","- Oh, no! (hair dryer blowing)","oh no"
"Sl19wcuh6lo","00:00:03","00:00:03","This could actually work.","this could actually"
"Sl19wcuh6lo","00:00:04","00:00:04","(hair dryer buzzing) Whoops!","work whoops"
"Sl19wcuh6lo","00:00:05","00:00:05","Gonna be a long day.","gonna be a long day"
"Sl19wcuh6lo","00:00:06","00:00:07","(chuckles) This looks kind of crazy.","this looks kind of crazy"
"Sl19wcuh6lo","00:00:08","00:00:08","This is very strange.","this is very strange"
"Sl19wcuh6lo","00:00:09","00:00:10","It's a great idea. (sighs)","it's a great idea see"
"Sl19wcuh6lo","00:00:10","00:00:11","See something new everyday, huh?","something new every day huh"
"Sl19wcuh6lo","00:00:11","00:00:13","I think this is one of the best things I've ever made.","i think this is one of the best things i've ever"
"Sl19wcuh6lo","00:00:14","00:00:17","(upbeat music as water flows)","made [Music]"
"Sl19wcuh6lo","00:00:18","00:00:19","","welcome back"
"Sl19wcuh6lo","00:00:19","00:00:20","Welcome back to ""Chef Out of Water"".","to chef out of"
"Sl19wcuh6lo","00:00:21","00:00:23","I'm Alexis, a chef who's always up for a challenge.","water i'm alexis the chef who's always up for a challenge"
"Sl19wcuh6lo","00:00:24","00:00:26","I've taken to you, internet, to see what appliance","i've taken to you internet to see what appliance"
"Sl19wcuh6lo","00:00:27","00:00:28","I should make a three-course meal with.","i should make a three course meal with i'll be tasting"
"Sl19wcuh6lo","00:00:29","00:00:29","I'll be tasting everything myself.","everything"
"Sl19wcuh6lo","00:00:30","00:00:31","So I hope it goes well.","myself so i hope it goes well let's see"
"Sl19wcuh6lo","00:00:32","00:00:32","Let's see what you've chosen.","what you've chosen"
"Sl19wcuh6lo","00:00:33","00:00:35","(drum roll)","[Music]"
"Sl19wcuh6lo","00:00:41","00:00:42","",""
"Sl19wcuh6lo","00:00:42","00:00:43","(screams)","i've had"
"Sl19wcuh6lo","00:00:43","00:00:45","I've had nightmares about this moment.","nightmares about this moment i've like had this"
"Sl19wcuh6lo","00:00:45","00:00:46","I've had this fear.","fear"
"Sl19wcuh6lo","00:00:47","00:00:49","I've known this in my heart that this was coming","i've known this in my heart that this was coming"
"Sl19wcuh6lo","00:00:49","00:00:51","but this is gonna be hard.","but this is gonna be hard look at this surface"
"Sl19wcuh6lo","00:00:51","00:00:53","Look at the surface area.","look at this surface area"
"Sl19wcuh6lo","00:00:54","00:00:55","(hair straightener snapping) I'll figure it out.","i'll figure it out i'll figure it out my"
"Sl19wcuh6lo","00:00:55","00:00:58","I'll figure it out, my confidence level is a three.","confidence level is a three figure it out my confidence level is a three"
"Sl19wcuh6lo","00:00:58","00:01:00","","[Music] three [Music]"
"Sl19wcuh6lo","00:01:00","00:01:01","(curling iron snapping) (water splashes)","first off i'm"
"Sl19wcuh6lo","00:01:01","00:01:04","First off, I'm wondering how hot all of these tools get?","wondering how hot all of these tools get you know"
"Sl19wcuh6lo","00:01:05","00:01:07","But a hair dryer, I can't imagine it gets very hot.","but a hair dryer i can't imagine it gets very hot"
"Sl19wcuh6lo","00:01:08","00:01:10","(bright music)","[Music] i can't imagine it gets very hot [Music]"
"Sl19wcuh6lo","00:01:11","00:01:12","140 degrees.","140 [Music] 140 degrees"
"Sl19wcuh6lo","00:01:13","00:01:14","There's not much you can do with that.","there's not much you can do with that"
"Sl19wcuh6lo","00:01:15","00:01:19","Curling iron gets between 200 and 300 degrees, usually.","curling iron gets between 200 and 300 degrees usually that"
"Sl19wcuh6lo","00:01:19","00:01:20","That feels a little more promising.","feels a little more promising"
"Sl19wcuh6lo","00:01:21","00:01:23","Okay, what about a hair straightener.","okay what about a hair straightener promising okay what about a hair straightener hair straighteners"
"Sl19wcuh6lo","00:01:23","00:01:25","Hair straightener is up to 450.","up to 450. straightener hair straighteners up to 450."
"Sl19wcuh6lo","00:01:26","00:01:28","I mean 450, we can do something with that, right?","i mean 450 we can do something with that right"
"Sl19wcuh6lo","00:01:29","00:01:30","My confidence level is actually rising.","my confidence level's actually rising i think"
"Sl19wcuh6lo","00:01:30","00:01:33","I think I'd put myself at maybe a six at this point.","i'd put myself at maybe a six at this point ideas"
"Sl19wcuh6lo","00:01:33","00:01:35","Ideas are starting to flow.","are starting to flow"
"Sl19wcuh6lo","00:01:37","00:01:39","I'm still feeling pretty nervous but I actually have a plan.","i'm still feeling pretty nervous but i actually have a plan"
"Sl19wcuh6lo","00:01:39","00:01:42","I'm gonna start backwards like I usually do with dessert.","i'm gonna start backwards like i usually do with dessert"
"Sl19wcuh6lo","00:01:42","00:01:44","I'm gonna make chocolate covered strawberries","i'm gonna make chocolate covered strawberries with a"
"Sl19wcuh6lo","00:01:44","00:01:45","with a magic shell.","magic shell"
"Sl19wcuh6lo","00:01:45","00:01:48","That sounds pretty simple, but I'm using hair tools","sounds pretty simple but i'm using hair tools"
"Sl19wcuh6lo","00:01:48","00:01:50","so we'll see how that works out.","so we'll see how that works out i had an idea"
"Sl19wcuh6lo","00:01:50","00:01:53","I have an idea that if I put some chocolate in a bowl","that if i put some chocolate in a bowl"
"Sl19wcuh6lo","00:01:54","00:01:55","and then put it over the hair straightener","and then put it over the hair straightener"
"Sl19wcuh6lo","00:01:55","00:01:58","and also use the hair dryer, the chocolate might melt.","and also use the hair dryer the chocolate might"
"Sl19wcuh6lo","00:01:59","00:02:00","(hair dryer blowing) Oh God.","melt oh god"
"Sl19wcuh6lo","00:02:00","00:02:03","","[Music]"
"Sl19wcuh6lo","00:02:04","00:02:04","Shoot!","shoot i'm"
"Sl19wcuh6lo","00:02:05","00:02:07","Let me see if just the hair dryer works.","gonna see if just the hair dryer works"
"Sl19wcuh6lo","00:02:10","00:02:12","(laughs)","it's"
"Sl19wcuh6lo","00:02:13","00:02:14","It's gonna be a long day.","gonna be a long day"
"Sl19wcuh6lo","00:02:15","00:02:17","(hair dryer blowing)","yes"
"Sl19wcuh6lo","00:02:17","00:02:19","Yes, this is gonna work, this is gonna work.","this is gonna work this is gonna work"
"Sl19wcuh6lo","00:02:20","00:02:22","(gasps) It's starting to melt, thank you.","starting to melt thank you"
"Sl19wcuh6lo","00:02:23","00:02:25","I'm gonna add a little bit of coconut oil.","i'm gonna add a little bit of coconut oil that's"
"Sl19wcuh6lo","00:02:25","00:02:27","That's how it gets that magic shell.","how it gets that magic shell"
"Sl19wcuh6lo","00:02:29","00:02:32","This is looking so beautiful.","this is looking so beautiful"
"Sl19wcuh6lo","00:02:32","00:02:34","Okay, I'm gonna grab some strawberries","okay i'm gonna grab some strawberries"
"Sl19wcuh6lo","00:02:34","00:02:37","and dip them, see what happens.","and dip them see what happens luckily"
"Sl19wcuh6lo","00:02:38","00:02:41","Luckily, these are very small strawberries, so.","these are very small strawberries so are very small strawberries so"
"Sl19wcuh6lo","00:02:41","00:02:43","","wow"
"Sl19wcuh6lo","00:02:45","00:02:48","I'm shocked, impressed, proud.","i'm shocked impressed proud"
"Sl19wcuh6lo","00:02:48","00:02:51","I mean, this might, this could actually work.","i mean this might like this could actually work"
"Sl19wcuh6lo","00:02:52","00:02:55","At this point, my confidence has really shot up.","at this point my confidence has really shot up"
"Sl19wcuh6lo","00:02:56","00:02:57","I feel like I'm an eight right now.","i feel like i'm an eight right now let's"
"Sl19wcuh6lo","00:02:57","00:02:59","Let's not get too crazy but I'm feeling good.","not get too crazy but i'm"
"Sl19wcuh6lo","00:03:00","00:03:03","And it dries so fast, that's the joy of a magic shell.","feeling good and it dries so fast that's the joy of a magic shell"
"Sl19wcuh6lo","00:03:03","00:03:04","(exhales deeply)","i"
"Sl19wcuh6lo","00:03:05","00:03:08","I assume the same thing is gonna work with white chocolate.","assume the same thing is going to work with white chocolate i don't know why it shouldn't"
"Sl19wcuh6lo","00:03:09","00:03:11","I think I'm just gonna do some little decorations,","i think i'm just going to do some like little decorations so i"
"Sl19wcuh6lo","00:03:12","00:03:13","so I need less chocolate.","need less decorations so i need less"
"Sl19wcuh6lo","00:03:17","00:03:19","","chocolate [Music] i think"
"Sl19wcuh6lo","00:03:19","00:03:20","I think it should work.","it should work"
"Sl19wcuh6lo","00:03:21","00:03:24","","polka dotted"
"Sl19wcuh6lo","00:03:24","00:03:25","Poker-dotted chocolate-covered strawberries","chocolate covered"
"Sl19wcuh6lo","00:03:26","00:03:27","made with a hair dryer.","strawberries made with a hair dryer"
"Sl19wcuh6lo","00:03:28","00:03:29","I'm gonna pop these in the fridge.","gonna pop these in the fridge"
"Sl19wcuh6lo","00:03:30","00:03:31","Move on to my next course.","move on to my next course"
"Sl19wcuh6lo","00:03:31","00:03:33","(water splashes) (bright music)","for my appetizer"
"Sl19wcuh6lo","00:03:33","00:03:35","For my appetizer course, I'm gonna make blini.","course i'm gonna make blini"
"Sl19wcuh6lo","00:03:35","00:03:37","They're like little Russian pancakes","through like little russian pancakes that get"
"Sl19wcuh6lo","00:03:38","00:03:39","that get creme fresh and smoked salmon,","creme fresh and smoked salmon"
"Sl19wcuh6lo","00:03:40","00:03:42","sometimes caviar, if you're really fancy.","sometimes caviar if you're really fancy and they're usually"
"Sl19wcuh6lo","00:03:42","00:03:43","And they're usually really small,","really small so i think"
"Sl19wcuh6lo","00:03:43","00:03:44","so I think that'll help me here.","that'll help me"
"Sl19wcuh6lo","00:03:45","00:03:47","But I'm gonna try to make them on the hair straightener.","here but i'm gonna try to make them on the hair straightener"
"Sl19wcuh6lo","00:03:48","00:03:50","",""
"Sl19wcuh6lo","00:03:51","00:03:52","We'll see what happens.","we'll see what happens got"
