"video_id","min_timecode","max_timecode","text.user","text.auto"
"SznI7prK6ms","00:00:00","00:00:01","","today we are learning about the"
"SznI7prK6ms","00:00:01","00:00:04","PRESIDENT TRUMP SAID THERE WILL BE AN ORDERLY TRANSITION ON JANUARY 20TH DEBRA ALFARONE","people who were arrested for breaching the u.s capitol"
"SznI7prK6ms","00:00:04","00:00:06","BE AN ORDERLY TRANSITION ON JANUARY 20TH DEBRA ALFARONE CBS NEWS CAPITOL HILL.","in what police called criminal"
"SznI7prK6ms","00:00:07","00:00:07","JANUARY 20TH DEBRA ALFARONE CBS NEWS CAPITOL HILL. >> GINGER: TODAY. WE ARE","riotous behavior"
"SznI7prK6ms","00:00:07","00:00:08","CBS NEWS CAPITOL HILL. >> GINGER: TODAY. WE ARE LEARNING ABOUT THE PEOPLE WHO","one is a"
"SznI7prK6ms","00:00:09","00:00:09",">> GINGER: TODAY. WE ARE LEARNING ABOUT THE PEOPLE WHO ARE ARRESTED FOR BREACHING THE","man from marion"
"SznI7prK6ms","00:00:10","00:00:12","LEARNING ABOUT THE PEOPLE WHO ARE ARRESTED FOR BREACHING THE U.S. CAPITOL IN WHAT POLICE","county news 6's clay laparr joins us now in studio in"
"SznI7prK6ms","00:00:13","00:00:13","ARE ARRESTED FOR BREACHING THE U.S. CAPITOL IN WHAT POLICE CALLED CRIMINAL","clay he was taken"
"SznI7prK6ms","00:00:14","00:00:15","U.S. CAPITOL IN WHAT POLICE CALLED CRIMINAL RIOTOUS BEHAVIOR. ONE IS A MAN","into custody on a charge of unlawful"
"SznI7prK6ms","00:00:16","00:00:16","CALLED CRIMINAL RIOTOUS BEHAVIOR. ONE IS A MAN FROM MARION COUNTY NEWS.","entry but this is not the"
"SznI7prK6ms","00:00:16","00:00:18","RIOTOUS BEHAVIOR. ONE IS A MAN FROM MARION COUNTY NEWS. SIX’S CLAY LEPARD JOINS US NOW","first time he's been arrested"
"SznI7prK6ms","00:00:19","00:00:19","FROM MARION COUNTY NEWS. SIX’S CLAY LEPARD JOINS US NOW IN STUDIO IN CLAY. HE WAS TAKEN","ginger here"
"SznI7prK6ms","00:00:20","00:00:20","SIX’S CLAY LEPARD JOINS US NOW IN STUDIO IN CLAY. HE WAS TAKEN INTO CUSTODY ON A CHARGE OF","is a past"
"SznI7prK6ms","00:00:20","00:00:23","IN STUDIO IN CLAY. HE WAS TAKEN INTO CUSTODY ON A CHARGE OF UNLAWFUL INJURY. BUT THIS IS","mug of michael curzio according to online court records"
"SznI7prK6ms","00:00:24","00:00:24","INTO CUSTODY ON A CHARGE OF UNLAWFUL INJURY. BUT THIS IS NOT THE FIRST TIME HE’S","he was convicted"
"SznI7prK6ms","00:00:25","00:00:25","UNLAWFUL INJURY. BUT THIS IS NOT THE FIRST TIME HE’S BEEN ARRESTED. GINGER. HERE IS","of attempted first degree"
"SznI7prK6ms","00:00:26","00:00:28","NOT THE FIRST TIME HE’S BEEN ARRESTED. GINGER. HERE IS A PAST MUG OF MICHAEL ACCORDING","murder in 2013 and served eight years"
"SznI7prK6ms","00:00:29","00:00:29","BEEN ARRESTED. GINGER. HERE IS A PAST MUG OF MICHAEL ACCORDING TO ONLINE","in prison"
"SznI7prK6ms","00:00:29","00:00:31","A PAST MUG OF MICHAEL ACCORDING TO ONLINE COURT RECORDS. HE WAS CONVICTED","he was released in february of 2019"
"SznI7prK6ms","00:00:32","00:00:32","",""
"SznI7prK6ms","00:00:32","00:00:35","COURT RECORDS. HE WAS CONVICTED OF ATTEMPTED FIRST-DEGREE MURDER IN 2000, 13 AND SERVED 8","and he is among those charged with unlawful entry yesterday"
"SznI7prK6ms","00:00:35","00:00:37","OF ATTEMPTED FIRST-DEGREE MURDER IN 2000, 13 AND SERVED 8 YEARS IN PRISON. HE WAS","at the capitol"
"SznI7prK6ms","00:00:38","00:00:38","MURDER IN 2000, 13 AND SERVED 8 YEARS IN PRISON. HE WAS RELEASED IN FEBRUARY OF 2019","on his facebook"
"SznI7prK6ms","00:00:39","00:00:41","RELEASED IN FEBRUARY OF 2019 AND HE IS AMONG THOSE CHARGED WITH UNLAWFUL ENTRY YESTERDAY","page michael curzio posted this morning"
"SznI7prK6ms","00:00:42","00:00:43","AND HE IS AMONG THOSE CHARGED WITH UNLAWFUL ENTRY YESTERDAY AT THE CAPITOL.","on our way back home plus i got arrested"
"SznI7prK6ms","00:00:43","00:00:46","WITH UNLAWFUL ENTRY YESTERDAY AT THE CAPITOL. ON HIS FACEBOOK PAGE, MICHAEL","yesterday our point was made yesterday"
"SznI7prK6ms","00:00:47","00:00:48","ON HIS FACEBOOK PAGE, MICHAEL POSTED THIS MORNING ON OUR WAY BACK","i have no regrets for anything"
"SznI7prK6ms","00:00:49","00:00:50","POSTED THIS MORNING ON OUR WAY BACK HOME PLUS, I GOT ARRESTED","we're getting ready to go"
"SznI7prK6ms","00:00:51","00:00:53","HOME PLUS, I GOT ARRESTED YESTERDAY. OUR POINT WAS MADE YESTERDAY. I HAVE NO REGRETS","march throughout the morning the marion county resident"
"SznI7prK6ms","00:00:53","00:00:56","YESTERDAY. I HAVE NO REGRETS FOR ANYTHING. >> WE’RE GETTING READY TO GO","posted videos on his facebook page leading"
"SznI7prK6ms","00:00:56","00:00:57","FOR ANYTHING. >> WE’RE GETTING READY TO GO MARCH.","up to the rally where president"
"SznI7prK6ms","00:00:58","00:00:58",">> WE’RE GETTING READY TO GO MARCH. >> THROUGHOUT THE MORNING.","trump spoke"
"SznI7prK6ms","00:00:58","00:01:00","MARCH. >> THROUGHOUT THE MORNING. THE MARION COUNTY RESIDENT","anything happens we get"
"SznI7prK6ms","00:01:01","00:01:01",">> THROUGHOUT THE MORNING. THE MARION COUNTY RESIDENT POSTED VIDEOS ON HIS FACEBOOK","arrested"
"SznI7prK6ms","00:01:01","00:01:02","THE MARION COUNTY RESIDENT POSTED VIDEOS ON HIS FACEBOOK PAGE LEADING UP TO THE RALLY","or killed just know"
"SznI7prK6ms","00:01:02","00:01:03","POSTED VIDEOS ON HIS FACEBOOK PAGE LEADING UP TO THE RALLY WHERE PRESIDENT TRUMP SPOKE.","man i love you all and i"
"SznI7prK6ms","00:01:04","00:01:06","PAGE LEADING UP TO THE RALLY WHERE PRESIDENT TRUMP SPOKE. >> THE THING HAPPENS. THE REST","did what i believe did it he stopped posting videos"
"SznI7prK6ms","00:01:06","00:01:09","WHERE PRESIDENT TRUMP SPOKE. >> THE THING HAPPENS. THE REST OF HER KILLED. JUST KNOW ME.","early in the day and it's not clear at this time what led"
"SznI7prK6ms","00:01:09","00:01:10",">> THE THING HAPPENS. THE REST OF HER KILLED. JUST KNOW ME. I LOVE YOU ALL","to curzio"
"SznI7prK6ms","00:01:11","00:01:12","I LOVE YOU ALL AND I. >> DID WHAT I BELIEVED IN IT.","being among the first six facing charges"
"SznI7prK6ms","00:01:14","00:01:15",">> DID WHAT I BELIEVED IN IT. HE STOPPED POSTING VIDEOS EARLY IN THE DAY. IT’S NOT CLEAR AT","from capitol police however facing charges from capitol police however"
