video_id,lang,text,timecode
T8CNeQ-cbo0,English - Default,"- Insert intro here, TikToks.",0:00 / 12:09
T8CNeQ-cbo0,English - Default,"- Insert intro here, TikToks.",0:01 / 12:09
T8CNeQ-cbo0,English - Default,"- Insert intro here, TikToks.",0:02 / 12:09
T8CNeQ-cbo0,English - Default,(woop),0:02 / 12:09
T8CNeQ-cbo0,English - Default,(woop),0:03 / 12:09
T8CNeQ-cbo0,English - Default,(woop),0:04 / 12:09
T8CNeQ-cbo0,English - Default,- [Text To Speech] How different foods,0:04 / 12:09
T8CNeQ-cbo0,English - Default,pass through my intestines.,0:05 / 12:09
T8CNeQ-cbo0,English - Default,pass through my intestines.,0:06 / 12:09
T8CNeQ-cbo0,English - Default,Pasta.,0:07 / 12:09
T8CNeQ-cbo0,English - Default,(grunting),0:08 / 12:09
T8CNeQ-cbo0,English - Default,(grunting),0:09 / 12:09
T8CNeQ-cbo0,English - Default,,0:10 / 12:09
T8CNeQ-cbo0,English - Default,,0:11 / 12:09
T8CNeQ-cbo0,English - Default,Taco Bell.,0:12 / 12:09
T8CNeQ-cbo0,English - Default,Taco Bell.,0:13 / 12:09
T8CNeQ-cbo0,English - Default,(laughing),0:13 / 12:09
T8CNeQ-cbo0,English - Default,(laughing),0:14 / 12:09
T8CNeQ-cbo0,English - Default,Dairy.,0:15 / 12:09
T8CNeQ-cbo0,English - Default,(crash),0:16 / 12:09
T8CNeQ-cbo0,English - Default,- I guess someone's lactose intolerant.,0:16 / 12:09
T8CNeQ-cbo0,English - Default,- I guess someone's lactose intolerant.,0:17 / 12:09
T8CNeQ-cbo0,English - Default,- [Text To Speech] A single lettuce.,0:18 / 12:09
T8CNeQ-cbo0,English - Default,- [Text To Speech] A single lettuce.,0:19 / 12:09
T8CNeQ-cbo0,English - Default,(laughing),0:19 / 12:09
T8CNeQ-cbo0,English - Default,(laughing),0:20 / 12:09
T8CNeQ-cbo0,English - Default,(laughing),0:21 / 12:09
T8CNeQ-cbo0,English - Default,Beans.,0:21 / 12:09
T8CNeQ-cbo0,English - Default,Beans.,0:22 / 12:09
T8CNeQ-cbo0,English - Default,(singing),0:22 / 12:09
T8CNeQ-cbo0,English - Default,(singing),0:23 / 12:09
T8CNeQ-cbo0,English - Default,(singing),0:24 / 12:09
T8CNeQ-cbo0,English - Default,- Beans are good for your heart,0:25 / 12:09
T8CNeQ-cbo0,English - Default,- Beans are good for your heart,0:26 / 12:09
