video_id,lang,text,timecode
TOjCwHDkrpE,English - Default,,0:00 / 3:58
TOjCwHDkrpE,English - Default,- Asa. - They wanna climb the tree.,0:01 / 3:58
TOjCwHDkrpE,English - Default,- Asa. - They wanna climb the tree.,0:02 / 3:58
TOjCwHDkrpE,English - Default,- [Shaun] Okay.,0:03 / 3:58
TOjCwHDkrpE,English - Default,- Hello!,0:04 / 3:58
TOjCwHDkrpE,English - Default,"We are sitting at a campfire right now,",0:04 / 3:58
TOjCwHDkrpE,English - Default,"We are sitting at a campfire right now,",0:05 / 3:58
TOjCwHDkrpE,English - Default,"We are sitting at a campfire right now,",0:06 / 3:58
TOjCwHDkrpE,English - Default,about to climb a tree.,0:06 / 3:58
TOjCwHDkrpE,English - Default,about to climb a tree.,0:07 / 3:58
TOjCwHDkrpE,English - Default,- Bailey?,0:08 / 3:58
TOjCwHDkrpE,English - Default,,0:09 / 3:58
TOjCwHDkrpE,English - Default,,0:10 / 3:58
TOjCwHDkrpE,English - Default,Will you marry me?,0:10 / 3:58
TOjCwHDkrpE,English - Default,Will you marry me?,0:11 / 3:58
TOjCwHDkrpE,English - Default,- No!,0:12 / 3:58
TOjCwHDkrpE,English - Default,,0:12 / 3:58
TOjCwHDkrpE,English - Default,,0:13 / 3:58
TOjCwHDkrpE,English - Default,(all laugh),0:14 / 3:58
TOjCwHDkrpE,English - Default,What?,0:14 / 3:58
TOjCwHDkrpE,English - Default,What?,0:15 / 3:58
TOjCwHDkrpE,English - Default,"- [Mindy] Good answer, Bailey.",0:15 / 3:58
TOjCwHDkrpE,English - Default,"- [Mindy] Good answer, Bailey.",0:16 / 3:58
TOjCwHDkrpE,English - Default,"- [Mindy] Good answer, Bailey.",0:17 / 3:58
TOjCwHDkrpE,English - Default,"- [Mindy] Good answer, Bailey.",0:18 / 3:58
TOjCwHDkrpE,English - Default,- What just happened?,0:18 / 3:58
TOjCwHDkrpE,English - Default,- What just happened?,0:19 / 3:58
TOjCwHDkrpE,English - Default,- What just happened?,0:20 / 3:58
TOjCwHDkrpE,English - Default,- [Girl] Pudding got prankled!,0:21 / 3:58
TOjCwHDkrpE,English - Default,- [Girl] Pudding got prankled!,0:22 / 3:58
TOjCwHDkrpE,English - Default,- [Girl] Pudding got prankled!,0:23 / 3:58
TOjCwHDkrpE,English - Default,,0:23 / 3:58
TOjCwHDkrpE,English - Default,,0:24 / 3:58
TOjCwHDkrpE,English - Default,,0:25 / 3:58
TOjCwHDkrpE,English - Default,"- Ugh, I'm done, bye!",0:26 / 3:58
TOjCwHDkrpE,English - Default,"- Ugh, I'm done, bye!",0:27 / 3:58
TOjCwHDkrpE,English - Default,,0:28 / 3:58
TOjCwHDkrpE,English - Default,,0:29 / 3:58
TOjCwHDkrpE,English - Default,,0:30 / 3:58
TOjCwHDkrpE,English - Default,,0:31 / 3:58
TOjCwHDkrpE,English - Default,- It worked!,0:31 / 3:58
TOjCwHDkrpE,English - Default,- [Bailey] Where did you get that?,0:32 / 3:58
TOjCwHDkrpE,English - Default,- [Bailey] Where did you get that?,0:33 / 3:58
TOjCwHDkrpE,English - Default,- [Bailey] Where did you get that?,0:34 / 3:58
TOjCwHDkrpE,English - Default,,0:35 / 3:58
TOjCwHDkrpE,English - Default,,0:36 / 3:58
TOjCwHDkrpE,English - Default,(peaceful music),0:37 / 3:58
TOjCwHDkrpE,English - Default,(peaceful music),0:38 / 3:58
TOjCwHDkrpE,English - Default,(peaceful music),0:39 / 3:58
TOjCwHDkrpE,English - Default,,0:40 / 3:58
TOjCwHDkrpE,English - Default,,0:41 / 3:58
TOjCwHDkrpE,English - Default,,0:42 / 3:58
TOjCwHDkrpE,English - Default,,0:43 / 3:58
TOjCwHDkrpE,English - Default,,0:44 / 3:58
TOjCwHDkrpE,English - Default,,0:45 / 3:58
TOjCwHDkrpE,English - Default,,0:46 / 3:58
TOjCwHDkrpE,English - Default,,0:47 / 3:58
TOjCwHDkrpE,English - Default,,0:48 / 3:58
TOjCwHDkrpE,English - Default,,0:49 / 3:58
TOjCwHDkrpE,English - Default,,0:50 / 3:58
TOjCwHDkrpE,English - Default,♪ Let me count all the freckles ♪,0:50 / 3:58
TOjCwHDkrpE,English - Default,♪ Let me count all the freckles ♪,0:51 / 3:58
TOjCwHDkrpE,English - Default,♪ Let me count all the freckles ♪,0:52 / 3:58
TOjCwHDkrpE,English - Default,♪ Let me count all the freckles ♪,0:53 / 3:58
TOjCwHDkrpE,English - Default,♪ Let me count all the freckles ♪,0:54 / 3:58
TOjCwHDkrpE,English - Default,♪ Let me count all the freckles ♪,0:55 / 3:58
TOjCwHDkrpE,English - Default,♪ On your arms alone ♪,0:55 / 3:58
TOjCwHDkrpE,English - Default,♪ On your arms alone ♪,0:56 / 3:58
TOjCwHDkrpE,English - Default,♪ On your arms alone ♪,0:57 / 3:58
TOjCwHDkrpE,English - Default,♪ On your arms alone ♪,0:58 / 3:58
TOjCwHDkrpE,English - Default,♪ On your arms alone ♪,0:59 / 3:58
TOjCwHDkrpE,English - Default,♪ On your arms alone ♪,1:00 / 3:58
