"video_id","min_timecode","max_timecode","text.user","text.auto"
"TbHBHhZOglw","00:00:00","00:00:03","I’m not one to toot my own horn, but I think you’ll find this video…","i'm not one to toot my own horn but i think you'll find this video"
"TbHBHhZOglw","00:00:04","00:00:05","quite touching.","quite touching there's"
"TbHBHhZOglw","00:00:05","00:00:09","There’s a good chance you’re watching this video on a device with hundreds of little","a good chance you're watching this video on a device with hundreds of little touch"
"TbHBHhZOglw","00:00:09","00:00:12","touch sensors designed to sense your touch.","sensors designed to sense your touch we take"
"TbHBHhZOglw","00:00:12","00:00:14","We take the touch screen for granted these days","the touch screen for granted these days unless"
"TbHBHhZOglw","00:00:15","00:00:16","unless, of course, you’ve got a Macbook,","of course you've got a macbook but"
"TbHBHhZOglw","00:00:16","00:00:20","but it wasn’t that long ago that we thought touch sensors were the bee’s meow.","it wasn't that long ago that we thought touch sensors were the bee's meow and"
"TbHBHhZOglw","00:00:21","00:00:26","And actually, longer ago than that, a peculiar kind of lamp was trendy as all get-out.","actually longer ago than that a peculiar and actually longer ago than that a peculiar kind of lamp was trendy as all get out"
"TbHBHhZOglw","00:00:27","00:00:28","Here’s one of them now.","here's one of them now and how do you"
"TbHBHhZOglw","00:00:28","00:00:29","And how do you turn it on?","turn it on"
"TbHBHhZOglw","00:00:30","00:00:31","Why, you simply touch it.","why you simply touch it"
"TbHBHhZOglw","00:00:32","00:00:32","Anywhere!","anywhere"
"TbHBHhZOglw","00:00:33","00:00:34","Well, anywhere that’s metal.","well anywhere that's metal"
"TbHBHhZOglw","00:00:35","00:00:39","And built-in to the lamp is a dimming function emulating the good ol' three-way bulb with","and built into the lamp is a dimming function emulating the good old three-way bulb with bright"
"TbHBHhZOglw","00:00:40","00:00:40","Brighter,","brighter brightest"
"TbHBHhZOglw","00:00:41","00:00:41","BRIGHTEST!","with bright brighter brightest"
"TbHBHhZOglw","00:00:42","00:00:42","Off.","off"
"TbHBHhZOglw","00:00:43","00:00:45","These lamps were everywhere in the 1980’s.","these lamps were everywhere in the 1980s"
"TbHBHhZOglw","00:00:46","00:00:48","Well, mostly nightstands and desks.","well mostly nightstands and desks and"
"TbHBHhZOglw","00:00:48","00:00:50","and they seem to have largely disappeared.","they seem to have largely disappeared but"
"TbHBHhZOglw","00:00:51","00:00:51","But why?","why and how do"
"TbHBHhZOglw","00:00:52","00:00:52","And how do they work?","they work"
"TbHBHhZOglw","00:00:52","00:00:53","And who invented them?","and who invented them"
"TbHBHhZOglw","00:00:53","00:00:54","And when?","and when all"
"TbHBHhZOglw","00:00:55","00:00:58","All these questions and more will be answered after this sentence.","these questions and more will be answered after this sentence"
"TbHBHhZOglw","00:00:58","00:00:58","",""
"TbHBHhZOglw","00:00:59","00:01:02","Let’s start with a bit of history as well as a lesson in internet literacy","let's start with a bit of history as well as a lesson in internet literacy and"
"TbHBHhZOglw","00:01:02","00:01:03","and thorough research.","thorough research"
"TbHBHhZOglw","00:01:04","00:01:06","If you ask The Google when the first touch lamp was invented,","if you ask the google when the first touch lamp was"
"TbHBHhZOglw","00:01:07","00:01:12","you’ll get the rather on-the-nose result of 1984.","invented you'll get the rather on the nose result of 1984. now i mean"
"TbHBHhZOglw","00:01:12","00:01:14","Now I mean that seems plausible, after all","that seems plausible after all they were"
"TbHBHhZOglw","00:01:15","00:01:16","they were all the rage in the age of beige,","all the rage in the age of beige"
"TbHBHhZOglw","00:01:16","00:01:18","new age raves and Nicolas Cage’s coming-of-age,","new age raves and nicolas cage's coming"
"TbHBHhZOglw","00:01:19","00:01:21","but if we follow the source of this “helpful”","of age but if we follow the source of this helpful snippet"
"TbHBHhZOglw","00:01:22","00:01:25","snippet, we’ll see it references this patent.","we'll see it references this patent"
"TbHBHhZOglw","00:01:25","00:01:28","Now, while Scott M. Kunen does indeed have the patent","now while scott m kunin does indeed have the patent"
"TbHBHhZOglw","00:01:29","00:01:32","“Touch controlled switch for a lamp or the like” in his name,","touch controlled switch for a lamp or the like in his name and"
"TbHBHhZOglw","00:01:32","00:01:36","and while it was indeed filed in its original form in 1984,","while it was indeed filed in its original form in 1984 it doesn't"
