video_id,lang,text,timecode
UcXVnupm0zk,English - UcXVnupm0zk_Caption,,0:00 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,,0:01 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,,0:02 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,,0:03 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,,0:04 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,,0:05 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,,0:06 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,,0:07 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,>>> A GOOD SUNDAY,0:08 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,>>> A GOOD SUNDAY MORNING. I AM,0:08 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,>>> A GOOD SUNDAY MORNING. I AM KENDALL MORRIS.,0:09 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,>>> A GOOD SUNDAY MORNING. I AM KENDALL MORRIS. IT IS DEFINITELY AN,0:09 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,I AM KENDALL MORRIS. IT IS DEFINITELY AN INTERESTING,0:10 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,I AM KENDALL MORRIS. IT IS DEFINITELY AN INTERESTING START TO THE SUNDAY.,0:11 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,IT IS DEFINITELY AN INTERESTING START TO THE SUNDAY. MUCH OF THE,0:11 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,IT IS DEFINITELY AN INTERESTING START TO THE SUNDAY. MUCH OF THE VIEWING,0:12 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,IT IS DEFINITELY AN INTERESTING START TO THE SUNDAY. MUCH OF THE VIEWING AREA,0:13 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,IT IS DEFINITELY AN INTERESTING START TO THE SUNDAY. MUCH OF THE VIEWING AREA IS,0:13 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,START TO THE SUNDAY. MUCH OF THE VIEWING AREA IS SHAKEN BY A 5.1,0:14 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,MUCH OF THE VIEWING AREA IS SHAKEN BY A 5.1 MAGNITUDE,0:15 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,SHAKEN BY A 5.1 MAGNITUDE EARTHQUAKE. WE WANT TO,0:15 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,SHAKEN BY A 5.1 MAGNITUDE EARTHQUAKE. WE WANT TO GET STRAIGHT OVER TO,0:16 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,EARTHQUAKE. WE WANT TO GET STRAIGHT OVER TO,0:16 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,EARTHQUAKE. WE WANT TO GET STRAIGHT OVER TO METEOROLOGIST CHRIS,0:17 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,EARTHQUAKE. WE WANT TO GET STRAIGHT OVER TO METEOROLOGIST CHRIS MULCAHY.,0:18 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,EARTHQUAKE. WE WANT TO GET STRAIGHT OVER TO METEOROLOGIST CHRIS MULCAHY.,0:19 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,WE WANT TO GET STRAIGHT OVER TO METEOROLOGIST CHRIS MULCAHY.,0:20 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,WE WANT TO GET STRAIGHT OVER TO METEOROLOGIST CHRIS MULCAHY. YOU ARE TRACKING THIS,0:20 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,YOU ARE TRACKING THIS EARTHQUAKE.,0:21 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,YOU ARE TRACKING THIS EARTHQUAKE. TELUS THE SIGNIFICANT ABOUT,0:22 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,TELUS THE SIGNIFICANT ABOUT THIS EARTHQUAKE.,0:22 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,TELUS THE SIGNIFICANT ABOUT THIS EARTHQUAKE. IT IS RATHER LARGE FOR,0:23 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,TELUS THE SIGNIFICANT ABOUT THIS EARTHQUAKE. IT IS RATHER LARGE FOR OUR,0:23 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,THIS EARTHQUAKE. IT IS RATHER LARGE FOR OUR,0:24 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,IT IS RATHER LARGE FOR OUR AREA. >>>,0:25 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,IT IS RATHER LARGE FOR OUR AREA. >>> FIRST,0:25 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,"IT IS RATHER LARGE FOR OUR AREA. >>> FIRST OFF, THIS IS",0:26 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,"IT IS RATHER LARGE FOR OUR AREA. >>> FIRST OFF, THIS IS HISTORIC",0:26 / 3:39
UcXVnupm0zk,English - UcXVnupm0zk_Caption,"AREA. >>> FIRST OFF, THIS IS HISTORIC RIGHT",0:27 / 3:39
