"video_id","min_timecode","max_timecode","text.user","text.auto"
"UcXVnupm0zk","00:00:00","00:00:07","","definitely an interesting start to this sunday much of the viewing area shaken by a 5.1 magnitude earthquake we want to get straight"
"UcXVnupm0zk","00:00:08","00:00:08",">>> A GOOD SUNDAY","over to meteorologist chris mulcahy"
"UcXVnupm0zk","00:00:09","00:00:09",">>> A GOOD SUNDAY MORNING. I AM KENDALL MORRIS.","chris you are tracking"
"UcXVnupm0zk","00:00:10","00:00:10","I AM KENDALL MORRIS. IT IS DEFINITELY AN INTERESTING","this"
"UcXVnupm0zk","00:00:10","00:00:11","I AM KENDALL MORRIS. IT IS DEFINITELY AN INTERESTING START TO THE SUNDAY.","earthquake just"
"UcXVnupm0zk","00:00:12","00:00:12","IT IS DEFINITELY AN INTERESTING START TO THE SUNDAY. MUCH OF THE VIEWING","are tracking this earthquake just tell us some of"
"UcXVnupm0zk","00:00:13","00:00:13","IT IS DEFINITELY AN INTERESTING START TO THE SUNDAY. MUCH OF THE VIEWING AREA","the significance about this"
"UcXVnupm0zk","00:00:14","00:00:14","START TO THE SUNDAY. MUCH OF THE VIEWING AREA IS SHAKEN BY A 5.1","earthquake"
"UcXVnupm0zk","00:00:15","00:00:15","MUCH OF THE VIEWING AREA IS SHAKEN BY A 5.1 MAGNITUDE","this is rather large for"
"UcXVnupm0zk","00:00:16","00:00:16","SHAKEN BY A 5.1 MAGNITUDE EARTHQUAKE. WE WANT TO GET STRAIGHT OVER TO","our viewing area"
"UcXVnupm0zk","00:00:17","00:00:19","EARTHQUAKE. WE WANT TO GET STRAIGHT OVER TO METEOROLOGIST CHRIS MULCAHY.","well kendall first"
"UcXVnupm0zk","00:00:20","00:00:20","WE WANT TO GET STRAIGHT OVER TO METEOROLOGIST CHRIS MULCAHY.","off this is historic"
"UcXVnupm0zk","00:00:22","00:00:22","YOU ARE TRACKING THIS EARTHQUAKE. TELUS THE SIGNIFICANT ABOUT","right now this"
"UcXVnupm0zk","00:00:23","00:00:23","TELUS THE SIGNIFICANT ABOUT THIS EARTHQUAKE. IT IS RATHER LARGE FOR","first started as a"
"UcXVnupm0zk","00:00:24","00:00:24","THIS EARTHQUAKE. IT IS RATHER LARGE FOR OUR","2.3"
"UcXVnupm0zk","00:00:25","00:00:25","IT IS RATHER LARGE FOR OUR AREA. >>>","magnitude"
"UcXVnupm0zk","00:00:26","00:00:26","IT IS RATHER LARGE FOR OUR AREA. >>> FIRST OFF, THIS IS","earthquake and that's where you"
"UcXVnupm0zk","00:00:27","00:00:35","AREA. >>> FIRST OFF, THIS IS HISTORIC RIGHT","can barely feel it or you're starting to feel and that was yesterday so that would be what's called the four shock meaning before usually a bigger magnitude earthquake as"
"UcXVnupm0zk","00:00:36","00:00:36","AREA. >>> FIRST OFF, THIS IS HISTORIC RIGHT NOW.","we saw today 5.1"
"UcXVnupm0zk","00:00:37","00:00:37",">>> FIRST OFF, THIS IS HISTORIC RIGHT NOW. THIS FIRST STARTED AS A 2.3","as far as"
"UcXVnupm0zk","00:00:38","00:00:38","THIS FIRST STARTED AS A 2.3 MAGNITUDE EARTHQUAKE, AND THAT","this measures"
"UcXVnupm0zk","00:00:39","00:00:39","THIS FIRST STARTED AS A 2.3 MAGNITUDE EARTHQUAKE, AND THAT IS WHERE YOU CAN BARELY","for the history of north"
"UcXVnupm0zk","00:00:40","00:00:40","MAGNITUDE EARTHQUAKE, AND THAT IS WHERE YOU CAN BARELY FEEL IT OR YOU ARE","carolina the strongest"
"UcXVnupm0zk","00:00:41","00:00:41","IS WHERE YOU CAN BARELY FEEL IT OR YOU ARE STARTING TO FEEL IT. THAT","was"
