"video_id","min_timecode","max_timecode","text.user","text.auto"
"VHg_UAfUgjA","00:00:00","00:00:20","","[Applause] [Applause]"
"VHg_UAfUgjA","00:00:21","00:00:21","Fish Boy!","squish boy"
"VHg_UAfUgjA","00:00:22","00:00:23","Boss wants to see you.","boss wants to see you"
"VHg_UAfUgjA","00:00:24","00:00:24","Am I in trouble?","in trouble someone"
"VHg_UAfUgjA","00:00:25","00:00:25","Someone is.","is"
"VHg_UAfUgjA","00:00:26","00:00:26","",""
"VHg_UAfUgjA","00:00:27","00:00:29","This man betrayed our trust.","this man betrayed our trust"
"VHg_UAfUgjA","00:00:29","00:00:34","",""
"VHg_UAfUgjA","00:00:35","00:00:45","","you've saved"
"VHg_UAfUgjA","00:00:45","00:00:46","You saved my life.","my life"
"VHg_UAfUgjA","00:00:47","00:00:48","We are going home.","we are going home i"
"VHg_UAfUgjA","00:00:48","00:00:49","I don't have a home.","don't have a home"
"VHg_UAfUgjA","00:00:49","00:00:51","","not"
"VHg_UAfUgjA","00:00:51","00:00:52","Not yours-","yours"
"VHg_UAfUgjA","00:00:53","00:00:53","",""
"VHg_UAfUgjA","00:00:54","00:00:54","mine.","mine"
"VHg_UAfUgjA","00:00:54","00:00:55","",""
"VHg_UAfUgjA","00:00:56","00:00:57","I can't change your past, ","i can't change your past"
"VHg_UAfUgjA","00:00:57","00:00:58","",""
"VHg_UAfUgjA","00:00:59","00:01:00","but I can offer you a purpose.","but i can offer you a purpose"
"VHg_UAfUgjA","00:01:01","00:01:03","","for"
"VHg_UAfUgjA","00:01:04","00:01:05","For six hundred years,","600 years"
"VHg_UAfUgjA","00:01:06","00:01:07","our ninja have brought peace","our ninja have brought"
"VHg_UAfUgjA","00:01:09","00:01:11","","[Music] peace"
"VHg_UAfUgjA","00:01:12","00:01:13","I believe in you.","i believe in you [Music]"
"VHg_UAfUgjA","00:01:13","00:01:18","","all right"
"VHg_UAfUgjA","00:01:18","00:01:19","Alright, what do I have to do?","what do i have to do"
"VHg_UAfUgjA","00:01:19","00:01:21","♫","now"
"VHg_UAfUgjA","00:01:22","00:01:24","The three challenges of the warrior.","the three challenges of the"
"VHg_UAfUgjA","00:01:25","00:01:27","♫","warrior"
"VHg_UAfUgjA","00:01:27","00:01:28","","the"
"VHg_UAfUgjA","00:01:29","00:01:30","The three challenges and the what now?","three challenges in the what now"
"VHg_UAfUgjA","00:01:30","00:01:32","","if"
"VHg_UAfUgjA","00:01:32","00:01:33","If you survive,","you survive you'll"
"VHg_UAfUgjA","00:01:33","00:01:35","you'll gain access to our knowledge","gain access to our knowledge"
"VHg_UAfUgjA","00:01:36","00:01:36","and our power.","and our"
"VHg_UAfUgjA","00:01:37","00:01:40","","power cobra is coming"
"VHg_UAfUgjA","00:01:40","00:01:41","Cobra is coming.","that's"
"VHg_UAfUgjA","00:01:41","00:01:42","What's Cobra?","cobra a shadow"
"VHg_UAfUgjA","00:01:43","00:01:45","A shadow organization devoted to global revolution.","organization devoted to global revolution"
"VHg_UAfUgjA","00:01:46","00:01:47","",""
"VHg_UAfUgjA","00:01:47","00:01:49","I've been following you for some time.","i've been following you for some"
"VHg_UAfUgjA","00:01:50","00:01:50","Do I know you?","time do i know"
"VHg_UAfUgjA","00:01:51","00:01:52","I know you...","you i know you"
"VHg_UAfUgjA","00:01:52","00:01:53","Snake Eyes.","snake eyes"
"VHg_UAfUgjA","00:01:57","00:01:57","Join us.","join"
"VHg_UAfUgjA","00:01:58","00:01:58","",""
"VHg_UAfUgjA","00:02:00","00:02:01","",""
"VHg_UAfUgjA","00:02:03","00:02:16","♫","us [Music]"
"VHg_UAfUgjA","00:02:17","00:02:22","","you"
