video_id,lang,text,timecode
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,,0:00 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,THE AGENCIES SAID,0:01 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,THE AGENCIES SAID NO,0:02 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,THE AGENCIES SAID NO,0:03 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,THE AGENCIES SAID NO,0:04 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,THE AGENCIES SAID NO,0:05 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,THE AGENCIES SAID NO,0:06 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,THE AGENCIES SAID NO .,0:06 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,THE AGENCIES SAID NO . THAT CAME AS,0:07 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,THE AGENCIES SAID NO . THAT CAME AS NO SURPRISE TO,0:08 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,CAME AS NO SURPRISE TO POLICE INSIDERS.,0:08 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,INSIDERS. >> OVER THE WEEKEND THE,0:09 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,>> OVER THE WEEKEND THE GOVERNOR ANNOUNCED AN,0:09 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,GOVERNOR ANNOUNCED AN AMBITIOUS PLAN TO,0:10 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,GOVERNOR ANNOUNCED AN AMBITIOUS PLAN TO FLOOD,0:11 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,GOVERNOR ANNOUNCED AN AMBITIOUS PLAN TO FLOOD,0:12 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,GOVERNOR ANNOUNCED AN AMBITIOUS PLAN TO FLOOD  PORTLAND,0:13 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,PLAN TO FLOOD  PORTLAND WITH POLICE,0:14 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,PLAN TO FLOOD  PORTLAND WITH POLICE AND SHERIFF DEPUTIES TO,0:14 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,POLICE AND SHERIFF DEPUTIES TO HELP STOP THE ACT,0:15 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,POLICE AND SHERIFF DEPUTIES TO HELP STOP THE ACT OF VIOLENCE.,0:16 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,HELP STOP THE ACT OF VIOLENCE. BY MONDAY AFTERNOON,0:16 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,BY MONDAY AFTERNOON IT HAD,0:17 / 1:46
VJB9XK0KcQU,English - VJB9XK0KcQU_Caption,PRETTY MUCH FALLEN APART.,0:18 / 1:46
