video_id,lang,text,timecode
Vry_VI76_Es,English,"- What's up, everyone? Welcome to Yoga With Adriene.",0:00 / 46:29
Vry_VI76_Es,English,"- What's up, everyone? Welcome to Yoga With Adriene.",0:01 / 46:29
Vry_VI76_Es,English,I'm Adriene. This is Benji.,0:02 / 46:29
Vry_VI76_Es,English,I'm Adriene. This is Benji.,0:03 / 46:29
Vry_VI76_Es,English,And we're super glad you're here today.,0:04 / 46:29
Vry_VI76_Es,English,We have Yoga for a Fresh Start.,0:05 / 46:29
Vry_VI76_Es,English,We have Yoga for a Fresh Start.,0:06 / 46:29
Vry_VI76_Es,English,We have Yoga for a Fresh Start.,0:07 / 46:29
Vry_VI76_Es,English,We have Yoga for a Fresh Start.,0:08 / 46:29
Vry_VI76_Es,English,We have Yoga for a Fresh Start.,0:09 / 46:29
Vry_VI76_Es,English,So thank you for choosing this practice.,0:09 / 46:29
Vry_VI76_Es,English,So thank you for choosing this practice.,0:10 / 46:29
Vry_VI76_Es,English,"Hop into something comfy, and let's get started.",0:11 / 46:29
Vry_VI76_Es,English,"Hop into something comfy, and let's get started.",0:12 / 46:29
Vry_VI76_Es,English,"Hop into something comfy, and let's get started.",0:13 / 46:29
Vry_VI76_Es,English,(upbeat music),0:14 / 46:29
Vry_VI76_Es,English,(upbeat music),0:15 / 46:29
Vry_VI76_Es,English,(upbeat music),0:16 / 46:29
Vry_VI76_Es,English,(upbeat music),0:17 / 46:29
Vry_VI76_Es,English,(upbeat music),0:18 / 46:29
Vry_VI76_Es,English,,0:18 / 46:29
Vry_VI76_Es,English,,0:19 / 46:29
Vry_VI76_Es,English,,0:20 / 46:29
Vry_VI76_Es,English,,0:21 / 46:29
Vry_VI76_Es,English,,0:22 / 46:29
Vry_VI76_Es,English,,0:23 / 46:29
Vry_VI76_Es,English,,0:24 / 46:29
Vry_VI76_Es,English,,0:25 / 46:29
Vry_VI76_Es,English,,0:26 / 46:29
Vry_VI76_Es,English,,0:27 / 46:29
Vry_VI76_Es,English,"Alrighty, my darling friend, let's begin in a seat.",0:27 / 46:29
Vry_VI76_Es,English,"Alrighty, my darling friend, let's begin in a seat.",0:28 / 46:29
Vry_VI76_Es,English,"Alrighty, my darling friend, let's begin in a seat.",0:29 / 46:29
Vry_VI76_Es,English,"Alrighty, my darling friend, let's begin in a seat.",0:30 / 46:29
Vry_VI76_Es,English,"Alrighty, my darling friend, let's begin in a seat.",0:31 / 46:29
Vry_VI76_Es,English,Come on down to the ground.,0:31 / 46:29
Vry_VI76_Es,English,Come on down to the ground.,0:32 / 46:29
Vry_VI76_Es,English,(clears throat) Ground. (laughs),0:33 / 46:29
Vry_VI76_Es,English,(clears throat) Ground. (laughs),0:34 / 46:29
Vry_VI76_Es,English,(clears throat) Ground. (laughs),0:35 / 46:29
Vry_VI76_Es,English,"And if you have a little pillow, blanket,",0:35 / 46:29
Vry_VI76_Es,English,"And if you have a little pillow, blanket,",0:36 / 46:29
Vry_VI76_Es,English,"And if you have a little pillow, blanket,",0:37 / 46:29
Vry_VI76_Es,English,"And if you have a little pillow, blanket,",0:38 / 46:29
Vry_VI76_Es,English,"big beach towel, something you can sit on,",0:38 / 46:29
Vry_VI76_Es,English,"big beach towel, something you can sit on,",0:39 / 46:29
Vry_VI76_Es,English,"big beach towel, something you can sit on,",0:40 / 46:29
Vry_VI76_Es,English,"big beach towel, something you can sit on,",0:41 / 46:29
Vry_VI76_Es,English,let's use it,0:42 / 46:29
Vry_VI76_Es,English,let's use it,0:43 / 46:29
Vry_VI76_Es,English,let's use it,0:44 / 46:29
Vry_VI76_Es,English,let's use it,0:45 / 46:29
Vry_VI76_Es,English,,0:45 / 46:29
Vry_VI76_Es,English,,0:46 / 46:29
Vry_VI76_Es,English,just to create  a little padding,0:46 / 46:29
Vry_VI76_Es,English,just to create  a little padding,0:47 / 46:29
Vry_VI76_Es,English,just to create  a little padding,0:48 / 46:29
Vry_VI76_Es,English,but also to lift the hips a little bit or a lot.,0:49 / 46:29
Vry_VI76_Es,English,but also to lift the hips a little bit or a lot.,0:50 / 46:29
Vry_VI76_Es,English,but also to lift the hips a little bit or a lot.,0:51 / 46:29
Vry_VI76_Es,English,,0:52 / 46:29
Vry_VI76_Es,English,,0:53 / 46:29
Vry_VI76_Es,English,,0:54 / 46:29
Vry_VI76_Es,English,Take your time just getting settled in here.,0:55 / 46:29
Vry_VI76_Es,English,Take your time just getting settled in here.,0:56 / 46:29
Vry_VI76_Es,English,Take your time just getting settled in here.,0:57 / 46:29
Vry_VI76_Es,English,,0:58 / 46:29
Vry_VI76_Es,English,,0:59 / 46:29
Vry_VI76_Es,English,,1:00 / 46:29
Vry_VI76_Es,English,,1:01 / 46:29
Vry_VI76_Es,English,,1:02 / 46:29
Vry_VI76_Es,English,"And as you're ready,",1:03 / 46:29
Vry_VI76_Es,English,"And as you're ready,",1:04 / 46:29
Vry_VI76_Es,English,,1:05 / 46:29
Vry_VI76_Es,English,see if you can  slowly ease into this,1:06 / 46:29
Vry_VI76_Es,English,see if you can  slowly ease into this,1:07 / 46:29
Vry_VI76_Es,English,see if you can  slowly ease into this,1:08 / 46:29
Vry_VI76_Es,English,see if you can  slowly ease into this,1:09 / 46:29
Vry_VI76_Es,English,place of stillness.,1:09 / 46:29
Vry_VI76_Es,English,place of stillness.,1:10 / 46:29
Vry_VI76_Es,English,place of stillness.,1:11 / 46:29
Vry_VI76_Es,English,And it may be super simple.,1:11 / 46:29
Vry_VI76_Es,English,And it may be super simple.,1:12 / 46:29
Vry_VI76_Es,English,And it may be super simple.,1:13 / 46:29
Vry_VI76_Es,English,And it may be super simple.,1:14 / 46:29
Vry_VI76_Es,English,You've been craving this moment for awhile.,1:14 / 46:29
Vry_VI76_Es,English,You've been craving this moment for awhile.,1:15 / 46:29
Vry_VI76_Es,English,Or it may feel a little difficult.,1:16 / 46:29
Vry_VI76_Es,English,Or it may feel a little difficult.,1:17 / 46:29
Vry_VI76_Es,English,Perhaps you feel a little fidgety,1:18 / 46:29
Vry_VI76_Es,English,or it's just really hard to ground in this moment.,1:19 / 46:29
Vry_VI76_Es,English,or it's just really hard to ground in this moment.,1:20 / 46:29
Vry_VI76_Es,English,or it's just really hard to ground in this moment.,1:21 / 46:29
Vry_VI76_Es,English,,1:22 / 46:29
Vry_VI76_Es,English,,1:23 / 46:29
Vry_VI76_Es,English,"So as you attempt to become more still,",1:23 / 46:29
Vry_VI76_Es,English,"So as you attempt to become more still,",1:24 / 46:29
Vry_VI76_Es,English,"So as you attempt to become more still,",1:25 / 46:29
Vry_VI76_Es,English,"So as you attempt to become more still,",1:26 / 46:29
Vry_VI76_Es,English,"So as you attempt to become more still,",1:27 / 46:29
Vry_VI76_Es,English,it's not actually about nailing the stillness.,1:28 / 46:29
