"video_id","min_timecode","max_timecode","text.user","text.auto"
"VsJIpReqo5Q","00:00:00","00:00:01","- This is Hammy the hamster","this is hammy the hamster"
"VsJIpReqo5Q","00:00:02","00:00:03","and I've built the world's most insane","and i've built the world's most insane"
"VsJIpReqo5Q","00:00:04","00:00:05","nine foot tall hamster maze.","9 foot tall hamster mate so hammy"
"VsJIpReqo5Q","00:00:05","00:00:07","So Hammy can do this.","can't do this"
"VsJIpReqo5Q","00:00:09","00:00:10","",""
"VsJIpReqo5Q","00:00:13","00:00:14","",""
"VsJIpReqo5Q","00:00:15","00:00:16","- What just happened?","what just happened and as hammy"
"VsJIpReqo5Q","00:00:17","00:00:18","this nine foot tall hamster maze,","runs through this nine foot tall hamster"
"VsJIpReqo5Q","00:00:19","00:00:20","he'll be randomly eliminating each","maze he'll be randomly eliminating each of these"
"VsJIpReqo5Q","00:00:21","00:00:22","of these 10 contestants in a different, crazy way.","ten contestants in a different crazy"
"VsJIpReqo5Q","00:00:23","00:00:25","And the last person standing wins a thousand dollars.","way and the last person standing wins that's thousand dollars"
"VsJIpReqo5Q","00:00:26","00:00:27","So let's go!","so let's go"
"VsJIpReqo5Q","00:00:28","00:00:28","- Oh my god.","oh my god"
"VsJIpReqo5Q","00:00:29","00:00:31","- All right, yeah, just go through, go through.","all right yeah just go through go through you got"
"VsJIpReqo5Q","00:00:32","00:00:34","- Now skirt that please skirt that,","this now skirt that please skirt that nice hand"
"VsJIpReqo5Q","00:00:34","00:00:36","Nice Hammy, let's go, I see you.","me let's go i see you wait"
"VsJIpReqo5Q","00:00:37","00:00:37","- [Devan] Wait a second, wait a second, what is that?","a second wait a second what is that"
"VsJIpReqo5Q","00:00:38","00:00:39","- Whoa whoa whoa, there's another button.","whoa whoa whoa there's another button no"
"VsJIpReqo5Q","00:00:40","00:00:40","","no no no no no no no"
"VsJIpReqo5Q","00:00:41","00:00:41","- Hammy, slow down.","hear me slow"
"VsJIpReqo5Q","00:00:42","00:00:43","- I can't look, I can't do this.","down i can't look i can't do this"
"VsJIpReqo5Q","00:00:46","00:00:49","",""
"VsJIpReqo5Q","00:00:52","00:00:53","",""
"VsJIpReqo5Q","00:00:54","00:00:56","- [Collins] Oh, oh my god.","oh my"
"VsJIpReqo5Q","00:00:56","00:00:57","","gosh"
"VsJIpReqo5Q","00:00:57","00:00:58","No, Savannah.","what kind"
"VsJIpReqo5Q","00:00:59","00:01:00","- What kind of hamster are you?","of hamster are you tammy"
"VsJIpReqo5Q","00:01:00","00:01:03","- Hammy, what was the reason for that slime dunk?","what was the reason for that slide from trump"
"VsJIpReqo5Q","00:01:04","00:01:06","- You should have gone easier.","you do hammy you should have gone easier keep on"
"VsJIpReqo5Q","00:01:07","00:01:09","fight that soldier, fight that soldier, bro,","going keep on going fight that soldier fight that soldier bro"
"VsJIpReqo5Q","00:01:10","00:01:11","fight that guy come on.","fight that guy come on oh and i forgot to mention"
"VsJIpReqo5Q","00:01:12","00:01:13","that since this video is sponsored by the makers of","that since this video is sponsored by the makers of invisalign"
"VsJIpReqo5Q","00:01:13","00:01:15","Invisalign Clear Aligners we are personally","clear liners we are personally"
"VsJIpReqo5Q","00:01:15","00:01:18","doing a $10,000 giveaway so keep watching,","doing a ten thousand dollar giveaway so keep watching to find out how"
"VsJIpReqo5Q","00:01:18","00:01:19","find out how you can literally win that.","you can literally win that dance"
"VsJIpReqo5Q","00:01:19","00:01:21","- Dance with the maze, dance with the maze.","with amazing dance it's amazing"
"VsJIpReqo5Q","00:01:21","00:01:22","Boom. Love that.","boom love that whoa"
"VsJIpReqo5Q","00:01:22","00:01:24","Whoa, He's like a gymnast.","he's like a gymnast okay it's the"
"VsJIpReqo5Q","00:01:25","00:01:26","- Okay, it's the agility for me.","agility for me okay amy"
"VsJIpReqo5Q","00:01:26","00:01:27","Okay Hammy, I see you, go off.","i see you"
"VsJIpReqo5Q","00:01:28","00:01:29","- [Devan] Wait, wait is that a switch?","go off what will wait is that a switch your switches count"
"VsJIpReqo5Q","00:01:29","00:01:31","Do switches count? Should we be worried?","should we be worried"
"VsJIpReqo5Q","00:01:31","00:01:32","","oh"
"VsJIpReqo5Q","00:01:33","00:01:34","- [Devan] Aw it's so cute, just little balls.","it's so cute just a little ball"
"VsJIpReqo5Q","00:01:34","00:01:37","- It's the balls, he's swimming in them. He's so cute.","so cute i just want to take him home"
"VsJIpReqo5Q","00:01:37","00:01:38","I just wanna take him home with me.","with me"
"VsJIpReqo5Q","00:01:39","00:01:40","Take your time, we're all just watching.","take your time we're all just watching some"
"VsJIpReqo5Q","00:01:40","00:01:43","Aw you're so cute and fluffy. Your little nose.","cute and fluffy little noses"
"VsJIpReqo5Q","00:01:43","00:01:44","- Look at the little teeth. Oh my gosh.","oh my"
"VsJIpReqo5Q","00:01:44","00:01:45","- [Tori] You're so adorable","gosh you're so adorable"
"VsJIpReqo5Q","00:01:46","00:01:47","when you're not being so destructive.","you're not being so destructive oh my"
"VsJIpReqo5Q","00:01:47","00:01:50","- [Paulina] Oh my goodness, your little face.","goodness not the blue in your"
"VsJIpReqo5Q","00:01:51","00:01:53","(shocked screaming)","face"
"VsJIpReqo5Q","00:02:00","00:02:03","",""
"VsJIpReqo5Q","00:02:04","00:02:04","- And then there were seven.","and then there were seven did"
"VsJIpReqo5Q","00:02:05","00:02:05","- Did you just see that?","you just"
"VsJIpReqo5Q","00:02:06","00:02:07","What just happened?","see that what just happened"
"VsJIpReqo5Q","00:02:08","00:02:09","- [Collins] Everyone's fate is in the paws of","everyone's fate is in the pause of the hammy"
"VsJIpReqo5Q","00:02:10","00:02:10","Hammy the Hamster.","hamster so now let's see"
"VsJIpReqo5Q","00:02:11","00:02:11","So now we'll see who Hammy eliminates next.","who hammy eliminates"
"VsJIpReqo5Q","00:02:12","00:02:14","- [Michael] Stay in that tube, get stuck in that tube.","next say that too get stuck in that tube you"
"VsJIpReqo5Q","00:02:14","00:02:16","You deserve that tube. Nah, don't try to get out.","deserve that too nah don't try to get out"
"VsJIpReqo5Q","00:02:17","00:02:18","You stuck because you chunky.","you stuck because you chucky"
"VsJIpReqo5Q","00:02:18","00:02:20","(dramatic music)","hey don't"
"VsJIpReqo5Q","00:02:20","00:02:21","- Hey, hey. Don't look at me.","look at me"
"VsJIpReqo5Q","00:02:21","00:02:25","I'm looking at you, you are being shady.","i'm looking at you you are being shady"
"VsJIpReqo5Q","00:02:25","00:02:27","","stop it michael"
"VsJIpReqo5Q","00:02:27","00:02:29","- Stop it Michael, Hammy looks so cute.","himmy looks so cute"
"VsJIpReqo5Q","00:02:30","00:02:30","(scary music)","oh look"
"VsJIpReqo5Q","00:02:31","00:02:32","Don't look at me like that.","at me like that look look at that"
"VsJIpReqo5Q","00:02:33","00:02:34","Go back to the maze.","oh look at me like that look look at that maze"
"VsJIpReqo5Q","00:02:35","00:02:38","Okay, you're cute again. Oh my gosh I can't, my heart.","okay you're cute again oh my gosh i can't my heart oh"
"VsJIpReqo5Q","00:02:38","00:02:40","Oh my gosh his little paws.","my god he's little pies okay punch"
"VsJIpReqo5Q","00:02:40","00:02:42","- Okay bump that log, go off. Okay Hammy.","that lock go off okay hammy i"
"VsJIpReqo5Q","00:02:43","00:02:43","I like that form.","like that for us stop going"
"VsJIpReqo5Q","00:02:43","00:02:44","- Stop going through the pillars.","through the pillars i don't even"
"VsJIpReqo5Q","00:02:44","00:02:46","I don't even like the pillars that you're going through.","like the pillars that you're going to"
"VsJIpReqo5Q","00:02:47","00:02:48","You get away from that torch. You can't trick me this time.","get away from that torch you can't trick me this"
"VsJIpReqo5Q","00:02:49","00:02:51","That's a elimination, I know it. We both know it.","time that's the elimination i know it we"
"VsJIpReqo5Q","00:02:52","00:02:53","Collins knows it.","both know it collins knows it the people"
"VsJIpReqo5Q","00:02:54","00:02:55","The people behind us recording know it.","behind us recorded know it"
"VsJIpReqo5Q","00:02:55","00:02:57","","not elimination"
"VsJIpReqo5Q","00:02:58","00:02:59","","now i look"
"VsJIpReqo5Q","00:03:00","00:03:00","Now I look crazy.","crazy"
"VsJIpReqo5Q","00:03:00","00:03:01","",""
"VsJIpReqo5Q","00:03:02","00:03:03","- Wait. You're looking at me bro.","wait are you looking at me bro no"
"VsJIpReqo5Q","00:03:04","00:03:05","No, he's got it out for me. I know he does.","he's got it out for me i know he does"
"VsJIpReqo5Q","00:03:06","00:03:06","He's got it out for me.","he's got it out for me"
"VsJIpReqo5Q","00:03:07","00:03:09","- Wait, wait, wait. Guys, there is another TNT box.","wait wait wait guys there is another tnt box no"
"VsJIpReqo5Q","00:03:10","00:03:10","","no no no"
"VsJIpReqo5Q","00:03:11","00:03:12","- Get away from that TNT.","get away from that tnt"
"VsJIpReqo5Q","00:03:13","00:03:13","(all shouting) No, no, no.","no no no"
"VsJIpReqo5Q","00:03:14","00:03:14","- No, not again.","not again"
"VsJIpReqo5Q","00:03:15","00:03:16","- [Collins] Yes, Hammy push the button.","yes hand me push the button don't do it"
"VsJIpReqo5Q","00:03:16","00:03:17","- Don't do it.","no"
"VsJIpReqo5Q","00:03:20","00:03:20","",""
"VsJIpReqo5Q","00:03:20","00:03:21","(pop sound)","oh"
"VsJIpReqo5Q","00:03:22","00:03:23","- Oh, I guess he broke the button.","i guess he broke the button we're good we're"
"VsJIpReqo5Q","00:03:24","00:03:25","- [Paulina] This just looks really sketchy.","good we're good this just looks really sketchy"
"VsJIpReqo5Q","00:03:26","00:03:28","- Whoa Paulina, I actually built this bridge myself","whoa paulina i actually built this bridge myself"
"VsJIpReqo5Q","00:03:29","00:03:30","which you know it's, it's very sketchy.","which you know it's very sketchy watch turtle"
"VsJIpReqo5Q","00:03:31","00:03:33","That's right get stuck on that hurdle.","that's right get stuck on that hurdle that's a hurdle"
"VsJIpReqo5Q","00:03:33","00:03:34","That's a hurdle of life.","of life okay next"
"VsJIpReqo5Q","00:03:35","00:03:37","- [Collins] Okay. Next up is the rope wall of doom.","up is the rope wall of doom this is"
"VsJIpReqo5Q","00:03:37","00:03:39","This is by far the most hard...","by far the most hot come"
"VsJIpReqo5Q","00:03:39","00:03:40","Come on.","on oh"
"VsJIpReqo5Q","00:03:40","00:03:42","- [Devan] Oh, those are some spikes.","those are some spikes those are some"
"VsJIpReqo5Q","00:03:43","00:03:44","- [Paulina] Okay Hammy, we have to be careful here.","spikes okay we have to be careful here we do not want"
"VsJIpReqo5Q","00:03:45","00:03:46","We do not want to make you into hammy kebab.","to make you into a hammy kebab"
"VsJIpReqo5Q","00:03:47","00:03:48","- Fall, I want you to fall.","oh i want you to fall"
"VsJIpReqo5Q","00:03:50","00:03:50","- Oh, that was close.","oh that was close"
"VsJIpReqo5Q","00:03:51","00:03:51","- [Anna] It's all good, brush it off,","it's all good brush it off"
"VsJIpReqo5Q","00:03:52","00:03:53","brush it off. Keep going.","brush it off keep going all right again this is the easiest"
"VsJIpReqo5Q","00:03:54","00:03:54","part of the maze,","part of the maze the tube"
"VsJIpReqo5Q","00:03:55","00:03:55","the tube, he's just going to squeeze his...","you're just going"
"VsJIpReqo5Q","00:03:56","00:03:56","Are you stuck?","to squeeze this are"
"VsJIpReqo5Q","00:03:57","00:03:58","Oh okay, that's not good.","you stuck oh okay that's not good"
"VsJIpReqo5Q","00:03:58","00:03:59","Hammy's stuck in the tube,","and we stuck in the tube we got to"
"VsJIpReqo5Q","00:03:59","00:04:00","we got to encourage him right now.","encourage him right now so everyone let's"
"VsJIpReqo5Q","00:04:01","00:04:01","So everybody let's do this, here we go.","do this here we go"
"VsJIpReqo5Q","00:04:02","00:04:04","(all chanting) Hammy, Hammy, Hammy.","squeeze it"
"VsJIpReqo5Q","00:04:05","00:04:05","- Breathe it in, suck in your stomach.","in suck in your"
"VsJIpReqo5Q","00:04:06","00:04:07","Push, you got it push.","stomach push your body"
"VsJIpReqo5Q","00:04:12","00:04:13","(all cheer)","punch"
"VsJIpReqo5Q","00:04:13","00:04:15","- [Michael] Dang it, he made it out.","it he made it up don't be scared of the spider"
"VsJIpReqo5Q","00:04:15","00:04:16","- [Ashley] Don't be scared of the spider keep going.","keep going get"
"VsJIpReqo5Q","00:04:16","00:04:18","- [Paulina] Get over the spider hammy.","over the spider those are"
"VsJIpReqo5Q","00:04:18","00:04:19","- Those are some dope swords.","some dope swords"
"VsJIpReqo5Q","00:04:20","00:04:22","","[Music]"
"VsJIpReqo5Q","00:04:22","00:04:24","- [Devan] Wait, it looks like there's another maze.","wait looks like there's another maze all right so hammy"
"VsJIpReqo5Q","00:04:25","00:04:25","- [Collins] Alright. So hammy is now entering","is now entering"
"VsJIpReqo5Q","00:04:26","00:04:26","into the traps portion of the maze","into the traps portion of"
"VsJIpReqo5Q","00:04:27","00:04:27","and there are a lot of buttons","the maze and there are a lot of buttons"
"VsJIpReqo5Q","00:04:28","00:04:30","and some really insane eliminations here","and some really insane eliminations here and there"
"VsJIpReqo5Q","00:04:30","00:04:32","and there may be a trap door hidden somewhere on this stage.","may be a trap door hidden somewhere on"
"VsJIpReqo5Q","00:04:33","00:04:34","- I'm sorry?","this stage i'm sorry hold on let me"
"VsJIpReqo5Q","00:04:35","00:04:36","- Hold on, let me just. All right, cool.","just oh all right cool so yeah"
"VsJIpReqo5Q","00:04:36","00:04:37","So yeah, we're going to move on from that right now.","yeah we're gonna move on from that right"
"VsJIpReqo5Q","00:04:38","00:04:39","- You cannot mess with me like that.","now you cannot mess with me like that i"
"VsJIpReqo5Q","00:04:39","00:04:41","I am a paranoid person by nature.","am a paranoid person by nature i see"
"VsJIpReqo5Q","00:04:42","00:04:43","- [Anna] I see a lever, I don't know what it means.","a lover i don't know what it means but"
"VsJIpReqo5Q","00:04:43","00:04:46","But I don't think it's good.","i don't think it's good no no no watch out for the"
"VsJIpReqo5Q","00:04:46","00:04:48","- Watch out for the lever, don't do it, go back, go back.","lever don't do it don't do it go back"
"VsJIpReqo5Q","00:04:49","00:04:50","(all yelling) No, no, no.","go back no no no no no oh"
"VsJIpReqo5Q","00:04:51","00:04:52","- Oh no, oh no.","no"
"VsJIpReqo5Q","00:04:52","00:05:04","","oh [Music]"
"VsJIpReqo5Q","00:05:05","00:05:06","- The hamster could do that?","the hamster could do that live's"
"VsJIpReqo5Q","00:05:06","00:05:07","- [Collins] May has been booted out of the game.","been booted out of the game we"
"VsJIpReqo5Q","00:05:07","00:05:09","We are down to the final six, so Hammy.","are down to the final six so hear"
"VsJIpReqo5Q","00:05:10","00:05:10","Who's next, man?","me who's next man my"
"VsJIpReqo5Q","00:05:10","00:05:12","- May, why?","the final six so hear me who's next man my why what"
"VsJIpReqo5Q","00:05:12","00:05:13","- [Devan] What is going on?","is going on this hamster"
"VsJIpReqo5Q","00:05:13","00:05:15","This hamster is insane.","is insane i can't"
"VsJIpReqo5Q","00:05:15","00:05:16","I can't even imagine what he's thinking about.","even imagine what he's"
"VsJIpReqo5Q","00:05:17","00:05:20","(dance music)","thinking about no no no no"
"VsJIpReqo5Q","00:05:21","00:05:22","- [Devan] No, no, no, no, no, no.","no oh don't don't push"
"VsJIpReqo5Q","00:05:22","00:05:23","- [Paulina] ] Don't press anymore buttons.","anymore"
"VsJIpReqo5Q","00:05:23","00:05:24","- [Tori] Wait, wait, what are you doing?","what is the matter"
"VsJIpReqo5Q","00:05:25","00:05:25","- What is the matter with you?","with you"
"VsJIpReqo5Q","00:05:25","00:05:28","You hit her with the boot and now you are eating a saw.","you hit her with the boot and now you are eating a sauce"
"VsJIpReqo5Q","00:05:29","00:05:29","What are you?","what are"
"VsJIpReqo5Q","00:05:30","00:05:31","You are not a hamster.","you you are not a hamster"
"VsJIpReqo5Q","00:05:32","00:05:32","",""
"VsJIpReqo5Q","00:05:32","00:05:34","- [Devan] No, Hammy, no.","no hammy no"
"VsJIpReqo5Q","00:05:35","00:05:35","- [Anna] I can't handle this.","oh"
"VsJIpReqo5Q","00:05:36","00:05:37","- Ha, the maze fights back.","maze fights"
"VsJIpReqo5Q","00:05:43","00:05:43","",""
"VsJIpReqo5Q","00:05:43","00:05:46","He's so cute, I feel like he's looking at me.","he's so cute i feel like he's looking at me"
"VsJIpReqo5Q","00:05:47","00:05:47","",""
"VsJIpReqo5Q","00:05:48","00:05:49","My heart.","my heart oh my god he's"
"VsJIpReqo5Q","00:05:50","00:05:51","- He's stuck, that's it. You stuck.","stuck you're stuck that's it you stuck"
"VsJIpReqo5Q","00:05:52","00:05:52","Look at your foot action,","look at your foot action"
"VsJIpReqo5Q","00:05:53","00:05:54","it's weak. It's sad.","it's weak it's sad"
"VsJIpReqo5Q","00:05:55","00:05:56","- [Anna] Push you got it, push.","you got it punched"
"VsJIpReqo5Q","00:06:01","00:06:01","- His little booty.","wait"
"VsJIpReqo5Q","00:06:02","00:06:02","- [Michael] Wait that's a button, that's a button.","that's a button that's a button there"
"VsJIpReqo5Q","00:06:03","00:06:04","- [Collins] There must be another elimination.","must be another"
"VsJIpReqo5Q","00:06:05","00:06:05","(sneaky music playing)","elimination no"
"VsJIpReqo5Q","00:06:05","00:06:06","- Shh. (all yelling) No, no, no, no.","no no"
"VsJIpReqo5Q","00:06:07","00:06:08","- [Tori] Please stop, stop, retreat, retreat.","please stop stop retreat retreat"
"VsJIpReqo5Q","00:06:09","00:06:10","- Don't touch that button, don't touch it","don't touch that button don't touch it don't do it"
