video_id,lang,text,timecode
W0qmeAT34xc,English,Please welcome Joseline Hernandez.,0:00 / 8:38
W0qmeAT34xc,English,Please welcome Joseline Hernandez.,0:01 / 8:38
W0qmeAT34xc,English,Please welcome Joseline Hernandez.,0:02 / 8:38
W0qmeAT34xc,English,(upbeat music),0:02 / 8:38
W0qmeAT34xc,English,(upbeat music),0:03 / 8:38
W0qmeAT34xc,English,(upbeat music),0:04 / 8:38
W0qmeAT34xc,English,,0:05 / 8:38
W0qmeAT34xc,English,,0:06 / 8:38
W0qmeAT34xc,English,,0:07 / 8:38
W0qmeAT34xc,English,,0:08 / 8:38
W0qmeAT34xc,English,,0:09 / 8:38
W0qmeAT34xc,English,,0:10 / 8:38
W0qmeAT34xc,English,,0:11 / 8:38
W0qmeAT34xc,English,,0:12 / 8:38
W0qmeAT34xc,English,,0:13 / 8:38
W0qmeAT34xc,English,,0:14 / 8:38
W0qmeAT34xc,English,,0:15 / 8:38
W0qmeAT34xc,English,,0:16 / 8:38
W0qmeAT34xc,English,,0:17 / 8:38
W0qmeAT34xc,English,,0:18 / 8:38
W0qmeAT34xc,English,(audience cheering),0:18 / 8:38
W0qmeAT34xc,English,(audience cheering),0:19 / 8:38
W0qmeAT34xc,English,(audience cheering),0:20 / 8:38
W0qmeAT34xc,English,(audience cheering),0:21 / 8:38
W0qmeAT34xc,English,,0:21 / 8:38
W0qmeAT34xc,English,"For some reason, I wouldn't recognize you if I saw you.",0:22 / 8:38
W0qmeAT34xc,English,"For some reason, I wouldn't recognize you if I saw you.",0:23 / 8:38
W0qmeAT34xc,English,"For some reason, I wouldn't recognize you if I saw you.",0:24 / 8:38
W0qmeAT34xc,English,"For some reason, I wouldn't recognize you if I saw you.",0:25 / 8:38
W0qmeAT34xc,English,You look different every time I see you.,0:25 / 8:38
W0qmeAT34xc,English,You look different every time I see you.,0:26 / 8:38
W0qmeAT34xc,English,,0:27 / 8:38
W0qmeAT34xc,English,,0:28 / 8:38
W0qmeAT34xc,English,In a good way.,0:28 / 8:38
W0qmeAT34xc,English,In a good way.,0:29 / 8:38
W0qmeAT34xc,English,"Hopefully it's in a good way,",0:30 / 8:38
W0qmeAT34xc,English,"Hopefully it's in a good way,",0:31 / 8:38
W0qmeAT34xc,English,Miss Wendy. Yes!,0:32 / 8:38
W0qmeAT34xc,English,"'Cause you know, Miss Wendy,",0:32 / 8:38
W0qmeAT34xc,English,"'Cause you know, Miss Wendy,",0:33 / 8:38
W0qmeAT34xc,English,I just must say this to you first.,0:33 / 8:38
W0qmeAT34xc,English,I just must say this to you first.,0:34 / 8:38
W0qmeAT34xc,English,I just must say this to you first.,0:35 / 8:38
W0qmeAT34xc,English,I just must say this to you first.,0:36 / 8:38
W0qmeAT34xc,English,I hope you're gonna give me my flowers today.,0:36 / 8:38
W0qmeAT34xc,English,I hope you're gonna give me my flowers today.,0:37 / 8:38
W0qmeAT34xc,English,I hope you're gonna give me my flowers today.,0:38 / 8:38
W0qmeAT34xc,English,I hope you're gonna honor how much work,0:39 / 8:38
W0qmeAT34xc,English,I hope you're gonna honor how much work,0:40 / 8:38
W0qmeAT34xc,English,I hope you're gonna honor how much work,0:41 / 8:38
W0qmeAT34xc,English,I put it out there.,0:42 / 8:38
W0qmeAT34xc,English,I put it out there.,0:43 / 8:38
W0qmeAT34xc,English,"I hope you're gonna, you know,",0:43 / 8:38
W0qmeAT34xc,English,"I hope you're gonna, you know,",0:44 / 8:38
W0qmeAT34xc,English,"I hope you're gonna, you know,",0:45 / 8:38
W0qmeAT34xc,English,not kind of like throw this off,0:46 / 8:38
W0qmeAT34xc,English,not kind of like throw this off,0:47 / 8:38
W0qmeAT34xc,English,outside of everything that I've done.,0:48 / 8:38
W0qmeAT34xc,English,outside of everything that I've done.,0:49 / 8:38
W0qmeAT34xc,English,outside of everything that I've done.,0:50 / 8:38
W0qmeAT34xc,English,"I'm an accomplished woman,",0:50 / 8:38
W0qmeAT34xc,English,"I'm an accomplished woman,",0:51 / 8:38
W0qmeAT34xc,English,"and I just feel like every time I come to your show,",0:52 / 8:38
W0qmeAT34xc,English,"and I just feel like every time I come to your show,",0:53 / 8:38
W0qmeAT34xc,English,"and I just feel like every time I come to your show,",0:54 / 8:38
W0qmeAT34xc,English,"you don't give me those flowers now, you know?",0:54 / 8:38
W0qmeAT34xc,English,"you don't give me those flowers now, you know?",0:55 / 8:38
W0qmeAT34xc,English,"you don't give me those flowers now, you know?",0:56 / 8:38
W0qmeAT34xc,English,"you don't give me those flowers now, you know?",0:57 / 8:38
W0qmeAT34xc,English,"you don't give me those flowers now, you know?",0:58 / 8:38
W0qmeAT34xc,English,"And you're, Wendy, you're 35 years my senior.",0:58 / 8:38
W0qmeAT34xc,English,"And you're, Wendy, you're 35 years my senior.",0:59 / 8:38
W0qmeAT34xc,English,"And you're, Wendy, you're 35 years my senior.",1:00 / 8:38
W0qmeAT34xc,English,"And you're, Wendy, you're 35 years my senior.",1:01 / 8:38
W0qmeAT34xc,English,"Ow, yes.",1:01 / 8:38
W0qmeAT34xc,English,"Ow, yes.",1:02 / 8:38
W0qmeAT34xc,English,I should get those,1:02 / 8:38
W0qmeAT34xc,English,I should get those,1:03 / 8:38
W0qmeAT34xc,English,I should get those,1:04 / 8:38
W0qmeAT34xc,English,flowers by you. Shade.,1:04 / 8:38
W0qmeAT34xc,English,flowers by you. Shade.,1:05 / 8:38
W0qmeAT34xc,English,I should feel wanted by people like you.,1:06 / 8:38
W0qmeAT34xc,English,I should feel wanted by people like you.,1:07 / 8:38
W0qmeAT34xc,English,I should feel wanted by people like you.,1:08 / 8:38
W0qmeAT34xc,English,I should feel wanted by people like you.,1:09 / 8:38
W0qmeAT34xc,English,"Not just me, all the other young girls.",1:10 / 8:38
W0qmeAT34xc,English,"Not just me, all the other young girls.",1:11 / 8:38
W0qmeAT34xc,English,"Not just me, all the other young girls.",1:12 / 8:38
W0qmeAT34xc,English,You are wanted by me.,1:12 / 8:38
W0qmeAT34xc,English,You are wanted by me.,1:13 / 8:38
W0qmeAT34xc,English,I always say that you're very entertaining.,1:14 / 8:38
W0qmeAT34xc,English,I always say that you're very entertaining.,1:15 / 8:38
W0qmeAT34xc,English,But we feel like you be trying us.,1:15 / 8:38
W0qmeAT34xc,English,But we feel like you be trying us.,1:16 / 8:38
W0qmeAT34xc,English,But we feel like you be trying us.,1:17 / 8:38
W0qmeAT34xc,English,But we feel like you be trying us.,1:18 / 8:38
W0qmeAT34xc,English,We feel like you don't be really rooting for us.,1:19 / 8:38
W0qmeAT34xc,English,We feel like you don't be really rooting for us.,1:20 / 8:38
W0qmeAT34xc,English,We feel like you don't be really rooting for us.,1:21 / 8:38
W0qmeAT34xc,English,We feel like you don't be really rooting for us.,1:22 / 8:38
W0qmeAT34xc,English,"You know, we feel like, and especially with me.",1:22 / 8:38
W0qmeAT34xc,English,"You know, we feel like, and especially with me.",1:23 / 8:38
W0qmeAT34xc,English,"Every time I come on your show,",1:24 / 8:38
W0qmeAT34xc,English,"Every time I come on your show,",1:25 / 8:38
W0qmeAT34xc,English,you always wanna compare me to another broad.,1:25 / 8:38
W0qmeAT34xc,English,you always wanna compare me to another broad.,1:26 / 8:38
W0qmeAT34xc,English,you always wanna compare me to another broad.,1:27 / 8:38
W0qmeAT34xc,English,I don't need to be compared.,1:27 / 8:38
W0qmeAT34xc,English,I don't need to be compared.,1:28 / 8:38
W0qmeAT34xc,English,I've made my own brand.,1:29 / 8:38
W0qmeAT34xc,English,I've made my own brand.,1:30 / 8:38
W0qmeAT34xc,English,"I've made my own brand for years, you know?",1:30 / 8:38
W0qmeAT34xc,English,"I've made my own brand for years, you know?",1:31 / 8:38
W0qmeAT34xc,English,"I've made my own brand for years, you know?",1:32 / 8:38
W0qmeAT34xc,English,I've been out here for the past decade.,1:33 / 8:38
W0qmeAT34xc,English,I've been out here for the past decade.,1:34 / 8:38
W0qmeAT34xc,English,"I got my own show, I fresh diced my own show",1:35 / 8:38
W0qmeAT34xc,English,"I got my own show, I fresh diced my own show",1:36 / 8:38
W0qmeAT34xc,English,"I got my own show, I fresh diced my own show",1:37 / 8:38
W0qmeAT34xc,English,to another network.,1:37 / 8:38
W0qmeAT34xc,English,to another network.,1:38 / 8:38
W0qmeAT34xc,English,I have the number one show in the country.,1:39 / 8:38
W0qmeAT34xc,English,I have the number one show in the country.,1:40 / 8:38
W0qmeAT34xc,English,I have the number one show in the country.,1:41 / 8:38
W0qmeAT34xc,English,I know.,1:41 / 8:38
W0qmeAT34xc,English,I know.,1:42 / 8:38
W0qmeAT34xc,English,I have an actual cabaret show.,1:43 / 8:38
W0qmeAT34xc,English,"No, you have the number one show on Zeus,",1:44 / 8:38
W0qmeAT34xc,English,and you got renewed for a third season,1:45 / 8:38
W0qmeAT34xc,English,and you got renewed for a third season,1:46 / 8:38
W0qmeAT34xc,English,which is to be commended.,1:47 / 8:38
W0qmeAT34xc,English,"The number one show in the country, Miss Wendy.",1:48 / 8:38
W0qmeAT34xc,English,"The number one show in the country, Miss Wendy.",1:49 / 8:38
W0qmeAT34xc,English,Okay.,1:50 / 8:38
W0qmeAT34xc,English,,1:51 / 8:38
W0qmeAT34xc,English,"And I just want you to know that,",1:52 / 8:38
W0qmeAT34xc,English,I want you to know how I feel.,1:53 / 8:38
W0qmeAT34xc,English,I want you to know how I feel.,1:54 / 8:38
W0qmeAT34xc,English,I want you to know that I feel like,1:55 / 8:38
W0qmeAT34xc,English,I want you to know that I feel like,1:56 / 8:38
W0qmeAT34xc,English,"every time I come on here,",1:57 / 8:38
W0qmeAT34xc,English,"every time I come on here,",1:58 / 8:38
W0qmeAT34xc,English,you understand anything. You feel undervalued?,1:58 / 8:38
W0qmeAT34xc,English,"Well so do I, okay?",1:59 / 8:38
W0qmeAT34xc,English,"Well so do I, okay?",2:00 / 8:38
W0qmeAT34xc,English,,2:01 / 8:38
W0qmeAT34xc,English,You know what?,2:01 / 8:38
W0qmeAT34xc,English,You know what?,2:02 / 8:38
W0qmeAT34xc,English,"Joseline, because you're a part of pop culture,",2:02 / 8:38
W0qmeAT34xc,English,"Joseline, because you're a part of pop culture,",2:03 / 8:38
W0qmeAT34xc,English,"Joseline, because you're a part of pop culture,",2:04 / 8:38
W0qmeAT34xc,English,this is what I do.,2:04 / 8:38
W0qmeAT34xc,English,this is what I do.,2:05 / 8:38
W0qmeAT34xc,English,But if you possibly think that I leave here every day,2:05 / 8:38
W0qmeAT34xc,English,But if you possibly think that I leave here every day,2:06 / 8:38
W0qmeAT34xc,English,But if you possibly think that I leave here every day,2:07 / 8:38
W0qmeAT34xc,English,But if you possibly think that I leave here every day,2:08 / 8:38
W0qmeAT34xc,English,"and don't feel undervalued for something that I do,",2:08 / 8:38
W0qmeAT34xc,English,"and don't feel undervalued for something that I do,",2:09 / 8:38
W0qmeAT34xc,English,"and don't feel undervalued for something that I do,",2:10 / 8:38
W0qmeAT34xc,English,"and don't feel undervalued for something that I do,",2:11 / 8:38
W0qmeAT34xc,English,"you know, as a woman,",2:11 / 8:38
W0qmeAT34xc,English,"you know, as a woman,",2:12 / 8:38
W0qmeAT34xc,English,we're not gonna even talk about race.,2:12 / 8:38
W0qmeAT34xc,English,we're not gonna even talk about race.,2:13 / 8:38
W0qmeAT34xc,English,"Just as a woman,",2:14 / 8:38
W0qmeAT34xc,English,"Just as a woman,",2:15 / 8:38
W0qmeAT34xc,English,I still don't make that dollar for dollar men make.,2:15 / 8:38
W0qmeAT34xc,English,I still don't make that dollar for dollar men make.,2:16 / 8:38
W0qmeAT34xc,English,I still don't make that dollar for dollar men make.,2:17 / 8:38
W0qmeAT34xc,English,"So please, anyway, shoe cam, please.",2:18 / 8:38
W0qmeAT34xc,English,"So please, anyway, shoe cam, please.",2:19 / 8:38
W0qmeAT34xc,English,Let me see your shoes.,2:19 / 8:38
W0qmeAT34xc,English,Let me see your shoes.,2:20 / 8:38
W0qmeAT34xc,English,(applause),2:21 / 8:38
W0qmeAT34xc,English,"Okay, but Wendy-- But stop.",2:21 / 8:38
W0qmeAT34xc,English,"Okay, but Wendy-- But stop.",2:22 / 8:38
W0qmeAT34xc,English,"Joseline, Joseline.",2:23 / 8:38
W0qmeAT34xc,English,"Listen, I'm making pretty cool money.",2:24 / 8:38
W0qmeAT34xc,English,"Listen, I'm making pretty cool money.",2:25 / 8:38
W0qmeAT34xc,English,"Listen, I'm making pretty cool money.",2:26 / 8:38
W0qmeAT34xc,English,"I own my own show,",2:27 / 8:38
W0qmeAT34xc,English,so you should be doing the same thing.,2:28 / 8:38
W0qmeAT34xc,English,so you should be doing the same thing.,2:29 / 8:38
W0qmeAT34xc,English,"But as a woman to woman, woman to woman,",2:29 / 8:38
W0qmeAT34xc,English,"But as a woman to woman, woman to woman,",2:30 / 8:38
W0qmeAT34xc,English,"But as a woman to woman, woman to woman,",2:31 / 8:38
W0qmeAT34xc,English,"But as a woman to woman, woman to woman,",2:32 / 8:38
