"video_id","min_timecode","max_timecode","text.user","text.auto"
"WAOkXN7aXxg","00:00:00","00:00:02","- This pandemic has absolutely taken a toll","this pandemic has absolutely taken a"
"WAOkXN7aXxg","00:00:03","00:00:06","on all of our physical and mental wellbeings.","toll on all of our physical and mental well-beings you know whether"
"WAOkXN7aXxg","00:00:06","00:00:10","You know whether you're a nurse, a contractor, a doctor","you're a nurse a contractor a doctor"
"WAOkXN7aXxg","00:00:10","00:00:12","or regretfully unemployed.","or regretfully unemployed it's been a tough"
"WAOkXN7aXxg","00:00:12","00:00:14","It's been a tough year.","year we're"
"WAOkXN7aXxg","00:00:14","00:00:16","We're socially isolated.","socially isolated it's been a tough year we're socially isolated um it's"
"WAOkXN7aXxg","00:00:17","00:00:19","It's politically charged divisive time.","politically charged divisive time it's"
"WAOkXN7aXxg","00:00:20","00:00:21","It's tough and I think it's okay to say that,","tough and i think it's okay to say that"
"WAOkXN7aXxg","00:00:22","00:00:23","that we're all struggling a bit.","that we're all struggling a bit i've spent"
"WAOkXN7aXxg","00:00:23","00:00:25","I spent this pandemic in New York","this pandemic in new york"
"WAOkXN7aXxg","00:00:26","00:00:27","","um but a few weeks"
"WAOkXN7aXxg","00:00:27","00:00:29","but a few weeks ago I went down to Miami,","ago i went down to miami to"
"WAOkXN7aXxg","00:00:30","00:00:31","to my father's apartment.","my father's apartment and"
"WAOkXN7aXxg","00:00:32","00:00:33","And I wanna talk to you about that trip","i want to talk to you about that trip and i want to talk to you about that trip"
"WAOkXN7aXxg","00:00:33","00:00:36","because I learned a very important lesson","because i learned a very important lesson"
"WAOkXN7aXxg","00:00:36","00:00:37","that I wanna discuss with you.","that i want to discuss with you"
"WAOkXN7aXxg","00:00:38","00:00:38","When I went down to Miami,","when i went down"
"WAOkXN7aXxg","00:00:39","00:00:41","my friends surprised me with a private boat","to miami my friend surprised me with a private"
"WAOkXN7aXxg","00:00:42","00:00:43","","boat as a belated birthday"
"WAOkXN7aXxg","00:00:43","00:00:44","as a belated birthday present","present"
"WAOkXN7aXxg","00:00:45","00:00:46","and I was very grateful,","and i was very grateful"
"WAOkXN7aXxg","00:00:46","00:00:49","I was excited, at the same time I was a little cautious","i was excited at the same time i was a little"
"WAOkXN7aXxg","00:00:50","00:00:52","and nervous because we're in the midst of a pandemic.","cautious and nervous because we're in the midst of a pandemic so"
"WAOkXN7aXxg","00:00:52","00:00:54","So I went on the CDC website","i went on the cdc website"
"WAOkXN7aXxg","00:00:54","00:00:57","and checked the guidance for wearing masks","and checked the guidance for wearing masks during"
"WAOkXN7aXxg","00:00:57","00:00:59","during water activities.","water activities i checked the local"
"WAOkXN7aXxg","00:00:59","00:01:02","I checked the local boat capacity guidelines,","boat capacity guidelines so we"
"WAOkXN7aXxg","00:01:02","00:01:03","so we were well below that","were well below that"
"WAOkXN7aXxg","00:01:04","00:01:06","and then I started thinking about individual risk","and then i started thinking about individual risk and"
"WAOkXN7aXxg","00:01:06","00:01:07","and that's something I talked to you guys","that's something i talk to you guys"
"WAOkXN7aXxg","00:01:08","00:01:08","quite frequently about.","quite frequently"
"WAOkXN7aXxg","00:01:09","00:01:10","I get questions like,","about i get questions like is it safe"
"WAOkXN7aXxg","00:01:10","00:01:11","""Is it safe to go on a boat?","to go on a boat"
"WAOkXN7aXxg","00:01:12","00:01:12","""Is it safe to fly?","is it safe to fly"
"WAOkXN7aXxg","00:01:13","00:01:14","""Is it safe to see my relatives?""","is it safe to see my relatives"
"WAOkXN7aXxg","00:01:14","00:01:18","And there's rarely a one size fits all answer","and there's rarely a one-size-fits-all answer because answer because"
"WAOkXN7aXxg","00:01:18","00:01:20","because risk is a spectrum.","risk is a spectrum"
"WAOkXN7aXxg","00:01:21","00:01:23","So I looked at my own personal risk level.","so i looked at my own personal risk level"
"WAOkXN7aXxg","00:01:24","00:01:25","I'm young, I don't have health problems.","i'm young i don't have health problems"
"WAOkXN7aXxg","00:01:26","00:01:28","I live alone so I don't put anyone else at risk.","i live alone so i don't put anyone else at risk"
"WAOkXN7aXxg","00:01:29","00:01:30","I'm gonna be following the proper quarantine","i'm going to be following the proper quarantine"
"WAOkXN7aXxg","00:01:31","00:01:33","and testing protocols returning back to New York.","and testing protocols returning back to new york"
"WAOkXN7aXxg","00:01:34","00:01:34","","we're"
"WAOkXN7aXxg","00:01:35","00:01:38","We're following all the testing boat capacity","following all the testing boat capacity and"
"WAOkXN7aXxg","00:01:38","00:01:40","and travel guidelines,","travel guidelines so"
"WAOkXN7aXxg","00:01:40","00:01:41","so I thought for me,","i thought for me"
"WAOkXN7aXxg","00:01:42","00:01:46","this risk level was okay but even considering all that,","this risk level was okay but even considering all that even considering"
"WAOkXN7aXxg","00:01:46","00:01:48","even considering following the rules,","okay but even considering all that even considering following the rules as the"
"WAOkXN7aXxg","00:01:49","00:01:52","as the guidelines that are set forth, it doesn't matter.","guidelines that are set forth it doesn't matter i messed"
"WAOkXN7aXxg","00:01:52","00:01:53","I messed up.","up"
"WAOkXN7aXxg","00:01:54","00:01:54","",""
"WAOkXN7aXxg","00:01:55","00:01:58","I really did and I need to do better.","i really did and i need to do better"
"WAOkXN7aXxg","00:01:59","00:02:00","The reason I'm saying this","the reason i'm saying this"
"WAOkXN7aXxg","00:02:00","00:02:04","is because of the impact of my trip.","is because of the impact of my trip"
"WAOkXN7aXxg","00:02:05","00:02:05","The impact","the impact"
"WAOkXN7aXxg","00:02:06","00:02:06","",""
"WAOkXN7aXxg","00:02:07","00:02:09","can harm the medical message","can harm the medical message that i've"
"WAOkXN7aXxg","00:02:10","00:02:11","from the beginning of this pandemic,","been delivering from the beginning of this pandemic that"
"WAOkXN7aXxg","00:02:12","00:02:14","that COVID-19 is serious,","covid19 is serious that masks"
"WAOkXN7aXxg","00:02:14","00:02:17","that masks are benign yet important measure","are a benign yet important measure to"
"WAOkXN7aXxg","00:02:17","00:02:19","to reduce the spread of COVID-19,","reduce the spread of covet 19"
"WAOkXN7aXxg","00:02:19","00:02:22","and that I take it very, very seriously.","and that i take it very very seriously when i"
"WAOkXN7aXxg","00:02:22","00:02:23","When I go to work I wear a mask,","go to work i wear a"
"WAOkXN7aXxg","00:02:24","00:02:26","when I walk bare I wear a mask,","mask when i walk bare i wear a mask when i"
"WAOkXN7aXxg","00:02:26","00:02:29","when I exercise in the gym I wear a mask","exercise in the gym i wear a mask because"
"WAOkXN7aXxg","00:02:29","00:02:31","because it's truly, truly important.","it's truly truly important what's"
"WAOkXN7aXxg","00:02:32","00:02:33","What's killing me most right now is","killing me most right now is"
"WAOkXN7aXxg","00:02:34","00:02:37","like people leave negative comments and I deserve that,","like people leave negative comments and i i deserve"
"WAOkXN7aXxg","00:02:38","00:02:38","I'm accepting of that.","that i'm accepting of"
"WAOkXN7aXxg","00:02:39","00:02:40","I messed up here, it's true","that i messed up here it's true"
"WAOkXN7aXxg","00:02:40","00:02:41","","but"
"WAOkXN7aXxg","00:02:42","00:02:45","but when I see bad actors and conspiracy theorists","when i see bad actors and conspiracy theorists"
"WAOkXN7aXxg","00:02:45","00:02:47","try and use my situation","try and use my situation"
"WAOkXN7aXxg","00:02:48","00:02:52","to attack the legitimacy of COVID-19 to downplay its risks,","to attack the legitimacy of covet 19 to downplay its risks to"
"WAOkXN7aXxg","00:02:53","00:02:56","to say masks don't work, that kills me","say masks don't work that kills me because"
"WAOkXN7aXxg","00:02:56","00:02:59","because it feels like I'm being used for nefarious purposes.","it feels like i'm being used for nefarious purposes"
"WAOkXN7aXxg","00:03:00","00:03:01","It's not true.","it's not true"
"WAOkXN7aXxg","00:03:02","00:03:04","Attack me, don't attack the science,","attack me don't attack the science don't"
"WAOkXN7aXxg","00:03:04","00:03:07","don't attack the hard working women and men of the CDC","attack the hard-working women and men of the cdc and the"
"WAOkXN7aXxg","00:03:08","00:03:09","and the WHO.","who they're doing"
"WAOkXN7aXxg","00:03:09","00:03:12","They're doing research in order to keep you safe at home.","research in order to keep you safe at home"
"WAOkXN7aXxg","00:03:13","00:03:17","So this situation taught me a lot about impact,","so the situation taught me a lot about impact"
"WAOkXN7aXxg","00:03:18","00:03:19","what I need to do better,","what i need to do better"
"WAOkXN7aXxg","00:03:20","00:03:22","how I need to understand that my actions","how i need to understand that my actions carry real"
"WAOkXN7aXxg","00:03:22","00:03:24","carry real consequences","consequences and while"
"WAOkXN7aXxg","00:03:24","00:03:27","and while I may be following rules and guidelines,","i may be following rules and guidelines it's"
"WAOkXN7aXxg","00:03:28","00:03:30","it's not enough to just think about that.","not enough to just think about that i have to think about"
"WAOkXN7aXxg","00:03:30","00:03:31","I have to think about the impact","the impact"
"WAOkXN7aXxg","00:03:32","00:03:32","",""
"WAOkXN7aXxg","00:03:33","00:03:36","and the people that I'm saying sorry to right now","and the people that i'm saying sorry to right now"
"WAOkXN7aXxg","00:03:37","00:03:38","are very specific people.","are very specific people it's"
"WAOkXN7aXxg","00:03:39","00:03:41","It's you who have supported me on this channel","you who have supported me on this channel and been"
"WAOkXN7aXxg","00:03:41","00:03:43","and been loyal viewers.","loyal viewers it's"
"WAOkXN7aXxg","00:03:44","00:03:47","It's those healthcare providers on the front line","those healthcare providers on the front line who"
"WAOkXN7aXxg","00:03:47","00:03:50","who are caring for patients sick with COVID-19,","are caring for patients sick with kovid19"
"WAOkXN7aXxg","00:03:51","00:03:52","it's those people at home, it's you at home,","it's those people at home it's you"
"WAOkXN7aXxg","00:03:53","00:03:55","who's done the right thing this entire time","at home who's done the right thing this entire time"
"WAOkXN7aXxg","00:03:56","00:03:58","and sees me doing this.","and entire time and sees me doing this"
"WAOkXN7aXxg","00:03:59","00:04:01","I'm sorry, I let you down.","i'm sorry i let you down"
