video_id,lang,text,timecode
WM5JqE2YcVU,English - Default,- Okay.,0:00 / 22:12
WM5JqE2YcVU,English - Default,"So, hi.",0:01 / 22:12
WM5JqE2YcVU,English - Default,It has been a hot minute since I've filmed a video.,0:02 / 22:12
WM5JqE2YcVU,English - Default,It has been a hot minute since I've filmed a video.,0:03 / 22:12
WM5JqE2YcVU,English - Default,It has been a hot minute since I've filmed a video.,0:04 / 22:12
WM5JqE2YcVU,English - Default,And that is because I am pregnant.,0:05 / 22:12
WM5JqE2YcVU,English - Default,And that is because I am pregnant.,0:06 / 22:12
WM5JqE2YcVU,English - Default,And that is because I am pregnant.,0:07 / 22:12
WM5JqE2YcVU,English - Default,I'm pregnant.,0:08 / 22:12
WM5JqE2YcVU,English - Default,I can't believe I'm actually saying this,0:09 / 22:12
WM5JqE2YcVU,English - Default,I can't believe I'm actually saying this,0:10 / 22:12
WM5JqE2YcVU,English - Default,to a camera and filming this video,0:10 / 22:12
WM5JqE2YcVU,English - Default,to a camera and filming this video,0:11 / 22:12
WM5JqE2YcVU,English - Default,to a camera and filming this video,0:12 / 22:12
WM5JqE2YcVU,English - Default,"because it still doesn't feel fully real, but I am pregnant.",0:12 / 22:12
WM5JqE2YcVU,English - Default,"because it still doesn't feel fully real, but I am pregnant.",0:13 / 22:12
WM5JqE2YcVU,English - Default,"because it still doesn't feel fully real, but I am pregnant.",0:14 / 22:12
WM5JqE2YcVU,English - Default,"because it still doesn't feel fully real, but I am pregnant.",0:15 / 22:12
WM5JqE2YcVU,English - Default,"because it still doesn't feel fully real, but I am pregnant.",0:16 / 22:12
WM5JqE2YcVU,English - Default,I'm gonna have a baby.,0:17 / 22:12
WM5JqE2YcVU,English - Default,I'm gonna have a baby.,0:18 / 22:12
WM5JqE2YcVU,English - Default,Through the beginning of my pregnancy,0:18 / 22:12
WM5JqE2YcVU,English - Default,Through the beginning of my pregnancy,0:19 / 22:12
WM5JqE2YcVU,English - Default,"and not even just the beginning of my pregnancy,",0:20 / 22:12
WM5JqE2YcVU,English - Default,"and not even just the beginning of my pregnancy,",0:21 / 22:12
WM5JqE2YcVU,English - Default,"but like my whole journey up until this point,",0:22 / 22:12
WM5JqE2YcVU,English - Default,"but like my whole journey up until this point,",0:23 / 22:12
WM5JqE2YcVU,English - Default,"but like my whole journey up until this point,",0:24 / 22:12
WM5JqE2YcVU,English - Default,"trying to conceive, I have gotten so much",0:24 / 22:12
WM5JqE2YcVU,English - Default,"trying to conceive, I have gotten so much",0:25 / 22:12
WM5JqE2YcVU,English - Default,"trying to conceive, I have gotten so much",0:26 / 22:12
WM5JqE2YcVU,English - Default,"trying to conceive, I have gotten so much",0:27 / 22:12
WM5JqE2YcVU,English - Default,out of watching other people's videos,0:27 / 22:12
WM5JqE2YcVU,English - Default,out of watching other people's videos,0:28 / 22:12
WM5JqE2YcVU,English - Default,about announcing their pregnancy or their fertility journey.,0:29 / 22:12
WM5JqE2YcVU,English - Default,about announcing their pregnancy or their fertility journey.,0:30 / 22:12
WM5JqE2YcVU,English - Default,about announcing their pregnancy or their fertility journey.,0:31 / 22:12
WM5JqE2YcVU,English - Default,I feel like it has helped me so much,0:32 / 22:12
WM5JqE2YcVU,English - Default,I feel like it has helped me so much,0:33 / 22:12
WM5JqE2YcVU,English - Default,in just seeing how different everyone's journey can be,0:34 / 22:12
WM5JqE2YcVU,English - Default,in just seeing how different everyone's journey can be,0:35 / 22:12
WM5JqE2YcVU,English - Default,in just seeing how different everyone's journey can be,0:36 / 22:12
WM5JqE2YcVU,English - Default,and just making me feel less alone,0:36 / 22:12
WM5JqE2YcVU,English - Default,and just making me feel less alone,0:37 / 22:12
WM5JqE2YcVU,English - Default,and just making me feel less alone,0:38 / 22:12
WM5JqE2YcVU,English - Default,and making me feel so much more hopeful.,0:39 / 22:12
WM5JqE2YcVU,English - Default,and making me feel so much more hopeful.,0:40 / 22:12
WM5JqE2YcVU,English - Default,So today I wanna contribute to that.,0:40 / 22:12
WM5JqE2YcVU,English - Default,So today I wanna contribute to that.,0:41 / 22:12
WM5JqE2YcVU,English - Default,So today I wanna contribute to that.,0:42 / 22:12
WM5JqE2YcVU,English - Default,So today I wanna contribute to that.,0:43 / 22:12
WM5JqE2YcVU,English - Default,I wanna contribute to videos like that,0:43 / 22:12
WM5JqE2YcVU,English - Default,I wanna contribute to videos like that,0:44 / 22:12
WM5JqE2YcVU,English - Default,that have helped me so much,0:45 / 22:12
WM5JqE2YcVU,English - Default,that have helped me so much,0:46 / 22:12
WM5JqE2YcVU,English - Default,and share our story of trying to conceive.,0:46 / 22:12
WM5JqE2YcVU,English - Default,and share our story of trying to conceive.,0:47 / 22:12
WM5JqE2YcVU,English - Default,and share our story of trying to conceive.,0:48 / 22:12
WM5JqE2YcVU,English - Default,And that has not been a picture perfect road,0:49 / 22:12
WM5JqE2YcVU,English - Default,And that has not been a picture perfect road,0:50 / 22:12
WM5JqE2YcVU,English - Default,And that has not been a picture perfect road,0:51 / 22:12
WM5JqE2YcVU,English - Default,"by any means, but it's real.",0:52 / 22:12
WM5JqE2YcVU,English - Default,"by any means, but it's real.",0:53 / 22:12
WM5JqE2YcVU,English - Default,And it's our story.,0:54 / 22:12
WM5JqE2YcVU,English - Default,And I know that there are so many other women out there,0:55 / 22:12
WM5JqE2YcVU,English - Default,And I know that there are so many other women out there,0:56 / 22:12
WM5JqE2YcVU,English - Default,And I know that there are so many other women out there,0:57 / 22:12
WM5JqE2YcVU,English - Default,who have dealt with the same struggles and emotions,0:57 / 22:12
WM5JqE2YcVU,English - Default,who have dealt with the same struggles and emotions,0:58 / 22:12
WM5JqE2YcVU,English - Default,who have dealt with the same struggles and emotions,0:59 / 22:12
WM5JqE2YcVU,English - Default,who have dealt with the same struggles and emotions,1:00 / 22:12
WM5JqE2YcVU,English - Default,"or even different struggles, but the same emotions.",1:00 / 22:12
WM5JqE2YcVU,English - Default,"or even different struggles, but the same emotions.",1:01 / 22:12
WM5JqE2YcVU,English - Default,"or even different struggles, but the same emotions.",1:02 / 22:12
WM5JqE2YcVU,English - Default,So I just wanna share it all with you guys today,1:03 / 22:12
WM5JqE2YcVU,English - Default,So I just wanna share it all with you guys today,1:04 / 22:12
WM5JqE2YcVU,English - Default,in this very exciting video,1:05 / 22:12
WM5JqE2YcVU,English - Default,in this very exciting video,1:06 / 22:12
WM5JqE2YcVU,English - Default,that I could just not be more thrilled,1:07 / 22:12
WM5JqE2YcVU,English - Default,that I could just not be more thrilled,1:08 / 22:12
WM5JqE2YcVU,English - Default,that I could just not be more thrilled,1:09 / 22:12
WM5JqE2YcVU,English - Default,to be filming right now.,1:10 / 22:12
WM5JqE2YcVU,English - Default,I basically wanna walk through everything,1:11 / 22:12
WM5JqE2YcVU,English - Default,I basically wanna walk through everything,1:12 / 22:12
WM5JqE2YcVU,English - Default,from Stephen and I deciding that we wanna have a baby,1:13 / 22:12
WM5JqE2YcVU,English - Default,from Stephen and I deciding that we wanna have a baby,1:14 / 22:12
WM5JqE2YcVU,English - Default,from Stephen and I deciding that we wanna have a baby,1:15 / 22:12
WM5JqE2YcVU,English - Default,from Stephen and I deciding that we wanna have a baby,1:16 / 22:12
WM5JqE2YcVU,English - Default,up until now being pregnant and all the messy bits,1:16 / 22:12
WM5JqE2YcVU,English - Default,up until now being pregnant and all the messy bits,1:17 / 22:12
WM5JqE2YcVU,English - Default,up until now being pregnant and all the messy bits,1:18 / 22:12
WM5JqE2YcVU,English - Default,up until now being pregnant and all the messy bits,1:19 / 22:12
WM5JqE2YcVU,English - Default,up until now being pregnant and all the messy bits,1:20 / 22:12
WM5JqE2YcVU,English - Default,up until now being pregnant and all the messy bits,1:21 / 22:12
WM5JqE2YcVU,English - Default,that come in between those two points.,1:21 / 22:12
WM5JqE2YcVU,English - Default,that come in between those two points.,1:22 / 22:12
WM5JqE2YcVU,English - Default,"So as of right now,",1:23 / 22:12
WM5JqE2YcVU,English - Default,"So as of right now,",1:24 / 22:12
WM5JqE2YcVU,English - Default,"sitting down, filming this video, I am 11 weeks pregnant.",1:24 / 22:12
WM5JqE2YcVU,English - Default,"sitting down, filming this video, I am 11 weeks pregnant.",1:25 / 22:12
WM5JqE2YcVU,English - Default,"sitting down, filming this video, I am 11 weeks pregnant.",1:26 / 22:12
WM5JqE2YcVU,English - Default,"sitting down, filming this video, I am 11 weeks pregnant.",1:27 / 22:12
WM5JqE2YcVU,English - Default,I think I'm gonna post this video,1:27 / 22:12
WM5JqE2YcVU,English - Default,I think I'm gonna post this video,1:28 / 22:12
WM5JqE2YcVU,English - Default,I think I'm gonna post this video,1:29 / 22:12
WM5JqE2YcVU,English - Default,when I am 11 weeks six days pregnant.,1:30 / 22:12
WM5JqE2YcVU,English - Default,when I am 11 weeks six days pregnant.,1:31 / 22:12
WM5JqE2YcVU,English - Default,So like right at the end of my first trimester.,1:32 / 22:12
WM5JqE2YcVU,English - Default,So like right at the end of my first trimester.,1:33 / 22:12
WM5JqE2YcVU,English - Default,So like right at the end of my first trimester.,1:34 / 22:12
WM5JqE2YcVU,English - Default,"Before I get into our story,",1:34 / 22:12
WM5JqE2YcVU,English - Default,"Before I get into our story,",1:35 / 22:12
WM5JqE2YcVU,English - Default,"Before I get into our story,",1:36 / 22:12
WM5JqE2YcVU,English - Default,I do wanna give a trigger warning,1:36 / 22:12
WM5JqE2YcVU,English - Default,I do wanna give a trigger warning,1:37 / 22:12
WM5JqE2YcVU,English - Default,that I am gonna be talking about miscarriage.,1:37 / 22:12
WM5JqE2YcVU,English - Default,that I am gonna be talking about miscarriage.,1:38 / 22:12
WM5JqE2YcVU,English - Default,that I am gonna be talking about miscarriage.,1:39 / 22:12
WM5JqE2YcVU,English - Default,If you don't really know like my story,1:40 / 22:12
WM5JqE2YcVU,English - Default,If you don't really know like my story,1:41 / 22:12
WM5JqE2YcVU,English - Default,If you don't really know like my story,1:42 / 22:12
WM5JqE2YcVU,English - Default,"or you just started following me a couple months ago,",1:43 / 22:12
WM5JqE2YcVU,English - Default,"or you just started following me a couple months ago,",1:44 / 22:12
WM5JqE2YcVU,English - Default,you might not know this,1:45 / 22:12
WM5JqE2YcVU,English - Default,but I had two miscarriages earlier this year.,1:46 / 22:12
WM5JqE2YcVU,English - Default,but I had two miscarriages earlier this year.,1:47 / 22:12
WM5JqE2YcVU,English - Default,but I had two miscarriages earlier this year.,1:48 / 22:12
WM5JqE2YcVU,English - Default,So that is a big part of my fertility journey.,1:48 / 22:12
WM5JqE2YcVU,English - Default,So that is a big part of my fertility journey.,1:49 / 22:12
WM5JqE2YcVU,English - Default,So that is a big part of my fertility journey.,1:50 / 22:12
WM5JqE2YcVU,English - Default,So that is a big part of my fertility journey.,1:51 / 22:12
WM5JqE2YcVU,English - Default,So that is a big part of my fertility journey.,1:52 / 22:12
WM5JqE2YcVU,English - Default,And miscarriage is gonna be discussed in this video.,1:52 / 22:12
WM5JqE2YcVU,English - Default,And miscarriage is gonna be discussed in this video.,1:53 / 22:12
WM5JqE2YcVU,English - Default,And miscarriage is gonna be discussed in this video.,1:54 / 22:12
WM5JqE2YcVU,English - Default,So I just wanna put that out there,1:54 / 22:12
WM5JqE2YcVU,English - Default,So I just wanna put that out there,1:55 / 22:12
WM5JqE2YcVU,English - Default,in case anyone is sensitive to that.,1:55 / 22:12
WM5JqE2YcVU,English - Default,in case anyone is sensitive to that.,1:56 / 22:12
WM5JqE2YcVU,English - Default,in case anyone is sensitive to that.,1:57 / 22:12
WM5JqE2YcVU,English - Default,"Also, in addition to this video where I'm",1:58 / 22:12
WM5JqE2YcVU,English - Default,"Also, in addition to this video where I'm",1:59 / 22:12
WM5JqE2YcVU,English - Default,"like talking through our journey, we also posted a vlog",2:00 / 22:12
WM5JqE2YcVU,English - Default,"like talking through our journey, we also posted a vlog",2:01 / 22:12
WM5JqE2YcVU,English - Default,"like talking through our journey, we also posted a vlog",2:02 / 22:12
WM5JqE2YcVU,English - Default,"like talking through our journey, we also posted a vlog",2:03 / 22:12
WM5JqE2YcVU,English - Default,over on the Sierra & Stephen IRL channel.,2:03 / 22:12
WM5JqE2YcVU,English - Default,over on the Sierra & Stephen IRL channel.,2:04 / 22:12
WM5JqE2YcVU,English - Default,over on the Sierra & Stephen IRL channel.,2:05 / 22:12
WM5JqE2YcVU,English - Default,Stephen and I have actually been filming little bits,2:06 / 22:12
WM5JqE2YcVU,English - Default,Stephen and I have actually been filming little bits,2:07 / 22:12
WM5JqE2YcVU,English - Default,Stephen and I have actually been filming little bits,2:08 / 22:12
WM5JqE2YcVU,English - Default,and pieces here and there,2:09 / 22:12
WM5JqE2YcVU,English - Default,since the day that I took a positive pregnancy test.,2:10 / 22:12
WM5JqE2YcVU,English - Default,since the day that I took a positive pregnancy test.,2:11 / 22:12
WM5JqE2YcVU,English - Default,since the day that I took a positive pregnancy test.,2:12 / 22:12
WM5JqE2YcVU,English - Default,And we compiled all that footage up until now,2:13 / 22:12
WM5JqE2YcVU,English - Default,And we compiled all that footage up until now,2:14 / 22:12
WM5JqE2YcVU,English - Default,And we compiled all that footage up until now,2:15 / 22:12
WM5JqE2YcVU,English - Default,into a vlog that is over on that channel.,2:15 / 22:12
WM5JqE2YcVU,English - Default,into a vlog that is over on that channel.,2:16 / 22:12
WM5JqE2YcVU,English - Default,into a vlog that is over on that channel.,2:17 / 22:12
WM5JqE2YcVU,English - Default,into a vlog that is over on that channel.,2:18 / 22:12
WM5JqE2YcVU,English - Default,So if you wanna see more of like the actual footage,2:18 / 22:12
WM5JqE2YcVU,English - Default,So if you wanna see more of like the actual footage,2:19 / 22:12
WM5JqE2YcVU,English - Default,So if you wanna see more of like the actual footage,2:20 / 22:12
WM5JqE2YcVU,English - Default,of going through these things in this pregnancy,2:21 / 22:12
WM5JqE2YcVU,English - Default,of going through these things in this pregnancy,2:22 / 22:12
WM5JqE2YcVU,English - Default,of going through these things in this pregnancy,2:23 / 22:12
