"video_id","min_timecode","max_timecode","text.user","text.auto"
"WY1ptfuqWa8","00:00:00","00:00:01","","this goes"
"WY1ptfuqWa8","00:00:01","00:00:02","- [Niamh] This goes on all day long.","on all day"
"WY1ptfuqWa8","00:00:03","00:00:03","- All day.","oh dude this"
"WY1ptfuqWa8","00:00:04","00:00:05","This is the real reason my mom wanted to move out.","is the real reason my mom wanted to move out she"
"WY1ptfuqWa8","00:00:05","00:00:06","She was like...","was like nope [Music]"
"WY1ptfuqWa8","00:00:11","00:00:11","",""
"WY1ptfuqWa8","00:00:12","00:00:13","All right, Avi.","all right avi are you ready"
"WY1ptfuqWa8","00:00:15","00:00:15","Here.","here sit you"
"WY1ptfuqWa8","00:00:15","00:00:16","Sit you down there.","down there ready for"
"WY1ptfuqWa8","00:00:16","00:00:18","Ready for the big reveal.","the big reveal sit you down there ready for the big reveal it"
"WY1ptfuqWa8","00:00:18","00:00:19","- [Niamh] (laughing) Looks so cute.","looks so cute"
"WY1ptfuqWa8","00:00:20","00:00:20","- Thanks, love.","i'm glad"
"WY1ptfuqWa8","00:00:21","00:00:22","I'm glad you like him. - I love him.","you like them i love them i wasn't"
"WY1ptfuqWa8","00:00:22","00:00:23","I wasn't sure I remember him I was like, ""No.""","sure remember i was like no"
"WY1ptfuqWa8","00:00:24","00:00:26","- Yeah, you weren't supportive of the purchase","yeah you weren't supportive of the uh purchase of avi"
"WY1ptfuqWa8","00:00:26","00:00:28","of Avi, Sir Avi Cado.","sir avi cotto first"
"WY1ptfuqWa8","00:00:29","00:00:29","- [Niamh] (laughs) I love him. - First name Avi,","name"
"WY1ptfuqWa8","00:00:35","00:00:36","- Okay, I'm sorry.","okay i'm sorry i know you"
"WY1ptfuqWa8","00:00:36","00:00:37","I know you guys are here to meet my boyfriend.","guys are here to meet my boyfriend"
"WY1ptfuqWa8","00:00:38","00:00:40","By the way, that's why I'm like so low in the frame.","by the way that's why i'm like so low in the frame"
"WY1ptfuqWa8","00:00:40","00:00:41","(Niamh laughs) It's because my boyfriend,","it's because"
"WY1ptfuqWa8","00:00:42","00:00:44","we had to like frame the video up for him to sit next to me,","my boyfriend we had to like frame the video up for him to sit next"
"WY1ptfuqWa8","00:00:45","00:00:47","not the avocado, and he's very tall.","to me not the avocado and uh he's very tall well"
"WY1ptfuqWa8","00:00:48","00:00:48","Well, he's not very tall.","he's not very"
"WY1ptfuqWa8","00:00:48","00:00:49","He's very tall compared to me,","tall he's very tall compared to me"
"WY1ptfuqWa8","00:00:50","00:00:51","which is not hard.","which is not you know it's not hard"
"WY1ptfuqWa8","00:00:51","00:00:53","So he's gonna swoop in here in a second,","so he's gonna swoop here in a second but"
"WY1ptfuqWa8","00:00:54","00:00:56","but on my haul video where it showed Avi,","on my uh on my haul video where i showed avi"
"WY1ptfuqWa8","00:00:57","00:00:58","all of you were joking that this is my boyfriend.","all of you were joking that this is my boyfriend"
"WY1ptfuqWa8","00:00:59","00:01:00","So I thought I'd just play along with the joke.","so i thought i'd just play along"
"WY1ptfuqWa8","00:01:01","00:01:04","By the way, we may or may not have Avi Cado merch","with the joke by the way we may or may not have avicado merch coming"
"WY1ptfuqWa8","00:01:04","00:01:06","coming soon, so pretty exciting.","soon so pretty exciting okay"
"WY1ptfuqWa8","00:01:07","00:01:08","Okay, actual boyfriend, are you ready?","actual boyfriend are you ready"
"WY1ptfuqWa8","00:01:09","00:01:10","- [Adrian] I'm ready, let's go.","ready let's"
"WY1ptfuqWa8","00:01:10","00:01:11","(drum rolls) - Drum roll.","go"
"WY1ptfuqWa8","00:01:12","00:01:12","",""
"WY1ptfuqWa8","00:01:13","00:01:14","- What's up, YouTube?","[Laughter]"
"WY1ptfuqWa8","00:01:19","00:01:21","I'm rarely quite comfortable behind the camera, I won't lie,","behind the camera i won't lie but it's nice"
"WY1ptfuqWa8","00:01:21","00:01:22","but it's nice to see the light of day.","to see the light of day"
"WY1ptfuqWa8","00:01:23","00:01:23","- All right.","all right so you guys"
"WY1ptfuqWa8","00:01:23","00:01:25","So you guys don't even know his name,","don't even know his name i've just kept calling"
"WY1ptfuqWa8","00:01:25","00:01:26","I've just kept calling him my boyfriend.","him my boyfriend"
"WY1ptfuqWa8","00:01:26","00:01:29","It's been like this ambiguous thing.","it's been like this ambiguous thing so"
"WY1ptfuqWa8","00:01:29","00:01:33","So would you like to tell them your name or should I?","would you like to tell them your name or should i no my name's"
"WY1ptfuqWa8","00:01:34","00:01:35","Should I give 'em a last name, too?","adrian should i give him last name no no we don't like"
"WY1ptfuqWa8","00:01:35","00:01:36","- No, no, we don't wanna give 'em that much tea.","that"
"WY1ptfuqWa8","00:01:37","00:01:37","No, no.","much tea no no"
"WY1ptfuqWa8","00:01:38","00:01:39","We don't need all the Googling,","we don't need all the all the googling"
"WY1ptfuqWa8","00:01:40","00:01:40","you know? - Yeah.","you know yeah"
"WY1ptfuqWa8","00:01:41","00:01:43","- So this is Adrian, my boyfriend.","so this is adrian my boyfriend nice"
"WY1ptfuqWa8","00:01:43","00:01:44","- Nice to meet you guys.","to meet you guys"
"WY1ptfuqWa8","00:01:44","00:01:46","","he's"
"WY1ptfuqWa8","00:01:46","00:01:47","- He's real!","right i thought i've seen you guys"
"WY1ptfuqWa8","00:01:48","00:01:51","I know some of you guys out there, so.","in the comments you know i know some of you guys out there so engaged patreon as well"
"WY1ptfuqWa8","00:01:52","00:01:53","- I was gonna say.","i was gonna say he knows the patrons very"
"WY1ptfuqWa8","00:01:53","00:01:54","He knows the Patreon very well.","well officially"
"WY1ptfuqWa8","00:01:54","00:01:55","- Yeah, they're great.","great shout out"
"WY1ptfuqWa8","00:01:55","00:01:57","Shout out to...","shout out to uh matt can we give"
"WY1ptfuqWa8","00:01:57","00:01:58","Now, can we give some shout outs?","some shout outs sure"
"WY1ptfuqWa8","00:01:58","00:01:59","- Sure, you give some shout outs.","you give some shout out to dan"
"WY1ptfuqWa8","00:02:00","00:02:00","- Shout out to Dan, shout out to Lynn,","shout out to"
"WY1ptfuqWa8","00:02:01","00:02:02","shout out to Megan, shout out to Anna,","lynn shout out to megan shout out to anna shout"
"WY1ptfuqWa8","00:02:03","00:02:04","shout out to Shasta.","out to shasta major lynn"
"WY1ptfuqWa8","00:02:04","00:02:06","- Madja Lin. - Madja Lin, of course.","of course after bryce"
"WY1ptfuqWa8","00:02:07","00:02:08","- Yeah. - I see you.","yeah i'll see you oh my god there's so many"
"WY1ptfuqWa8","00:02:08","00:02:09","- Oh my God, there's so many, though.","though we can't name all of them"
"WY1ptfuqWa8","00:02:10","00:02:12","Katrine, okay, stop, we'll stop, we'll stop.","katrine okay we'll stop we'll stop there's so many there's so"
"WY1ptfuqWa8","00:02:13","00:02:14","- We gotta give Adam the love.","many yeah we gotta give out himself oh yeah"
"WY1ptfuqWa8","00:02:16","00:02:16","- Love you! - Oh my God,","i love"
"WY1ptfuqWa8","00:02:17","00:02:19","is about to give birth to a second set of triplets.","you he's about to give birth to his second set of triplets wild"
"WY1ptfuqWa8","00:02:19","00:02:20","- Wild.","wild"
"WY1ptfuqWa8","00:02:21","00:02:22","We have a lot of fun over on Patreon","we had a lot of fun over on patreon by the way if you haven't"
"WY1ptfuqWa8","00:02:22","00:02:24","by the way, if you haven't, check it out below.","check it out below it truly"
"WY1ptfuqWa8","00:02:25","00:02:25","It truly is so much fun.","is so much fun every single week"
"WY1ptfuqWa8","00:02:26","00:02:26","Every single week we do live streams,","we do live"
"WY1ptfuqWa8","00:02:27","00:02:28","we have a Discord chat.","streams we have a discord chat it's a"
"WY1ptfuqWa8","00:02:29","00:02:29","It's a lot of fun.","lot of fun so last saturday"
"WY1ptfuqWa8","00:02:29","00:02:32","So last Saturday I posted a video prepping my apartment","i posted a video prepping my apartment for my boyfriend's"
"WY1ptfuqWa8","00:02:32","00:02:33","for my boyfriend's move in.","move in"
"WY1ptfuqWa8","00:02:33","00:02:35","So we have officially been living together","so we have officially been living together at the"
"WY1ptfuqWa8","00:02:36","00:02:37","at the time of filming this video for just over a week.","time of filming this video for just over"
"WY1ptfuqWa8","00:02:38","00:02:39","And it's been amazing.","a week and it's been amazing"
"WY1ptfuqWa8","00:02:40","00:02:41","","yes it"
"WY1ptfuqWa8","00:02:42","00:02:43","","is"
"WY1ptfuqWa8","00:02:45","00:02:46","- Sorry, excuse us, excuse us.","sorry excuses give"
"WY1ptfuqWa8","00:02:47","00:02:47","- Give us a moment.","us a moment"
"WY1ptfuqWa8","00:02:48","00:02:48","",""
"WY1ptfuqWa8","00:02:49","00:02:50","- [Niamh] This goes on all day long.","this goes on all day long oh dude this is"
"WY1ptfuqWa8","00:02:51","00:02:51","- All day, this is the real reason","the real"
"WY1ptfuqWa8","00:02:52","00:02:52","my mom wanted to move out.","reason my mom wanted to move"
"WY1ptfuqWa8","00:02:53","00:02:53","She was like-","out she was like"
"WY1ptfuqWa8","00:02:54","00:02:54","- [Niamh] Nope.","nope she'd"
"WY1ptfuqWa8","00:02:55","00:02:55","- She'd like be like, ""So guys,""","like be like so guys"
"WY1ptfuqWa8","00:02:56","00:02:57","and she'd like turn around and we'd just be like","and she'd like turn around and we'd just be like longingly"
"WY1ptfuqWa8","00:02:57","00:02:58","longingly hugging each other.","hugging each other"
"WY1ptfuqWa8","00:02:59","00:02:59","And she'd be like, ""Are you kidding me?""","and she'd be like are you kidding"
"WY1ptfuqWa8","00:03:00","00:03:00","- And we'd be like ""What?","me and we'd be like what we"
"WY1ptfuqWa8","00:03:01","00:03:01","We love each other.""","love each other"
"WY1ptfuqWa8","00:03:02","00:03:02","So- - [Niamh] It's beautiful,","it's beautiful it's"
"WY1ptfuqWa8","00:03:03","00:03:03","it's beautiful,","beautiful but"
"WY1ptfuqWa8","00:03:04","00:03:05","but you know... (chuckle)","you know she doesn't need"
"WY1ptfuqWa8","00:03:05","00:03:06","- She doesn't need to see it all the time.","to see it all the time"
"WY1ptfuqWa8","00:03:06","00:03:07","- [Niamh] No. - So, this week,","so this week we're just"
"WY1ptfuqWa8","00:03:08","00:03:10","we're just in a kind of like tell the story of our love.","going to kind of like tell the story of our love and"
"WY1ptfuqWa8","00:03:11","00:03:13","And then next Saturday, August 22nd,","then next saturday august 22nd we're going to"
"WY1ptfuqWa8","00:03:13","00:03:15","we're gonna be doing a Q&A.","be doing a q a so in"
"WY1ptfuqWa8","00:03:15","00:03:17","So, in the comment section of this video,","the comment section of this video fill it with"
"WY1ptfuqWa8","00:03:17","00:03:20","fill it with all of your grilling questions for Adrian here.","all of your grilling questions for adrien here"
"WY1ptfuqWa8","00:03:21","00:03:22","It can be about Adrian himself,","it can be about adrian himself it could be"
