video_id,lang,text,timecode
Wqi0NtRLQxY,English,,0:00 / 14:40
Wqi0NtRLQxY,English,,0:01 / 14:40
Wqi0NtRLQxY,English,,0:02 / 14:40
Wqi0NtRLQxY,English,,0:03 / 14:40
Wqi0NtRLQxY,English,,0:04 / 14:40
Wqi0NtRLQxY,English,[XBOX SOUND],0:04 / 14:40
Wqi0NtRLQxY,English,[XBOX SOUND],0:05 / 14:40
Wqi0NtRLQxY,English,"- What's going on, everybody?",0:05 / 14:40
Wqi0NtRLQxY,English,"- What's going on, everybody?",0:06 / 14:40
Wqi0NtRLQxY,English,My name is Malik Prince.,0:07 / 14:40
Wqi0NtRLQxY,English,And November 10th is right around the corner.,0:07 / 14:40
Wqi0NtRLQxY,English,And November 10th is right around the corner.,0:08 / 14:40
Wqi0NtRLQxY,English,And November 10th is right around the corner.,0:09 / 14:40
Wqi0NtRLQxY,English,So you know what that means?,0:09 / 14:40
Wqi0NtRLQxY,English,So you know what that means?,0:10 / 14:40
Wqi0NtRLQxY,English,"The launch of the Xbox Series X,",0:11 / 14:40
Wqi0NtRLQxY,English,"our fastest, most powerful console ever.",0:12 / 14:40
Wqi0NtRLQxY,English,"our fastest, most powerful console ever.",0:13 / 14:40
Wqi0NtRLQxY,English,"our fastest, most powerful console ever.",0:14 / 14:40
Wqi0NtRLQxY,English,"And the Xbox Series S, our smallest Xbox ever,",0:14 / 14:40
Wqi0NtRLQxY,English,"And the Xbox Series S, our smallest Xbox ever,",0:15 / 14:40
Wqi0NtRLQxY,English,"And the Xbox Series S, our smallest Xbox ever,",0:16 / 14:40
Wqi0NtRLQxY,English,"And the Xbox Series S, our smallest Xbox ever,",0:17 / 14:40
Wqi0NtRLQxY,English,packed with next gen performance.,0:17 / 14:40
Wqi0NtRLQxY,English,packed with next gen performance.,0:18 / 14:40
Wqi0NtRLQxY,English,They're both right around the corner.,0:19 / 14:40
Wqi0NtRLQxY,English,Super exciting time.,0:20 / 14:40
Wqi0NtRLQxY,English,"So, today what we're gonna do",0:21 / 14:40
Wqi0NtRLQxY,English,is we're gonna walk you through a full demo,0:22 / 14:40
Wqi0NtRLQxY,English,is we're gonna walk you through a full demo,0:23 / 14:40
Wqi0NtRLQxY,English,"from top to bottom unedited,",0:24 / 14:40
