video_id,lang,text,timecode
XRMhtSgDjoY,English,- It's rising.,0:00 / 14:20
XRMhtSgDjoY,English,- It's rising.,0:01 / 14:20
XRMhtSgDjoY,English,It's so big.,0:01 / 14:20
XRMhtSgDjoY,English,It's so big.,0:02 / 14:20
XRMhtSgDjoY,English,(yells),0:03 / 14:20
XRMhtSgDjoY,English,(yells),0:04 / 14:20
XRMhtSgDjoY,English,Oh my god.,0:05 / 14:20
XRMhtSgDjoY,English,I think the yeast worked.,0:06 / 14:20
XRMhtSgDjoY,English,I think the yeast worked.,0:07 / 14:20
XRMhtSgDjoY,English,I did something horribly wrong.,0:07 / 14:20
XRMhtSgDjoY,English,I did something horribly wrong.,0:08 / 14:20
XRMhtSgDjoY,English,I did something horribly wrong.,0:09 / 14:20
XRMhtSgDjoY,English,I did something horribly wrong.,0:10 / 14:20
XRMhtSgDjoY,English,What the (beep) man.,0:10 / 14:20
XRMhtSgDjoY,English,What the (beep) man.,0:11 / 14:20
XRMhtSgDjoY,English,What the (beep) man.,0:12 / 14:20
XRMhtSgDjoY,English,What the (beep) man.,0:13 / 14:20
XRMhtSgDjoY,English,"- [Keith] Welcome to another without a recipe, retry.",0:14 / 14:20
XRMhtSgDjoY,English,"- [Keith] Welcome to another without a recipe, retry.",0:15 / 14:20
XRMhtSgDjoY,English,"- [Keith] Welcome to another without a recipe, retry.",0:16 / 14:20
XRMhtSgDjoY,English,"- [Keith] Welcome to another without a recipe, retry.",0:17 / 14:20
XRMhtSgDjoY,English,Where we retry to make something without a recipe.,0:17 / 14:20
XRMhtSgDjoY,English,Where we retry to make something without a recipe.,0:18 / 14:20
XRMhtSgDjoY,English,Where we retry to make something without a recipe.,0:19 / 14:20
XRMhtSgDjoY,English,Where we retry to make something without a recipe.,0:20 / 14:20
XRMhtSgDjoY,English,"- Today, we are revisiting a Try Guys classic,",0:20 / 14:20
XRMhtSgDjoY,English,"- Today, we are revisiting a Try Guys classic,",0:21 / 14:20
XRMhtSgDjoY,English,"- Today, we are revisiting a Try Guys classic,",0:22 / 14:20
XRMhtSgDjoY,English,"- Today, we are revisiting a Try Guys classic,",0:23 / 14:20
