"video_id","min_timecode","max_timecode","text.user","text.auto"
"Y47t9qLc9I4","00:00:00","00:00:01","","mask wearing"
"Y47t9qLc9I4","00:00:01","00:00:04","Mask-wearing and COVID-19 is complicated.","and covet 19 is complicated and not just because"
"Y47t9qLc9I4","00:00:04","00:00:07","And not just because it’s become politically fraught, not just because there are many different","it's become politically fraught not just because there are many different kinds of"
"Y47t9qLc9I4","00:00:07","00:00:10","kinds of masks of varying levels of effectiveness, not just because there’s been a shortage","masks of varying levels of effectiveness not just because there's been a"
"Y47t9qLc9I4","00:00:11","00:00:14","of medical grade masks so authorities were trying to convince the public not to buy them,","shortage of medical grade masks so authorities were trying to convince the public not to buy"
"Y47t9qLc9I4","00:00:15","00:00:18","not just because there’s tons of malicious or simply misguided misinformation flying","them not just because there's tons of malicious or simply misguided information flying around"
"Y47t9qLc9I4","00:00:18","00:00:21","around, not just because our understanding of how COVID spreads has been changing, and","not just because our understanding of how coveted spreads has been changing"
"Y47t9qLc9I4","00:00:22","00:00:25","not just because countries in the West ignored the lessons learned by Asian countries that","and not just because countries in the west ignored the lessons learned by asian countries"
"Y47t9qLc9I4","00:00:26","00:00:28","faced SARS (though all of these things are true).","that faced sars though all of these things are true"
"Y47t9qLc9I4","00:00:29","00:00:33","In addition to all this, masks are also complicated because they fly in the face of our mathematical","on top of all this masks are also complicated because they fly in the face of our mathematical intuition"
"Y47t9qLc9I4","00:00:33","00:00:34","intuition.","the good news"
"Y47t9qLc9I4","00:00:35","00:00:37","The good news is that when you do the math (and we’re going to), you find that masks","is that when you do the math and we're going to you find that"
"Y47t9qLc9I4","00:00:38","00:00:40","are much more effective than you might think.","masks are much more effective than you might think say you"
"Y47t9qLc9I4","00:00:41","00:00:44","Say you have a mask that cuts in half the chance a contagious person will infect a nearby","have a mask that cuts in half the chance a contagious person will infect a nearby susceptible"
"Y47t9qLc9I4","00:00:44","00:00:45","susceptible person.","person in"
"Y47t9qLc9I4","00:00:45","00:00:47","In other words, this mask is 50% effective.","other words this mask is 50 effective"
"Y47t9qLc9I4","00:00:48","00:00:52","Except, this mask is way more than 50% effective because as we’ll see, when many people wear","except this mask is way more than 50 effective because as we'll see when many people wear"
"Y47t9qLc9I4","00:00:53","00:00:56","even just a 50% effective mask, you end up with way more than 50% protection (both to","even just a 50 effective mask you end up with way more than 50 protection"
"Y47t9qLc9I4","00:00:57","00:00:57","the wearer and to society at large).","it seems"
"Y47t9qLc9I4","00:00:58","00:01:02","It seems obvious that if no one wears a mask, then no one gets any benefit - and that’s","obvious that if no one wears a mask then no one gets any benefit and that's true and you might"
"Y47t9qLc9I4","00:01:02","00:01:03","true.","assume that"
"Y47t9qLc9I4","00:01:03","00:01:06","And you might assume that if everyone wears a 50% effective mask, there’d be a 50% benefit","if everyone wears a 50 effective mask there'd be a 50"
"Y47t9qLc9I4","00:01:07","00:01:09","- that is, a 50% drop in disease transmission.","benefit that is a 50 drop in disease transmission"
"Y47t9qLc9I4","00:01:09","00:01:12","But that’s not how the math of masks works!","but that's not how the math of masks works"
