"video_id","min_timecode","max_timecode","text.user","text.auto"
"YBJeCYZxvnY","00:00:00","00:00:01","VANDALS SPRAY-PAINTED IT AND","pix 5's katie nielsen"
"YBJeCYZxvnY","00:00:01","00:00:06","LEFT A SEVERED PICKS HEAD","is at the house speaker's pacific heights home tonight katie right now there"
"YBJeCYZxvnY","00:00:07","00:00:12","GOOD EVENING.","are garbage bags covering the graffiti that was spray painted on the garage door of nancy"
"YBJeCYZxvnY","00:00:12","00:00:13","","pelosi's home"
"YBJeCYZxvnY","00:00:14","00:00:15","SPEAKER'S PACIFIC HEIGHTS HOME","you can see some of the black spray paint"
"YBJeCYZxvnY","00:00:16","00:00:17","TONIGHT.","peeking through at the very bottom"
"YBJeCYZxvnY","00:00:18","00:00:19","ARE GARBAGE BAGS COVERING THE","of the door the graffiti says"
"YBJeCYZxvnY","00:00:19","00:00:20","GRAFFITI THAT WAS SPRAY-PAINTED","cancel rent and"
"YBJeCYZxvnY","00:00:21","00:00:22","PELOSI'S HOME.","we want everything there was also"
"YBJeCYZxvnY","00:00:22","00:00:23","YOU CAN SEE SOME OF THE BLACK","a severed pigs head in"
"YBJeCYZxvnY","00:00:23","00:00:27","SPRAY PAINT PEEKING THROUGH AT","a pool of red paint left in front of the garage door"
"YBJeCYZxvnY","00:00:28","00:00:30","","san francisco police say they first got the call about the incident around 2 a.m"
"YBJeCYZxvnY","00:00:31","00:00:32","THE GRAFFITI SAYS CANCELED RENT","speaker pelosi was not"
"YBJeCYZxvnY","00:00:33","00:00:34","THERE'S ALSO A SEVERED PICKS","home at the time she's currently in washington"
"YBJeCYZxvnY","00:00:34","00:00:39","HEAD IN A POOL OF RED PAINT,","d.c neighbors say while they understand the frustration over politics in washington"
"YBJeCYZxvnY","00:00:40","00:00:41","POLICE SAY THEY FIRST GOT THE","they say this type of vandalism"
"YBJeCYZxvnY","00:00:41","00:00:42","2 AM.","doesn't resolve anything"
"YBJeCYZxvnY","00:00:42","00:00:44","SPEAKER PELOSI WAS NOT HOME AT","i don't think this is"
"YBJeCYZxvnY","00:00:45","00:00:45","WASHINGTON, DC.","a useful"
"YBJeCYZxvnY","00:00:46","00:00:46","NEIGHBORS ESSAY WHILE THEY","way to"
"YBJeCYZxvnY","00:00:47","00:00:48","POLITICS IN WASHINGTON, THEY","go about it and it's a terrible start"
"YBJeCYZxvnY","00:00:49","00:00:50","NOT RESOLVE ANYTHING.","to this new year when we're hoping for less"
"YBJeCYZxvnY","00:00:51","00:00:53",">> I DON'T THINK THIS IS A","anger and hatred than we've"
"YBJeCYZxvnY","00:00:54","00:00:54","USEFUL WAY TO GO ABOUT IT, IT","had to deal with for the last"
"YBJeCYZxvnY","00:00:55","00:00:57","IS A TERRIBLE START TO THIS NEW","year there are security cameras"
"YBJeCYZxvnY","00:00:58","00:00:59","YEAR WHEN WE ARE HOPING FOR","all around nancy pelosi's home we"
"YBJeCYZxvnY","00:00:59","00:01:04","LAST ANGER AND HATRED THAN WE","do not know if those cameras were able to catch the vandals in the act now we have"
"YBJeCYZxvnY","00:01:04","00:01:05","","reached out"
"YBJeCYZxvnY","00:01:06","00:01:10","HAVE HAD TO DEAL WITH OVER THE","to speaker pelosi's office for comment on this incident so far we have not heard"
"YBJeCYZxvnY","00:01:11","00:01:14","","anything back from them in san francisco katie nielsen kpix 5."
"YBJeCYZxvnY","00:01:15","00:01:15","",""
