"video_id","min_timecode","max_timecode","text.user","text.auto"
"YHsdYu8RRSI","00:00:00","00:00:01","",""
"YHsdYu8RRSI","00:00:02","00:00:03","No one is escaping the loop.","no one is escaping the loop"
"YHsdYu8RRSI","00:00:04","00:00:04","Not on my watch.","not on my watch"
"YHsdYu8RRSI","00:00:05","00:00:06","","i've been gathering"
"YHsdYu8RRSI","00:00:06","00:00:09","I've been gathering the greatest hunters across all realities","the greatest hunters across all realities and"
"YHsdYu8RRSI","00:00:09","00:00:11","and I started with the best.","i started with the best"
"YHsdYu8RRSI","00:00:12","00:00:14","Cost a lot of credits to convince Mando, ","cost a lot of credits to convince mando but"
"YHsdYu8RRSI","00:00:14","00:00:16","but this is the way.","this is the way"
"YHsdYu8RRSI","00:00:16","00:00:18","","the"
"YHsdYu8RRSI","00:00:18","00:00:21","The plan - pure chaos","plan pure chaos and no one will"
"YHsdYu8RRSI","00:00:21","00:00:23","and no one will sow it better than them.","sow it better than them"
"YHsdYu8RRSI","00:00:24","00:00:24","",""
"YHsdYu8RRSI","00:00:25","00:00:28","Menace. Reality's greatest gladiator.","menace reality's greatest gladiator the"
"YHsdYu8RRSI","00:00:28","00:00:28","",""
"YHsdYu8RRSI","00:00:29","00:00:30","The guy has never been defeated.","guys never been defeated"
"YHsdYu8RRSI","00:00:31","00:00:31","","man cave"
"YHsdYu8RRSI","00:00:32","00:00:34","A flapjack forged on a griddle of rage.","a flapjack forged on a griddle"
"YHsdYu8RRSI","00:00:35","00:00:36","And Mave ","of rage and mate you know"
"YHsdYu8RRSI","00:00:36","00:00:39","you know, just a shapeshifting barbarian warrior.","just a shape-shifting barbarian warrior"
"YHsdYu8RRSI","00:00:40","00:00:41","","[Music]"
"YHsdYu8RRSI","00:00:41","00:00:44","As they explore the island, they'll have scores to settle","as they explore the island they'll"
"YHsdYu8RRSI","00:00:45","00:00:46","and bounties to collect","have scores to settle and bounties to collect all"
"YHsdYu8RRSI","00:00:46","00:00:49","all while we get ready for the next phase","while we get ready for the next phase"
"YHsdYu8RRSI","00:00:49","00:00:51","and we're just getting started.","and we're just getting started [Music]"
"YHsdYu8RRSI","00:00:51","00:00:55","",""
"YHsdYu8RRSI","00:00:56","00:00:57","So, what are you waiting for?","so what are you waiting for"
"YHsdYu8RRSI","00:00:58","00:00:59","The Hunt is On.","the hunt is"
"YHsdYu8RRSI","00:00:59","00:01:16","","on"
