"video_id","min_timecode","max_timecode","text.user","text.auto"
"YbYeJarCeYA","00:00:00","00:00:03","Minecraft is full of different unique mobs, but there are even more mobs that you have","minecraft is full of different unique mobs but there are even more"
"YbYeJarCeYA","00:00:04","00:00:05","probably never seen or heard of.","mobs you've probably never even seen or heard"
"YbYeJarCeYA","00:00:06","00:00:09","So today we're looking at the unknown mobs that Mojang created and then REMOVED from","of so today we're looking at the unknown mobs that mojang created and then"
"YbYeJarCeYA","00:00:10","00:00:11","Minecraft.","removed from minecraft we're nearly at 1.2"
"YbYeJarCeYA","00:00:11","00:00:15","we're nearly at 1.2 million so subscribe and let's find out which mobs you can't find in","million so subscribe and let's find out which mobs you can't find in minecraft anymore"
"YbYeJarCeYA","00:00:15","00:00:18","Minecraft any more, starting off with some of the weirdest secret mobs, which are from","starting off with some of the weirdest secret mobs which are from"
"YbYeJarCeYA","00:00:19","00:00:20","Minecraft Earth.","minecraft earth the game got shut down"
"YbYeJarCeYA","00:00:20","00:00:24","The game got shut down in June, leaving these mobs completely hidden and unobtainable.","in june leaving these mobs completely hidden and unobtainable leaving these mobs completely hidden and unobtainable we've all seen"
"YbYeJarCeYA","00:00:24","00:00:28","We've all seen the iron golem and snow golem before, but this is the furnace golem.","the iron golem and snow golem before but this is the furnace golem"
"YbYeJarCeYA","00:00:28","00:00:33","When this absolute beast sees any hostile mob, its eyes burn and launch fire at the","when this absolute beast sees any hostile mob its eyes burn and launch fire at the mob"
"YbYeJarCeYA","00:00:34","00:00:34","mob.","it's based on the"
"YbYeJarCeYA","00:00:34","00:00:37","It's based on the blast furnace, but you can't actually build this guy with one.","blast furnace but you can't actually build this guy with one don't drop the"
"YbYeJarCeYA","00:00:37","00:00:40","Don't drop the furnace golem in water, as they take damage, even though furnaces normally","furnace golem in water as they take damage even though furnaces"
"YbYeJarCeYA","00:00:41","00:00:41","work underwater.","normally work underwater"
"YbYeJarCeYA","00:00:42","00:00:45","It's also very dangerous to keep these guys around your builds as they tend to set things","it's also very dangerous to keep these guys around your builds as they tend to set things on"
"YbYeJarCeYA","00:00:46","00:00:46","on fire.","fire snow"
"YbYeJarCeYA","00:00:47","00:00:47","Snow golems have a new type too...","golems have a new type too"
"YbYeJarCeYA","00:00:48","00:00:50","Introducing the melon golem, which is really strange.","introducing the melon golem which is really strange"
"YbYeJarCeYA","00:00:51","00:00:52","Just like snow golems, you can shear off their head!","just like snow golems you can shear off their head this"
"YbYeJarCeYA","00:00:53","00:00:55","This is what the melon would look like if Mojang let you carve them, which is honestly","is what the melon would look like if mojang let you carve them which is honestly"
"YbYeJarCeYA","00:00:56","00:00:58","even more terrifying than the normal carved pumpkin.","even more terrifying than the normal carved pumpkin the melon"
"YbYeJarCeYA","00:00:59","00:01:02","The melon golem rapidly fires melon seed projectiles at its enemies, instead of snowballs like","golem rapidly fires melon seed projectiles at its enemies instead of snowballs like"
"YbYeJarCeYA","00:01:03","00:01:03","their pumpkin brothers.","their pumpkin"
"YbYeJarCeYA","00:01:04","00:01:07","The new golems are just the beginning, as another dangerous mob that Mojang added to","brothers the new golems are just the beginning as another dangerous mob that mojang added to minecraft"
"YbYeJarCeYA","00:01:08","00:01:09","Minecraft Earth was the Viler Witch.","earth was the viola witch"
"YbYeJarCeYA","00:01:09","00:01:13","It was bigger than the normal witch with a lot more health and the ability to drink invisibility","it was bigger than the normal witch with a lot more health and the ability to drink invisibility"
"YbYeJarCeYA","00:01:14","00:01:14","potions before attacking.","potions before attacking"
"YbYeJarCeYA","00:01:15","00:01:18","Something a little less harmful is the group of six new rabbit types that Mojang added","something a little less harmful is the group of six new rabbit types that mojang added to minecraft"
"YbYeJarCeYA","00:01:19","00:01:21","to Minecraft Earth but won't add to the main game.","earth but won't add to the main game most of them are just new"
"YbYeJarCeYA","00:01:21","00:01:24","Most of them are just new skins, but the most interesting one is the Jumbo Rabbit.","skins but the most interesting one is the jumbo rabbits it's"
"YbYeJarCeYA","00:01:25","00:01:29","It's nearly two blocks tall, making it absolutely massive compared to normal rabbits.","nearly two blocks tall making it absolutely massive compared to the normal rabbits big chunks"
"YbYeJarCeYA","00:01:30","00:01:34","There are also seven new pig variants, including the muddy pig, which you've probably seen","would be proud there were also seven new pig variants including the muddy pig which you've probably seen"
"YbYeJarCeYA","00:01:35","00:01:38","before, but did you know that you could get buckets of mud to get them muddy again if","before but did you know that you could get buckets of mud to get them muddy again if they dry"
"YbYeJarCeYA","00:01:38","00:01:39","they dry out?","out but what"
"YbYeJarCeYA","00:01:40","00:01:41","But what happens if mud and lava flow into each other?","happens if mud and lava flow into each other they"
"YbYeJarCeYA","00:01:42","00:01:42","They make dirt instead of cobblestone!","make dirt instead"
"YbYeJarCeYA","00:01:43","00:01:45","That's weird, but the next ones make even less sense.","of cobblestone that's weird but the next one makes even less sense"
"YbYeJarCeYA","00:01:46","00:01:49","You couldn't even get this mob in any game but it had a LEGO figure made for it!","you couldn't even get this mob in any game but it had a lego figure made for it"
"YbYeJarCeYA","00:01:49","00:01:51","This is the Dyed Cat, and its name is Peanut Butter!","this is the dyed cat and its name is peanut"
"YbYeJarCeYA","00:01:52","00:01:55","One of the developers said that it's actually purple goo on the back of that cat, so I guess","butter one of the developers said that it's actually purple goo on the back of that cat so i guess that"
"YbYeJarCeYA","00:01:56","00:01:56","that makes it peanut butter and jelly.","makes it peanut"
"YbYeJarCeYA","00:01:57","00:02:01","I don't recommend eating it, but you can eat these eight secret types of chicken from Minecraft","butter and jelly i don't recommend eating it but you can eat these eight secret types of chicken from minecraft earth this"
"YbYeJarCeYA","00:02:02","00:02:02","Earth.","one's called"
"YbYeJarCeYA","00:02:02","00:02:05","This one's called the ""cluckshroom"" and they leave a trail of red mushrooms when they walk","the klux room and they leave a trail of red mushrooms when they walk"
"YbYeJarCeYA","00:02:05","00:02:08","in the dark, running around wildly if they're in daylight.","in the dark running around wildly if they're in the daylight another"
"YbYeJarCeYA","00:02:08","00:02:09","Another interesting one is the fancy chicken.","interesting one is the fancy"
"YbYeJarCeYA","00:02:10","00:02:14","This guy struts around with a giant tail feather that it can drop, called the ""fancy feather"".","chicken this guy struts around with a giant tail feather that it can drop called the fancy feather pigs chicken out when they"
"YbYeJarCeYA","00:02:14","00:02:16","Pigs chicken out when they see fancy chickens, which is a bit rude!","see fancy chickens which is a bit rude"
"YbYeJarCeYA","00:02:17","00:02:21","An April fools update had diamond chickens that, instead of making eggs, pooped out diamonds","and april fool's update had diamond chickens that instead of making eggs pooped out diamonds every"
"YbYeJarCeYA","00:02:21","00:02:22","every now and then.","now and then this same update"
"YbYeJarCeYA","00:02:22","00:02:25","This same update had red silverfish called redstone bugs, which spawned around redstone","had red silverfish called redstone bugs which spawned"
"YbYeJarCeYA","00:02:26","00:02:27","clocks!","around redstone clocks it was also the first ever version"
"YbYeJarCeYA","00:02:27","00:02:30","It was also the first ever version with horses, which looked like this.","with horses which looked like this the funny thing is that's"
"YbYeJarCeYA","00:02:30","00:02:32","The funny thing is, that's not even the most cursed thing in this video!","not even the most cursed thing in this"
"YbYeJarCeYA","00:02:33","00:02:34","Two April fools updates had happy withers.","video two april fools updates had happy withers"
"YbYeJarCeYA","00:02:35","00:02:37","You had to feed them sugar for them to grow more heads.","you had to feed them sugar for them to grow more heads they"
"YbYeJarCeYA","00:02:38","00:02:40","They fired skulls that acted like bone meal on grass.","fired skulls that acted like bone meal on grass these"
"YbYeJarCeYA","00:02:41","00:02:44","These April fools ones were clearly joke mobs, but surprisingly this next one wasn't.","april fools ones were clearly joke mobs but surprisingly this next one wasn't"
"YbYeJarCeYA","00:02:45","00:02:48","Minecraft Earth's rainbow sheep was a real thing, and it's quite similar to the ""jeb_""","minecraft earth's rainbow sheep was a real thing and it's quite similar"
