video_id,lang,text,timecode
Z-c6SpZGUL4,English,hello everyone this is running on empty  food review well hello ladies gentlemen  ,0:00 / 10:52
Z-c6SpZGUL4,English,hello everyone this is running on empty  food review well hello ladies gentlemen  ,0:01 / 10:52
Z-c6SpZGUL4,English,hello everyone this is running on empty  food review well hello ladies gentlemen  ,0:02 / 10:52
Z-c6SpZGUL4,English,hello everyone this is running on empty  food review well hello ladies gentlemen  ,0:03 / 10:52
Z-c6SpZGUL4,English,hello everyone this is running on empty  food review well hello ladies gentlemen  ,0:04 / 10:52
Z-c6SpZGUL4,English,hello everyone this is running on empty  food review well hello ladies gentlemen  ,0:05 / 10:52
Z-c6SpZGUL4,English,hello everyone this is running on empty  food review well hello ladies gentlemen  ,0:06 / 10:52
Z-c6SpZGUL4,English,hello everyone this is running on empty  food review well hello ladies gentlemen  ,0:07 / 10:52
Z-c6SpZGUL4,English,and everyone watching thank you for tuning  in i hope everyone is doing and feeling  ,0:07 / 10:52
Z-c6SpZGUL4,English,and everyone watching thank you for tuning  in i hope everyone is doing and feeling  ,0:08 / 10:52
Z-c6SpZGUL4,English,and everyone watching thank you for tuning  in i hope everyone is doing and feeling  ,0:09 / 10:52
Z-c6SpZGUL4,English,and everyone watching thank you for tuning  in i hope everyone is doing and feeling  ,0:10 / 10:52
Z-c6SpZGUL4,English,and everyone watching thank you for tuning  in i hope everyone is doing and feeling  ,0:11 / 10:52
Z-c6SpZGUL4,English,all right today getting right into it i've been  deluged with requests and comments and messages  ,0:12 / 10:52
Z-c6SpZGUL4,English,all right today getting right into it i've been  deluged with requests and comments and messages  ,0:13 / 10:52
Z-c6SpZGUL4,English,all right today getting right into it i've been  deluged with requests and comments and messages  ,0:14 / 10:52
Z-c6SpZGUL4,English,all right today getting right into it i've been  deluged with requests and comments and messages  ,0:15 / 10:52
Z-c6SpZGUL4,English,all right today getting right into it i've been  deluged with requests and comments and messages  ,0:16 / 10:52
Z-c6SpZGUL4,English,all right today getting right into it i've been  deluged with requests and comments and messages  ,0:17 / 10:52
Z-c6SpZGUL4,English,,0:18 / 10:52
Z-c6SpZGUL4,English,and uh posts and everything on social media  from folks all over trying to uh trying to  ,0:19 / 10:52
Z-c6SpZGUL4,English,and uh posts and everything on social media  from folks all over trying to uh trying to  ,0:20 / 10:52
Z-c6SpZGUL4,English,and uh posts and everything on social media  from folks all over trying to uh trying to  ,0:21 / 10:52
Z-c6SpZGUL4,English,and uh posts and everything on social media  from folks all over trying to uh trying to  ,0:22 / 10:52
Z-c6SpZGUL4,English,and uh posts and everything on social media  from folks all over trying to uh trying to  ,0:23 / 10:52
Z-c6SpZGUL4,English,tell me hey you gotta try out mr beast burger  so uh here we are by request giving it a shot  ,0:24 / 10:52
Z-c6SpZGUL4,English,tell me hey you gotta try out mr beast burger  so uh here we are by request giving it a shot  ,0:25 / 10:52
Z-c6SpZGUL4,English,tell me hey you gotta try out mr beast burger  so uh here we are by request giving it a shot  ,0:26 / 10:52
Z-c6SpZGUL4,English,tell me hey you gotta try out mr beast burger  so uh here we are by request giving it a shot  ,0:27 / 10:52
Z-c6SpZGUL4,English,tell me hey you gotta try out mr beast burger  so uh here we are by request giving it a shot  ,0:28 / 10:52
Z-c6SpZGUL4,English,tell me hey you gotta try out mr beast burger  so uh here we are by request giving it a shot  ,0:29 / 10:52
Z-c6SpZGUL4,English,,0:30 / 10:52
Z-c6SpZGUL4,English,,0:31 / 10:52
Z-c6SpZGUL4,English,mr beast burger this is a brand new uh fast  food chain you can say that i think was created  ,0:31 / 10:52
Z-c6SpZGUL4,English,mr beast burger this is a brand new uh fast  food chain you can say that i think was created  ,0:32 / 10:52
Z-c6SpZGUL4,English,mr beast burger this is a brand new uh fast  food chain you can say that i think was created  ,0:33 / 10:52
