video_id,lang,text,timecode
Zhi4vraEkbs,English (auto-generated),,0:00 / 10:10
Zhi4vraEkbs,English (auto-generated),,0:01 / 10:10
Zhi4vraEkbs,English (auto-generated),,0:02 / 10:10
Zhi4vraEkbs,English (auto-generated),A large black tentacle,0:02 / 10:10
Zhi4vraEkbs,English (auto-generated),A large black tentacle,0:03 / 10:10
Zhi4vraEkbs,English (auto-generated),A large black tentacle,0:04 / 10:10
Zhi4vraEkbs,English (auto-generated),can be seen rapidly emerging from below.,0:04 / 10:10
Zhi4vraEkbs,English (auto-generated),can be seen rapidly emerging from below.,0:05 / 10:10
Zhi4vraEkbs,English (auto-generated),can be seen rapidly emerging from below.,0:06 / 10:10
Zhi4vraEkbs,English (auto-generated),This tentacle proceeds,0:06 / 10:10
Zhi4vraEkbs,English (auto-generated),This tentacle proceeds,0:07 / 10:10
Zhi4vraEkbs,English (auto-generated),This tentacle proceeds,0:08 / 10:10
Zhi4vraEkbs,English (auto-generated),to wrap around the Nautilus,0:08 / 10:10
Zhi4vraEkbs,English (auto-generated),to wrap around the Nautilus,0:09 / 10:10
Zhi4vraEkbs,English (auto-generated),and begins to rapidly drag it down.,0:10 / 10:10
Zhi4vraEkbs,English (auto-generated),and begins to rapidly drag it down.,0:11 / 10:10
Zhi4vraEkbs,English (auto-generated),and begins to rapidly drag it down.,0:12 / 10:10
Zhi4vraEkbs,English (auto-generated), Hello everybody,0:12 / 10:10
Zhi4vraEkbs,English (auto-generated), Hello everybody,0:13 / 10:10
Zhi4vraEkbs,English (auto-generated),I'm TheRubber,0:13 / 10:10
Zhi4vraEkbs,English (auto-generated),"Today, we brings you SCP Foundation",0:14 / 10:10
Zhi4vraEkbs,English (auto-generated),"Today, we brings you SCP Foundation",0:15 / 10:10
Zhi4vraEkbs,English (auto-generated),"Today, we brings you SCP Foundation",0:16 / 10:10
Zhi4vraEkbs,English (auto-generated),KETER class object,0:17 / 10:10
Zhi4vraEkbs,English (auto-generated),SCP-5007,0:18 / 10:10
Zhi4vraEkbs,English (auto-generated),SCP-5007,0:19 / 10:10
Zhi4vraEkbs,English (auto-generated),,0:20 / 10:10
Zhi4vraEkbs,English (auto-generated),SCP-5007,0:21 / 10:10
Zhi4vraEkbs,English (auto-generated),SCP-5007,0:22 / 10:10
Zhi4vraEkbs,English (auto-generated),as known as Bass Strait,0:23 / 10:10
Zhi4vraEkbs,English (auto-generated),as known as Bass Strait,0:24 / 10:10
Zhi4vraEkbs,English (auto-generated),is the collective designation of malicious,0:25 / 10:10
Zhi4vraEkbs,English (auto-generated),is the collective designation of malicious,0:26 / 10:10
Zhi4vraEkbs,English (auto-generated),is the collective designation of malicious,0:27 / 10:10
Zhi4vraEkbs,English (auto-generated),partially-humanoid entities,0:28 / 10:10
Zhi4vraEkbs,English (auto-generated),that maintain a territory,0:29 / 10:10
Zhi4vraEkbs,English (auto-generated),that maintain a territory,0:30 / 10:10
Zhi4vraEkbs,English (auto-generated),across the Bass Strait.,0:30 / 10:10
Zhi4vraEkbs,English (auto-generated),across the Bass Strait.,0:31 / 10:10
Zhi4vraEkbs,English (auto-generated),across the Bass Strait.,0:32 / 10:10
Zhi4vraEkbs,English (auto-generated),This area of the ocean divides Tasmania,0:32 / 10:10
Zhi4vraEkbs,English (auto-generated),This area of the ocean divides Tasmania,0:33 / 10:10
Zhi4vraEkbs,English (auto-generated),This area of the ocean divides Tasmania,0:34 / 10:10
Zhi4vraEkbs,English (auto-generated),This area of the ocean divides Tasmania,0:35 / 10:10
Zhi4vraEkbs,English (auto-generated),and the Australian mainland,0:35 / 10:10
Zhi4vraEkbs,English (auto-generated),and the Australian mainland,0:36 / 10:10
Zhi4vraEkbs,English (auto-generated),and it has been known,0:37 / 10:10
Zhi4vraEkbs,English (auto-generated),for a string of disappearances within this range.,0:37 / 10:10
Zhi4vraEkbs,English (auto-generated),for a string of disappearances within this range.,0:38 / 10:10
Zhi4vraEkbs,English (auto-generated),for a string of disappearances within this range.,0:39 / 10:10
Zhi4vraEkbs,English (auto-generated),for a string of disappearances within this range.,0:40 / 10:10
Zhi4vraEkbs,English (auto-generated),The morphology of 5007 often varies.,0:40 / 10:10
Zhi4vraEkbs,English (auto-generated),The morphology of 5007 often varies.,0:41 / 10:10
Zhi4vraEkbs,English (auto-generated),The morphology of 5007 often varies.,0:42 / 10:10
Zhi4vraEkbs,English (auto-generated),The morphology of 5007 often varies.,0:43 / 10:10
Zhi4vraEkbs,English (auto-generated),The morphology of 5007 often varies.,0:44 / 10:10
Zhi4vraEkbs,English (auto-generated),"Universally, 5007 are composed of",0:44 / 10:10
Zhi4vraEkbs,English (auto-generated),"Universally, 5007 are composed of",0:45 / 10:10
Zhi4vraEkbs,English (auto-generated),"Universally, 5007 are composed of",0:46 / 10:10
Zhi4vraEkbs,English (auto-generated),"Universally, 5007 are composed of",0:47 / 10:10
Zhi4vraEkbs,English (auto-generated),groups of between 2 and 9 human bodies,0:47 / 10:10
Zhi4vraEkbs,English (auto-generated),groups of between 2 and 9 human bodies,0:48 / 10:10
Zhi4vraEkbs,English (auto-generated),groups of between 2 and 9 human bodies,0:49 / 10:10
Zhi4vraEkbs,English (auto-generated),groups of between 2 and 9 human bodies,0:50 / 10:10
Zhi4vraEkbs,English (auto-generated),fused together amidst large clusters of,0:50 / 10:10
Zhi4vraEkbs,English (auto-generated),fused together amidst large clusters of,0:51 / 10:10
Zhi4vraEkbs,English (auto-generated),fused together amidst large clusters of,0:52 / 10:10
Zhi4vraEkbs,English (auto-generated),fused together amidst large clusters of,0:53 / 10:10
Zhi4vraEkbs,English (auto-generated),black tentacles.,0:53 / 10:10
Zhi4vraEkbs,English (auto-generated),These tentacles appear to vary in length,0:54 / 10:10
Zhi4vraEkbs,English (auto-generated),These tentacles appear to vary in length,0:55 / 10:10
Zhi4vraEkbs,English (auto-generated),These tentacles appear to vary in length,0:56 / 10:10
Zhi4vraEkbs,English (auto-generated),between approximately 2 and 70 meters.,0:57 / 10:10
Zhi4vraEkbs,English (auto-generated),between approximately 2 and 70 meters.,0:58 / 10:10
Zhi4vraEkbs,English (auto-generated),between approximately 2 and 70 meters.,0:59 / 10:10
Zhi4vraEkbs,English (auto-generated),Additionally,1:00 / 10:10
Zhi4vraEkbs,English (auto-generated),they appear fused to the skin,1:01 / 10:10
