video_id,lang,text,timecode
_8JI3sa2brs,English - Default,(soft music),0:00 / 12:48
_8JI3sa2brs,English - Default,(soft music),0:01 / 12:48
_8JI3sa2brs,English - Default,(soft music),0:02 / 12:48
_8JI3sa2brs,English - Default,(soft music),0:03 / 12:48
_8JI3sa2brs,English - Default,- [Bailey] Goodbye.,0:04 / 12:48
_8JI3sa2brs,English - Default,,0:05 / 12:48
_8JI3sa2brs,English - Default,Bye.,0:06 / 12:48
_8JI3sa2brs,English - Default,,0:07 / 12:48
_8JI3sa2brs,English - Default,,0:08 / 12:48
_8JI3sa2brs,English - Default,,0:09 / 12:48
_8JI3sa2brs,English - Default,,0:10 / 12:48
_8JI3sa2brs,English - Default,,0:11 / 12:48
_8JI3sa2brs,English - Default,,0:12 / 12:48
_8JI3sa2brs,English - Default,,0:13 / 12:48
_8JI3sa2brs,English - Default,,0:14 / 12:48
_8JI3sa2brs,English - Default,,0:15 / 12:48
_8JI3sa2brs,English - Default,,0:16 / 12:48
_8JI3sa2brs,English - Default,,0:17 / 12:48
_8JI3sa2brs,English - Default,,0:18 / 12:48
_8JI3sa2brs,English - Default,"- Hey guys, it's Brooklyn,",0:19 / 12:48
_8JI3sa2brs,English - Default,"- Hey guys, it's Brooklyn,",0:20 / 12:48
_8JI3sa2brs,English - Default,and I am filming a moving out vlog.,0:20 / 12:48
_8JI3sa2brs,English - Default,and I am filming a moving out vlog.,0:21 / 12:48
_8JI3sa2brs,English - Default,and I am filming a moving out vlog.,0:22 / 12:48
_8JI3sa2brs,English - Default,It is currently 2:00 AM.,0:23 / 12:48
_8JI3sa2brs,English - Default,It is currently 2:00 AM.,0:24 / 12:48
_8JI3sa2brs,English - Default,Two o'clock in the morning.,0:25 / 12:48
_8JI3sa2brs,English - Default,I have taken basically all the wall decor off of my walls,0:26 / 12:48
_8JI3sa2brs,English - Default,I have taken basically all the wall decor off of my walls,0:27 / 12:48
_8JI3sa2brs,English - Default,I have taken basically all the wall decor off of my walls,0:28 / 12:48
_8JI3sa2brs,English - Default,I have taken basically all the wall decor off of my walls,0:29 / 12:48
_8JI3sa2brs,English - Default,"if you can see, and I've organized basically",0:29 / 12:48
_8JI3sa2brs,English - Default,"if you can see, and I've organized basically",0:30 / 12:48
_8JI3sa2brs,English - Default,"if you can see, and I've organized basically",0:31 / 12:48
_8JI3sa2brs,English - Default,all of this stuff inside of my cabinets and my drawers.,0:32 / 12:48
_8JI3sa2brs,English - Default,all of this stuff inside of my cabinets and my drawers.,0:33 / 12:48
_8JI3sa2brs,English - Default,all of this stuff inside of my cabinets and my drawers.,0:34 / 12:48
_8JI3sa2brs,English - Default,all of this stuff inside of my cabinets and my drawers.,0:35 / 12:48
_8JI3sa2brs,English - Default,"Oh, it's so echoey in here 'cause it's so empty.",0:36 / 12:48
_8JI3sa2brs,English - Default,"Oh, it's so echoey in here 'cause it's so empty.",0:37 / 12:48
_8JI3sa2brs,English - Default,"Oh, it's so echoey in here 'cause it's so empty.",0:38 / 12:48
_8JI3sa2brs,English - Default,"And I got my bathroom drawers and stuff all empty,",0:38 / 12:48
_8JI3sa2brs,English - Default,"And I got my bathroom drawers and stuff all empty,",0:39 / 12:48
_8JI3sa2brs,English - Default,"And I got my bathroom drawers and stuff all empty,",0:40 / 12:48
_8JI3sa2brs,English - Default,"And I got my bathroom drawers and stuff all empty,",0:41 / 12:48
_8JI3sa2brs,English - Default,"and the monster, the beast, my closet.",0:41 / 12:48
_8JI3sa2brs,English - Default,"and the monster, the beast, my closet.",0:42 / 12:48
_8JI3sa2brs,English - Default,"and the monster, the beast, my closet.",0:43 / 12:48
_8JI3sa2brs,English - Default,"and the monster, the beast, my closet.",0:44 / 12:48
_8JI3sa2brs,English - Default,I just emptied my entire closet.,0:44 / 12:48
_8JI3sa2brs,English - Default,I just emptied my entire closet.,0:45 / 12:48
_8JI3sa2brs,English - Default,I just emptied my entire closet.,0:46 / 12:48
_8JI3sa2brs,English - Default,"That's all the hangers, literally a ton.",0:47 / 12:48
_8JI3sa2brs,English - Default,"That's all the hangers, literally a ton.",0:48 / 12:48
_8JI3sa2brs,English - Default,These are the shoes I'm leaving for Bailey.,0:49 / 12:48
_8JI3sa2brs,English - Default,These are the shoes I'm leaving for Bailey.,0:50 / 12:48
_8JI3sa2brs,English - Default,I don't want them.,0:51 / 12:48
_8JI3sa2brs,English - Default,Comment down below if you guys,0:51 / 12:48
_8JI3sa2brs,English - Default,Comment down below if you guys,0:52 / 12:48
_8JI3sa2brs,English - Default,want me to do like an apartment slash town home tour,0:53 / 12:48
_8JI3sa2brs,English - Default,want me to do like an apartment slash town home tour,0:54 / 12:48
_8JI3sa2brs,English - Default,of my new place in Utah.,0:55 / 12:48
_8JI3sa2brs,English - Default,of my new place in Utah.,0:56 / 12:48
_8JI3sa2brs,English - Default,"But yeah, I'm moving into a new place",0:57 / 12:48
_8JI3sa2brs,English - Default,"But yeah, I'm moving into a new place",0:58 / 12:48
_8JI3sa2brs,English - Default,that has like a shoe box for a closet.,0:58 / 12:48
_8JI3sa2brs,English - Default,that has like a shoe box for a closet.,0:59 / 12:48
_8JI3sa2brs,English - Default,that has like a shoe box for a closet.,1:00 / 12:48
_8JI3sa2brs,English - Default,So I'm literally going from this literal monstrosity,1:01 / 12:48
_8JI3sa2brs,English - Default,So I'm literally going from this literal monstrosity,1:02 / 12:48
_8JI3sa2brs,English - Default,So I'm literally going from this literal monstrosity,1:03 / 12:48
_8JI3sa2brs,English - Default,So I'm literally going from this literal monstrosity,1:04 / 12:48
_8JI3sa2brs,English - Default,to like two cabinets for a closet.,1:05 / 12:48
_8JI3sa2brs,English - Default,to like two cabinets for a closet.,1:06 / 12:48
_8JI3sa2brs,English - Default,to like two cabinets for a closet.,1:07 / 12:48
_8JI3sa2brs,English - Default,So I had to downsize a lot.,1:07 / 12:48
_8JI3sa2brs,English - Default,So I had to downsize a lot.,1:08 / 12:48
_8JI3sa2brs,English - Default,So I had to downsize a lot.,1:09 / 12:48
_8JI3sa2brs,English - Default,"So I've got all my stuff organized into bins,",1:09 / 12:48
_8JI3sa2brs,English - Default,"So I've got all my stuff organized into bins,",1:10 / 12:48
_8JI3sa2brs,English - Default,"and I've got them labeled, so like this one's bathroom,",1:11 / 12:48
_8JI3sa2brs,English - Default,"and I've got them labeled, so like this one's bathroom,",1:12 / 12:48
_8JI3sa2brs,English - Default,but that one's like my closet.,1:13 / 12:48
_8JI3sa2brs,English - Default,but that one's like my closet.,1:14 / 12:48
_8JI3sa2brs,English - Default,but that one's like my closet.,1:15 / 12:48
_8JI3sa2brs,English - Default,"I've got shoes, my laundry basket, this one's like summer.",1:15 / 12:48
_8JI3sa2brs,English - Default,"I've got shoes, my laundry basket, this one's like summer.",1:16 / 12:48
_8JI3sa2brs,English - Default,"I've got shoes, my laundry basket, this one's like summer.",1:17 / 12:48
_8JI3sa2brs,English - Default,"I've got shoes, my laundry basket, this one's like summer.",1:18 / 12:48
_8JI3sa2brs,English - Default,These ones over here are winter clothing items.,1:19 / 12:48
_8JI3sa2brs,English - Default,These ones over here are winter clothing items.,1:20 / 12:48
_8JI3sa2brs,English - Default,These ones over here are winter clothing items.,1:21 / 12:48
_8JI3sa2brs,English - Default,And then this is all like my actual room decor,1:21 / 12:48
_8JI3sa2brs,English - Default,And then this is all like my actual room decor,1:22 / 12:48
_8JI3sa2brs,English - Default,And then this is all like my actual room decor,1:23 / 12:48
_8JI3sa2brs,English - Default,slash wall decor.,1:24 / 12:48
_8JI3sa2brs,English - Default,slash wall decor.,1:25 / 12:48
_8JI3sa2brs,English - Default,This is actually a hack my mom taught me when we moved.,1:25 / 12:48
_8JI3sa2brs,English - Default,This is actually a hack my mom taught me when we moved.,1:26 / 12:48
_8JI3sa2brs,English - Default,This is actually a hack my mom taught me when we moved.,1:27 / 12:48
