video_id,lang,text,timecode
_8xhdL8BPvU,English,"While riding my bike around London, I stumbled upon this and was like",0:00 / 9:59
_8xhdL8BPvU,English,"While riding my bike around London, I stumbled upon this and was like",0:01 / 9:59
_8xhdL8BPvU,English,"While riding my bike around London, I stumbled upon this and was like",0:02 / 9:59
_8xhdL8BPvU,English,"While riding my bike around London, I stumbled upon this and was like",0:03 / 9:59
_8xhdL8BPvU,English,,0:04 / 9:59
_8xhdL8BPvU,English,,0:05 / 9:59
_8xhdL8BPvU,English,,0:06 / 9:59
_8xhdL8BPvU,English,Surprise sharks raise questions that need answers.,0:07 / 9:59
_8xhdL8BPvU,English,Surprise sharks raise questions that need answers.,0:08 / 9:59
_8xhdL8BPvU,English,Surprise sharks raise questions that need answers.,0:09 / 9:59
_8xhdL8BPvU,English,"So once back home, to Google I went,",0:09 / 9:59
_8xhdL8BPvU,English,"So once back home, to Google I went,",0:10 / 9:59
_8xhdL8BPvU,English,"So once back home, to Google I went,",0:11 / 9:59
_8xhdL8BPvU,English,with a search query that would turn,0:12 / 9:59
_8xhdL8BPvU,English,the next six weeks of my life real weird,0:13 / 9:59
_8xhdL8BPvU,English,the next six weeks of my life real weird,0:14 / 9:59
_8xhdL8BPvU,English,the next six weeks of my life real weird,0:15 / 9:59
_8xhdL8BPvU,English,with phone calls and legal consultations and,0:16 / 9:59
_8xhdL8BPvU,English,with phone calls and legal consultations and,0:17 / 9:59
_8xhdL8BPvU,English,with phone calls and legal consultations and,0:18 / 9:59
_8xhdL8BPvU,English,"hundreds of pages of documentation about zoning,",0:18 / 9:59
_8xhdL8BPvU,English,"hundreds of pages of documentation about zoning,",0:19 / 9:59
_8xhdL8BPvU,English,"hundreds of pages of documentation about zoning,",0:20 / 9:59
_8xhdL8BPvU,English,"but it started with ""I'm feeling lucky""",0:21 / 9:59
_8xhdL8BPvU,English,"but it started with ""I'm feeling lucky""",0:22 / 9:59
_8xhdL8BPvU,English,"but it started with ""I'm feeling lucky""",0:23 / 9:59
_8xhdL8BPvU,English,which landed me on a Guardian newspaper article about the sharks.,0:23 / 9:59
_8xhdL8BPvU,English,which landed me on a Guardian newspaper article about the sharks.,0:24 / 9:59
_8xhdL8BPvU,English,which landed me on a Guardian newspaper article about the sharks.,0:25 / 9:59
_8xhdL8BPvU,English,which landed me on a Guardian newspaper article about the sharks.,0:26 / 9:59
_8xhdL8BPvU,English,They're part of an art competition.,0:27 / 9:59
_8xhdL8BPvU,English,They're part of an art competition.,0:28 / 9:59
_8xhdL8BPvU,English,Apparently shark art has a history in England.,0:29 / 9:59
_8xhdL8BPvU,English,Apparently shark art has a history in England.,0:30 / 9:59
_8xhdL8BPvU,English,"Okay, I guess…",0:31 / 9:59
_8xhdL8BPvU,English,"Okay, I guess…",0:32 / 9:59
_8xhdL8BPvU,English,But the article said the sharks were next to,0:32 / 9:59
_8xhdL8BPvU,English,But the article said the sharks were next to,0:33 / 9:59
_8xhdL8BPvU,English,But the article said the sharks were next to,0:34 / 9:59
_8xhdL8BPvU,English,a warehouse in the London Borough of Hackney,0:34 / 9:59
_8xhdL8BPvU,English,a warehouse in the London Borough of Hackney,0:35 / 9:59
_8xhdL8BPvU,English,a warehouse in the London Borough of Hackney,0:36 / 9:59
_8xhdL8BPvU,English,but I found them next to a boat club in Islington.,0:36 / 9:59
_8xhdL8BPvU,English,but I found them next to a boat club in Islington.,0:37 / 9:59
_8xhdL8BPvU,English,but I found them next to a boat club in Islington.,0:38 / 9:59
_8xhdL8BPvU,English,but I found them next to a boat club in Islington.,0:39 / 9:59
_8xhdL8BPvU,English,"Well, can't just let a thing like that go!",0:39 / 9:59
_8xhdL8BPvU,English,"Well, can't just let a thing like that go!",0:40 / 9:59
_8xhdL8BPvU,English,"[Oh, ah, haha.  Give me a second.  Been at this for awhile.]",0:41 / 9:59
_8xhdL8BPvU,English,"[Oh, ah, haha.  Give me a second.  Been at this for awhile.]",0:42 / 9:59
_8xhdL8BPvU,English,"[Oh, ah, haha.  Give me a second.  Been at this for awhile.]",0:43 / 9:59
_8xhdL8BPvU,English,"[Oh, ah, haha.  Give me a second.  Been at this for awhile.]",0:44 / 9:59
_8xhdL8BPvU,English,"Okay, so back to Google, where I found Antepavilion,",0:45 / 9:59
_8xhdL8BPvU,English,"Okay, so back to Google, where I found Antepavilion,",0:46 / 9:59
_8xhdL8BPvU,English,"Okay, so back to Google, where I found Antepavilion,",0:47 / 9:59
_8xhdL8BPvU,English,"Okay, so back to Google, where I found Antepavilion,",0:48 / 9:59
_8xhdL8BPvU,English,"the warehouse hosting the art competition,",0:48 / 9:59
_8xhdL8BPvU,English,"the warehouse hosting the art competition,",0:49 / 9:59
_8xhdL8BPvU,English,"the warehouse hosting the art competition,",0:50 / 9:59
_8xhdL8BPvU,English,with a giant balloon outside?,0:50 / 9:59
_8xhdL8BPvU,English,with a giant balloon outside?,0:51 / 9:59
_8xhdL8BPvU,English,with a giant balloon outside?,0:52 / 9:59
_8xhdL8BPvU,English,"Okay, dontgetdistracted, you're here for the shark art competition!",0:53 / 9:59
_8xhdL8BPvU,English,"Okay, dontgetdistracted, you're here for the shark art competition!",0:54 / 9:59
_8xhdL8BPvU,English,"Okay, dontgetdistracted, you're here for the shark art competition!",0:55 / 9:59
_8xhdL8BPvU,English,"But wait, Hackney Fight?  What's this?",0:56 / 9:59
_8xhdL8BPvU,English,"But wait, Hackney Fight?  What's this?",0:57 / 9:59
_8xhdL8BPvU,English,"But wait, Hackney Fight?  What's this?",0:58 / 9:59
_8xhdL8BPvU,English,And so it began.,0:59 / 9:59
_8xhdL8BPvU,English,And so it began.,1:00 / 9:59
_8xhdL8BPvU,English,"It seemed like because of the sharks, Hackney Borough",1:00 / 9:59
_8xhdL8BPvU,English,"It seemed like because of the sharks, Hackney Borough",1:01 / 9:59
_8xhdL8BPvU,English,"It seemed like because of the sharks, Hackney Borough",1:02 / 9:59
_8xhdL8BPvU,English,was trying to get this warehouse/artist studio place shut down.,1:02 / 9:59
_8xhdL8BPvU,English,was trying to get this warehouse/artist studio place shut down.,1:03 / 9:59
_8xhdL8BPvU,English,was trying to get this warehouse/artist studio place shut down.,1:04 / 9:59
_8xhdL8BPvU,English,was trying to get this warehouse/artist studio place shut down.,1:05 / 9:59
_8xhdL8BPvU,English,was trying to get this warehouse/artist studio place shut down.,1:06 / 9:59
_8xhdL8BPvU,English,"But the more I read, the weirder it got.",1:06 / 9:59
_8xhdL8BPvU,English,"But the more I read, the weirder it got.",1:07 / 9:59
_8xhdL8BPvU,English,"But the more I read, the weirder it got.",1:08 / 9:59
_8xhdL8BPvU,English,Like this Correspondence with the Police?,1:09 / 9:59
_8xhdL8BPvU,English,Like this Correspondence with the Police?,1:10 / 9:59
_8xhdL8BPvU,English,Like this Correspondence with the Police?,1:11 / 9:59
_8xhdL8BPvU,English,About their forced entry into the warehouse to stop a ballet performance…,1:11 / 9:59
_8xhdL8BPvU,English,About their forced entry into the warehouse to stop a ballet performance…,1:12 / 9:59
_8xhdL8BPvU,English,About their forced entry into the warehouse to stop a ballet performance…,1:13 / 9:59
_8xhdL8BPvU,English,About their forced entry into the warehouse to stop a ballet performance…,1:14 / 9:59
_8xhdL8BPvU,English,About their forced entry into the warehouse to stop a ballet performance…,1:15 / 9:59
_8xhdL8BPvU,English,What?!,1:16 / 9:59
_8xhdL8BPvU,English,Okay.  Too much.,1:17 / 9:59
_8xhdL8BPvU,English,Okay.  Too much.,1:18 / 9:59
_8xhdL8BPvU,English,"Stop.  Back.  Back.  Back to the original competition,",1:18 / 9:59
_8xhdL8BPvU,English,"Stop.  Back.  Back.  Back to the original competition,",1:19 / 9:59
_8xhdL8BPvU,English,"Stop.  Back.  Back.  Back to the original competition,",1:20 / 9:59
_8xhdL8BPvU,English,"Stop.  Back.  Back.  Back to the original competition,",1:21 / 9:59
_8xhdL8BPvU,English,"which had asked art entrants to consider quote,",1:21 / 9:59
_8xhdL8BPvU,English,"which had asked art entrants to consider quote,",1:22 / 9:59
_8xhdL8BPvU,English,"which had asked art entrants to consider quote,",1:23 / 9:59
_8xhdL8BPvU,English,,1:23 / 9:59
_8xhdL8BPvU,English,,1:24 / 9:59
_8xhdL8BPvU,English,,1:25 / 9:59
_8xhdL8BPvU,English,,1:26 / 9:59
_8xhdL8BPvU,English,,1:27 / 9:59
_8xhdL8BPvU,English,,1:28 / 9:59
_8xhdL8BPvU,English,,1:29 / 9:59
_8xhdL8BPvU,English,,1:30 / 9:59
_8xhdL8BPvU,English,,1:31 / 9:59
_8xhdL8BPvU,English,,1:32 / 9:59
_8xhdL8BPvU,English,,1:33 / 9:59
_8xhdL8BPvU,English,,1:34 / 9:59
_8xhdL8BPvU,English,,1:35 / 9:59
_8xhdL8BPvU,English,,1:36 / 9:59
_8xhdL8BPvU,English,,1:37 / 9:59
_8xhdL8BPvU,English,,1:38 / 9:59
_8xhdL8BPvU,English,,1:39 / 9:59
_8xhdL8BPvU,English,,1:40 / 9:59
_8xhdL8BPvU,English,One entrant? SHARKS!,1:41 / 9:59
_8xhdL8BPvU,English,One entrant? SHARKS!,1:42 / 9:59
_8xhdL8BPvU,English,"Five of them, full-scale",1:42 / 9:59
_8xhdL8BPvU,English,"Five of them, full-scale",1:43 / 9:59
_8xhdL8BPvU,English,(the big one's a megalodon),1:44 / 9:59
_8xhdL8BPvU,English,"leaping from the water, singing.",1:45 / 9:59
_8xhdL8BPvU,English,"leaping from the water, singing.",1:46 / 9:59
_8xhdL8BPvU,English,The title of this piece SHARKS! with an exclamation mark.,1:46 / 9:59
_8xhdL8BPvU,English,The title of this piece SHARKS! with an exclamation mark.,1:47 / 9:59
_8xhdL8BPvU,English,The title of this piece SHARKS! with an exclamation mark.,1:48 / 9:59
_8xhdL8BPvU,English,The title of this piece SHARKS! with an exclamation mark.,1:49 / 9:59
_8xhdL8BPvU,English,What could compete with that?  Nothing.,1:50 / 9:59
_8xhdL8BPvU,English,Which is why SHARKS! won and construction began.,1:51 / 9:59
