video_id,lang,text,timecode
_A0N3DE5y8U,English (United States),,0:00 / 1:25
_A0N3DE5y8U,English (United States),[dramatic music],0:01 / 1:25
_A0N3DE5y8U,English (United States),[dramatic music],0:02 / 1:25
_A0N3DE5y8U,English (United States),[dramatic music],0:03 / 1:25
_A0N3DE5y8U,English (United States),- We are the guardians of peace and justice.,0:03 / 1:25
_A0N3DE5y8U,English (United States),- We are the guardians of peace and justice.,0:04 / 1:25
_A0N3DE5y8U,English (United States),- We are the guardians of peace and justice.,0:05 / 1:25
_A0N3DE5y8U,English (United States),- We are the guardians of peace and justice.,0:06 / 1:25
_A0N3DE5y8U,English (United States),- We are the guardians of peace and justice.,0:07 / 1:25
_A0N3DE5y8U,English (United States),,0:07 / 1:25
_A0N3DE5y8U,English (United States),,0:08 / 1:25
_A0N3DE5y8U,English (United States),,0:09 / 1:25
_A0N3DE5y8U,English (United States),,0:10 / 1:25
_A0N3DE5y8U,English (United States),Beyond the stars is a near endless frontier.,0:10 / 1:25
_A0N3DE5y8U,English (United States),Beyond the stars is a near endless frontier.,0:11 / 1:25
_A0N3DE5y8U,English (United States),Beyond the stars is a near endless frontier.,0:12 / 1:25
_A0N3DE5y8U,English (United States),Beyond the stars is a near endless frontier.,0:13 / 1:25
_A0N3DE5y8U,English (United States),Beyond the stars is a near endless frontier.,0:14 / 1:25
_A0N3DE5y8U,English (United States),Beyond the stars is a near endless frontier.,0:15 / 1:25
_A0N3DE5y8U,English (United States),Our order was meant to shine its light... [lightsabers buzz],0:15 / 1:25
_A0N3DE5y8U,English (United States),Our order was meant to shine its light... [lightsabers buzz],0:16 / 1:25
_A0N3DE5y8U,English (United States),Our order was meant to shine its light... [lightsabers buzz],0:17 / 1:25
_A0N3DE5y8U,English (United States),Our order was meant to shine its light... [lightsabers buzz],0:18 / 1:25
_A0N3DE5y8U,English (United States),Our order was meant to shine its light... [lightsabers buzz],0:19 / 1:25
_A0N3DE5y8U,English (United States),Our order was meant to shine its light... [lightsabers buzz],0:20 / 1:25
_A0N3DE5y8U,English (United States),In even the darkest corners of the galaxy.,0:20 / 1:25
_A0N3DE5y8U,English (United States),In even the darkest corners of the galaxy.,0:21 / 1:25
_A0N3DE5y8U,English (United States),In even the darkest corners of the galaxy.,0:22 / 1:25
_A0N3DE5y8U,English (United States),In even the darkest corners of the galaxy.,0:23 / 1:25
_A0N3DE5y8U,English (United States),,0:23 / 1:25
_A0N3DE5y8U,English (United States),,0:24 / 1:25
_A0N3DE5y8U,English (United States),,0:25 / 1:25
_A0N3DE5y8U,English (United States),There we found an evil,0:26 / 1:25
_A0N3DE5y8U,English (United States),There we found an evil,0:27 / 1:25
_A0N3DE5y8U,English (United States),There we found an evil,0:28 / 1:25
_A0N3DE5y8U,English (United States),There we found an evil,0:29 / 1:25
_A0N3DE5y8U,English (United States),that none of us had trained for...,0:30 / 1:25
_A0N3DE5y8U,English (United States),that none of us had trained for...,0:31 / 1:25
_A0N3DE5y8U,English (United States),that none of us had trained for...,0:32 / 1:25
_A0N3DE5y8U,English (United States),- [roaring] - That threatens all we know.,0:32 / 1:25
_A0N3DE5y8U,English (United States),- [roaring] - That threatens all we know.,0:33 / 1:25
_A0N3DE5y8U,English (United States),- [roaring] - That threatens all we know.,0:34 / 1:25
_A0N3DE5y8U,English (United States),- [roaring] - That threatens all we know.,0:35 / 1:25
_A0N3DE5y8U,English (United States),[dramatic music continues],0:36 / 1:25
_A0N3DE5y8U,English (United States),[dramatic music continues],0:37 / 1:25
_A0N3DE5y8U,English (United States),[dramatic music continues],0:38 / 1:25
_A0N3DE5y8U,English (United States),[dramatic music continues],0:39 / 1:25
_A0N3DE5y8U,English (United States),[dramatic music continues],0:40 / 1:25
_A0N3DE5y8U,English (United States),[dramatic music continues],0:41 / 1:25
_A0N3DE5y8U,English (United States),,0:42 / 1:25
_A0N3DE5y8U,English (United States),,0:43 / 1:25
_A0N3DE5y8U,English (United States),,0:44 / 1:25
_A0N3DE5y8U,English (United States),,0:45 / 1:25
_A0N3DE5y8U,English (United States),,0:46 / 1:25
_A0N3DE5y8U,English (United States),,0:47 / 1:25
_A0N3DE5y8U,English (United States),,0:48 / 1:25
_A0N3DE5y8U,English (United States),,0:49 / 1:25
_A0N3DE5y8U,English (United States),,0:50 / 1:25
_A0N3DE5y8U,English (United States),,0:51 / 1:25
_A0N3DE5y8U,English (United States),,0:52 / 1:25
_A0N3DE5y8U,English (United States),,0:53 / 1:25
_A0N3DE5y8U,English (United States),,0:54 / 1:25
_A0N3DE5y8U,English (United States),,0:55 / 1:25
_A0N3DE5y8U,English (United States),,0:56 / 1:25
_A0N3DE5y8U,English (United States),,0:57 / 1:25
_A0N3DE5y8U,English (United States),,0:58 / 1:25
_A0N3DE5y8U,English (United States),,0:59 / 1:25
_A0N3DE5y8U,English (United States),,1:00 / 1:25
_A0N3DE5y8U,English (United States),"For the survival of the Republic,",1:00 / 1:25
_A0N3DE5y8U,English (United States),"For the survival of the Republic,",1:01 / 1:25
_A0N3DE5y8U,English (United States),"For the survival of the Republic,",1:02 / 1:25
_A0N3DE5y8U,English (United States),"For the survival of the Republic,",1:03 / 1:25
_A0N3DE5y8U,English (United States),"the fate of all Jedi,",1:03 / 1:25
_A0N3DE5y8U,English (United States),"the fate of all Jedi,",1:04 / 1:25
_A0N3DE5y8U,English (United States),"the fate of all Jedi,",1:05 / 1:25
_A0N3DE5y8U,English (United States),"the fate of all Jedi,",1:06 / 1:25
_A0N3DE5y8U,English (United States),for control of the Force itself.,1:07 / 1:25
_A0N3DE5y8U,English (United States),for control of the Force itself.,1:08 / 1:25
_A0N3DE5y8U,English (United States),for control of the Force itself.,1:09 / 1:25
_A0N3DE5y8U,English (United States),for control of the Force itself.,1:10 / 1:25
_A0N3DE5y8U,English (United States),,1:11 / 1:25
_A0N3DE5y8U,English (United States),,1:12 / 1:25
_A0N3DE5y8U,English (United States),,1:13 / 1:25
_A0N3DE5y8U,English (United States),,1:14 / 1:25
_A0N3DE5y8U,English (United States),,1:15 / 1:25
_A0N3DE5y8U,English (United States),,1:16 / 1:25
_A0N3DE5y8U,English (United States),,1:17 / 1:25
_A0N3DE5y8U,English (United States),,1:18 / 1:25
_A0N3DE5y8U,English (United States),,1:19 / 1:25
_A0N3DE5y8U,English (United States),,1:20 / 1:25
_A0N3DE5y8U,English (United States),,1:21 / 1:25
_A0N3DE5y8U,English (United States),,1:22 / 1:25
_A0N3DE5y8U,English (United States),,1:23 / 1:25
_A0N3DE5y8U,English (United States),,1:24 / 1:25
_A0N3DE5y8U,English (United States),,1:25 / 1:25
_A0N3DE5y8U,English (auto-generated),[Music],0:00 / 1:25
_A0N3DE5y8U,English (auto-generated),[Music],0:01 / 1:25
_A0N3DE5y8U,English (auto-generated),[Music],0:02 / 1:25
_A0N3DE5y8U,English (auto-generated),,0:03 / 1:25
_A0N3DE5y8U,English (auto-generated),we,0:04 / 1:25
_A0N3DE5y8U,English (auto-generated),we are the guardians,0:04 / 1:25
_A0N3DE5y8U,English (auto-generated),we are the guardians,0:05 / 1:25
_A0N3DE5y8U,English (auto-generated),we are the guardians of peace,0:06 / 1:25
_A0N3DE5y8U,English (auto-generated),we are the guardians of peace and,0:06 / 1:25
_A0N3DE5y8U,English (auto-generated),we are the guardians of peace and justice,0:07 / 1:25
_A0N3DE5y8U,English (auto-generated),we are the guardians of peace and justice,0:08 / 1:25
_A0N3DE5y8U,English (auto-generated),we are the guardians of peace and justice,0:09 / 1:25
_A0N3DE5y8U,English (auto-generated),,0:09 / 1:25
_A0N3DE5y8U,English (auto-generated),,0:10 / 1:25
_A0N3DE5y8U,English (auto-generated),beyond,0:11 / 1:25
_A0N3DE5y8U,English (auto-generated),beyond the stars,0:11 / 1:25
_A0N3DE5y8U,English (auto-generated),beyond the stars is a,0:12 / 1:25
_A0N3DE5y8U,English (auto-generated),beyond the stars is a near endless,0:12 / 1:25
_A0N3DE5y8U,English (auto-generated),beyond the stars is a near endless,0:13 / 1:25
_A0N3DE5y8U,English (auto-generated),beyond the stars is a near endless,0:14 / 1:25
_A0N3DE5y8U,English (auto-generated),beyond the stars is a near endless frontier,0:15 / 1:25
_A0N3DE5y8U,English (auto-generated),beyond the stars is a near endless frontier our,0:16 / 1:25
_A0N3DE5y8U,English (auto-generated),frontier our order,0:17 / 1:25
_A0N3DE5y8U,English (auto-generated),frontier our order was,0:17 / 1:25
_A0N3DE5y8U,English (auto-generated),frontier our order was meant to shine,0:18 / 1:25
_A0N3DE5y8U,English (auto-generated),frontier our order was meant to shine its light,0:18 / 1:25
_A0N3DE5y8U,English (auto-generated),frontier our order was meant to shine its light,0:19 / 1:25
_A0N3DE5y8U,English (auto-generated),frontier our order was meant to shine its light,0:20 / 1:25
_A0N3DE5y8U,English (auto-generated),our order was meant to shine its light in even,0:20 / 1:25
_A0N3DE5y8U,English (auto-generated),our order was meant to shine its light in even the darkest,0:21 / 1:25
