video_id,lang,text,timecode
_ZpLbriJXvM,English,,0:00 / 3:07
_ZpLbriJXvM,English,,0:01 / 3:07
_ZpLbriJXvM,English,,0:02 / 3:07
_ZpLbriJXvM,English,,0:03 / 3:07
_ZpLbriJXvM,English,"Oh man, that thing is giving us a really nice glow!",0:04 / 3:07
_ZpLbriJXvM,English,"Oh man, that thing is giving us a really nice glow!",0:05 / 3:07
_ZpLbriJXvM,English,"Oh man, that thing is giving us a really nice glow!",0:06 / 3:07
_ZpLbriJXvM,English,"Oh man, that thing is giving us a really nice glow!",0:07 / 3:07
_ZpLbriJXvM,English,"Oh, come on dude! You're always crowding!",0:08 / 3:07
_ZpLbriJXvM,English,"Oh, come on dude! You're always crowding!",0:09 / 3:07
_ZpLbriJXvM,English,"Oh, come on dude! You're always crowding!",0:10 / 3:07
_ZpLbriJXvM,English,That was gonna be the money shot!,0:11 / 3:07
_ZpLbriJXvM,English,That was gonna be the money shot!,0:12 / 3:07
_ZpLbriJXvM,English,"Stop fooling around with yourself, yeah?",0:13 / 3:07
_ZpLbriJXvM,English,"Stop fooling around with yourself, yeah?",0:14 / 3:07
_ZpLbriJXvM,English,"Thanks to you, all my crap is on that ship.",0:15 / 3:07
_ZpLbriJXvM,English,"Thanks to you, all my crap is on that ship.",0:16 / 3:07
_ZpLbriJXvM,English,"Yeah, well... that was the plan, right?",0:17 / 3:07
_ZpLbriJXvM,English,"Yeah, well... that was the plan, right?",0:18 / 3:07
_ZpLbriJXvM,English,"Yeah, well... that was the plan, right?",0:19 / 3:07
_ZpLbriJXvM,English,,0:19 / 3:07
_ZpLbriJXvM,English,,0:20 / 3:07
_ZpLbriJXvM,English,"Okay, new plan. Follow the rocket.",0:21 / 3:07
_ZpLbriJXvM,English,"Okay, new plan. Follow the rocket.",0:22 / 3:07
_ZpLbriJXvM,English,,0:23 / 3:07
_ZpLbriJXvM,English,"Hey, that's all yours.",0:23 / 3:07
_ZpLbriJXvM,English,"Hey, that's all yours.",0:24 / 3:07
_ZpLbriJXvM,English,"Wait, what?",0:24 / 3:07
_ZpLbriJXvM,English,"Wait, what?",0:25 / 3:07
_ZpLbriJXvM,English,You don't know how to fly? Do you?,0:26 / 3:07
_ZpLbriJXvM,English,You don't know how to fly? Do you?,0:27 / 3:07
_ZpLbriJXvM,English,DO YOU?,0:28 / 3:07
