"video_id","min_timecode","max_timecode","text.user","text.auto"
"_ZpLbriJXvM","00:00:00","00:00:03","",""
"_ZpLbriJXvM","00:00:04","00:00:07","Oh man, that thing is giving us a really nice glow!","oh man that thing is giving us a really nice glow"
"_ZpLbriJXvM","00:00:08","00:00:10","Oh, come on dude! You're always crowding!","oh come on dude you're always crowded"
"_ZpLbriJXvM","00:00:11","00:00:12","That was gonna be the money shot!","that was gonna be the money shot stop"
"_ZpLbriJXvM","00:00:13","00:00:14","Stop fooling around with yourself, yeah?","fooling around with yourself yeah"
"_ZpLbriJXvM","00:00:15","00:00:16","Thanks to you, all my crap is on that ship.","thanks to you all my props on that [ __ ]"
"_ZpLbriJXvM","00:00:17","00:00:19","Yeah, well... that was the plan, right?","yeah well that was the plan right"
"_ZpLbriJXvM","00:00:19","00:00:20","",""
"_ZpLbriJXvM","00:00:21","00:00:22","Okay, new plan. Follow the rocket.","okay uh new plan follow the rocket"
"_ZpLbriJXvM","00:00:23","00:00:23","","hey that's"
"_ZpLbriJXvM","00:00:23","00:00:24","Hey, that's all yours.","all you are wait"
"_ZpLbriJXvM","00:00:24","00:00:25","Wait, what?","what what"
"_ZpLbriJXvM","00:00:26","00:00:27","You don't know how to fly? Do you?","you don't know how to fly do you"
"_ZpLbriJXvM","00:00:28","00:00:28","DO YOU?","do"
"_ZpLbriJXvM","00:00:29","00:00:31","","you"
"_ZpLbriJXvM","00:00:32","00:00:33","I know how to fly.","i know how to fly"
"_ZpLbriJXvM","00:00:33","00:00:36","",""
"_ZpLbriJXvM","00:00:37","00:00:38","There she is.","[Music]"
"_ZpLbriJXvM","00:00:38","00:00:38","",""
"_ZpLbriJXvM","00:00:39","00:00:39","Bloody hell!","bloody hell"
"_ZpLbriJXvM","00:00:40","00:00:41","Path, can you track the jump signature?","bath can you check the jump signature i"
"_ZpLbriJXvM","00:00:42","00:00:43","I can. Go me!","can go me right"
"_ZpLbriJXvM","00:00:43","00:00:44","Right! Are you ready for this?","are you ready for this"
"_ZpLbriJXvM","00:00:44","00:00:46","Am I ready?","am i ready go me right are you ready for this am i ready"
"_ZpLbriJXvM","00:00:47","00:00:48","Ready for what?","uh ready for what"
"_ZpLbriJXvM","00:00:49","00:00:55","",""
"_ZpLbriJXvM","00:00:56","00:00:57","Eh! Not too shabby...","hey not too shabby"
"_ZpLbriJXvM","00:00:58","00:01:00","Drop me off at the lido deck. I'm late for my massage.","they dropped me off with the lido deck i'm late for my massage"
"_ZpLbriJXvM","00:01:02","00:01:02","What is that?","what is that"
"_ZpLbriJXvM","00:01:03","00:01:04","Maybe it's the welcome committee.","maybe it's the welcome"
"_ZpLbriJXvM","00:01:05","00:01:06","",""
"_ZpLbriJXvM","00:01:07","00:01:17","","committee bye"
"_ZpLbriJXvM","00:01:19","00:01:36","","friends [Music]"
"_ZpLbriJXvM","00:01:37","00:01:40","",""
"_ZpLbriJXvM","00:01:40","00:01:42","Oh, dear...","[Music]"
"_ZpLbriJXvM","00:01:50","00:01:51","So much for my day off.","so much for my day"
"_ZpLbriJXvM","00:01:53","00:01:55","","off"
"_ZpLbriJXvM","00:01:58","00:02:10","","[Music]"
"_ZpLbriJXvM","00:02:13","00:02:15","",""
"_ZpLbriJXvM","00:02:17","00:02:20","",""
"_ZpLbriJXvM","00:02:23","00:02:27","",""
"_ZpLbriJXvM","00:02:29","00:02:33","",""
"_ZpLbriJXvM","00:02:34","00:02:35","Alright lads, time to go!","all right time"
"_ZpLbriJXvM","00:02:36","00:02:37","What? Are you insane?","to go hello what are you insane"
"_ZpLbriJXvM","00:02:38","00:02:38","",""
"_ZpLbriJXvM","00:02:39","00:02:40","I'm a bloody genious!","i'm a bloody"
"_ZpLbriJXvM","00:02:40","00:02:50","","genius i do love field"
"_ZpLbriJXvM","00:02:50","00:02:51","I do love field research.","research"
"_ZpLbriJXvM","00:02:52","00:02:53","Whoopsie-daisy!","oops are daisy"
"_ZpLbriJXvM","00:02:54","00:02:55","You've got a little something there.","carlos something"
"_ZpLbriJXvM","00:02:56","00:03:07","","there"
