"video_id","min_timecode","max_timecode","text.user","text.auto"
"_glGQQylcgc","00:00:00","00:00:00","","two days"
"_glGQQylcgc","00:00:01","00:00:02","IN PHOTOS VIDEOS AND INFORMATION RELATED TO THE RIOTS. IT’S FBI DOT GOV","after president trump supporters"
"_glGQQylcgc","00:00:03","00:00:05","INFORMATION RELATED TO THE RIOTS. IT’S FBI DOT GOV SLASH US CAPITOL YOU CAN ALSO","rushed the u.s capitol building in protest of president-elect"
"_glGQQylcgc","00:00:06","00:00:07","THE RIOTS. IT’S FBI DOT GOV SLASH US CAPITOL YOU CAN ALSO REPORT TIPS BY CALLING 1","joe biden being certified as the winner of the"
"_glGQQylcgc","00:00:08","00:00:08","SLASH US CAPITOL YOU CAN ALSO REPORT TIPS BY CALLING 1 800 CALL FBI.","presidential"
"_glGQQylcgc","00:00:08","00:00:09","REPORT TIPS BY CALLING 1 800 CALL FBI. >> 2 DAYS AFTER PRESIDENT TRUMP","election things are"
"_glGQQylcgc","00:00:10","00:00:11",">> 2 DAYS AFTER PRESIDENT TRUMP SUPPORTERS RUSHED THE U.S. CAPITOL BUILDING IN PROTEST OF","starting to look and feel different inside"
"_glGQQylcgc","00:00:12","00:00:12","SUPPORTERS RUSHED THE U.S. CAPITOL BUILDING IN PROTEST OF PRESIDENT ELECT JOE BIDEN BEING","the nation's capital"
"_glGQQylcgc","00:00:13","00:00:15","CAPITOL BUILDING IN PROTEST OF PRESIDENT ELECT JOE BIDEN BEING CERTIFIED AS THE WINNER OF THE","lots of increased security and even more security"
"_glGQQylcgc","00:00:16","00:00:16","PRESIDENTIAL ELECTION THINGS","on the way ahead"
"_glGQQylcgc","00:00:16","00:00:17","PRESIDENTIAL ELECTION THINGS ARE STARTING TO LOOK AND FEEL","of the presidential inauguration"
"_glGQQylcgc","00:00:18","00:00:18","","when biden"
"_glGQQylcgc","00:00:19","00:00:19","PRESIDENTIAL ELECTION THINGS ARE STARTING TO LOOK AND FEEL DIFFERENT INSIDE THE NATION’S","will be sworn in as the"
"_glGQQylcgc","00:00:20","00:00:22","DIFFERENT INSIDE THE NATION’S CAPITAL, LOTS OF INCREASED SECURITY AND EVEN MORE SECURITY","46th president of the united states news"
"_glGQQylcgc","00:00:22","00:00:24","CAPITAL, LOTS OF INCREASED SECURITY AND EVEN MORE SECURITY ON THE WAY","for jackson reporter eric avigne is joining"
"_glGQQylcgc","00:00:25","00:00:25","ON THE WAY AHEAD OF THE PRESIDENTIAL INAUGURATION WHEN BIDEN WILL BE","us live with an interesting"
"_glGQQylcgc","00:00:25","00:00:28","AHEAD OF THE PRESIDENTIAL INAUGURATION WHEN BIDEN WILL BE SWORN IN AS THE 46TH PRESIDENT","perspective on all the changes in washington d.c"
"_glGQQylcgc","00:00:28","00:00:30","INAUGURATION WHEN BIDEN WILL BE SWORN IN AS THE 46TH PRESIDENT OF THE UNITED STATES","after speaking to his old college roommate who"
"_glGQQylcgc","00:00:31","00:00:33","OF THE UNITED STATES NEWS 4 JAX REPORTER ERIK AVANIER IS JOINING US LIVE WITH","is now part of the white house press pool eric"
"_glGQQylcgc","00:00:35","00:00:35","AN INTERESTING PERSPECTIVE WHEN ALL THE CHANGES IN WASHINGTON","yes"
"_glGQQylcgc","00:00:35","00:00:36","INTERESTING PERSPECTIVE WHEN ALL THE CHANGES IN WASHINGTON DC AFTER SPEAKING TO HIS OLD","his name is"
"_glGQQylcgc","00:00:37","00:00:40","DC AFTER SPEAKING TO HIS OLD COLLEGE ROOMMATE WHO IS NOW PART OF THE WHITE HOUSE PRESS","james murphy and he's an emmy award-winning photojournalist who says the incidents that"
"_glGQQylcgc","00:00:40","00:00:42","COLLEGE ROOMMATE WHO IS NOW PART OF THE WHITE HOUSE PRESS POOL ERIC.","played out inside that"
"_glGQQylcgc","00:00:43","00:00:43","PART OF THE WHITE HOUSE PRESS POOL ERIC. >> YES, HIS NAME IS JAMES","u.s capitol building"
"_glGQQylcgc","00:00:43","00:00:45","POOL ERIC. >> YES, HIS NAME IS JAMES MURPHY AND IS AN EMMY","have changed the way journalists"
"_glGQQylcgc","00:00:46","00:00:46",">> YES, HIS NAME IS JAMES MURPHY AND IS AN EMMY AWARD-WINNING PHOTOJOURNALIST","will be covering this"
"_glGQQylcgc","00:00:47","00:00:49","MURPHY AND IS AN EMMY AWARD-WINNING PHOTOJOURNALIST WHO SAYS THE INCIDENTS THAT","upcoming presidential inauguration"
"_glGQQylcgc","00:00:51","00:00:51","WHO SAYS THE INCIDENTS THAT PLAYED OUT INSIDE THAT US CAPITOL BUILDING HAVE CHANGED","days"
"_glGQQylcgc","00:00:52","00:00:52","PLAYED OUT INSIDE THAT US CAPITOL BUILDING HAVE CHANGED THE WAY JOURNALISTS WILL BE","after this angry"
"_glGQQylcgc","00:00:52","00:00:55","CAPITOL BUILDING HAVE CHANGED THE WAY JOURNALISTS WILL BE COVERING THIS UPCOMING","mob stormed the u.s capitol building resulting in the deaths of"
"_glGQQylcgc","00:00:56","00:00:58","THE WAY JOURNALISTS WILL BE COVERING THIS UPCOMING PRESIDENTIAL INAUGURATION.","five people including a capital police officer changes in"
"_glGQQylcgc","00:00:59","00:00:59","","security have become visibly"
"_glGQQylcgc","00:00:59","00:01:00",">> THESE AFTER THIS ANGRY MOB","noticeable"
"_glGQQylcgc","00:01:00","00:01:02",">> THESE AFTER THIS ANGRY MOB STORMED THE U.S. CAPITOL","especially at night with all the flashing lights from"
"_glGQQylcgc","00:01:02","00:01:03",">> THESE AFTER THIS ANGRY MOB STORMED THE U.S. CAPITOL BUILDING RESULTING IN THE","law enforcement"
"_glGQQylcgc","00:01:04","00:01:04","STORMED THE U.S. CAPITOL BUILDING RESULTING IN THE DEATHS OF 5 PEOPLE INCLUDING","vehicles freelance"
"_glGQQylcgc","00:01:05","00:01:06","DEATHS OF 5 PEOPLE INCLUDING THE CAPITOL POLICE OFFICER CHANGES IN SECURITY HAVE BECOME","news photo journalist james murphy"
"_glGQQylcgc","00:01:07","00:01:08","","snapped this photo of a giant fence"
"_glGQQylcgc","00:01:09","00:01:09","VISIBLY NOTICEABLE ESPECIALLY","that now surrounds the capitol"
"_glGQQylcgc","00:01:09","00:01:10","VISIBLY NOTICEABLE ESPECIALLY AT NIGHT WITH ALL THE FLASHING","building a building he"
"_glGQQylcgc","00:01:11","00:01:12","VISIBLY NOTICEABLE ESPECIALLY AT NIGHT WITH ALL THE FLASHING LIGHTS FROM LAW ENFORCEMENT","normally shoots live news reports from"
"_glGQQylcgc","00:01:13","00:01:13","LIGHTS FROM LAW ENFORCEMENT VEHICLES, FREELANCE NEWS FOR THE JOURNALIST JAMES MURPHY","he says"
"_glGQQylcgc","00:01:13","00:01:15","VEHICLES, FREELANCE NEWS FOR THE JOURNALIST JAMES MURPHY SNAPPED THIS PHOTO OF A GIANT","this is the same fence that was temporarily erected"
"_glGQQylcgc","00:01:16","00:01:16","THE JOURNALIST JAMES MURPHY SNAPPED THIS PHOTO OF A GIANT FENCE THAT NOW SURROUNDS THE","around"
"_glGQQylcgc","00:01:17","00:01:17","SNAPPED THIS PHOTO OF A GIANT FENCE THAT NOW SURROUNDS THE CAPITAL BUILDING.","house during the"
"_glGQQylcgc","00:01:17","00:01:18","FENCE THAT NOW SURROUNDS THE CAPITAL BUILDING. >> A BUILDING HE NORMALLY","black lives matter protest"
"_glGQQylcgc","00:01:19","00:01:20","CAPITAL BUILDING. >> A BUILDING HE NORMALLY SHOOTS LIVE NEWS REPORTS FROM","but the season around the"
"_glGQQylcgc","00:01:21","00:01:22",">> A BUILDING HE NORMALLY SHOOTS LIVE NEWS REPORTS FROM HE SAYS THIS IS THE SAME FENCE","u.s capitol but the season around the u.s capitol was something"
"_glGQQylcgc","00:01:23","00:01:23","HE SAYS THIS IS THE SAME FENCE THAT WAS TEMPORARILY ERECTED AROUND THE WHITE HOUSE DURING","completely different"
"_glGQQylcgc","00:01:23","00:01:26","THAT WAS TEMPORARILY ERECTED AROUND THE WHITE HOUSE DURING THE BLACK LIVES MATTER PROTEST.","capitol was something completely different murphy says as a result of this attack on"
"_glGQQylcgc","00:01:26","00:01:29","AROUND THE WHITE HOUSE DURING THE BLACK LIVES MATTER PROTEST. >> THIS STATE. THE U.S..","the capitol building he and fellow journalists decide to cover congress"
"_glGQQylcgc","00:01:30","00:01:32","THE BLACK LIVES MATTER PROTEST. >> THIS STATE. THE U.S.. TOPPING THE MORNING WE","now have to first enter another building then take"
"_glGQQylcgc","00:01:33","00:01:33","TOPPING THE MORNING WE GET ONE. >> MURPHY SAYS AS A RESULT OF","an underground hallway"
"_glGQQylcgc","00:01:34","00:01:34","GET ONE. >> MURPHY SAYS AS A RESULT OF THIS ATTACK ON THE CAPITOL","that connects to the capitol building"
"_glGQQylcgc","00:01:35","00:01:35",">> MURPHY SAYS AS A RESULT OF THIS ATTACK ON THE CAPITOL BUILDING HE AND FELLOW","rotunda"
"_glGQQylcgc","00:01:36","00:01:36","THIS ATTACK ON THE CAPITOL BUILDING HE AND FELLOW JOURNALIST ASSIGNED TO COVER","he says journalists"
"_glGQQylcgc","00:01:36","00:01:37","BUILDING HE AND FELLOW JOURNALIST ASSIGNED TO COVER CONGRESS NOW HAVE TO FIRST","assigned to cover"
"_glGQQylcgc","00:01:38","00:01:38","JOURNALIST ASSIGNED TO COVER CONGRESS NOW HAVE TO FIRST ENTER","the upcoming inauguration"
"_glGQQylcgc","00:01:39","00:01:39","CONGRESS NOW HAVE TO FIRST ENTER ANOTHER BUILDING THEN TAKE AN","will now have to submit"
"_glGQQylcgc","00:01:40","00:01:42","ANOTHER BUILDING THEN TAKE AN UNDERGROUND HALLWAY THAT CONNECTS TO THE CAPITOL","a head shot for a totally different press pass as"
"_glGQQylcgc","00:01:42","00:01:43","CONNECTS TO THE CAPITOL BUILDING RETURNED UP IS THIS JOURNALIST","part of the heightened"
"_glGQQylcgc","00:01:44","00:01:44","BUILDING RETURNED UP IS THIS JOURNALIST ASSIGNED TO COVER THE UPCOMING","security measures they're"
"_glGQQylcgc","00:01:44","00:01:46","RETURNED UP IS THIS JOURNALIST ASSIGNED TO COVER THE UPCOMING INAUGURATION WILL NOW HAVE TO","only allowing those people"
"_glGQQylcgc","00:01:47","00:01:48","ASSIGNED TO COVER THE UPCOMING INAUGURATION WILL NOW HAVE TO SUBMIT A HEAD SHOT","with those special passes"
"_glGQQylcgc","00:01:49","00:01:51","SUBMIT A HEAD SHOT FOR A TOTALLY DIFFERENT PRESS PASS AS PART OF THE HEIGHTENED","to come in to come into the"
"_glGQQylcgc","00:01:51","00:01:52","FOR A TOTALLY DIFFERENT PRESS PASS AS PART OF THE HEIGHTENED SECURITY MEASURES ONLY ALLY.","capital round"
"_glGQQylcgc","00:01:53","00:01:55","PASS AS PART OF THE HEIGHTENED SECURITY MEASURES ONLY ALLY. >> THOSE PEOPLE DON’T HAVE TO","this was the scene wednesday when the same protesters who rushed"
"_glGQQylcgc","00:01:56","00:01:58","SECURITY MEASURES ONLY ALLY. >> THOSE PEOPLE DON’T HAVE TO CALL IT. IS","the capitol building attacked murphy's colleagues"
"_glGQQylcgc","00:01:59","00:02:00","","on the day of the inauguration murphy will be assigned"
"_glGQQylcgc","00:02:01","00:02:01",">> THIS WAS THE SCENE WEDNESDAY WHEN THE SAME PROTESTERS WHO","to news"
"_glGQQylcgc","00:02:01","00:02:02",">> THIS WAS THE SCENE WEDNESDAY WHEN THE SAME PROTESTERS WHO RUSHED THE CAPITOL BUILDING","coverage inside the white"
"_glGQQylcgc","00:02:03","00:02:05","WHEN THE SAME PROTESTERS WHO RUSHED THE CAPITOL BUILDING ATTACKED MURPHY’S COLLEAGUES ON","house and he's already anticipating protester activity outside"
"_glGQQylcgc","00:02:06","00:02:06","RUSHED THE CAPITOL BUILDING ATTACKED MURPHY’S COLLEAGUES ON THE DAY OF THE INAUGURATION.","i'll"
"_glGQQylcgc","00:02:06","00:02:08","ATTACKED MURPHY’S COLLEAGUES ON THE DAY OF THE INAUGURATION. MURPHY WILL BE ASSIGNED TO NEWS","get there around midnight and i'm"
"_glGQQylcgc","00:02:09","00:02:09","THE DAY OF THE INAUGURATION. MURPHY WILL BE ASSIGNED TO NEWS COVERAGE INSIDE THE WHITE HOUSE","going to be camped"
"_glGQQylcgc","00:02:10","00:02:10","MURPHY WILL BE ASSIGNED TO NEWS COVERAGE INSIDE THE WHITE HOUSE AND HE’S ALREADY ANTICIPATING","out there"
"_glGQQylcgc","00:02:11","00:02:11","COVERAGE INSIDE THE WHITE HOUSE AND HE’S ALREADY ANTICIPATING PROTESTER ACTIVITY OUTSIDE THE","pretty much"
"_glGQQylcgc","00:02:11","00:02:13","AND HE’S ALREADY ANTICIPATING PROTESTER ACTIVITY OUTSIDE THE BILL.","for like 24 hours is"
"_glGQQylcgc","00:02:14","00:02:16","PROTESTER ACTIVITY OUTSIDE THE BILL. >> MIDNIGHT.","to get there before protesters even think about"
"_glGQQylcgc","00:02:17","00:02:20","","trying to come out there"
"_glGQQylcgc","00:02:21","00:02:21","IF YOU GET","no murphy says as"
"_glGQQylcgc","00:02:22","00:02:24","IF YOU GET THERE BEFORE. OKAY THAT YOU WOULD THINK ABOUT TRYING TO","a result of the attack on many of his colleagues uh"
"_glGQQylcgc","00:02:24","00:02:27","THERE BEFORE. OKAY THAT YOU WOULD THINK ABOUT TRYING TO COME UP THERE.","many of the journalists who are going to be covering the inauguration"
"_glGQQylcgc","00:02:28","00:02:29",">> MURPHY SAYS AS A RESULT OF","who park blocks away"
"_glGQQylcgc","00:02:30","00:02:30",">> MURPHY SAYS AS A RESULT OF THE ATTACK ON MANY OF HIS MANY","from the inauguration"
"_glGQQylcgc","00:02:30","00:02:32",">> MURPHY SAYS AS A RESULT OF THE ATTACK ON MANY OF HIS MANY OF THE JOURNALISTS WHO ARE","will likely have armed security"
"_glGQQylcgc","00:02:33","00:02:34","THE ATTACK ON MANY OF HIS MANY OF THE JOURNALISTS WHO ARE GOING TO BE COVERING","with them taking them to"
"_glGQQylcgc","00:02:34","00:02:36","OF THE JOURNALISTS WHO ARE GOING TO BE COVERING THE INAUGURATION WHO PARK","and from their vehicles"
"_glGQQylcgc","00:02:37","00:02:39","GOING TO BE COVERING THE INAUGURATION WHO PARK BLOCKS AWAY FROM THE","reporting live eric avenger channel 4 the local"
"_glGQQylcgc","00:02:39","00:02:40","THE INAUGURATION WHO PARK BLOCKS AWAY FROM THE INAUGURATION. WE’LL LIKELY HAVE","station"
"_glGQQylcgc","00:02:40","00:02:40","",""
