video_id,lang,text,timecode
_jj_-ElKrdM,English,,0:00 / 17:54
_jj_-ElKrdM,English,- Time to get eaten alive by a catfish.,0:01 / 17:54
_jj_-ElKrdM,English,- Time to get eaten alive by a catfish.,0:02 / 17:54
_jj_-ElKrdM,English,,0:03 / 17:54
_jj_-ElKrdM,English,,0:04 / 17:54
_jj_-ElKrdM,English,"- Oh, oh, oh, oh, oh, oh.",0:04 / 17:54
_jj_-ElKrdM,English,"- Oh, oh, oh, oh, oh, oh.",0:05 / 17:54
_jj_-ElKrdM,English,"- Oh, oh, oh, oh, oh, oh.",0:06 / 17:54
_jj_-ElKrdM,English,"- Oh, wow.",0:06 / 17:54
_jj_-ElKrdM,English,(grunts),0:07 / 17:54
_jj_-ElKrdM,English,- Gosh.,0:08 / 17:54
_jj_-ElKrdM,English,Where'd he bite you? - He almost broke my wrist.,0:09 / 17:54
_jj_-ElKrdM,English,Where'd he bite you? - He almost broke my wrist.,0:10 / 17:54
_jj_-ElKrdM,English,He had my whole hand in his mouth.,0:10 / 17:54
_jj_-ElKrdM,English,He had my whole hand in his mouth.,0:11 / 17:54
_jj_-ElKrdM,English,He had my whole hand in his mouth.,0:12 / 17:54
_jj_-ElKrdM,English,"- We're not gonna lose the fish,",0:13 / 17:54
_jj_-ElKrdM,English,I promise. - Okay.,0:13 / 17:54
_jj_-ElKrdM,English,I promise. - Okay.,0:14 / 17:54
_jj_-ElKrdM,English,"- Get him, Coyote,",0:15 / 17:54
_jj_-ElKrdM,English,"if there's somebody gonna get him,",0:16 / 17:54
_jj_-ElKrdM,English,it's you.,0:16 / 17:54
_jj_-ElKrdM,English,it's you.,0:17 / 17:54
_jj_-ElKrdM,English,"- [Coyote] I know, I know, here we go.",0:18 / 17:54
_jj_-ElKrdM,English,"- [Coyote] I know, I know, here we go.",0:19 / 17:54
_jj_-ElKrdM,English,"Oh, I got him.",0:19 / 17:54
_jj_-ElKrdM,English,"Oh, I got him.",0:20 / 17:54
_jj_-ElKrdM,English,(screams),0:21 / 17:54
_jj_-ElKrdM,English,(screams),0:22 / 17:54
_jj_-ElKrdM,English,(film reel clicking),0:23 / 17:54
_jj_-ElKrdM,English,(film reel clicking),0:24 / 17:54
_jj_-ElKrdM,English,(exciting music),0:25 / 17:54
_jj_-ElKrdM,English,(exciting music),0:26 / 17:54
_jj_-ElKrdM,English,(exciting music),0:27 / 17:54
_jj_-ElKrdM,English,,0:28 / 17:54
_jj_-ElKrdM,English,,0:29 / 17:54
_jj_-ElKrdM,English,,0:30 / 17:54
_jj_-ElKrdM,English,,0:31 / 17:54
_jj_-ElKrdM,English,(rock crackling),0:32 / 17:54
_jj_-ElKrdM,English,(rock crackling),0:33 / 17:54
_jj_-ElKrdM,English,(rock crackling),0:34 / 17:54
_jj_-ElKrdM,English,,0:34 / 17:54
_jj_-ElKrdM,English,,0:35 / 17:54
_jj_-ElKrdM,English,(haunting guitar music),0:36 / 17:54
_jj_-ElKrdM,English,(haunting guitar music),0:37 / 17:54
_jj_-ElKrdM,English,We have all heard tales of big fish.,0:37 / 17:54
_jj_-ElKrdM,English,We have all heard tales of big fish.,0:38 / 17:54
_jj_-ElKrdM,English,We have all heard tales of big fish.,0:39 / 17:54
_jj_-ElKrdM,English,We have all heard tales of big fish.,0:40 / 17:54
_jj_-ElKrdM,English,Yarns spun full of excitement and seemingly impossible odds.,0:41 / 17:54
_jj_-ElKrdM,English,Yarns spun full of excitement and seemingly impossible odds.,0:42 / 17:54
_jj_-ElKrdM,English,Yarns spun full of excitement and seemingly impossible odds.,0:43 / 17:54
_jj_-ElKrdM,English,Yarns spun full of excitement and seemingly impossible odds.,0:44 / 17:54
_jj_-ElKrdM,English,"Centered around aquatic beasts so absurdly enormous,",0:45 / 17:54
_jj_-ElKrdM,English,"Centered around aquatic beasts so absurdly enormous,",0:46 / 17:54
_jj_-ElKrdM,English,"Centered around aquatic beasts so absurdly enormous,",0:47 / 17:54
_jj_-ElKrdM,English,"Centered around aquatic beasts so absurdly enormous,",0:48 / 17:54
_jj_-ElKrdM,English,"Centered around aquatic beasts so absurdly enormous,",0:49 / 17:54
_jj_-ElKrdM,English,"that the story always ends with,",0:49 / 17:54
_jj_-ElKrdM,English,"that the story always ends with,",0:50 / 17:54
_jj_-ElKrdM,English,"that the story always ends with,",0:51 / 17:54
_jj_-ElKrdM,English,"""And then, it got away.""",0:52 / 17:54
_jj_-ElKrdM,English,"""And then, it got away.""",0:53 / 17:54
_jj_-ElKrdM,English,"""And then, it got away.""",0:54 / 17:54
_jj_-ElKrdM,English,,0:54 / 17:54
_jj_-ElKrdM,English,,0:55 / 17:54
_jj_-ElKrdM,English,This is the tail of my big fish.,0:55 / 17:54
_jj_-ElKrdM,English,This is the tail of my big fish.,0:56 / 17:54
_jj_-ElKrdM,English,This is the tail of my big fish.,0:57 / 17:54
_jj_-ElKrdM,English,And the difference between this story,0:58 / 17:54
_jj_-ElKrdM,English,And the difference between this story,0:59 / 17:54
_jj_-ElKrdM,English,"and many told before it,",1:00 / 17:54
_jj_-ElKrdM,English,"and many told before it,",1:01 / 17:54
_jj_-ElKrdM,English,is that this one didn't,1:02 / 17:54
_jj_-ElKrdM,English,is that this one didn't,1:03 / 17:54
_jj_-ElKrdM,English,is that this one didn't,1:04 / 17:54
_jj_-ElKrdM,English,get away.,1:04 / 17:54
_jj_-ElKrdM,English,get away.,1:05 / 17:54
_jj_-ElKrdM,English,"What's goin' on, Will?",1:06 / 17:54
_jj_-ElKrdM,English,"- Hey, how's it goin' Coyote? - [Coyote] Good,",1:07 / 17:54
_jj_-ElKrdM,English,how are you doin'?,1:07 / 17:54
_jj_-ElKrdM,English,how are you doin'?,1:08 / 17:54
_jj_-ElKrdM,English,"- Doin' good sir, how about you?",1:09 / 17:54
_jj_-ElKrdM,English,- Ready to- - Ready to go fishin'?,1:10 / 17:54
_jj_-ElKrdM,English,- Ready to- - Ready to go fishin'?,1:11 / 17:54
_jj_-ElKrdM,English,- catch some catfish today. - Yes we are.,1:11 / 17:54
_jj_-ElKrdM,English,- catch some catfish today. - Yes we are.,1:12 / 17:54
_jj_-ElKrdM,English,- [Catfish] This is Mario.,1:13 / 17:54
_jj_-ElKrdM,English,"- Hey, Mario.",1:14 / 17:54
_jj_-ElKrdM,English,"- Hey, Will.",1:15 / 17:54
_jj_-ElKrdM,English,- Gonna catch some big cats today?,1:15 / 17:54
_jj_-ElKrdM,English,- Gonna catch some big cats today?,1:16 / 17:54
_jj_-ElKrdM,English,- Let's do it.,1:17 / 17:54
_jj_-ElKrdM,English,- [Coyote] It's a well documented fact,1:17 / 17:54
_jj_-ElKrdM,English,- [Coyote] It's a well documented fact,1:18 / 17:54
_jj_-ElKrdM,English,- [Coyote] It's a well documented fact,1:19 / 17:54
_jj_-ElKrdM,English,that I have caught many animal species with my bare hands.,1:20 / 17:54
_jj_-ElKrdM,English,that I have caught many animal species with my bare hands.,1:21 / 17:54
_jj_-ElKrdM,English,that I have caught many animal species with my bare hands.,1:22 / 17:54
_jj_-ElKrdM,English,that I have caught many animal species with my bare hands.,1:23 / 17:54
_jj_-ElKrdM,English,But it's important to note,1:23 / 17:54
_jj_-ElKrdM,English,But it's important to note,1:24 / 17:54
_jj_-ElKrdM,English,that this will be the first time I have ever attempted,1:24 / 17:54
_jj_-ElKrdM,English,that this will be the first time I have ever attempted,1:25 / 17:54
_jj_-ElKrdM,English,that this will be the first time I have ever attempted,1:26 / 17:54
