"video_id","min_timecode","max_timecode","text.user","text.auto"
"_v-U3K1sw9U","00:00:00","00:00:00","",""
"_v-U3K1sw9U","00:00:02","00:00:04","",""
"_v-U3K1sw9U","00:00:04","00:00:05","Moving on.","moving on our main"
"_v-U3K1sw9U","00:00:05","00:00:07","Our main story tonight concerns pandemics.","story tonight concerns pandemics"
"_v-U3K1sw9U","00:00:08","00:00:10","You know, the thing every little virus can one day grow into.","you know the thing every little virus could one day grow"
"_v-U3K1sw9U","00:00:11","00:00:11","","into wait"
"_v-U3K1sw9U","00:00:11","00:00:12","Wait! Even me?","even me"
"_v-U3K1sw9U","00:00:13","00:00:15","Yeah. Maybe even you, Mystery virus.","yeah maybe even you"
"_v-U3K1sw9U","00:00:16","00:00:17","Wow! That's great.","mystery virus wow that's great"
"_v-U3K1sw9U","00:00:18","00:00:19","Thanks for helping me believe in myself, John.","thanks for helping me believe in myself john"
"_v-U3K1sw9U","00:00:20","00:00:20","",""
"_v-U3K1sw9U","00:00:21","00:00:21","Now, if you'd excuse me.","now if you'll excuse"
"_v-U3K1sw9U","00:00:22","00:00:22","","me i'm off"
"_v-U3K1sw9U","00:00:22","00:00:25","I'm off to the Mall of America. Wee!","to the mall of america"
"_v-U3K1sw9U","00:00:26","00:00:28","(CHUCKLES) Okay. Have fun.","okay have fun"
"_v-U3K1sw9U","00:00:29","00:00:30","I'm probably gonna regret that.","i'm probably going to regret"
"_v-U3K1sw9U","00:00:31","00:00:31","","that and i know"
"_v-U3K1sw9U","00:00:31","00:00:32","And I know you might be thinking right now,","you might be thinking right now john"
"_v-U3K1sw9U","00:00:33","00:00:34","""John, shut the fuck up.","shut the up no"
"_v-U3K1sw9U","00:00:34","00:00:37","No one wants to hear any more about the coronavirus.""","one wants to hear any more about the coronavirus no one wants to hear any more about the coronavirus and i do"
"_v-U3K1sw9U","00:00:37","00:00:39","I do get that which is why we're not actually gonna","get that which is why we're not actually going to talk"
"_v-U3K1sw9U","00:00:39","00:00:41","talk about the current pandemic.","about the current pandemic tonight"
"_v-U3K1sw9U","00:00:42","00:00:44","We're gonna talk about the next one instead,","we're going to talk about the next one instead which i"
"_v-U3K1sw9U","00:00:44","00:00:45","which I know sounds even less appealing.","know sounds even"
"_v-U3K1sw9U","00:00:46","00:00:46","","less appealing"
"_v-U3K1sw9U","00:00:46","00:00:48","But look, we are the show we are.","but look we are the show we are if"
"_v-U3K1sw9U","00:00:49","00:00:49","If you wanna see a British person","you want to see a british person"
"_v-U3K1sw9U","00:00:50","00:00:52","do something hot or interesting, go watch  Bridgerton,","do something hot or interesting go watch bridgeton"
"_v-U3K1sw9U","00:00:53","00:00:53","","lot"
"_v-U3K1sw9U","00:00:53","00:00:55","a lot jizzing in blankets on that show.","of in blankets on that show however"
"_v-U3K1sw9U","00:00:56","00:00:58","However much you expect, there is significantly more.","much you expect there's significantly more"
"_v-U3K1sw9U","00:00:59","00:01:01","But now might also be the most important time","but now might also be the most important time"
"_v-U3K1sw9U","00:01:02","00:01:03","to talk about this because scientists attempted","to talk about this because scientists"
"_v-U3K1sw9U","00:01:04","00:01:05","to warn us about the next pandemic","attempted to warn us about the next pandemic"
"_v-U3K1sw9U","00:01:06","00:01:08","long before the current one hit.","long before the current one hit and we didn't really"
"_v-U3K1sw9U","00:01:08","00:01:09","And we didn't really listen.","listen in fact"
"_v-U3K1sw9U","00:01:09","00:01:10","In fact, 17 years ago,","17 years ago"
"_v-U3K1sw9U","00:01:11","00:01:11","","just after the sars"
"_v-U3K1sw9U","00:01:11","00:01:12","just after the SARS epidemic was contained,","epidemic"
"_v-U3K1sw9U","00:01:13","00:01:15","a leading scientists was on  60 Minutes","was contained a leading scientist was on 60 minutes sounding a"
"_v-U3K1sw9U","00:01:15","00:01:16","sending a chilling warning.","chilling warning"
