video_id,lang,text,timecode
_wq5kGG_0Dc,English (auto-generated),,0:00 / 20:25
_wq5kGG_0Dc,English (auto-generated),"- Let's say that you're a home chef, nothing crazy,",0:00 / 20:25
_wq5kGG_0Dc,English (auto-generated),"- Let's say that you're a home chef, nothing crazy,",0:01 / 20:25
_wq5kGG_0Dc,English (auto-generated),"- Let's say that you're a home chef, nothing crazy,",0:02 / 20:25
_wq5kGG_0Dc,English (auto-generated),"- Let's say that you're a home chef, nothing crazy,",0:03 / 20:25
_wq5kGG_0Dc,English (auto-generated),but you've got a little game in the kitchen.,0:03 / 20:25
_wq5kGG_0Dc,English (auto-generated),but you've got a little game in the kitchen.,0:04 / 20:25
_wq5kGG_0Dc,English (auto-generated),but you've got a little game in the kitchen.,0:05 / 20:25
_wq5kGG_0Dc,English (auto-generated),"Every once in a while, you'll pick up something fancy,",0:06 / 20:25
_wq5kGG_0Dc,English (auto-generated),"Every once in a while, you'll pick up something fancy,",0:07 / 20:25
_wq5kGG_0Dc,English (auto-generated),"Every once in a while, you'll pick up something fancy,",0:08 / 20:25
_wq5kGG_0Dc,English (auto-generated),like wagyu and you mess around with it.,0:08 / 20:25
_wq5kGG_0Dc,English (auto-generated),like wagyu and you mess around with it.,0:09 / 20:25
_wq5kGG_0Dc,English (auto-generated),"Now, imagine you're at a party",0:10 / 20:25
_wq5kGG_0Dc,English (auto-generated),"Now, imagine you're at a party",0:11 / 20:25
_wq5kGG_0Dc,English (auto-generated),and you're chatting with a stranger,0:11 / 20:25
_wq5kGG_0Dc,English (auto-generated),and you're chatting with a stranger,0:12 / 20:25
_wq5kGG_0Dc,English (auto-generated),about a new recipe that you're excited about.,0:13 / 20:25
_wq5kGG_0Dc,English (auto-generated),about a new recipe that you're excited about.,0:14 / 20:25
_wq5kGG_0Dc,English (auto-generated),Now imagine that that stranger leaves the party,0:14 / 20:25
_wq5kGG_0Dc,English (auto-generated),Now imagine that that stranger leaves the party,0:15 / 20:25
