"video_id","min_timecode","max_timecode","text.user","text.auto"
"aLIoKRDF9_g","00:00:00","00:00:02","",""
"aLIoKRDF9_g","00:00:04","00:00:05","- Hi. My name is Keith Apicary.","hi my name is keith applecary i'm"
"aLIoKRDF9_g","00:00:06","00:00:08","I'm 35 years old, and I'm from Woonsocket, Rhode Island.","35 years old and i'm from winsocket rhode"
"aLIoKRDF9_g","00:00:09","00:00:09","","island"
"aLIoKRDF9_g","00:00:10","00:00:11","Right now, I'm living with my mom,","right now i'm living with my mom"
"aLIoKRDF9_g","00:00:12","00:00:13","which is fine.","which is fine uh it's not ideal"
"aLIoKRDF9_g","00:00:13","00:00:14","It's not ideal.","and what are you gonna"
"aLIoKRDF9_g","00:00:14","00:00:16","- And what are you gonna do today?","do today i guess you could call it dancing"
"aLIoKRDF9_g","00:00:16","00:00:17","- I guess you could call it dancing.","bodily"
"aLIoKRDF9_g","00:00:18","00:00:19","""Bodily maneuvers"" is what I call it.","maneuver this is why i call it just kind of"
"aLIoKRDF9_g","00:00:19","00:00:21","Just kind of a sequence of rhythmic...","a sequence of rhythmic"
"aLIoKRDF9_g","00:00:22","00:00:22","spasms.","spasms"
"aLIoKRDF9_g","00:00:24","00:00:24","","ever since"
"aLIoKRDF9_g","00:00:25","00:00:26","Ever since I played my first video game,","i played my first video game i"
"aLIoKRDF9_g","00:00:26","00:00:27","I was hooked.","was hooked and that"
"aLIoKRDF9_g","00:00:28","00:00:29","And that is what led me to dancing,","is what led me into dancing because"
"aLIoKRDF9_g","00:00:30","00:00:31","because I love video game music,","i love video game music so much i couldn't"
"aLIoKRDF9_g","00:00:32","00:00:32","so much I couldn't not move to it.","not move to it"
"aLIoKRDF9_g","00:00:36","00:00:37","","i"
"aLIoKRDF9_g","00:00:37","00:00:39","I feel I have something different to show.","feel like i have something different to show but i"
"aLIoKRDF9_g","00:00:40","00:00:41","But I just don't want them to be like,","just don't want them to be like he's a weirdo"
"aLIoKRDF9_g","00:00:42","00:00:42","""He's a weirdo. Get him out,""","get him"
