video_id,lang,text,timecode
auxeLrtk7tk,English,♪♪,0:00 / 2:08
auxeLrtk7tk,English,♪♪,0:01 / 2:08
auxeLrtk7tk,English,♪♪,0:02 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:02 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:03 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:04 / 2:08
auxeLrtk7tk,English,(Whistle blows),0:05 / 2:08
auxeLrtk7tk,English,(Whistle blows),0:06 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:07 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:08 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:09 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:10 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:11 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:12 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:13 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:14 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:15 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:16 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:17 / 2:08
auxeLrtk7tk,English,(Crowd noise),0:18 / 2:08
auxeLrtk7tk,English,(Knocking on door),0:19 / 2:08
auxeLrtk7tk,English,(Knocking on door),0:20 / 2:08
auxeLrtk7tk,English,"Howdy, y'all.",0:20 / 2:08
auxeLrtk7tk,English,(All) Ted!,0:21 / 2:08
auxeLrtk7tk,English,"What do you say to a cocktail, Coach Lasso?",0:22 / 2:08
auxeLrtk7tk,English,"What do you say to a cocktail, Coach Lasso?",0:23 / 2:08
auxeLrtk7tk,English,"Oh, the same thing I'd say to Diane Sawyer, if she ever asked me out on a date. Yes, please.",0:24 / 2:08
auxeLrtk7tk,English,"Oh, the same thing I'd say to Diane Sawyer, if she ever asked me out on a date. Yes, please.",0:25 / 2:08
auxeLrtk7tk,English,"Oh, the same thing I'd say to Diane Sawyer, if she ever asked me out on a date. Yes, please.",0:26 / 2:08
auxeLrtk7tk,English,"Oh, the same thing I'd say to Diane Sawyer, if she ever asked me out on a date. Yes, please.",0:27 / 2:08
auxeLrtk7tk,English,Hahaha.,0:27 / 2:08
auxeLrtk7tk,English,♪♪,0:28 / 2:08
auxeLrtk7tk,English,"Announcer: Live from the Dog track, it's Richmond with eight straight ties.",0:29 / 2:08
auxeLrtk7tk,English,"Announcer: Live from the Dog track, it's Richmond with eight straight ties.",0:30 / 2:08
auxeLrtk7tk,English,"Announcer: Live from the Dog track, it's Richmond with eight straight ties.",0:31 / 2:08
auxeLrtk7tk,English,"Announcer: Live from the Dog track, it's Richmond with eight straight ties.",0:32 / 2:08
auxeLrtk7tk,English,"Announcer: Live from the Dog track, it's Richmond with eight straight ties.",0:33 / 2:08
auxeLrtk7tk,English,How many more matches before you hit the panic button?,0:33 / 2:08
auxeLrtk7tk,English,How many more matches before you hit the panic button?,0:34 / 2:08
auxeLrtk7tk,English,How many more matches before you hit the panic button?,0:35 / 2:08
auxeLrtk7tk,English,There's two buttons I never like hitting. That's panic and snooze.,0:35 / 2:08
auxeLrtk7tk,English,There's two buttons I never like hitting. That's panic and snooze.,0:36 / 2:08
auxeLrtk7tk,English,There's two buttons I never like hitting. That's panic and snooze.,0:37 / 2:08
auxeLrtk7tk,English,♪♪,0:38 / 2:08
auxeLrtk7tk,English,Ted: I don't care what our record is.,0:39 / 2:08
auxeLrtk7tk,English,Ted: I don't care what our record is.,0:40 / 2:08
auxeLrtk7tk,English,It's all about believing that everything is going to work out in the end. Exactly as it's suppose to.,0:40 / 2:08
auxeLrtk7tk,English,It's all about believing that everything is going to work out in the end. Exactly as it's suppose to.,0:41 / 2:08
auxeLrtk7tk,English,It's all about believing that everything is going to work out in the end. Exactly as it's suppose to.,0:42 / 2:08
auxeLrtk7tk,English,It's all about believing that everything is going to work out in the end. Exactly as it's suppose to.,0:43 / 2:08
auxeLrtk7tk,English,"Ted: Isn't the idea of ""never give up"" one of them things we always talk about in sports?",0:44 / 2:08
auxeLrtk7tk,English,"Ted: Isn't the idea of ""never give up"" one of them things we always talk about in sports?",0:45 / 2:08
auxeLrtk7tk,English,"Ted: Isn't the idea of ""never give up"" one of them things we always talk about in sports?",0:46 / 2:08
auxeLrtk7tk,English,"Ted: Isn't the idea of ""never give up"" one of them things we always talk about in sports?",0:47 / 2:08
auxeLrtk7tk,English,Ted: And shouldn't that apply to people too?,0:47 / 2:08
auxeLrtk7tk,English,Ted: And shouldn't that apply to people too?,0:48 / 2:08
auxeLrtk7tk,English,Ted: And shouldn't that apply to people too?,0:49 / 2:08
auxeLrtk7tk,English,It's a beautiful metaphor for many of life's journeys.,0:49 / 2:08
auxeLrtk7tk,English,It's a beautiful metaphor for many of life's journeys.,0:50 / 2:08
auxeLrtk7tk,English,It's a beautiful metaphor for many of life's journeys.,0:51 / 2:08
auxeLrtk7tk,English,♪♪,0:52 / 2:08
auxeLrtk7tk,English,♪♪,0:53 / 2:08
