"video_id","min_timecode","max_timecode","text.user","text.auto"
"auxeLrtk7tk","00:00:07","00:00:18","(Crowd noise)","[Applause] [Music]"
"auxeLrtk7tk","00:00:19","00:00:20","(Knocking on door)","howdy y'all"
"auxeLrtk7tk","00:00:21","00:00:21","(All) Ted!","dead"
"auxeLrtk7tk","00:00:22","00:00:23","What do you say to a cocktail, Coach Lasso?","what do you say to a cocktail coach lasso"
"auxeLrtk7tk","00:00:24","00:00:27","Oh, the same thing I'd say to Diane Sawyer, if she ever asked me out on a date. Yes, please.","oh the same thing i'd say to diane sawyer if she ever asked me out on a date yes please"
"auxeLrtk7tk","00:00:29","00:00:33","Announcer: Live from the Dog track, it's Richmond with eight straight ties.","live from the dog track it's richmond with eight stray ties how many more matches"
"auxeLrtk7tk","00:00:33","00:00:35","How many more matches before you hit the panic button?","before you hit the panic button there's two buttons"
"auxeLrtk7tk","00:00:35","00:00:37","There's two buttons I never like hitting. That's panic and snooze.","i never like hitting that's panic and snooze"
"auxeLrtk7tk","00:00:39","00:00:40","Ted: I don't care what our record is.","i don't care what our record is it's all about believing"
"auxeLrtk7tk","00:00:40","00:00:43","It's all about believing that everything is going to work out in the end. Exactly as it's suppose to.","that everything's gonna work out in the end exactly as it's supposed to it"
"auxeLrtk7tk","00:00:44","00:00:47","Ted: Isn't the idea of ""never give up"" one of them things we always talk about in sports?","isn't the idea of never give up on them things we always talk about in sports and shouldn't that"
"auxeLrtk7tk","00:00:47","00:00:49","Ted: And shouldn't that apply to people too?","apply to people too it's a beautiful"
"auxeLrtk7tk","00:00:49","00:00:51","It's a beautiful metaphor for many of life's journeys.","metaphor for many of life's journeys"
"auxeLrtk7tk","00:00:52","00:00:54","♪♪","[Music]"
"auxeLrtk7tk","00:00:55","00:00:56","The teams just a little unlucky, that's all.","the team's just a little unlucky"
"auxeLrtk7tk","00:00:57","00:00:58","♪♪","maybe we should bring in"
"auxeLrtk7tk","00:00:58","00:01:00","I think we should bring in a sports psychologist.","a sports psychologist brought you a little something"
"auxeLrtk7tk","00:01:00","00:01:02","Brought you a little, somethin' somethin' for your first day of work here.","something for your first day of work here [Music]"
"auxeLrtk7tk","00:01:02","00:01:03","","for your first day of work here [Music]"
"auxeLrtk7tk","00:01:04","00:01:05","I don't eat sugar...","i don't eat sugar really"
"auxeLrtk7tk","00:01:05","00:01:07","Really? I've never met someone who doesn't eat sugar.","i've never met someone don't eat sugar"
"auxeLrtk7tk","00:01:08","00:01:10","Only heard about them, and they all live in this godless place called Santa Monica.","only heard about them they all live in this godless place called santa monica"
"auxeLrtk7tk","00:01:12","00:01:12","",""
"auxeLrtk7tk","00:01:12","00:01:13","♪ We will, we Will ♪","[Music] this godless place called santa monica [Music]"
"auxeLrtk7tk","00:01:15","00:01:16","♪ Rock you ♪","you got a fever"
"auxeLrtk7tk","00:01:16","00:01:18","You gotta fever for the flavor of little girl talk, don't you?","for the flavored little girl talk don't you this"
"auxeLrtk7tk","00:01:19","00:01:20","This chap I've been seeing, John.","trap i've been seeing jon sneimos"
"auxeLrtk7tk","00:01:22","00:01:23","No. His names John Wingsnight.","no his name's john wingsnike like"
"auxeLrtk7tk","00:01:24","00:01:26","Like at a sports bar, like ""Monday night's wings night, down at PJ Flats"".","at a sports bar like monday nights wings night down at pj flats would you"
"auxeLrtk7tk","00:01:26","00:01:27","Would you please stop?","please stop"
"auxeLrtk7tk","00:01:27","00:01:30","Rule number 1. Even though it's called girl talk, sometimes it needs to be more like,","rule number one even though it's called girl talk sometimes it needs to be more"
"auxeLrtk7tk","00:01:31","00:01:32","Girl, listen.","like girl"
"auxeLrtk7tk","00:01:32","00:01:40","♪ We will, we will rock you ♪","listen"
"auxeLrtk7tk","00:01:42","00:01:43","What's Ted doing?","what's ted doing probably i'm"
"auxeLrtk7tk","00:01:43","00:01:44","Probably home sick.","sick closest thing"
"auxeLrtk7tk","00:01:44","00:01:45","Closest thing he can find to a Dodge Ram.","you can find to a dodge ram"
"auxeLrtk7tk","00:01:50","00:01:52","Back home, if a team was playing poorly, we don't call them unlucky.","back home if the team was playing poorly we don't call him unlucky what do we call him coach"
"auxeLrtk7tk","00:01:52","00:01:53","What do we call them, Coach?","new york"
"auxeLrtk7tk","00:01:57","00:02:08","","jets"
