"video_id","min_timecode","max_timecode","text.user","text.auto"
"b-BMnh4p96w","00:00:00","00:00:01","- Knowing how to sew does not mean you make good outfits.","knowing how to sew does not mean you make good outfits"
"b-BMnh4p96w","00:00:02","00:00:02","- Yes.","yeah same way having money"
"b-BMnh4p96w","00:00:03","00:00:04","- Same way having money doesn't mean you have good taste.","doesn't mean you have good taste"
"b-BMnh4p96w","00:00:05","00:00:05","","exactly"
"b-BMnh4p96w","00:00:06","00:00:06","- Exactly.","this is all stars"
"b-BMnh4p96w","00:00:06","00:00:08","- This is All Stars and we all find women","and we all find women who've"
"b-BMnh4p96w","00:00:08","00:00:09","who've got a little money","got a little money"
"b-BMnh4p96w","00:00:10","00:00:12","and they still commission gross outfits.","and they still commission gross outfits are you"
"b-BMnh4p96w","00:00:12","00:00:14","- Are you talking about me again? (chuckles)","talking about me again"
"b-BMnh4p96w","00:00:15","00:00:17","- And then sometimes they wear them to the Pit Stop.","and then sometimes they wear them to the pit stop"
"b-BMnh4p96w","00:00:17","00:00:19","Hi, it's me Trixie Mattel","hi it's me trixie mattel and welcome back to the"
"b-BMnh4p96w","00:00:19","00:00:20","and welcome back to The Pit Stop,","pit stop"
"b-BMnh4p96w","00:00:20","00:00:23","the show where we recap RuPaul's Drag Race All Stars,","the show where we recap rupaul's drag race all-star season six"
"b-BMnh4p96w","00:00:23","00:00:24","season six.","and"
"b-BMnh4p96w","00:00:24","00:00:27","And today's episode is brought to you by Orbitz.","today's episode is brought to you by orbitz"
"b-BMnh4p96w","00:00:27","00:00:29","Joining me today is a queen we all know and love.","joining me today is a queen we all know and love"
"b-BMnh4p96w","00:00:30","00:00:31","The epitome of a drag race,","the epitome of a drag race"
"b-BMnh4p96w","00:00:31","00:00:36","legend, Manila Luzon today, hello.","legend manila luzon today hello hi"
"b-BMnh4p96w","00:00:36","00:00:37","- Hi, Trixie!","trixies"
"b-BMnh4p96w","00:00:38","00:00:39","- Drag Queens touching, new year.","dry queen's touching new year"
"b-BMnh4p96w","00:00:40","00:00:41","- I know, things have changed so much.","i know things have changed"
"b-BMnh4p96w","00:00:42","00:00:47","","so much [Music] how does it"
"b-BMnh4p96w","00:00:48","00:00:49","- How does it feel to be in drag it head to toe?","feel to be in drag head to toe it"
"b-BMnh4p96w","00:00:50","00:00:53","- It feels as uncomfortable as ever for sure.","feels as uncomfortable toe it feels as uncomfortable as ever for sure"
"b-BMnh4p96w","00:00:54","00:00:55","- You look so beautiful.","you look so beautiful oh"
"b-BMnh4p96w","00:00:55","00:00:57","- Oh, thank you, thank you.","thank you thank you i uh"
"b-BMnh4p96w","00:00:58","00:01:00","I put some makeup on today.","i put some some makeup on today do you"
"b-BMnh4p96w","00:01:01","00:01:02","- Do you love an All Star season?","love an all-star season um"
"b-BMnh4p96w","00:01:02","00:01:04","- Um yes, of course, I've been on two of 'em!","yes of course i've been on two of them that girl"
"b-BMnh4p96w","00:01:06","00:01:07","Which by the way, I have to say during quarantine,","which by the way i have to say during quarantine"
"b-BMnh4p96w","00:01:08","00:01:09","I got to go back and watch All Stars one.","i got to go back and watch all stars"
"b-BMnh4p96w","00:01:10","00:01:11","Watch it again.","one watch it again it's fabulous"
"b-BMnh4p96w","00:01:13","00:01:14","It doesn't get talked about enough.","it doesn't get talked about enough well i mean"
"b-BMnh4p96w","00:01:14","00:01:16","Well, I mean, we did have like the best of the best","we did have like the best"
"b-BMnh4p96w","00:01:17","00:01:19","up until that point on All Stars.","of the best up until that point on all stars"
"b-BMnh4p96w","00:01:20","00:01:22","You did so good on Drag Race.","you did so good on drag race"
"b-BMnh4p96w","00:01:23","00:01:23","- Well, thank you.","well thank you every time"
"b-BMnh4p96w","00:01:24","00:01:25","- Thank you.","thank you does all stars four"
"b-BMnh4p96w","00:01:25","00:01:26","- Does All Stars four seem like a long time ago","seem like a long time ago"
"b-BMnh4p96w","00:01:27","00:01:28","or does it feel fresh?","or does it feel fresh i mean"
"b-BMnh4p96w","00:01:28","00:01:29","- I mean, it was a long time ago.","it was a long time ago"
"b-BMnh4p96w","00:01:30","00:01:30","We had an entire pandemic","we had an entire pandemic"
"b-BMnh4p96w","00:01:31","00:01:33","between when I was on Drag Race All Stars.","between when i was on drag race all-stars and"
"b-BMnh4p96w","00:01:33","00:01:34","And now","now that's how i feel"
"b-BMnh4p96w","00:01:35","00:01:35","- That's how I feel.","i mean i know there"
"b-BMnh4p96w","00:01:35","00:01:36","I mean, I know there was an All Stars last year,","was an all-stars last"
"b-BMnh4p96w","00:01:37","00:01:39","but that feels like five years ago.","year but that feels like five years ago it it"
"b-BMnh4p96w","00:01:39","00:01:41","- It does, especially with, since like there have been","does especially since like there have been like"
"b-BMnh4p96w","00:01:42","00:01:44","like 14 seasons of other franchises","14 seasons of other franchises"
"b-BMnh4p96w","00:01:45","00:01:46","in different countries of Drag Race.","in different countries of drag race every"
"b-BMnh4p96w","00:01:46","00:01:48","- Every country and county of the world has Drag Race.","country and county of the world has drag race"
"b-BMnh4p96w","00:01:49","00:01:50","(Manila laughs)","there's a sonoma"
"b-BMnh4p96w","00:01:50","00:01:51","There's a Sonoma County Drag Race.","county dragon sonoma"
"b-BMnh4p96w","00:01:52","00:01:53","- Sonoma County Drag Race!","county drag race"
"b-BMnh4p96w","00:01:54","00:01:55","I'm here for it!","i'm here for it you win a vineyard"
"b-BMnh4p96w","00:01:56","00:01:57","Now that I would compete for.","now that i would confirm"
"b-BMnh4p96w","00:01:57","00:01:58","- Ooh okay.","okay what does it feel"
"b-BMnh4p96w","00:01:58","00:02:00","- What does it feel like to know that you have been part","like to know that you have been part of an iconic"
"b-BMnh4p96w","00:02:00","00:02:04","of an iconic Drag Race moment when you were shockingly","drag race moment when you were shockingly sent"
"b-BMnh4p96w","00:02:04","00:02:06","sent home by Miss Naomi Smalls?","home by miss naomi smalls i"
"b-BMnh4p96w","00:02:07","00:02:08","- [Manila] I'm really happy and really proud","really i'm really happy and really proud of what i did on the"
"b-BMnh4p96w","00:02:08","00:02:09","of what I did on the show.","show and"
"b-BMnh4p96w","00:02:09","00:02:14","And I actually got so much love","um i actually uh got so much uh love and"
"b-BMnh4p96w","00:02:14","00:02:17","and support from the fans after that moment.","support from the fans after that moment"
"b-BMnh4p96w","00:02:18","00:02:18","- So let's get into this girl,","so let's get into this girl because"
"b-BMnh4p96w","00:02:19","00:02:20","because we have a lot to talk about.","we have a lot to talk about"
"b-BMnh4p96w","00:02:21","00:02:22","We're going to be critiquing a ball today,","we're going to be critiquing a ball today which i don't"
"b-BMnh4p96w","00:02:22","00:02:24","which I don't know if you know, but when Violet was here,","know if you know but when violet was here"
"b-BMnh4p96w","00:02:25","00:02:28","the CDC basically decided that her critiques were inhumane.","the cdc basically decided that her critiques were inhumane she went"
"b-BMnh4p96w","00:02:28","00:02:29","- She went in.","in"
"b-BMnh4p96w","00:02:30","00:02:32","She came through with the comments.","she came through with the comments"
"b-BMnh4p96w","00:02:33","00:02:34","Have you had a lot of experience judging balls?","have you had a lot of experience judging balls"
"b-BMnh4p96w","00:02:35","00:02:36","- Um yes.","um yes how like"
"b-BMnh4p96w","00:02:36","00:02:40","How like, well they hang, what the smell is,","well they hang what the smell is how fuzzy they"
"b-BMnh4p96w","00:02:40","00:02:41","how fuzzy they are.","are"
"b-BMnh4p96w","00:02:42","00:02:42","I love it.","i love it last"
"b-BMnh4p96w","00:02:43","00:02:43","- [Trixie] Last week, the lip-sync assassin,","week the lip sync assassin"
"b-BMnh4p96w","00:02:44","00:02:46","Coco Montrese revealed that sadly Serena ChaCha","kokomontris revealed that sadly serena chacha was the"
"b-BMnh4p96w","00:02:46","00:02:49","was the first queen to sashay away.","first queen to sachet away trinity k"
"b-BMnh4p96w","00:02:49","00:02:51","Trinity K. Bonet is relieved that she survived","bonnet is relieved that she survived"
"b-BMnh4p96w","00:02:52","00:02:53","and that her fellow queens voted for her to stay.","and that her fellow queens voted for her to stay"
"b-BMnh4p96w","00:02:54","00:02:56","But gag, if Yara had won the lip-sync,","but gag if yara had won the lip sync she would"
"b-BMnh4p96w","00:02:56","00:02:57","she would have sent home Trinity.","have sent home trinity"
"b-BMnh4p96w","00:02:58","00:03:00","Do you mean that puts a target on Yara?","do you think that puts a target on yara see"
"b-BMnh4p96w","00:03:01","00:03:01","- See, that what I don't like about","that's what i don't like"
"b-BMnh4p96w","00:03:02","00:03:04","having to reveal your votes.","about having to reveal your votes"
"b-BMnh4p96w","00:03:05","00:03:06","- [Trixie] So you've competed against Yara.","so you've competed against yara"
"b-BMnh4p96w","00:03:07","00:03:08","What is she like as a competitor?","what is she like as a competitor she"
"b-BMnh4p96w","00:03:08","00:03:11","- [Manila] She is like, she's like a wild card.","is like she's like a wild card"
"b-BMnh4p96w","00:03:12","00:03:13","She's a little bit of a dark horse.","she's a little bit of a dark horse"
"b-BMnh4p96w","00:03:14","00:03:16","You don't quite know what she's going to, like pull out.","you don't quite know what she's gonna like pull out"
"b-BMnh4p96w","00:03:17","00:03:17","- [Trixie] Yeah.","yeah she's super"
"b-BMnh4p96w","00:03:17","00:03:19","- [Manila] She's super creative in ways","creative in ways that"
"b-BMnh4p96w","00:03:20","00:03:21","that are so far out of the box","are so far out of the box that you're"
"b-BMnh4p96w","00:03:21","00:03:22","that you're just ba-ger!","just like"
"b-BMnh4p96w","00:03:23","00:03:24","- In your All Star season,","in your all-star season you"
"b-BMnh4p96w","00:03:24","00:03:27","you chose Monet's lipstick instead of Latrice's.","chose monet's lipstick instead of latrice's do you"
"b-BMnh4p96w","00:03:27","00:03:28","Do you think that put a target on you?","think that put a target on your"
"b-BMnh4p96w","00:03:29","00:03:29","- Yes, I think so.","back yes i think"
"b-BMnh4p96w","00:03:30","00:03:34","But I also knew that like, I would not be able to look","so but i also knew that like i would not be able to look at"
"b-BMnh4p96w","00:03:35","00:03:37","at my friend in the eye if I","my friend in the eye if i had"
"b-BMnh4p96w","00:03:38","00:03:41","had chosen her to go home despite that,","chosen her to go home despite that"
"b-BMnh4p96w","00:03:41","00:03:42","they're all saying integrity,","they're all saying integrity"
"b-BMnh4p96w","00:03:43","00:03:46","but like, ultimately like, the game is the game,","but like ultimately like the game is the game but you also have"
"b-BMnh4p96w","00:03:46","00:03:48","but you also have to like, live with yourself afterwards.","to like live with yourself afterwards you also have to like live with yourself afterwards"
"b-BMnh4p96w","00:03:49","00:03:50","- Also there is no rules.","so also there is no"
"b-BMnh4p96w","00:03:51","00:03:53","I'm choosing it based on birthdays.","rules i'm choosing it based on birthdays that's"
"b-BMnh4p96w","00:03:54","00:03:55","- Do you remember anyone's birthday?","valid do you remember anyone's birthday that's valid do you remember anyone's birthday"
"b-BMnh4p96w","00:03:56","00:03:56","- No.","no"
"b-BMnh4p96w","00:03:57","00:03:59","All right, so the next day, the Queen's talk about trade.","all right so the next day the queens talk about trade who do you think"
"b-BMnh4p96w","00:03:59","00:04:02","Who do you think is the trade of this cast?","is the trade of this cast"
"b-BMnh4p96w","00:04:02","00:04:03","",""
"b-BMnh4p96w","00:04:03","00:04:07","- I'm going to say probably Eureka.","i'm gonna say probably eureka i think"
"b-BMnh4p96w","00:04:07","00:04:10","I think Eureka's probably the trade-iest of all of them.","eureka is probably the tradiest of all of them the tradiest"
"b-BMnh4p96w","00:04:10","00:04:11","- The trade-iest of all trade-ism.","of all tradism"
"b-BMnh4p96w","00:04:12","00:04:14","- The trade-iest of the season at least.","the tradies of the season at least i have"
"b-BMnh4p96w","00:04:14","00:04:16","- I have a tie trade.","a i have a tie trade my"
"b-BMnh4p96w","00:04:16","00:04:19","My tie trade is A'Keria.","my thai trade is a curia okay"
"b-BMnh4p96w","00:04:20","00:04:21","- [Manila] Okay, yeah, yeah. I could see that.","yeah yeah i could see that am i"
"b-BMnh4p96w","00:04:21","00:04:24","- Am I, I'm just now realizing that Scarlet Envy","i i'm just now realizing that scarlett envy out"
"b-BMnh4p96w","00:04:24","00:04:25","out of drag is definitely a vibe.","of drag is definitely a vibe"
"b-BMnh4p96w","00:04:26","00:04:28","- Scarlet is a very attractive man","scarlet is a very attractive man"
"b-BMnh4p96w","00:04:29","00:04:30","with that long Fabio hair.","with that long fabio hair"
"b-BMnh4p96w","00:04:31","00:04:32","- I want to listen to like Phil Collins music","i want to listen to like phil collins music and"
"b-BMnh4p96w","00:04:32","00:04:34","and he could carry me through the jungle on our planet.","carry me through the jungle on a"
"b-BMnh4p96w","00:04:35","00:04:36","- [Manila] Yes Tarzan.","yes tarzan carry me through the jungle on a yes tarzan"
"b-BMnh4p96w","00:04:37","00:04:38","- [Trixie] Also, they talked about the meaning of trade","also they talked about the"
"b-BMnh4p96w","00:04:39","00:04:41","which I didn't know that there was multiple interpretations","meaning of trade which i didn't know that there was multiple interpretations of"
"b-BMnh4p96w","00:04:42","00:04:42","of what that meant.","what that meant"
"b-BMnh4p96w","00:04:43","00:04:43","If we're being honest, I think","if we're being honest i think that"
"b-BMnh4p96w","00:04:44","00:04:45","that straight people don't know what it really means.","straight people don't know what it really means"
"b-BMnh4p96w","00:04:46","00:04:47","- I, to be honest, I don't think drag queens","i to be honest i don't think drag"
"b-BMnh4p96w","00:04:48","00:04:48","even know it means.","queens even know what it is that's"
"b-BMnh4p96w","00:04:49","00:04:52","- What I mean, was like, why do you not know what trade,","what i mean i was like why do you not know what trade trade doesn't mean someone"
