video_id,lang,text,timecode
b9Gr9gKFxpE,English (United States),[dramatic percussive music],0:00 / 3:03
b9Gr9gKFxpE,English (United States),[dramatic percussive music],0:01 / 3:03
b9Gr9gKFxpE,English (United States),[dramatic percussive music],0:02 / 3:03
b9Gr9gKFxpE,English (United States),[dramatic percussive music],0:03 / 3:03
b9Gr9gKFxpE,English (United States),[dramatic percussive music],0:04 / 3:03
b9Gr9gKFxpE,English (United States),"- ""Star Wars: Visions"" is gonna be an exciting anime anthology series",0:04 / 3:03
b9Gr9gKFxpE,English (United States),"- ""Star Wars: Visions"" is gonna be an exciting anime anthology series",0:05 / 3:03
b9Gr9gKFxpE,English (United States),"- ""Star Wars: Visions"" is gonna be an exciting anime anthology series",0:06 / 3:03
b9Gr9gKFxpE,English (United States),"- ""Star Wars: Visions"" is gonna be an exciting anime anthology series",0:07 / 3:03
b9Gr9gKFxpE,English (United States),"- ""Star Wars: Visions"" is gonna be an exciting anime anthology series",0:08 / 3:03
b9Gr9gKFxpE,English (United States),coming to Disney+ in September.,0:09 / 3:03
b9Gr9gKFxpE,English (United States),coming to Disney+ in September.,0:10 / 3:03
b9Gr9gKFxpE,English (United States),coming to Disney+ in September.,0:11 / 3:03
b9Gr9gKFxpE,English (United States),Japanese animation inspired,0:11 / 3:03
b9Gr9gKFxpE,English (United States),Japanese animation inspired,0:12 / 3:03
b9Gr9gKFxpE,English (United States),Japanese animation inspired,0:13 / 3:03
b9Gr9gKFxpE,English (United States),a lot of the people at Lucasfilm over the years.,0:14 / 3:03
b9Gr9gKFxpE,English (United States),a lot of the people at Lucasfilm over the years.,0:15 / 3:03
b9Gr9gKFxpE,English (United States),a lot of the people at Lucasfilm over the years.,0:16 / 3:03
b9Gr9gKFxpE,English (United States),We loved the idea of seeing Star Wars expressed in that way.,0:16 / 3:03
b9Gr9gKFxpE,English (United States),We loved the idea of seeing Star Wars expressed in that way.,0:17 / 3:03
b9Gr9gKFxpE,English (United States),We loved the idea of seeing Star Wars expressed in that way.,0:18 / 3:03
b9Gr9gKFxpE,English (United States),We loved the idea of seeing Star Wars expressed in that way.,0:19 / 3:03
b9Gr9gKFxpE,English (United States),We loved the idea of seeing Star Wars expressed in that way.,0:20 / 3:03
b9Gr9gKFxpE,English (United States),We loved the idea of seeing Star Wars expressed in that way.,0:21 / 3:03
b9Gr9gKFxpE,English (United States),"- Each one of these studios that we approached,",0:22 / 3:03
b9Gr9gKFxpE,English (United States),"- Each one of these studios that we approached,",0:23 / 3:03
b9Gr9gKFxpE,English (United States),"- Each one of these studios that we approached,",0:24 / 3:03
b9Gr9gKFxpE,English (United States),we found hardcore Star Wars fans.,0:25 / 3:03
b9Gr9gKFxpE,English (United States),we found hardcore Star Wars fans.,0:26 / 3:03
b9Gr9gKFxpE,English (United States),,0:27 / 3:03
b9Gr9gKFxpE,English (United States),They all had a story they wanted to tell.,0:27 / 3:03
b9Gr9gKFxpE,English (United States),They all had a story they wanted to tell.,0:28 / 3:03
b9Gr9gKFxpE,English (United States),They all had a story they wanted to tell.,0:29 / 3:03
b9Gr9gKFxpE,English (United States),[intense percussive music],0:30 / 3:03
b9Gr9gKFxpE,English (United States),[intense percussive music],0:31 / 3:03
b9Gr9gKFxpE,English (United States),[intense percussive music],0:32 / 3:03
