"video_id","min_timecode","max_timecode","text.user","text.auto"
"bGtR3l_JeUo","00:00:00","00:00:03","What is this, look like dog penis in water!","what is this look like dog penis in water no"
"bGtR3l_JeUo","00:00:04","00:00:04","No, that's kombucha!","that's kombucha"
"bGtR3l_JeUo","00:00:06","00:00:07","Yeah, I brewed my own!","yeah i pruned my own does kombucha mean"
"bGtR3l_JeUo","00:00:07","00:00:09","Does kombucha mean ""dog penis"" in Peruvian?","dog penis in peruvian"
"bGtR3l_JeUo","00:00:09","00:00:10","",""
"bGtR3l_JeUo","00:00:11","00:00:13","Hello niece and nephew. It's Uncle Roger.","hello niece and nephew it's uncle roger today"
"bGtR3l_JeUo","00:00:14","00:00:19","Today, Uncle Roger gonna meet with famous egg fried rice lady, Auntie Hersha Patel.","uncle roger going to meet with famous egg fire rice lady auntie hersha patel auntie hersha"
"bGtR3l_JeUo","00:00:19","00:00:24","Auntie Hersha called Uncle Roger a few days ago and asked Uncle Roger to come to her house","called uncle roger a few days ago and asked uncle roger to come to her house this"
"bGtR3l_JeUo","00:00:25","00:00:30","This woman. I don't know what she's gonna do to Uncle Roger. If Uncle Roger no more upload video in the next few months","woman i don't know what she's gonna do to uncle roger if uncle roger no more upload video in the next few months"
"bGtR3l_JeUo","00:00:31","00:00:34","Call police it's Auntie Hersha. She the criminal if I die today,","call police it's auntie hersha she the criminal if"
"bGtR3l_JeUo","00:00:35","00:00:40","Please leave my Uncle Roger orange polo to my parents. They deserve a better life.","i die today please leave my uncle roger orange polo to my parents they deserve a better"
"bGtR3l_JeUo","00:00:40","00:00:48","","life so"
"bGtR3l_JeUo","00:00:49","00:00:50","We finally meet.","we finally meet okay"
"bGtR3l_JeUo","00:00:51","00:00:55","Okay. This is my home. It's my kitchen. Welcome make yourself at home. I'm just gonna powder my face, okay.","this is my home it's my kitchen welcome make yourself at home i'm just gonna powder my face"
"bGtR3l_JeUo","00:00:55","00:00:56","","okay"
"bGtR3l_JeUo","00:00:57","00:01:04","Okay, Uncle Roger wait here. This kitchen pretty nice. Got a lot of orange. Orange Uncle Roger favorite color.","okay uncle roger wait here this kitchen pretty nice got a lot of orange orange uncle roger favorite color"
"bGtR3l_JeUo","00:01:04","00:01:06","","[Music] favorite color [Music]"
"bGtR3l_JeUo","00:01:06","00:01:08","I wonder what is in this?","i wonder what is in this"
"bGtR3l_JeUo","00:01:09","00:01:10","",""
"bGtR3l_JeUo","00:01:11","00:01:14","What is all this? Holy shit this woman!","what is all this holy [ __ ] this woman"
"bGtR3l_JeUo","00:01:15","00:01:15","",""
"bGtR3l_JeUo","00:01:15","00:01:21","This woman have so many colander! I think this woman in love with colander. She sleep with colander at night.","this woman have so many call and i think this woman in love with carlander she sleep with colin"
"bGtR3l_JeUo","00:01:22","00:01:23","This metal thing keep her warm.","at night this metal thing keep her"
"bGtR3l_JeUo","00:01:24","00:01:24","","warm"
"bGtR3l_JeUo","00:01:24","00:01:25","So.","so uncle"
"bGtR3l_JeUo","00:01:26","00:01:29","Uncle Rog. I've heard on the grapevine that you really like rice.","raj i've heard on the grapevine that you really like rice yeah"
"bGtR3l_JeUo","00:01:29","00:01:31","Yeah, Uncle Roger like rice.","uncle roger like rice and you've got"
"bGtR3l_JeUo","00:01:32","00:01:33","And you've got some quite strong opinions about egg fried rice.","some quite strong opinions about egg fried"
"bGtR3l_JeUo","00:01:34","00:01:38","Oh, egg fried rice Uncle Roger's favorite dish. I grew up making it since I was three year old.","rice oh egg fire rice uncle roger favorite dish i grew up making it since i was three"
"bGtR3l_JeUo","00:01:39","00:01:39","","year old"
"bGtR3l_JeUo","00:01:39","00:01:42","Well, I really wanted to make you my egg fried rice. So","well i really wanted to make you my egg fried rice so"
"bGtR3l_JeUo","00:01:43","00:01:47","You, you make egg fried rice. Yeah, I do. I got rice. I've got eggs.","you you make egg fire rice yeah i do not i got rice i've got"
"bGtR3l_JeUo","00:01:47","00:01:48","Not again!","eggs not again"
"bGtR3l_JeUo","00:01:49","00:01:49","","not"
"bGtR3l_JeUo","00:01:50","00:01:51","Not again you torturing Uncle Roger!","again you torturing uncle"
"bGtR3l_JeUo","00:01:52","00:01:52","HAIYAAA","roger hi"
"bGtR3l_JeUo","00:01:53","00:01:53","",""
"bGtR3l_JeUo","00:01:54","00:01:56","I think you're being far too judgmental..","i think you're being far too judgmental"
