"video_id","min_timecode","max_timecode","text.user","text.auto"
"bkqJg3xDkmQ","00:00:00","00:00:01","(dynamic music)","[Music]"
"bkqJg3xDkmQ","00:00:02","00:00:04","- I know why you clicked on this video.","i know why you clicked on this video and you"
"bkqJg3xDkmQ","00:00:05","00:00:08","And you know that Brave Wilderness almost never clickbaits,","know that brave wilderness almost never click baits"
"bkqJg3xDkmQ","00:00:09","00:00:10","especially when it comes to Coyote Peterson","especially when it comes to kyrie peterson"
"bkqJg3xDkmQ","00:00:11","00:00:13","putting himself in a world of pain for science,","putting himself in a world of pain for science education"
"bkqJg3xDkmQ","00:00:13","00:00:16","education, and good old fashioned entertainment.","and good old-fashioned entertainment"
"bkqJg3xDkmQ","00:00:16","00:00:17","","but you're"
"bkqJg3xDkmQ","00:00:18","00:00:19","But you're probably also saying to yourselves,","probably also saying to yourselves"
"bkqJg3xDkmQ","00:00:19","00:00:22","wait a minute, I thought this guy retired","wait a minute i thought this guy retired from intentional"
"bkqJg3xDkmQ","00:00:23","00:00:24","from intentional stings after the executioner wasp.","stings after the executioner"
"bkqJg3xDkmQ","00:00:25","00:00:26","","was so let me"
"bkqJg3xDkmQ","00:00:26","00:00:29","So let me explain exactly why we're here.","explain exactly why we're here"
"bkqJg3xDkmQ","00:00:30","00:00:32","","[Music] okay"
"bkqJg3xDkmQ","00:00:33","00:00:36","Okay, so the craziest moment of fate","so the craziest moment of fate"
"bkqJg3xDkmQ","00:00:37","00:00:39","just happened moments ago.","just happened moments ago"
"bkqJg3xDkmQ","00:00:40","00:00:42","We are on location in Texas,","we are on location in texas"
"bkqJg3xDkmQ","00:00:43","00:00:45","and we're currently in the process of filming an episode","and we're currently in the process of filming an episode"
"bkqJg3xDkmQ","00:00:45","00:00:47","about alligator gar, big conservation episode","about alligator gar big conservation"
"bkqJg3xDkmQ","00:00:48","00:00:49","for this fish species.","episode for this fish species and"
"bkqJg3xDkmQ","00:00:49","00:00:52","And I'm standing on this embankment here","i'm standing on this embankment here that you see"
