"video_id","min_timecode","max_timecode","text.user","text.auto"
"byW1GExQB84","00:00:00","00:00:02","This video was made possible by CuriosityStream.","this video was made possible by curiosity stream"
"byW1GExQB84","00:00:03","00:00:07","Sign up for the Nebula bundle deal, on sale for $15 a year, to get access to two great","sign up for the nebula bundle deal on sale for 15 a year to get access to two"
"byW1GExQB84","00:00:08","00:00:11","streaming sites and help support independent creators at CuriosityStream.com/Wendover.","great streaming sites and help support independent creators at curiositystream.com"
"byW1GExQB84","00:00:11","00:00:19","COVID-19, a virus orders of magnitude smaller than a particle of dust, has turned daily","wendover covid19 a virus orders of magnitude smaller than a particle of dust has turned"
"byW1GExQB84","00:00:20","00:00:22","life on earth into something deeply unfamiliar.","daily life on earth into something deeply unfamiliar"
"byW1GExQB84","00:00:23","00:00:28","In the ten or so months since it first emerged, the virus has settled at a steady clip of","something deeply unfamiliar in the 10 or so months since it first emerged the virus has settled at a steady clip of killing"
"byW1GExQB84","00:00:28","00:00:33","killing 5,000 people per day, or nearly a million total, currently.","5 000 people per day or nearly a million total currently"
"byW1GExQB84","00:00:34","00:00:37","It has played havoc with the world economy, plunging the globe into the worst economic","it has played havoc with the world economy plunging the globe into the worst economic"
"byW1GExQB84","00:00:38","00:00:40","crisis since World War Two.","crisis since world war ii it has interrupted"
"byW1GExQB84","00:00:40","00:00:45","It has interrupted an era of mounting globalization, and pushed us into a more insular, nationalistic","an era of mountain globalization ii it has interrupted an era of mountain globalization and pushed us into a more insular nationalistic state"
"byW1GExQB84","00:00:46","00:00:46","state.","the effects of"
"byW1GExQB84","00:00:47","00:00:52","The effects of this virus are truly all encompassing and consistently dreadful, but time has bestowed","this virus are truly all encompassing the effects of this virus are truly all encompassing and consistently dreadful but time has bestowed upon"
"byW1GExQB84","00:00:53","00:00:55","upon us a reward for our patience.","us a reward for our patients we"
"byW1GExQB84","00:00:56","00:01:01","We are potentially nearing the beginning of the end, meaning we could now be at the end","are potentially nearing the beginning of the end meaning we could now be at the end of the middle"
"byW1GExQB84","00:01:01","00:01:02","of the middle.","that end"
"byW1GExQB84","00:01:02","00:01:05","That end of this virus will take far longer than the beginning—we’re likely far from","of this virus will take far longer than the beginning we're"
"byW1GExQB84","00:01:06","00:01:11","halfway through the pandemic in terms of time—but the slow decline in dreadfulness is potentially","likely far from halfway through the pandemic in terms of time but the slow decline in dreadfulness is potentially"
"byW1GExQB84","00:01:12","00:01:13","on the horizon.","on the horizon that's"
"byW1GExQB84","00:01:13","00:01:17","That’s because a vaccine is coming.","because a vaccine is coming there"
"byW1GExQB84","00:01:17","00:01:21","There was previously a period of doubt on whether an effective vaccine could be developed,","was previously a period of doubt on whether an effective vaccine could be developed"
"byW1GExQB84","00:01:22","00:01:26","it’s never a sure shot, but all indications currently suggest, given the unprecedented","it was never a sure shot but all indications currently suggest given the unprecedented"
"byW1GExQB84","00:01:26","00:01:31","extent of scientific effort, that it is indeed coming.","extent of scientific effort that it is indeed coming the"
"byW1GExQB84","00:01:31","00:01:35","The only and paramount question is when.","only and paramount question is when"
"byW1GExQB84","00:01:36","00:01:41","Right now, in September, 2020, all attention is focused on the late-October, early-November","right now in september 2020 all attention is focused on the late october early november"
"byW1GExQB84","00:01:41","00:01:42","timeframe.","time frame"
"byW1GExQB84","00:01:43","00:01:47","That’s the earliest possible moment when any of the frontrunner vaccines, from major","that's the earliest possible moment when any of the frontrunner vaccines from major manufacturers"
"byW1GExQB84","00:01:47","00:01:52","manufacturers including AstraZeneca, Pfizer, and Moderna, could enter regulatory review.","including astrazeneca pfizer and moderna could enter regulatory review"
"byW1GExQB84","00:01:53","00:01:57","If all the data confidently point to the vaccine exhibiting an acceptable level of safety and","if all the data confidently point to the vaccine exhibiting an acceptable level of safety and"
"byW1GExQB84","00:01:58","00:02:02","effectiveness, it is possible that one of these will then be granted emergency use authorization","effectiveness it is possible that one of these will then be granted emergency use authorization"
"byW1GExQB84","00:02:03","00:02:07","by the American FDA, or its equivalent by other major national regulators.","then be granted emergency use authorization by the american fda or its equivalent by other major national regulators it's"
"byW1GExQB84","00:02:07","00:02:12","It’s worth noting that this is far from a sure-shot, but experts do say that having","worth noting that this is far from a sure shot but experts do say that having a vaccine"
"byW1GExQB84","00:02:12","00:02:16","a vaccine in 2020 is a less-than-long-shot possibility.","in 2020 is a less than long shot possibility"
"byW1GExQB84","00:02:17","00:02:24","However, it is almost certain that you will not be injected by a COVID-19 vaccine in the","however it is almost certain that you will not be injected by a covid19 vaccine in the year 2020."
"byW1GExQB84","00:02:26","00:02:31","It is possible, but for the average person, when you actually get a dose of a COVID vaccine","it is possible but for the average person it is possible but for the average person when you actually get a dose of a coveted vaccine"
"byW1GExQB84","00:02:32","00:02:37","has much less to do with when it’s approved, and more with how fast it is manufactured","has much less to do with when it's approved and much more with how fast it is manufactured"
"byW1GExQB84","00:02:37","00:02:38","and distributed.","and distributed"
"byW1GExQB84","00:02:39","00:02:43","The full effects of the pandemic—health, social, and economic—will not end until","the full effects of the pandemic health social and economic will not"
"byW1GExQB84","00:02:44","00:02:47","a critical mass of people are vaccinated.","end until a critical mass of people are vaccinated that means"
"byW1GExQB84","00:02:48","00:02:51","That means that when we get back to normal life has much more to do with when the last","that when we get back to normal life has much more to do with when the last"
"byW1GExQB84","00:02:52","00:02:55","person is vaccinated, rather than the first.","person is vaccinated rather than the first this"
"byW1GExQB84","00:02:55","00:03:00","This is why some have said that the fast distribution of a vaccine will be an even greater challenge","is why some have said that the fast distribution of a vaccine will be an even greater challenge than"
"byW1GExQB84","00:03:01","00:03:02","than the development itself.","the development itself this"
"byW1GExQB84","00:03:03","00:03:07","This process, this challenge of getting the majority of the world's population vaccinated,","process this challenge of getting the majority of the world's population vaccinated"
"byW1GExQB84","00:03:07","00:03:12","can quite legitimately be described as the most daunting and consequential single logistical","can quite legitimately be described as the most daunting and consequential single logistical challenge"
"byW1GExQB84","00:03:13","00:03:13","challenge ever.","and consequential single logistical challenge"
"byW1GExQB84","00:03:14","00:03:19","The stakes have never been higher, but the challenge has also never been greater.","ever the stakes have never been higher but the challenge has also never been greater"
"byW1GExQB84","00:03:20","00:03:21","Let's look at why.","let's look at why first"
"byW1GExQB84","00:03:22","00:03:24","First and foremost, it's a scale problem.","and foremost it's a scale problem at why first and foremost it's a scale problem shipping and"
"byW1GExQB84","00:03:25","00:03:28","Shipping and administering one vaccine to one person is not difficult, but shipping","administering one vaccine to one person is not difficult but"
