"video_id","min_timecode","max_timecode","text.user","text.auto"
"c1zK5tzZa60","00:00:00","00:00:01","Hey, JOHFAM","hey jeff fam welcome"
"c1zK5tzZa60","00:00:01","00:00:04","Welcome to another episode of JCC","to another episode of chinese communication center"
"c1zK5tzZa60","00:00:05","00:00:11","Today, I'm here with one of my closest, best friends","uh today uh i am here with my one of my closest and bestest friends"
"c1zK5tzZa60","00:00:12","00:00:13","","and"
"c1zK5tzZa60","00:00:14","00:00:14","Hey, JOHNNY, are we here?","come over here hello over here"
"c1zK5tzZa60","00:00:16","00:00:17","What do you carry in your luggage?","yeah let's see what did you put in your luggage"
"c1zK5tzZa60","00:00:18","00:00:21","We need a lot of things today, anyway, we're here","we needed a lot of things anyways today we are here"
"c1zK5tzZa60","00:00:22","00:00:22","","is your"
"c1zK5tzZa60","00:00:22","00:00:23","Is your parents' home?","parents home"
"c1zK5tzZa60","00:00:24","00:00:25","Hush, I didn't tell…","shh i didn't tell okay"
"c1zK5tzZa60","00:00:26","00:00:28","","i don't think i don't have to call okay in my"
"c1zK5tzZa60","00:00:28","00:00:31","Yay, I'm home, I'm back home","home i'm back home"
"c1zK5tzZa60","00:00:32","00:00:32","",""
"c1zK5tzZa60","00:00:32","00:00:34","Welcome to my house, TEN","welcome to my house today"
"c1zK5tzZa60","00:00:35","00:00:36","","oh dude"
"c1zK5tzZa60","00:00:37","00:00:39","I'm envious of other members who've already been here","i was so envy with the for the other members because they've"
"c1zK5tzZa60","00:00:40","00:00:40","Yes, they've been here","been here they've been here yeah"
"c1zK5tzZa60","00:00:41","00:00:41","It's my first time","it's my first time"
"c1zK5tzZa60","00:00:42","00:00:42","","wait"
"c1zK5tzZa60","00:00:43","00:00:46","Wait, I want to say hi to Ms.Song","i wanna see um i wanna say hi to miss nissan this"
"c1zK5tzZa60","00:00:47","00:00:53","Mrs.Song? She's not here","is so messy sir mrs wait maybe she's not here"
"c1zK5tzZa60","00:00:53","00:00:55","","wait let me i'll call you i"
"c1zK5tzZa60","00:00:55","00:00:57","I told you to call them before","told you to tell them before i'll call you i told you to tell them before"
"c1zK5tzZa60","00:00:58","00:01:01","I did, I did! Maybe she wants to buy something","i did i did i did maybe she went to buy something"
"c1zK5tzZa60","00:01:01","00:01:02","","are"
"c1zK5tzZa60","00:01:02","00:01:04","Are you sure? Is she gone?","you sure because they their shoes are gone like"
"c1zK5tzZa60","00:01:05","00:01:07","","all their shoes maybe they're going yeah they probably didn't they probably"
"c1zK5tzZa60","00:01:08","00:01:08","They'll be back","they'll be back"
"c1zK5tzZa60","00:01:08","00:01:09","","okay that's fine whether"
"c1zK5tzZa60","00:01:09","00:01:10","Where do you want me to put the luggage?","you want me to put the luggage"
"c1zK5tzZa60","00:01:11","00:01:11","",""
"c1zK5tzZa60","00:01:12","00:01:12","Oh, just put it right there","uh just put"
"c1zK5tzZa60","00:01:13","00:01:14","Right there? Okay","it right there right there okay uh just put it right there right there okay"
"c1zK5tzZa60","00:01:14","00:01:18","","we'll we'll organize that later ah"
"c1zK5tzZa60","00:01:19","00:01:19","Oh, you're rich","dude you're rich"
"c1zK5tzZa60","00:01:20","00:01:20","",""
"c1zK5tzZa60","00:01:21","00:01:22","I know, I know","i know whoa i know great"
"c1zK5tzZa60","00:01:23","00:01:24","How much is that picture?","how much of that my mom"
"c1zK5tzZa60","00:01:24","00:01:25","My mom loves art","loves art"
"c1zK5tzZa60","00:01:26","00:01:26","","oh"
"c1zK5tzZa60","00:01:27","00:01:30","After I…I don't know, she just started buying art","after uh after i i don't know she just started to"
"c1zK5tzZa60","00:01:31","00:01:31","","buy art art"
"c1zK5tzZa60","00:01:32","00:01:33","Let me call my mom","let me call let me call my mom let me"
"c1zK5tzZa60","00:01:33","00:01:34","Let me try this couch","try this couch"
"c1zK5tzZa60","00:01:35","00:01:35","",""
"c1zK5tzZa60","00:01:36","00:01:36","Do you like it?","you like it"
"c1zK5tzZa60","00:01:36","00:01:37","It's very good","oh it's very good"
"c1zK5tzZa60","00:01:38","00:01:38","","so ten"
"c1zK5tzZa60","00:01:38","00:01:42","TEN has been wanting to come over to my house for a very long time","has been wanting to come over to my house for for a very long time"
"c1zK5tzZa60","00:01:43","00:01:44","since trainee days","it's like training"
"c1zK5tzZa60","00:01:44","00:01:44","",""
"c1zK5tzZa60","00:01:45","00:01:47","It took me 8 years to finally come here","yeah it took me no eight years"
"c1zK5tzZa60","00:01:48","00:01:52","It did, to come here to Chicago at my house","it did to finally come here to chicago at my house"
"c1zK5tzZa60","00:01:53","00:01:54","",""
"c1zK5tzZa60","00:01:55","00:01:55","",""
"c1zK5tzZa60","00:01:57","00:01:57","",""
"c1zK5tzZa60","00:01:58","00:01:59","",""
"c1zK5tzZa60","00:02:03","00:02:05","",""
"c1zK5tzZa60","00:02:05","00:02:08","Oh, I got it, okay","so okay don't"
"c1zK5tzZa60","00:02:08","00:02:09","She'd fly back to Korea?","tell me to fly back"
"c1zK5tzZa60","00:02:10","00:02:10","","to korea dude"
"c1zK5tzZa60","00:02:11","00:02:12","Dude, she's in Korea","you went to korea"
"c1zK5tzZa60","00:02:12","00:02:14","","oh"
"c1zK5tzZa60","00:02:15","00:02:17","You'll see her next time, she'll be back again, anyways","no you're here next time again"
"c1zK5tzZa60","00:02:18","00:02:18","",""
"c1zK5tzZa60","00:02:18","00:02:19","So, we're alone","so we'll be alone"
"c1zK5tzZa60","00:02:20","00:02:20","","but"
