"video_id","min_timecode","max_timecode","text.user","text.auto"
"c7HEM58-SC4","00:00:00","00:00:01","(upbeat music playing)","[Music]"
"c7HEM58-SC4","00:00:05","00:00:08","",""
"c7HEM58-SC4","00:00:09","00:00:10","You'll notice this about mommies?","y'all notice this about [Music]"
"c7HEM58-SC4","00:00:15","00:00:18","","mommy's [Applause]"
"c7HEM58-SC4","00:00:21","00:00:24","- Hey everybody, welcome to ""Try Not To Laugh"",","hey everybody welcome to try not to laugh but guess what"
"c7HEM58-SC4","00:00:25","00:00:26","It ain't no regular ""Try Not To Laugh.""","it ain't no regular try not to laugh"
"c7HEM58-SC4","00:00:27","00:00:30","It's ""Try Not To Laugh"" with our crew.","it's trying not to laugh with our"
"c7HEM58-SC4","00:00:32","00:00:33","",""
"c7HEM58-SC4","00:00:35","00:00:36","- That's right, that's right.","that's right so we"
"c7HEM58-SC4","00:00:36","00:00:37","So we are actually not going to be doing","are actually not going to be doing"
"c7HEM58-SC4","00:00:38","00:00:39","any of the funny hahas. - No.","any of the funny hops we are just"
"c7HEM58-SC4","00:00:39","00:00:40","- We are just here to laugh,","here to laugh we get"
"c7HEM58-SC4","00:00:41","00:00:41","that's right. - We get to enjoy everything.","to enjoy everything"
"c7HEM58-SC4","00:00:43","00:00:44","(laughing) So we got a bunch of our crews,","so we got a bunch of our crew some true"
"c7HEM58-SC4","00:00:44","00:00:45","some crew you guys haven't even seen before.","you guys haven't even"
"c7HEM58-SC4","00:00:46","00:00:47","- Yes. (laughing)","seen before it is their smosh"
"c7HEM58-SC4","00:00:47","00:00:48","- It is their smash debut.","day view"
"c7HEM58-SC4","00:00:49","00:00:50","- I think they're all gonna do great,","i think they're all gonna do great because they're all"
"c7HEM58-SC4","00:00:50","00:00:51","because they're all funnier than us.","funnier than"
"c7HEM58-SC4","00:00:52","00:00:52","- Yeah.","us yeah but you know"
"c7HEM58-SC4","00:00:53","00:00:54","- But you know, you know what actually helped them,","you know what actually help them in"
"c7HEM58-SC4","00:00:54","00:00:55","in their quest to be funny?","their quest to be funny"
"c7HEM58-SC4","00:00:56","00:00:57","If you subscribed.","if you subscribe"
"c7HEM58-SC4","00:00:58","00:00:59","- They all, they can feel the funnies.","the funnies"
"c7HEM58-SC4","00:01:00","00:01:02","","you've"
"c7HEM58-SC4","00:01:03","00:01:05","- You upgraded your TV, your smartphone,","upgraded your tv your smartphone"
"c7HEM58-SC4","00:01:06","00:01:09","everything in your home, but life still feels obsolete.","everything in your home but life still feels obsolete well"
"c7HEM58-SC4","00:01:09","00:01:11","Well, Robotics Inc is about to revolutionize","robotics inc is about to revolutionize"
"c7HEM58-SC4","00:01:12","00:01:13","your life forever.","your life forever introducing your life forever introducing"
"c7HEM58-SC4","00:01:13","00:01:14","Introducing new mom.","pneuma"
"c7HEM58-SC4","00:01:15","00:01:16","(laughing)","the new mom installation"
"c7HEM58-SC4","00:01:16","00:01:17","The new mom installation happens in no time.","happens in no"
"c7HEM58-SC4","00:01:17","00:01:20","In seconds, we will quickly contain and remove your old mom.","time in seconds we will quickly contain and remove your old mom"
"c7HEM58-SC4","00:01:21","00:01:23","But, you won't be a mom less for a long.","but you won't be momless for long once new mom"
"c7HEM58-SC4","00:01:23","00:01:26","Once new mom has secured all entrances and exits,","has secured all entrances and exits she will"
"c7HEM58-SC4","00:01:27","00:01:28","she will snatch a DNA sample of your skin,","snatch a dna sample of your skin"
"c7HEM58-SC4","00:01:29","00:01:30","and bond with you forever.","and bond with you forever"
"c7HEM58-SC4","00:01:31","00:01:31","(harmonica plays) (laughing)","new mom"
"c7HEM58-SC4","00:01:31","00:01:33","New mom has been hardwired to love you","has been hardwired to love you"
"c7HEM58-SC4","00:01:34","00:01:37","with every piece of her hard plastic exterior.","with every piece of her hard plastic exterior"
"c7HEM58-SC4","00:01:37","00:01:38","(laughs)","with a crushing embrace"
"c7HEM58-SC4","00:01:38","00:01:41","With a crushing embrace and a grip unmatched by man,","and a grip unmatched by man mom"
"c7HEM58-SC4","00:01:41","00:01:44","mom, she'll feel just like old mom but got colder.","uh she'll feel just like old mom but colder"
"c7HEM58-SC4","00:01:44","00:01:45","(laughing)","mom uh she'll feel just like old mom but colder"
"c7HEM58-SC4","00:01:46","00:01:46","(harmonica plays)","the old mom can"
"c7HEM58-SC4","00:01:46","00:01:49","Your old mom can barely carry the groceries up to the house,","barely carry the groceries up to the house but new mom can"
"c7HEM58-SC4","00:01:49","00:01:51","but new mom can throw a Winnebago 40 miles.","throw a winnebago 40 miles"
"c7HEM58-SC4","00:01:52","00:01:53","(laughing) (harmonica plays)","old"
"c7HEM58-SC4","00:01:53","00:01:55","Old mom gets stuck in traffic,","mom gets stuck in traffic but new mom's turbo"
"c7HEM58-SC4","00:01:55","00:01:57","but new mom's turbo boosters make her so fast,","boosters make her so fast"
"c7HEM58-SC4","00:01:58","00:01:59","she's undetectable by radar.","she's undetectable by radon"
"c7HEM58-SC4","00:01:59","00:02:01","(laughing)","new"
"c7HEM58-SC4","00:02:02","00:02:04","New mom truly is cutting edge,","mom truly is cutting edge because she has 15"
"c7HEM58-SC4","00:02:04","00:02:06","because she has 15 injectable knives.","ejectable"
"c7HEM58-SC4","00:02:07","00:02:08","(laughing)","knives let's"
"c7HEM58-SC4","00:02:08","00:02:09","Let's face it.","face it new"
"c7HEM58-SC4","00:02:10","00:02:11","New mom blows everything else out of the water,","mom blows everything"
"c7HEM58-SC4","00:02:12","00:02:13","with heat seeking torpedoes.","else out of the water with heat seeking torpedoes"
"c7HEM58-SC4","00:02:15","00:02:17","Don't worry, your old mom won't be far away.","don't worry your old mom won't be far away"
"c7HEM58-SC4","00:02:17","00:02:20","Your old mom will be compressed into a nutrient rich nugget","your old mom will be compressed into a nutrient-rich nugget"
"c7HEM58-SC4","00:02:24","00:02:24","(clapping)","so"
"c7HEM58-SC4","00:02:25","00:02:28","So call today and take your mom, to the maximom.","call today and take your mom to the maximum"
"c7HEM58-SC4","00:02:28","00:02:31","(audience applauding)","[Applause] maximum [Applause]"
"c7HEM58-SC4","00:02:31","00:02:33","",""
"c7HEM58-SC4","00:02:35","00:02:36","(murmuring)","hey guys"
"c7HEM58-SC4","00:02:36","00:02:37","- Hey guys,","so"
"c7HEM58-SC4","00:02:37","00:02:40","so, I'm trying to do a whole thing about like anime,","um i'm trying to do a whole thing about like anime"
"c7HEM58-SC4","00:02:40","00:02:42","cause I know a lot of you guys like anime.","because i know a lot of you guys like anime uh so"
"c7HEM58-SC4","00:02:43","00:02:46","So I am the famous character, I think his name is Jojo,","i am the famous character i think his name is jojo from"
"c7HEM58-SC4","00:02:46","00:02:48","from ""Jojo's Crazy Adventure.""","jojo's crazy adventure so"
"c7HEM58-SC4","00:02:51","00:02:52","(laughing) hold on, hold on, hold on, hold on.","hold on hold on hold on that's"
"c7HEM58-SC4","00:02:52","00:02:53","That's about as far as I can get with that,","about as far as i can get with that"
"c7HEM58-SC4","00:02:54","00:02:54","I'm really horrible with bits.","i'm really horrible with bits"
"c7HEM58-SC4","00:02:55","00:02:56","So really, what I'm about to do,","so really what i'm about to do is"
"c7HEM58-SC4","00:02:57","00:02:58","is I'm about to, rip this shirt off,","i'm about to rip this shirt"
"c7HEM58-SC4","00:02:58","00:02:59","(cheering)","off and take"
"c7HEM58-SC4","00:03:00","00:03:01","and take it off, but I can't find the hole.","it all off but i can't find the hole"
"c7HEM58-SC4","00:03:02","00:03:02","(laughing)","and take it all off but i can't find the hole here it"
"c7HEM58-SC4","00:03:03","00:03:03","Here it is!","is"
"c7HEM58-SC4","00:03:16","00:03:17","(harmonica plays)","so this year"
"c7HEM58-SC4","00:03:18","00:03:19","I'm taking, bringing back the holiday workouts.","i'm taking bringing it back to holiday workouts"
"c7HEM58-SC4","00:03:20","00:03:21","Once again, I need a bigger boy though.","once again i need a bigger boy though"
"c7HEM58-SC4","00:03:22","00:03:23","Bring it up, bring, Bigger Boi.","break it up bring it back"
"c7HEM58-SC4","00:03:24","00:03:25","- [audience] Bigger Boi!","[Applause]"
"c7HEM58-SC4","00:03:26","00:03:26","(audience cheering)","so"
"c7HEM58-SC4","00:03:27","00:03:28","So, you get yourself a bigger boy,","you get yourself a bigger boy"
"c7HEM58-SC4","00:03:29","00:03:29","oh like this.","you hold him like this"
"c7HEM58-SC4","00:03:31","00:03:33","- Then you start, squatting with Bigger Boi.","oh"
"c7HEM58-SC4","00:03:35","00:03:36","(mumbling)","if"
"c7HEM58-SC4","00:03:36","00:03:38","- And if that's not enough,","that's not"
"c7HEM58-SC4","00:03:42","00:03:42","",""
"c7HEM58-SC4","00:03:44","00:03:44","- Okay, I thought it was gonna be a thong.","enough"
"c7HEM58-SC4","00:03:48","00:03:49","- So, by the way, HR is like","so by the way hr is like on the other side"
"c7HEM58-SC4","00:03:49","00:03:50","on the other side of the screen, am I fired?","of the screen am i fired"
"c7HEM58-SC4","00:03:55","00:03:56","","i was gonna joke"
