video_id,lang,text,timecode
cnXapYkboRQ,English (United States),♪,0:00 / 2:31
cnXapYkboRQ,English (United States),♪,0:01 / 2:31
cnXapYkboRQ,English (United States),"A singular new design, a reengineered chip, and 5G.",0:01 / 2:31
cnXapYkboRQ,English (United States),"A singular new design, a reengineered chip, and 5G.",0:02 / 2:31
cnXapYkboRQ,English (United States),"A singular new design, a reengineered chip, and 5G.",0:03 / 2:31
cnXapYkboRQ,English (United States),"A singular new design, a reengineered chip, and 5G.",0:04 / 2:31
cnXapYkboRQ,English (United States),"A singular new design, a reengineered chip, and 5G.",0:05 / 2:31
cnXapYkboRQ,English (United States),"A singular new design, a reengineered chip, and 5G.",0:06 / 2:31
cnXapYkboRQ,English (United States),This is iPhone 12 Pro.,0:07 / 2:31
cnXapYkboRQ,English (United States),This is iPhone 12 Pro.,0:08 / 2:31
cnXapYkboRQ,English (United States),This is iPhone 12 Pro.,0:09 / 2:31
cnXapYkboRQ,English (United States),This is iPhone 12 Pro.,0:10 / 2:31
cnXapYkboRQ,English (United States),This is iPhone 12 Pro.,0:11 / 2:31
cnXapYkboRQ,English (United States),The vertical band is precision-machined,0:11 / 2:31
cnXapYkboRQ,English (United States),The vertical band is precision-machined,0:12 / 2:31
cnXapYkboRQ,English (United States),from stainless steel.,0:13 / 2:31
cnXapYkboRQ,English (United States),from stainless steel.,0:14 / 2:31
cnXapYkboRQ,English (United States),from stainless steel.,0:15 / 2:31
cnXapYkboRQ,English (United States),The Ceramic Shield on the front,0:15 / 2:31
cnXapYkboRQ,English (United States),The Ceramic Shield on the front,0:16 / 2:31
cnXapYkboRQ,English (United States),The Ceramic Shield on the front,0:17 / 2:31
cnXapYkboRQ,English (United States),is tougher than any smartphone glass.,0:18 / 2:31
cnXapYkboRQ,English (United States),is tougher than any smartphone glass.,0:19 / 2:31
cnXapYkboRQ,English (United States),is tougher than any smartphone glass.,0:20 / 2:31
cnXapYkboRQ,English (United States),And tighter borders allow,0:21 / 2:31
cnXapYkboRQ,English (United States),And tighter borders allow,0:22 / 2:31
cnXapYkboRQ,English (United States),,0:22 / 2:31
cnXapYkboRQ,English (United States),for even larger Super Retina XDR displays.,0:23 / 2:31
cnXapYkboRQ,English (United States),for even larger Super Retina XDR displays.,0:24 / 2:31
cnXapYkboRQ,English (United States),for even larger Super Retina XDR displays.,0:25 / 2:31
cnXapYkboRQ,English (United States),for even larger Super Retina XDR displays.,0:26 / 2:31
cnXapYkboRQ,English (United States),♪,0:26 / 2:31
cnXapYkboRQ,English (United States),♪,0:27 / 2:31
cnXapYkboRQ,English (United States),♪,0:28 / 2:31
cnXapYkboRQ,English (United States),5G is set to change the world with radically faster speeds.,0:29 / 2:31
cnXapYkboRQ,English (United States),5G is set to change the world with radically faster speeds.,0:30 / 2:31
cnXapYkboRQ,English (United States),5G is set to change the world with radically faster speeds.,0:31 / 2:31
cnXapYkboRQ,English (United States),5G is set to change the world with radically faster speeds.,0:32 / 2:31
cnXapYkboRQ,English (United States),The hardware and software have been optimized,0:33 / 2:31
cnXapYkboRQ,English (United States),The hardware and software have been optimized,0:34 / 2:31
cnXapYkboRQ,English (United States),for the best 5G experience.,0:35 / 2:31
cnXapYkboRQ,English (United States),for the best 5G experience.,0:36 / 2:31
cnXapYkboRQ,English (United States),for the best 5G experience.,0:37 / 2:31
cnXapYkboRQ,English (United States),for the best 5G experience.,0:38 / 2:31
cnXapYkboRQ,English (United States),"A14 Bionic has a smaller five-nanometer transistor,",0:38 / 2:31
cnXapYkboRQ,English (United States),"A14 Bionic has a smaller five-nanometer transistor,",0:39 / 2:31
cnXapYkboRQ,English (United States),"A14 Bionic has a smaller five-nanometer transistor,",0:40 / 2:31
cnXapYkboRQ,English (United States),"A14 Bionic has a smaller five-nanometer transistor,",0:41 / 2:31
cnXapYkboRQ,English (United States),which pushes the most powerful chip in a smartphone...,0:42 / 2:31
cnXapYkboRQ,English (United States),which pushes the most powerful chip in a smartphone...,0:43 / 2:31
cnXapYkboRQ,English (United States),which pushes the most powerful chip in a smartphone...,0:44 / 2:31
cnXapYkboRQ,English (United States),[RUMBLING] ...generations ahead.,0:45 / 2:31
cnXapYkboRQ,English (United States),[RUMBLING] ...generations ahead.,0:46 / 2:31
cnXapYkboRQ,English (United States),[RUMBLING] ...generations ahead.,0:47 / 2:31
cnXapYkboRQ,English (United States),A new and improved Pro camera system,0:48 / 2:31
cnXapYkboRQ,English (United States),A new and improved Pro camera system,0:49 / 2:31
cnXapYkboRQ,English (United States),A new and improved Pro camera system,0:50 / 2:31
cnXapYkboRQ,English (United States),makes the 12 Pro the photographer's iPhone.,0:50 / 2:31
cnXapYkboRQ,English (United States),makes the 12 Pro the photographer's iPhone.,0:51 / 2:31
cnXapYkboRQ,English (United States),makes the 12 Pro the photographer's iPhone.,0:52 / 2:31
cnXapYkboRQ,English (United States),makes the 12 Pro the photographer's iPhone.,0:53 / 2:31
cnXapYkboRQ,English (United States),The larger iPhone 12 Pro Max,0:54 / 2:31
cnXapYkboRQ,English (United States),The larger iPhone 12 Pro Max,0:55 / 2:31
cnXapYkboRQ,English (United States),takes these innovations even further.,0:56 / 2:31
cnXapYkboRQ,English (United States),takes these innovations even further.,0:57 / 2:31
cnXapYkboRQ,English (United States),takes these innovations even further.,0:58 / 2:31
cnXapYkboRQ,English (United States),[EXPLODING],0:58 / 2:31
cnXapYkboRQ,English (United States),[EXPLODING],0:59 / 2:31
cnXapYkboRQ,English (United States),Its bigger sensor dramatically increases the detail captured,0:59 / 2:31
cnXapYkboRQ,English (United States),Its bigger sensor dramatically increases the detail captured,1:00 / 2:31
cnXapYkboRQ,English (United States),Its bigger sensor dramatically increases the detail captured,1:01 / 2:31
cnXapYkboRQ,English (United States),Its bigger sensor dramatically increases the detail captured,1:02 / 2:31
cnXapYkboRQ,English (United States),and helps improve low-light performance by 87 percent.,1:03 / 2:31
