video_id,lang,text,timecode
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,,0:00 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,,0:01 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,,0:02 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,,0:03 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,,0:04 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,THAT COMING UP. >>> SO,0:04 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,THAT COMING UP. >>> SO FAR FOUR,0:05 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,>>> SO FAR FOUR MEN WITH,0:06 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,>>> SO FAR FOUR MEN WITH GEORGIA TIES HAVE,0:06 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,>>> SO FAR FOUR MEN WITH GEORGIA TIES HAVE BEEN ARRESTED,0:07 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,GEORGIA TIES HAVE BEEN ARRESTED FOR MAKING THREATS AND,0:07 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,FOR MAKING THREATS AND TAKING PART IN,0:08 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,FOR MAKING THREATS AND TAKING PART IN THE RIOT,0:09 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,FOR MAKING THREATS AND TAKING PART IN THE RIOT AT,0:09 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,FOR MAKING THREATS AND TAKING PART IN THE RIOT AT THE U.S.,0:10 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,FOR MAKING THREATS AND TAKING PART IN THE RIOT AT THE U.S.,0:11 / 0:42
eMSgeOcE7nI,English - eMSgeOcE7nI_Caption,CAPITOL LAST WEEK.,0:11 / 0:42
