"video_id","min_timecode","max_timecode","text.user","text.auto"
"eTSgB2YU7UM","00:00:00","00:00:01","THE UPPER 80'S ARE HIGH TODAY","a horrifying scene along i-4"
"eTSgB2YU7UM","00:00:02","00:00:02","THE HUMIDITY LEVELS THROUGH","this weekend as a"
"eTSgB2YU7UM","00:00:03","00:00:05","WEATHER AND TRAFFIC ON THE","driver swerves off the road and goes"
"eTSgB2YU7UM","00:00:05","00:00:06","EIGHTS. THANK YOU LEE. A","airborne"
"eTSgB2YU7UM","00:00:07","00:00:07","HORRIFYING SCENE ALONG I-FOUR","this is video from fhp"
"eTSgB2YU7UM","00:00:08","00:00:10","THIS WEEKEND AS A DRIVER","this is video from fhp of the terrifying moments here one person"
"eTSgB2YU7UM","00:00:10","00:00:11","SWERVED OFF THE ROAD.","died in this crash"
"eTSgB2YU7UM","00:00:12","00:00:12","AND GOES AIRBORNE. THIS IS","and it turns"
"eTSgB2YU7UM","00:00:13","00:00:15","VIDEO FROM FHP OF THE","out the driver behind the wheel of the car"
"eTSgB2YU7UM","00:00:16","00:00:16","TERRIFYING MOMENTS HERE. ONE","was out on probation"
"eTSgB2YU7UM","00:00:17","00:00:17","PERSON DIED IN THIS CRASH AND","for killing someone else"
"eTSgB2YU7UM","00:00:17","00:00:19","IT TURNS OUT THE DRIVER BEHIND","eight on your side's christie mclarty"
"eTSgB2YU7UM","00:00:20","00:00:21","THE WHEEL OF THE CAR. WITHOUT","is live at the site of the crash along"
"eTSgB2YU7UM","00:00:22","00:00:23","ON PROBATION FOR KILLING","i-4 and christine this driver has"
"eTSgB2YU7UM","00:00:24","00:00:24","SOMEONE ELSE. 8 ON YOUR SIDE'S","a history of some"
"eTSgB2YU7UM","00:00:24","00:00:27","CHRISTINE MCLARTY IS LIVE AT","dangerous driving too"
"eTSgB2YU7UM","00:00:27","00:00:28","THE SITE OF THE CRASH ALONG","she does as"
"eTSgB2YU7UM","00:00:28","00:00:29","I-FOUR AND CHRISTINE THIS","far as this incident goes"
"eTSgB2YU7UM","00:00:29","00:00:32","DRIVER HAS A HISTORY OF SOME","she was clocked three times on the interstate going"
"eTSgB2YU7UM","00:00:33","00:00:34","DANGEROUS DRIVING TOO.","111 miles per"
"eTSgB2YU7UM","00:00:34","00:00:36","SHE DOES AS FAR AS THIS","hour before coming to a crashing halt"
"eTSgB2YU7UM","00:00:37","00:00:38","INCIDENT GOES SHE WAS CLOCK TO","here at this car dealership"
"eTSgB2YU7UM","00:00:39","00:00:39","3 TIMES ON THE INTERSTATE","now take a look at the"
"eTSgB2YU7UM","00:00:40","00:00:40","GOING A 111 MILES PER HOUR","trooper"
"eTSgB2YU7UM","00:00:41","00:00:43","BEFORE COMING TO A CRASHING","dash cam video this is the moment the car goes airborne"
"eTSgB2YU7UM","00:00:44","00:00:45","HALT HERE AT THIS CAR","crashing into the gator ford dealership"
"eTSgB2YU7UM","00:00:46","00:00:47","DEALERSHIP NOW TAKE A LOOK AT","the crash happened around 2 a.m"
"eTSgB2YU7UM","00:00:47","00:00:48","THE TROOPER DASH CAM VIDEO","sunday morning"
"eTSgB2YU7UM","00:00:49","00:00:49","THIS IS THE MOMENT, THE CAR","just off i-4 in hillsborough"
"eTSgB2YU7UM","00:00:49","00:00:52","GOES AIRBORNE CRASHING INTO","county according to the florida highway patrol this"
"eTSgB2YU7UM","00:00:53","00:00:54","CRASH HAPPENED AROUND 02:00AM","is the driver 24 year old"
"eTSgB2YU7UM","00:00:55","00:00:55","SUNDAY MORNING JUST OFF I 4 IN","jennifer carvajal"
"eTSgB2YU7UM","00:00:55","00:00:57","HILLSBOROUGH COUNTY. ACCORDING","fhp troopers say when"
"eTSgB2YU7UM","00:00:58","00:00:58","TO THE FLORIDA HIGHWAY PATROL,","trying to overtake her"
"eTSgB2YU7UM","00:00:59","00:01:01","THIS IS THE DRIVER 24 YEAR-OLD","car she made a hard right turn sending the hyundai"
"eTSgB2YU7UM","00:01:02","00:01:03","JENNIFER CARTER HALL FHP","elantra into the shoulder of the road"
"eTSgB2YU7UM","00:01:03","00:01:05","TROOPERS SAY WHEN TRYING TO","down the embankment before"
"eTSgB2YU7UM","00:01:06","00:01:06","HARD RIGHT TURN SENDING THE","going airborne down the embankment before going airborne"
"eTSgB2YU7UM","00:01:07","00:01:09","HYUNDAI LAUNCHED RIGHT INTO","into the car dealership now the report says there were three"
"eTSgB2YU7UM","00:01:10","00:01:12","THE EMBANKMENT BEFORE GOING","passengers one thrown from the front to back seat"
