video_id,lang,text,timecode
fIBIGRNH734,English,- You've got some good features.,0:00 / 6:50
fIBIGRNH734,English,- You've got some good features.,0:01 / 6:50
fIBIGRNH734,English,"Your facial hair, your big, broad shoulders.",0:01 / 6:50
fIBIGRNH734,English,"Your facial hair, your big, broad shoulders.",0:02 / 6:50
fIBIGRNH734,English,"Listen, is he going to be doing high fashion? No.",0:03 / 6:50
fIBIGRNH734,English,"Listen, is he going to be doing high fashion? No.",0:04 / 6:50
fIBIGRNH734,English,"Listen, is he going to be doing high fashion? No.",0:05 / 6:50
fIBIGRNH734,English,Is he going to be in a ad when you walk into Home Depot,0:06 / 6:50
fIBIGRNH734,English,Is he going to be in a ad when you walk into Home Depot,0:07 / 6:50
fIBIGRNH734,English,Is he going to be in a ad when you walk into Home Depot,0:08 / 6:50
fIBIGRNH734,English,Is he going to be in a ad when you walk into Home Depot,0:09 / 6:50
fIBIGRNH734,English,and he's the guy who's loading up the big truck?,0:09 / 6:50
fIBIGRNH734,English,and he's the guy who's loading up the big truck?,0:10 / 6:50
fIBIGRNH734,English,and he's the guy who's loading up the big truck?,0:11 / 6:50
fIBIGRNH734,English,Absolutely.,0:12 / 6:50
fIBIGRNH734,English,"(""In the Hall of the Mountain King"")",0:13 / 6:50
fIBIGRNH734,English,"(""In the Hall of the Mountain King"")",0:14 / 6:50
fIBIGRNH734,English,"(""In the Hall of the Mountain King"")",0:15 / 6:50
fIBIGRNH734,English,"(""In the Hall of the Mountain King"")",0:16 / 6:50
fIBIGRNH734,English,- [Interviewer] Tell me what you're doing here today.,0:16 / 6:50
fIBIGRNH734,English,- [Interviewer] Tell me what you're doing here today.,0:17 / 6:50
fIBIGRNH734,English,- [Interviewer] Tell me what you're doing here today.,0:18 / 6:50
fIBIGRNH734,English,- Today I'm going to determine who's going to be marketable,0:18 / 6:50
fIBIGRNH734,English,- Today I'm going to determine who's going to be marketable,0:19 / 6:50
fIBIGRNH734,English,- Today I'm going to determine who's going to be marketable,0:20 / 6:50
fIBIGRNH734,English,for modeling in the fashion industry.,0:21 / 6:50
fIBIGRNH734,English,for modeling in the fashion industry.,0:22 / 6:50
fIBIGRNH734,English,- [Interviewer] How do you measure someone's attractiveness?,0:22 / 6:50
fIBIGRNH734,English,- [Interviewer] How do you measure someone's attractiveness?,0:23 / 6:50
fIBIGRNH734,English,- [Interviewer] How do you measure someone's attractiveness?,0:24 / 6:50
fIBIGRNH734,English,- I've been scouting models for several decades now.,0:24 / 6:50
fIBIGRNH734,English,- I've been scouting models for several decades now.,0:25 / 6:50
fIBIGRNH734,English,- I've been scouting models for several decades now.,0:26 / 6:50
fIBIGRNH734,English,- I've been scouting models for several decades now.,0:27 / 6:50
fIBIGRNH734,English,"I'm going to be looking at height first, size second.",0:28 / 6:50
fIBIGRNH734,English,"I'm going to be looking at height first, size second.",0:29 / 6:50
fIBIGRNH734,English,"I'm going to be looking at height first, size second.",0:30 / 6:50
fIBIGRNH734,English,"Not are they good looking, everybody's good looking",0:30 / 6:50
fIBIGRNH734,English,"Not are they good looking, everybody's good looking",0:31 / 6:50
fIBIGRNH734,English,"Not are they good looking, everybody's good looking",0:32 / 6:50
fIBIGRNH734,English,"Not are they good looking, everybody's good looking",0:33 / 6:50
fIBIGRNH734,English,in their own way.,0:33 / 6:50
fIBIGRNH734,English,in their own way.,0:34 / 6:50
fIBIGRNH734,English,in their own way.,0:35 / 6:50
fIBIGRNH734,English,I'm just here to determine whether or not somebody,0:35 / 6:50
fIBIGRNH734,English,I'm just here to determine whether or not somebody,0:36 / 6:50
fIBIGRNH734,English,can make money doing it.,0:37 / 6:50
fIBIGRNH734,English,- [Interviewer] How much would you say that differs,0:38 / 6:50
fIBIGRNH734,English,- [Interviewer] How much would you say that differs,0:39 / 6:50
