"video_id","min_timecode","max_timecode","text.user","text.auto"
"fNCDu4nmt8M","00:00:01","00:00:01","Hello.","hello reboots"
"fNCDu4nmt8M","00:00:01","00:00:04","Reboots are symptomatic of a fundamental lack","are symptomatic of a fundamental lack of originality"
"fNCDu4nmt8M","00:00:04","00:00:05","of originality in Hollywood.","in hollywood"
"fNCDu4nmt8M","00:00:06","00:00:08","Have you no shame?","have you no shame here's your"
"fNCDu4nmt8M","00:00:08","00:00:10","Here's your check for the Animaniacs reboot,","check for the animaniacs reboot"
"fNCDu4nmt8M","00:00:11","00:00:12","you sellouts.","you sellouts"
"fNCDu4nmt8M","00:00:15","00:00:17","(SINGING) It's time for Animaniacs.","it's [Music]"
"fNCDu4nmt8M","00:00:21","00:00:23","All right guys, there's a lot of pressure on our first lines.","all right guys there's a lot of pressure on our first lines"
"fNCDu4nmt8M","00:00:23","00:00:24","Did we--","wait don't"
"fNCDu4nmt8M","00:00:25","00:00:26","Make sure it's good first.","make sure it's good first"
"fNCDu4nmt8M","00:00:27","00:00:28","Maybe something reminiscent of the first season?","maybe something reminiscent of the first"
"fNCDu4nmt8M","00:00:29","00:00:29","[GROWL]","season"
"fNCDu4nmt8M","00:00:31","00:00:33","22 years later, and I'm still a knockout.","22 years later and i'm still a knockout"
"fNCDu4nmt8M","00:00:34","00:00:35","[THUNDER]","i've tried"
"fNCDu4nmt8M","00:00:35","00:00:38","I've tried online dating but I keep getting catfished.","online dating but i keep getting catfished how"
"fNCDu4nmt8M","00:00:38","00:00:40","How do I know she's even real?","do i know she's even real"
"fNCDu4nmt8M","00:00:43","00:00:46","This tablet contains the sum of all human knowledge.","this tablet contains the sum of all human knowledge all"
"fNCDu4nmt8M","00:00:47","00:00:50","All human knowledge in one easy to swallow tablet?","human knowledge and one easy to swallow tablet"
"fNCDu4nmt8M","00:00:53","00:00:56","Quantum mechanics, quinoa wraps, Queen Bey.","quantum mechanics quinoa wraps queen bay"
"fNCDu4nmt8M","00:00:56","00:00:58","We've missed so much.","we've missed so much"
"fNCDu4nmt8M","00:00:58","00:01:00","[MUSIC - ""ANIMANIACS"" THEME]","oh"
"fNCDu4nmt8M","00:01:01","00:01:01","Sounds like an Odyssey.","sounds like"
"fNCDu4nmt8M","00:01:02","00:01:04","","an odyssey my"
"fNCDu4nmt8M","00:01:05","00:01:05","My sandwich!","sandwich"
"fNCDu4nmt8M","00:01:11","00:01:13","Just where I left it.","just where i left it"
"fNCDu4nmt8M","00:01:15","00:01:15","Yakko, turn on the blacklight.","gekko turn on the"
"fNCDu4nmt8M","00:01:16","00:01:16","[CLICK]","black light"
"fNCDu4nmt8M","00:01:17","00:01:18","[RAVE MUSIC]","[Music]"
"fNCDu4nmt8M","00:01:19","00:01:20","Nothing unusual there.","nothing unusual there"
"fNCDu4nmt8M","00:01:22","00:01:23","Gee, Brain, what do you want to do tonight?","gee brian what do you want to do tonight"
"fNCDu4nmt8M","00:01:24","00:01:25","The same thing we do every night, Pinky.","the same thing we do every night"
"fNCDu4nmt8M","00:01:26","00:01:27","Try to take over the wor--","pinkie try to take over"
"fNCDu4nmt8M","00:01:28","00:01:28","[FOAM]","the world"
"fNCDu4nmt8M","00:01:29","00:01:30","Wee!","we found party"
"fNCDu4nmt8M","00:01:35","00:01:37","I am the Pegasus.","i am the pegasus i come"
"fNCDu4nmt8M","00:01:37","00:01:38","I come bearing horrible tidings of war from the--","bearing horrible tidings"
"fNCDu4nmt8M","00:01:39","00:01:40","[HONK]","of war from the dead yeah"
"fNCDu4nmt8M","00:01:41","00:01:41","Less talk-y more flap-y.","less talky more"
"fNCDu4nmt8M","00:01:50","00:01:53","(SINGING) We're Animan-y, totally insane-y,","flappy"
"fNCDu4nmt8M","00:01:55","00:01:57","Animaniacs!","[Music]"
"fNCDu4nmt8M","00:01:58","00:01:59","Now the adoration pours in.","now the adoration pours"
"fNCDu4nmt8M","00:02:00","00:02:00","[DING]","in [Music]"
"fNCDu4nmt8M","00:02:00","00:02:01","[CHIME]","now the adoration pours in [Music]"
"fNCDu4nmt8M","00:02:07","00:02:14","","nerve [Music]"
