video_id,lang,text,timecode
fOzewsswtGM,English (United States),,0:00 / 0:58
fOzewsswtGM,English (United States),,0:01 / 0:58
fOzewsswtGM,English (United States),,0:02 / 0:58
fOzewsswtGM,English (United States),,0:03 / 0:58
fOzewsswtGM,English (United States),,0:04 / 0:58
fOzewsswtGM,English (United States),,0:05 / 0:58
fOzewsswtGM,English (United States),,0:06 / 0:58
fOzewsswtGM,English (United States),,0:07 / 0:58
fOzewsswtGM,English (United States),,0:08 / 0:58
fOzewsswtGM,English (United States),,0:09 / 0:58
fOzewsswtGM,English (United States),,0:10 / 0:58
fOzewsswtGM,English (United States),,0:11 / 0:58
fOzewsswtGM,English (United States),,0:12 / 0:58
fOzewsswtGM,English (United States),,0:13 / 0:58
fOzewsswtGM,English (United States),Every warrior,0:14 / 0:58
fOzewsswtGM,English (United States),Every warrior,0:15 / 0:58
fOzewsswtGM,English (United States),,0:15 / 0:58
fOzewsswtGM,English (United States),has a beginning.,0:16 / 0:58
fOzewsswtGM,English (United States),,0:17 / 0:58
fOzewsswtGM,English (United States),,0:18 / 0:58
fOzewsswtGM,English (United States),♫,0:19 / 0:58
fOzewsswtGM,English (United States),For six hundred years,0:20 / 0:58
fOzewsswtGM,English (United States),For six hundred years,0:21 / 0:58
fOzewsswtGM,English (United States),our ninja have brought peace,0:21 / 0:58
fOzewsswtGM,English (United States),our ninja have brought peace,0:22 / 0:58
fOzewsswtGM,English (United States),our ninja have brought peace,0:23 / 0:58
fOzewsswtGM,English (United States),,0:23 / 0:58
fOzewsswtGM,English (United States),,0:24 / 0:58
fOzewsswtGM,English (United States),to the world.,0:25 / 0:58
fOzewsswtGM,English (United States),,0:25 / 0:58
fOzewsswtGM,English (United States),,0:26 / 0:58
fOzewsswtGM,English (United States),,0:27 / 0:58
fOzewsswtGM,English (United States),I need warriors like you.,0:28 / 0:58
fOzewsswtGM,English (United States),I need warriors like you.,0:29 / 0:58
fOzewsswtGM,English (United States),I need warriors like you.,0:30 / 0:58
fOzewsswtGM,English (United States),,0:30 / 0:58
fOzewsswtGM,English (United States),Join us.,0:31 / 0:58
fOzewsswtGM,English (United States),,0:31 / 0:58
fOzewsswtGM,English (United States),What do I have to do?,0:32 / 0:58
fOzewsswtGM,English (United States),What do I have to do?,0:33 / 0:58
fOzewsswtGM,English (United States),,0:33 / 0:58
fOzewsswtGM,English (United States),,0:34 / 0:58
fOzewsswtGM,English (United States),The journey from here,0:35 / 0:58
fOzewsswtGM,English (United States),The journey from here,0:36 / 0:58
fOzewsswtGM,English (United States),,0:37 / 0:58
fOzewsswtGM,English (United States),,0:38 / 0:58
fOzewsswtGM,English (United States),is yours to decide.,0:39 / 0:58
fOzewsswtGM,English (United States),,0:40 / 0:58
fOzewsswtGM,English (United States),,0:41 / 0:58
fOzewsswtGM,English (United States),♫ ,0:42 / 0:58
fOzewsswtGM,English (United States),♫ ,0:43 / 0:58
fOzewsswtGM,English (United States),♫ ,0:44 / 0:58
fOzewsswtGM,English (United States),♫ ,0:45 / 0:58
fOzewsswtGM,English (United States),,0:45 / 0:58
fOzewsswtGM,English (United States),,0:46 / 0:58
fOzewsswtGM,English (United States),But that is just the beginning.,0:46 / 0:58
fOzewsswtGM,English (United States),But that is just the beginning.,0:47 / 0:58
fOzewsswtGM,English (United States),But that is just the beginning.,0:48 / 0:58
fOzewsswtGM,English (United States),♫,0:48 / 0:58
fOzewsswtGM,English (United States),♫,0:49 / 0:58
